Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,2.1340934256092314,0.09705891069867816,0.0,0.03556822376015386,0.001617648511644636,0.0,0.007656870946806165,0.0,0.12882827910686995,1.9876082755555555,0.010000000000000002,0.0,0.0,0.09414224403201149,0.0,0.0029166666666666685,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.002524835526315789,0.0,On,0.005132035420490376,0,On,0.003305287064187924,0,On,0.0858805978940263,0.06441044842051971,On,0,0,Off,On,1987.6082755555556,22.222222222222285,1.0,0.0,1.9876082755555555,0.0,1,1987.6082755555556,1987.6082755555556,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,495.5832488888889,Off,0.0,0.0,31.617652937260907,51.666666666666686,46.10666666666668,0.0,50.79241932401015,0.0,0.0,0.0,31.617652937260907,48.7220829673857,50.79241932401015,47.686914789073484,12.43753247303448,21.607993746694035,-0.11422847552825033,2.8,1888.050909157099,-263.85434484589064,-0.0,-0.0,196.47312242331648,0.0,1.0,0.010764754415517856,0.0,0,0.5312707190534429,65.99961422222222,-32.17614397588204,0.19668204267278022,10.331164483546685,0.003090894335671682,27.866407588280453,1.2115649927769014
2025-01-01 00:01:00,2.1340934256092314,0.09705891069867816,0.0,0.03556822376015386,0.001617648511644636,0.0,0.007656870946806165,0.0,0.12882827910686995,1.9876082755555555,0.010000000000000002,0.0,0.0,0.09414224403201149,0.0,0.0029166666666666685,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.002524835526315789,0.0,On,0.005132035420490376,0,On,0.003305287064187924,0,On,0.0858805978940263,0.06441044842051971,On,0,0,Off,On,1987.6082755555556,22.222222222222285,1.0,0.0,1.9876082755555555,0.0,1,1987.6082755555556,1987.6082755555556,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,495.5832488888889,Off,0.0,0.0,31.51104218404975,51.666666666666686,46.10666666666668,0.0,50.787257336067896,0.0,0.0,0.0,31.51104218404975,48.71764569468552,50.787257336067896,47.68283987399434,12.43753247303448,21.69516655254778,-0.027055669674506788,2.8,1883.550991559711,-265.64385014767197,-0.0,-0.0,196.47312242331648,0.0,1.0,0.010787762828442595,0.0,0,0.5324062485422703,65.99961422222222,-34.886556271488914,0.1962401535467877,10.394517786349468,0.003091408295239247,27.794992333155708,1.2147445014715874
2025-01-01 00:02:00,2.1340934256092314,0.09705891069867816,0.0,0.03556822376015386,0.001617648511644636,0.0,0.007656870946806165,0.0,0.12882827910686995,1.9876082755555555,0.010000000000000002,0.0,0.0,0.09414224403201149,0.0,0.0029166666666666685,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.002524835526315789,0.0,On,0.005132035420490376,0,On,0.003305287064187924,0,On,0.0858805978940263,0.06441044842051971,On,0,0,Off,On,1987.6082755555556,22.222222222222285,1.0,0.0,1.9876082755555555,0.0,1,1987.6082755555556,1987.6082755555556,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,495.5832488888889,Off,0.0,0.0,31.40843369787827,51.666666666666686,46.10666666666668,0.0,50.78211135578434,0.0,0.0,0.0,31.40843369787827,48.713223383911384,50.78211135578434,47.67877939797491,12.43753247303448,21.778914419944286,0.0,2.8,1879.154655267871,-267.3675703956029,-0.0,-0.0,196.47312242331648,0.0,1.0,0.010809851059400908,0.0,0,0.5334963644790468,65.99961422222222,-37.559172315398015,0.19527035168817644,10.432262334432755,0.003091919595839901,27.725747480964127,1.2143991888203707
2025-01-01 00:03:00,2.1340934256092314,0.09705891069867816,0.0,0.03556822376015386,0.001617648511644636,0.0,0.007656870946806165,0.0,0.12882827910686995,1.9876082755555555,0.010000000000000002,0.0,0.0,0.09414224403201149,0.0,0.0029166666666666685,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.002524835526315789,0.0,On,0.005132035420490376,0,On,0.003305287064187924,0,On,0.0858805978940263,0.06441044842051971,On,0,0,Off,On,1987.6082755555556,22.222222222222285,1.0,0.0,1.9876082755555555,0.0,1,1987.6082755555556,1987.6082755555556,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,495.5832488888889,Off,0.0,0.0,31.309621663921153,51.666666666666686,46.10666666666668,0.0,50.77698078806254,0.0,0.0,0.0,31.309621663921153,48.708815473378635,50.77698078806254,47.67473281603668,12.43753247303448,21.85941368314165,0.0,2.8,1874.8548724618952,-269.02860003706667,-0.0,-0.0,196.47312242331648,0.0,1.0,0.010831067521521562,0.0,0,0.5345434561869971,65.99961422222222,-40.19792547990999,0.1943444543128077,10.468244960289942,0.003092429767677695,27.658511973939174,1.2140674420510755
2025-01-01 00:04:00,2.1340934256092314,0.09705891069867816,0.0,0.03556822376015386,0.001617648511644636,0.0,0.007656870946806165,0.0,0.12882827910686995,1.9876082755555555,0.010000000000000002,0.0,0.0,0.09414224403201149,0.0,0.0029166666666666685,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.002524835526315789,0.0,On,0.005132035420490376,0,On,0.003305287064187924,0,On,0.0858805978940263,0.06441044842051971,On,0,0,Off,On,1987.6082755555556,22.222222222222285,1.0,0.0,1.9876082755555555,0.0,1,1987.6082755555556,1987.6082755555556,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,495.5832488888889,Off,0.0,0.0,31.214412772892295,51.666666666666686,46.10666666666668,0.0,50.771865068403606,0.0,0.0,0.0,31.214412772892295,48.70442143028701,50.771865068403606,47.67069961122871,12.43753247303448,21.93682995693917,0.0,2.8,1871.7116500179484,-270.62986924977395,-0.0,-0.0,196.47312242331648,0.0,1.0,0.010851457601715565,0.0,0,0.5355497636370407,65.99961422222222,-41.739878711149565,0.193459856283668,10.502555806761436,0.0030929388414058924,27.59318282385032,1.2137485578766931
2025-01-01 00:05:00,2.1340934256092314,0.09705891069867816,0.0,0.03556822376015386,0.001617648511644636,0.0,0.007656870946806165,0.0,0.12882827910686995,1.9876082755555555,0.010000000000000002,0.0,0.0,0.09414224403201149,0.0,0.0029166666666666685,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.002524835526315789,0.0,On,0.005132035420490376,0,On,0.003305287064187924,0,On,0.0858805978940263,0.06441044842051971,On,0,0,Off,On,1987.6082755555556,22.222222222222285,1.0,0.0,1.9876082755555555,0.0,1,1987.6082755555556,1987.6082755555556,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,495.5832488888889,Off,0.0,0.0,31.1225076110589,51.666666666666686,46.10666666666668,0.0,50.7667636610476,0.0,0.0,0.0,31.1225076110589,48.70004074896559,50.7667636610476,47.66667929292459,12.43753247303448,22.011420079567795,0.0,2.8,1869.335562150728,-272.1762535500338,-0.0,-0.0,196.47312242331648,0.0,1.0,0.010871090506264482,0.0,0,0.5365187023526118,65.99961422222222,-42.56958227811012,0.19261295218574928,10.53607118467269,0.0030934468461380005,27.529600897760375,1.2134414602711119
2025-01-01 00:06:00,2.1340934256092314,0.09705891069867816,0.0,0.03556822376015386,0.001617648511644636,0.0,0.007656870946806165,0.0,0.12882827910686995,1.9876082755555555,0.010000000000000002,0.0,0.0,0.09414224403201149,0.0,0.0029166666666666685,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.002524835526315789,0.0,On,0.005132035420490376,0,On,0.003305287064187924,0,On,0.0858805978940263,0.06441044842051971,On,0,0,Off,On,1987.6082755555556,22.222222222222285,1.0,0.0,1.9876082755555555,0.0,1,1987.6082755555556,1987.6082755555556,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,495.5832488888889,Off,0.0,0.0,31.033664961688093,51.666666666666686,46.10666666666668,0.0,50.76167607474363,0.0,0.0,0.0,31.033664961688093,48.69567296576366,50.76167607474363,47.662671411273685,12.43753247303448,22.083390911311806,0.0,2.8,1867.2108502109168,-273.67165405185665,-0.0,-0.0,196.47312242331648,0.0,1.0,0.010890022067237529,0.0,0,0.537453027802383,65.99961422222222,-43.198893716098475,0.1918008073912031,10.568168270775594,0.0030939538085635668,27.46763807265964,1.2131452814506458
2025-01-01 00:07:00,2.1340934256092314,0.09705891069867816,0.0,0.03556822376015386,0.001617648511644636,0.0,0.007656870946806165,0.0,0.12882827910686995,1.9876082755555555,0.010000000000000002,0.0,0.0,0.09414224403201149,0.0,0.0029166666666666685,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.002524835526315789,0.0,On,0.005132035420490376,0,On,0.003305287064187924,0,On,0.0858805978940263,0.06441044842051971,On,0,0,Off,On,1987.6082755555556,22.222222222222285,1.0,0.0,1.9876082755555555,0.0,1,1987.6082755555556,1987.6082755555556,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,495.5832488888889,Off,0.0,0.0,30.947712812425284,51.666666666666686,46.10666666666668,0.0,50.75660185409942,0.0,0.0,0.0,30.947712812425284,48.69131765088326,50.75660185409942,47.65867554927519,12.43753247303448,22.15288986547706,0.0,2.8,1865.207579958429,-275.1187846059926,-0.0,-0.0,196.47312242331648,0.0,1.0,0.010908292309097374,0.0,0,0.5383547153054594,65.99961422222222,-43.75503341445014,0.19102124788350314,10.598926686122429,0.003094459753424716,27.407203046578292,1.2128594000807484
2025-01-01 00:08:00,2.1340934256092314,0.09705891069867816,0.0,0.03556822376015386,0.001617648511644636,0.0,0.007656870946806165,0.0,0.12882827910686995,1.9876082755555555,0.010000000000000002,0.0,0.0,0.09414224403201149,0.0,0.0029166666666666685,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.002524835526315789,0.0,On,0.005132035420490376,0,On,0.003305287064187924,0,On,0.0858805978940263,0.06441044842051971,On,0,0,Off,On,1987.6082755555556,22.222222222222285,1.0,0.0,1.9876082755555555,0.0,1,1987.6082755555556,1987.6082755555556,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,495.5832488888889,Off,0.0,0.0,30.864502479626438,51.666666666666686,46.10666666666668,0.0,50.751540569294846,0.0,0.0,0.0,30.864502479626438,48.68697439866691,50.751540569294846,47.65469131335295,12.43753247303448,22.220044328679155,0.0,2.8,1863.287653708562,-276.5199791734402,-0.0,-0.0,196.47312242331648,0.0,1.0,0.010925935859662925,0.0,0,0.539225473841493,65.99961422222222,-44.27376509686967,0.1902723829518461,10.629159979409534,0.003094964704085715,27.348216975089866,1.2125832787373438
2025-01-01 00:09:00,2.1340934256092314,0.09705891069867816,0.0,0.03556822376015386,0.001617648511644636,0.0,0.007656870946806165,0.0,0.12882827910686995,1.9876082755555555,0.010000000000000002,0.0,0.0,0.09414224403201149,0.0,0.0029166666666666685,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.002524835526315789,0.0,On,0.005132035420490376,0,On,0.003305287064187924,0,On,0.0858805978940263,0.06441044842051971,On,0,0,Off,On,1987.6082755555556,22.222222222222285,1.0,0.0,1.9876082755555555,0.0,1,1987.6082755555556,1987.6082755555556,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,495.5832488888889,Off,0.0,0.0,30.78389729251101,51.666666666666686,46.10666666666668,0.0,50.7464918126143,0.0,0.0,0.0,30.78389729251101,48.68264282432364,50.7464918126143,47.650718330178314,12.43753247303448,22.284971383365676,0.0,2.8,1861.4340101318749,-277.87738887439167,-0.0,-0.0,196.47312242331648,0.0,1.0,0.010942984525129328,0.0,0,0.5400668731351155,65.99961422222222,-44.7699989726054,0.18955248445058254,10.65819078715391,0.0030954686827230882,27.29060745274125,1.2123164237273487
