Time,Ambient Dry Bulb (C),Ambient Relative Humidity (-),Ambient Pressure (kPa),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Wind Speed (m/s),Sky Temperature (C),Mains Temperature (C),Ground Temperature (C),Ambient Humidity Ratio (-),Ambient Wet Bulb (-),apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,dni_extraterrestrial,airmass,Exterior Wall Irradiance (W),"Exterior Wall Irradiance - West, poa_global (W/m^2)","Exterior Wall Irradiance - West, poa_direct (W/m^2)","Exterior Wall Irradiance - West, poa_diffuse (W/m^2)","Exterior Wall Irradiance - West, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - West, poa_ground_diffuse (W/m^2)","Exterior Wall Irradiance - South, poa_global (W/m^2)","Exterior Wall Irradiance - South, poa_direct (W/m^2)","Exterior Wall Irradiance - South, poa_diffuse (W/m^2)","Exterior Wall Irradiance - South, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - South, poa_ground_diffuse (W/m^2)",Roof Irradiance (W),"Roof Irradiance - North, poa_global (W/m^2)","Roof Irradiance - North, poa_direct (W/m^2)","Roof Irradiance - North, poa_diffuse (W/m^2)","Roof Irradiance - North, poa_sky_diffuse (W/m^2)","Roof Irradiance - North, poa_ground_diffuse (W/m^2)",Window Irradiance (W),"Window Irradiance - West, poa_global (W/m^2)","Window Irradiance - West, poa_direct (W/m^2)","Window Irradiance - West, poa_diffuse (W/m^2)","Window Irradiance - West, poa_sky_diffuse (W/m^2)","Window Irradiance - West, poa_ground_diffuse (W/m^2)","Window Irradiance - South, poa_global (W/m^2)","Window Irradiance - South, poa_direct (W/m^2)","Window Irradiance - South, poa_diffuse (W/m^2)","Window Irradiance - South, poa_sky_diffuse (W/m^2)","Window Irradiance - South, poa_ground_diffuse (W/m^2)",Horizontal Irradiance (W/m^2),Occupancy (Persons),MELs (kW),TV (kW),Ceiling Fan (kW),Indoor Lighting (kW),Clothes Washer (L/min),Clothes Washer (kW),Cooking Range (kW),Cooking Range (therms/hour),Water Heating (L/min),Water Heating Setpoint (C),Refrigerator (kW),Exterior Lighting (kW),HVAC Heating Setpoint (C),HVAC Cooling Setpoint (C)
2025-01-01 07:01:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,98.50917756446745,98.50917756446745,-8.509177564467443,-8.509177564467443,114.24588095998365,-3.733973719208734,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:02:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,98.34980542269983,98.34980542269983,-8.349805422699832,-8.349805422699832,114.4137258217948,-3.7343000793625833,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:03:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,98.19064501009746,98.19064501009746,-8.190645010097452,-8.190645010097452,114.58170751315328,-3.734626436729741,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:04:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,98.03169786905498,98.03169786905498,-8.031697869054982,-8.031697869054982,114.74982827453329,-3.7349527913029306,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:05:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,97.87296554518566,97.87296554518566,-7.872965545185663,-7.872965545185663,114.91809033908771,-3.7352791431039805,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:06:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,97.71444948410713,97.71444948410713,-7.714449484107139,-7.714449484107139,115.08649604252082,-3.735605492380273,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:07:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,97.55615145354581,97.55615145354581,-7.556151453545813,-7.556151453545813,115.25504737447926,-3.735931838644319,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:08:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,97.39807290710097,97.39807290710097,-7.398072907100965,-7.398072907100965,115.42374665455708,-3.7362581821362255,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:09:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,97.24021540961039,97.24021540961039,-7.240215409610389,-7.240215409610389,115.59259608072199,-3.736584522855992,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:10:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,97.0825805296385,97.0825805296385,-7.082580529638511,-7.082580529638511,115.76159784349574,-3.7369108608181705,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
