Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Gas Fireplace Gas Power (therms/hour),Gas Fireplace Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.2014438851422714,0.1271425406853262,0.006632087315988548,0.0033573980857045235,0.0021190423447554367,0.00011053478859980913,0.01789208129683675,0.18355180384543465,0.0,0.0,0.0,0.006632087315988548,0.0,0.0,0.1271425406853262,0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.014479965068766577,0,On,0.014028416264999673,0,On,0.12988099343177928,0.09741074507383443,On,0.006632087315988548,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,2646.139062222222,Off,0.0,0,88.58663042821722,51.666666666666686,46.10666666666668,0.0,52.425629173159436,0.0,0.0,0.0,138.4166100440894,52.43897810118361,52.4456525651957,52.425629173159436,12.43753247303448,Off,0.0,20.222222222222257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2422.411419645755,19.42273733925666,0.0,4.240693172134099,2.8,9.236100170605994,187.37801471310462,-636.1298120244629,-319.03818667979056,-0.0,-0.0,487.534718202847,0.0,3.0,0.01472727762433375,0.0,0.0,0.2056590557629018,197.99884266666666,18.881483190048165,0.23141855942036169,9.448281946367524,0.003178506513866365,137.31933166379903,1.2205498236204992,0.34556103947043604,-648.8046018310828,12.674789806619824
2025-01-01 00:01:00,0.2014438851422714,0.1271425406853262,0.006632087315988548,0.0033573980857045235,0.0021190423447554367,0.00011053478859980913,0.01789208129683675,0.18355180384543465,0.0,0.0,0.0,0.006632087315988548,0.0,0.0,0.1271425406853262,0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.014479965068766577,0,On,0.014028416264999673,0,On,0.12988099343177928,0.09741074507383443,On,0.006632087315988548,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,2646.139062222222,Off,0.0,0,88.54144610926444,51.666666666666686,46.10666666666668,0.0,52.406121323422575,0.0,0.0,0.0,138.34600954572568,52.42057489021399,52.42780167360971,52.406121323422575,12.43753247303448,Off,0.0,20.222222222222257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2422.7464448778505,19.421140715419554,0.0,4.292202782258427,2.8,9.236100170605994,186.474051174473,-661.0487240817869,-318.9908788326608,-0.0,-0.0,487.534718202847,0.0,3.0,0.014726508313594816,0.0,0.0,0.2056483127237473,197.99884266666666,17.930211804286827,0.23216930538508856,9.472166281412575,0.00317921786571525,137.2880418071079,1.224121363030524,0.3457269695303799,-672.3242200469621,11.27549596517525
2025-01-01 00:02:00,0.2014438851422714,0.1271425406853262,0.006632087315988548,0.0033573980857045235,0.0021190423447554367,0.00011053478859980913,0.01789208129683675,0.18355180384543465,0.0,0.0,0.0,0.006632087315988548,0.0,0.0,0.1271425406853262,0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.014479965068766577,0,On,0.014028416264999673,0,On,0.12988099343177928,0.09741074507383443,On,0.006632087315988548,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,2646.139062222222,Off,0.0,0,88.49646207084086,51.666666666666686,46.10666666666668,0.0,52.38662412274689,0.0,0.0,0.0,138.27572198568885,52.402181065949236,52.409959537550414,52.38662412274689,12.43753247303448,Off,0.0,20.222222222222257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2422.7427325348935,19.419478872818342,0.0,4.340894274422449,2.8,9.236100170605994,185.56761237996125,-684.4496046273389,-318.9416415441394,-0.0,-0.0,487.534718202847,0.0,3.0,0.014725707558973171,0.0,0.0,0.20563713058651964,197.99884266666666,16.974535721253613,0.23224484041402899,9.472523873073559,0.003179926980481908,137.2569425650753,1.2241277929387129,0.3458837482813029,-694.5774029268908,10.127798299551948
2025-01-01 00:03:00,0.2014438851422714,0.1271425406853262,0.006632087315988548,0.0033573980857045235,0.0021190423447554367,0.00011053478859980913,0.01789208129683675,0.18355180384543465,0.0,0.0,0.0,0.006632087315988548,0.0,0.0,0.1271425406853262,0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.014479965068766577,0,On,0.014028416264999673,0,On,0.12988099343177928,0.09741074507383443,On,0.006632087315988548,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,2646.139062222222,Off,0.0,0,88.45166669338515,51.666666666666686,46.10666666666668,0.0,52.36713752621538,0.0,0.0,0.0,138.20572920841428,52.38379658678255,52.39212611706614,52.36713752621538,12.43753247303448,Off,0.0,20.222222222222257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2422.747971788042,19.417756100275206,0.0,4.38698844896997,2.8,9.236100170605994,184.66052051744862,-706.4963652718226,-318.8906022305866,-0.0,-0.0,487.534718202847,0.0,3.0,0.014724877424804382,0.0,0.0,0.20562553817863102,197.99884266666666,16.016404545188166,0.23232125762536515,9.472199312017139,0.003180635930892106,137.22593169240918,1.2241344779797019,0.34603209863831225,-715.6617471236839,9.165381851861245
2025-01-01 00:04:00,0.2014438851422714,0.1271425406853262,0.006632087315988548,0.0033573980857045235,0.0021190423447554367,0.00011053478859980913,0.01789208129683675,0.18355180384543465,0.0,0.0,0.0,0.006632087315988548,0.0,0.0,0.1271425406853262,0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.014479965068766577,0,On,0.014028416264999673,0,On,0.12988099343177928,0.09741074507383443,On,0.006632087315988548,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,2646.139062222222,Off,0.0,0,88.40705008862577,51.666666666666686,46.10666666666668,0.0,52.347661491472984,0.0,0.0,0.0,138.13601576347776,52.365421413521034,52.37430137454506,52.347661491472984,12.43753247303448,Off,0.0,20.222222222222257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2422.743215450601,19.41597604385508,0.0,4.430671715089792,2.8,9.236100170605994,184.17216736038722,-727.3474822595939,-318.8378692480464,-0.0,-0.0,487.534718202847,0.0,3.0,0.014724019665819408,0.0,0.0,0.20561356000402053,197.99884266666666,15.475318405586595,0.23239850521924912,9.472493009094167,0.0031813447172562835,137.19500476513718,1.2241414029062436,0.34617263100849993,-735.6596207915926,8.312138531998704
2025-01-01 00:05:00,0.2014438851422714,0.1271425406853262,0.006632087315988548,0.0033573980857045235,0.0021190423447554367,0.00011053478859980913,0.01789208129683675,0.18355180384543465,0.0,0.0,0.0,0.006632087315988548,0.0,0.0,0.1271425406853262,0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.014479965068766577,0,On,0.014028416264999673,0,On,0.12988099343177928,0.09741074507383443,On,0.006632087315988548,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,2646.139062222222,Off,0.0,0,88.36257374856196,51.666666666666686,46.10666666666668,0.0,52.32819597834509,0.0,0.0,0.0,138.06652148212805,52.347055509025985,52.35648527436644,52.32819597834509,12.43753247303448,Off,0.0,20.222222222222257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2422.7475217184697,19.414153018066973,0.0,4.472103630945525,2.8,9.236100170605994,184.06844198327943,-747.0839177330058,-318.78386694883164,-0.0,-0.0,487.534718202847,0.0,3.0,0.014723141177887126,0.0,0.0,0.20560129236004307,197.99884266666666,15.317590729264058,0.23247637700309592,9.472763286708169,0.0031820533398709532,137.16414383516556,1.224148507831716,0.34630586791901097,-754.6415132451061,7.5575955121002565
2025-01-01 00:06:00,0.2014438851422714,0.1271425406853262,0.006632087315988548,0.0033573980857045235,0.0021190423447554367,0.00011053478859980913,0.01789208129683675,0.18355180384543465,0.0,0.0,0.0,0.006632087315988548,0.0,0.0,0.1271425406853262,0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.014479965068766577,0,On,0.014028416264999673,0,On,0.12988099343177928,0.09741074507383443,On,0.006632087315988548,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,2646.139062222222,Off,0.0,0,88.31820418319026,51.666666666666686,46.10666666666668,0.0,52.30874095514259,0.0,0.0,0.0,137.9971940362348,52.32869884415848,52.33867778866642,52.30874095514259,12.43753247303448,Off,0.0,20.222222222222257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2422.7419760588427,19.412299475270956,0.0,4.511426130483946,2.8,9.236100170605994,184.01818799079382,-765.7842015318095,-318.7289644222993,-0.0,-0.0,487.534718202847,0.0,3.0,0.014722247960187673,0.0,0.0,0.2055888190222446,197.99884266666666,15.212434210246144,0.23255469344533622,9.472368018816649,0.003182761798974675,137.1333332530683,1.2241557406585657,0.34643227396500376,-772.6701860756501,6.885984543840706
2025-01-01 00:07:00,0.2014438851422714,0.1271425406853262,0.006632087315988548,0.0033573980857045235,0.0021190423447554367,0.00011053478859980913,0.01789208129683675,0.18355180384543465,0.0,0.0,0.0,0.006632087315988548,0.0,0.0,0.1271425406853262,0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.014479965068766577,0,On,0.014028416264999673,0,On,0.12988099343177928,0.09741074507383443,On,0.006632087315988548,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,2646.139062222222,Off,0.0,0,88.27393353285593,51.666666666666686,46.10666666666668,0.0,52.289296397556036,0.0,0.0,0.0,137.9280211450874,52.31035139673685,52.32087889632726,52.289296397556036,12.43753247303448,Off,0.0,20.222222222222257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2422.7456972159844,19.410418322472015,0.0,4.548766844940889,2.8,9.236100170605994,184.00370918512476,-783.5157404236285,-318.6732479531461,-0.0,-0.0,487.534718202847,0.0,3.0,0.014721341412455305,0.0,0.0,0.20557615953721292,197.99884266666666,15.142238935423814,0.23263341294131734,9.472606406361164,0.0031834700947553913,137.1025694239294,1.2241630892275408,0.34655226668775596,-789.8021407326925,6.286400309064014
2025-01-01 00:08:00,0.2014438851422714,0.1271425406853262,0.006632087315988548,0.0033573980857045235,0.0021190423447554367,0.00011053478859980913,0.01789208129683675,0.18355180384543465,0.0,0.0,0.0,0.006632087315988548,0.0,0.0,0.1271425406853262,0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.014479965068766577,0,On,0.014028416264999673,0,On,0.12988099343177928,0.09741074507383443,On,0.006632087315988548,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,2646.139062222222,Off,0.0,0,88.2297556030112,51.666666666666686,46.10666666666668,0.0,52.269862283008855,0.0,0.0,0.0,137.858993129705,52.29201314621224,52.303088577813945,52.269862283008855,12.43753247303448,Off,0.0,20.222222222222257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2422.7396899220503,19.408511847757765,0.0,4.584241956786022,2.8,9.236100170605994,184.00049679179256,-800.3386349981827,-318.6167854753514,-0.0,-0.0,487.534718202847,0.0,3.0,0.014720422636286009,0.0,0.0,0.20556332928818422,197.99884266666666,15.082564064296907,0.23271250279140968,9.47218229390965,0.0031841782273895575,137.07184952612565,1.224170543968638,0.3466662259069172,-806.0888835241359,5.750248525953326
2025-01-01 00:09:00,0.2014438851422714,0.1271425406853262,0.006632087315988548,0.0033573980857045235,0.0021190423447554367,0.00011053478859980913,0.01789208129683675,0.18355180384543465,0.0,0.0,0.0,0.006632087315988548,0.0,0.0,0.1271425406853262,0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.014479965068766577,0,On,0.014028416264999673,0,On,0.12988099343177928,0.09741074507383443,On,0.006632087315988548,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,2646.139062222222,Off,0.0,0,88.18566625010523,51.666666666666686,46.10666666666668,0.0,52.250438590290464,0.0,0.0,0.0,137.7901035157894,52.27368407332268,52.28530681483879,52.250438590290464,12.43753247303448,Off,0.0,20.222222222222257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2422.7429858564465,19.406581576072046,0.0,4.617958172945942,2.8,9.236100170605994,183.99687723718998,-816.3071153757431,-318.5596223069478,-0.0,-0.0,487.534718202847,0.0,3.0,0.01471949236559158,0.0,0.0,0.20555033852386917,197.99884266666666,15.021781341290756,0.23279194130569078,9.472393593037015,0.0031848861970446333,137.0411716979376,1.2241780985047472,0.3467745001898477,-821.5777955573126,5.270680181569336
