Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.36835793094967906,0.1317497275618047,0.14438918918918917,0.006139298849161317,0.002195828792696745,0.002406486486486486,0.01097511816013075,0.1613015627895483,0.14608125000000002,0.05,0.0,0.14438918918918917,0.0,0.11716639422847136,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003103307748538012,0.0,On,0.007871810411592737,0,On,0.0050797038182530865,0,On,0.11657946482263949,0.0874345986169796,On,0,0,Off,On,3300.3696066641573,19.222222222222257,0.9250000000000002,759.969403335843,4.23163001081081,0.14608125000000002,1,3914.25776,3914.25776,Off,0.0,20.222222222222257,0,0.0,0.05,0.0,0.0,0,0,0,3416.9160844444446,Off,0.0,0,81.24735089550461,51.666666666666686,46.10666666666668,0.0,49.9687110966587,0.0,0.0,0.0,126.94898577422596,47.69781979324958,49.9687110966587,46.56237414154503,12.43753247303448,17.48597122386537,-1.236250998356887,-2.750199477570411,2.8,9.236100170605994,3027.272823037472,825.0383327597866,-604.9641615393807,-0.0,-0.0,296.11534685653874,0.0,2.0,0.03160889564736645,0.0,0.0,0.5881919518143748,131.99922844444444,35.7520310561564,0.25581153282887936,8.478133551071313,0.0031114834330875935,28.941434129966726,1.2287330834743715,0,0,65.06892942394359
2025-01-01 00:01:00,0.36835793094967906,0.1317497275618047,0.14438918918918917,0.006139298849161317,0.002195828792696745,0.002406486486486486,0.01097511816013075,0.1613015627895483,0.14608125000000002,0.05,0.0,0.14438918918918917,0.0,0.11716639422847136,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003103307748538012,0.0,On,0.007871810411592737,0,On,0.0050797038182530865,0,On,0.11657946482263949,0.0874345986169796,On,0,0,Off,On,3300.3696066641573,19.222222222222257,0.9250000000000002,759.969403335843,4.23163001081081,0.14608125000000002,1,3914.25776,3914.25776,Off,0.0,20.222222222222257,0,0.0,0.05,0.0,0.0,0,0,0,3416.9160844444446,Off,0.0,0,81.14680064440084,51.666666666666686,46.10666666666668,0.0,49.94938371117638,0.0,0.0,0.0,126.79187600687632,47.68094126279838,49.94938371117638,46.54672003860938,12.43753247303448,17.50649326405602,-1.2157289581662383,-2.4118544781913864,2.8,9.236100170605994,3023.4493381515367,821.2241686093507,-606.169552192676,-0.0,-0.0,296.11534685653874,0.0,2.0,0.03162768012171085,0.0,0.0,0.5885415014079988,131.99922844444444,33.133936823516706,0.2562427303791441,8.510972543216951,0.0031116818849519935,28.876336761108934,1.2322352153576652,0,0,61.25476527350769
2025-01-01 00:02:00,0.36835793094967906,0.1317497275618047,0.14438918918918917,0.006139298849161317,0.002195828792696745,0.002406486486486486,0.01097511816013075,0.1613015627895483,0.14608125000000002,0.05,0.0,0.14438918918918917,0.0,0.11716639422847136,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003103307748538012,0.0,On,0.007871810411592737,0,On,0.0050797038182530865,0,On,0.11657946482263949,0.0874345986169796,On,0,0,Off,On,3300.3696066641573,19.222222222222257,0.9250000000000002,759.969403335843,4.23163001081081,0.14608125000000002,1,3914.25776,3914.25776,Off,0.0,20.222222222222257,0,0.0,0.05,0.0,0.0,0,0,0,3416.9160844444446,Off,0.0,0,81.04743337074672,51.666666666666686,46.10666666666668,0.0,49.93008001755258,0.0,0.0,0.0,126.63661464179174,47.664083620911,49.93008001755258,46.531085422590216,12.43753247303448,17.52659538722169,-1.1956268350005672,-2.087165274599705,2.8,9.236100170605994,3019.6530699176105,817.8489082847775,-607.3511913315197,-0.0,-0.0,296.11534685653874,0.0,2.0,0.03164607704151306,0.0,0.0,0.588883839219688,131.99922844444444,30.519307728434356,0.25593381406104565,8.52040667655508,0.0031118793276919306,28.812249095638723,1.2321498518203724,0,0,57.87950494893443
2025-01-01 00:03:00,0.36835793094967906,0.1317497275618047,0.14438918918918917,0.006139298849161317,0.002195828792696745,0.002406486486486486,0.01097511816013075,0.1613015627895483,0.14608125000000002,0.05,0.0,0.14438918918918917,0.0,0.11716639422847136,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003103307748538012,0.0,On,0.007871810411592737,0,On,0.0050797038182530865,0,On,0.11657946482263949,0.0874345986169796,On,0,0,Off,On,3300.3696066641573,19.222222222222257,0.9250000000000002,759.969403335843,4.23163001081081,0.14608125000000002,1,3914.25776,3914.25776,Off,0.0,20.222222222222257,0,0.0,0.05,0.0,0.0,0,0,0,3416.9160844444446,Off,0.0,0,80.94918651451505,51.666666666666686,46.10666666666668,0.0,49.91079975340639,0.0,0.0,0.0,126.48310392892975,47.64724662183272,49.91079975340639,46.51547005604589,12.43753247303448,17.54630066296984,-1.1759215592524157,-1.7751524692505667,2.8,9.236100170605994,3015.8753530082904,814.5799767400413,-608.5103796729242,-0.0,-0.0,296.11534685653874,0.0,2.0,0.03166410771035872,0.0,0.0,0.5892193616757448,131.99922844444444,27.900779160518397,0.2556316898581199,8.529621662974211,0.0031120763458792134,28.74906195859916,1.2320661823717087,0,0,54.61057340419826
2025-01-01 00:04:00,0.36835793094967906,0.1317497275618047,0.14438918918918917,0.006139298849161317,0.002195828792696745,0.002406486486486486,0.01097511816013075,0.1613015627895483,0.14608125000000002,0.05,0.0,0.14438918918918917,0.0,0.11716639422847136,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003103307748538012,0.0,On,0.007871810411592737,0,On,0.0050797038182530865,0,On,0.11657946482263949,0.0874345986169796,On,0,0,Off,On,3300.3696066641573,19.222222222222257,0.9250000000000002,759.969403335843,4.23163001081081,0.14608125000000002,1,3914.25776,3914.25776,Off,0.0,20.222222222222257,0,0.0,0.05,0.0,0.0,0,0,0,3416.9160844444446,Off,0.0,0,80.8520063754418,51.666666666666686,46.10666666666668,0.0,49.891542670149775,0.0,0.0,0.0,126.33125996162782,47.63043003280519,49.891542670149775,46.499873714132896,12.43753247303448,17.56562887187945,-1.1565933503428063,-1.4750190048411878,2.8,9.236100170605994,3013.20904352044,811.4552698998563,-609.6482294332245,-0.0,-0.0,296.11534685653874,0.0,2.0,0.031681790405220824,0.0,0.0,0.5895484088819589,131.99922844444444,26.37231943296871,0.25533601329180167,8.539228867003985,0.003112272945342928,28.686731553893242,1.2319841224947885,0,0,51.48586656401323
2025-01-01 00:05:00,0.36835793094967906,0.1317497275618047,0.14438918918918917,0.006139298849161317,0.002195828792696745,0.002406486486486486,0.01097511816013075,0.1613015627895483,0.14608125000000002,0.05,0.0,0.14438918918918917,0.0,0.11716639422847136,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003103307748538012,0.0,On,0.007871810411592737,0,On,0.0050797038182530865,0,On,0.11657946482263949,0.0874345986169796,On,0,0,Off,On,3300.3696066641573,19.222222222222257,0.9250000000000002,759.969403335843,4.23163001081081,0.14608125000000002,1,3914.25776,3914.25776,Off,0.0,20.222222222222257,0,0.0,0.05,0.0,0.0,0,0,0,3416.9160844444446,Off,0.0,0,80.75574048776132,51.666666666666686,46.10666666666668,0.0,49.87230853103517,0.0,0.0,0.0,126.18084451212705,47.61363363222587,49.87230853103517,46.484296182821225,12.43753247303448,17.58463661521828,-1.1375856070039774,-1.186078225207556,2.8,9.236100170605994,3011.714704934489,808.4767251085229,-610.7680272498588,-0.0,-0.0,296.11534685653874,0.0,2.0,0.03169917706553215,0.0,0.0,0.5898719473496784,131.99922844444444,25.997778663651914,0.25504584938667646,8.548058512661328,0.0031124691316290177,28.625133058985657,1.2319034317137438,0,0,48.50732177267986
2025-01-01 00:06:00,0.36835793094967906,0.1317497275618047,0.14438918918918917,0.006139298849161317,0.002195828792696745,0.002406486486486486,0.01097511816013075,0.1613015627895483,0.14608125000000002,0.05,0.0,0.14438918918918917,0.0,0.11716639422847136,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003103307748538012,0.0,On,0.007871810411592737,0,On,0.0050797038182530865,0,On,0.11657946482263949,0.0874345986169796,On,0,0,Off,On,3300.3696066641573,19.222222222222257,0.9250000000000002,759.969403335843,4.23163001081081,0.14608125000000002,1,3914.25776,3914.25776,Off,0.0,20.222222222222257,0,0.0,0.05,0.0,0.0,0,0,0,3416.9160844444446,Off,0.0,0,80.66023986493293,51.666666666666686,46.10666666666668,0.0,49.85309713291382,0.0,0.0,0.0,126.0316247889577,47.59685723016588,49.85309713291382,46.46873727879191,12.43753247303448,17.603379229245647,-1.1188429929766102,-0.9077267437361669,2.8,9.236100170605994,3010.604572265007,805.6447888937901,-611.8729955691049,-0.0,-0.0,296.11534685653874,0.0,2.0,0.03171631843763714,0.0,0.0,0.5901909213887493,131.99922844444444,25.992614313415658,0.2547602885773306,8.557342256863347,0.0031126649094706613,28.564144471789806,1.231823875048651,0,0,45.67538555794707
2025-01-01 00:07:00,0.36835793094967906,0.1317497275618047,0.14438918918918917,0.006139298849161317,0.002195828792696745,0.002406486486486486,0.01097511816013075,0.1613015627895483,0.14608125000000002,0.05,0.0,0.14438918918918917,0.0,0.11716639422847136,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003103307748538012,0.0,On,0.007871810411592737,0,On,0.0050797038182530865,0,On,0.11657946482263949,0.0874345986169796,On,0,0,Off,On,3300.3696066641573,19.222222222222257,0.9250000000000002,759.969403335843,4.23163001081081,0.14608125000000002,1,3914.25776,3914.25776,Off,0.0,20.222222222222257,0,0.0,0.05,0.0,0.0,0,0,0,3416.9160844444446,Off,0.0,0,80.56543843317075,51.666666666666686,46.10666666666668,0.0,49.833908305468015,0.0,0.0,0.0,125.8834975518293,47.580100667647145,49.833908305468015,46.45319684873672,12.43753247303448,17.621881180051208,-1.100341042171049,-0.6394242246575841,2.8,9.236100170605994,3009.6079568857785,802.9573445526404,-612.9645447957491,-0.0,-0.0,296.11534685653874,0.0,2.0,0.03173323700752932,0.0,0.0,0.5905057494282293,131.99922844444444,26.087548160831403,0.2544789217413581,8.566492854394493,0.0031128602828061295,28.50371178166029,1.2317453484182894,0,0,42.987941216797346
2025-01-01 00:08:00,0.36835793094967906,0.1317497275618047,0.14438918918918917,0.006139298849161317,0.002195828792696745,0.002406486486486486,0.01097511816013075,0.1613015627895483,0.14608125000000002,0.05,0.0,0.14438918918918917,0.0,0.11716639422847136,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003103307748538012,0.0,On,0.007871810411592737,0,On,0.0050797038182530865,0,On,0.11657946482263949,0.0874345986169796,On,0,0,Off,On,3300.3696066641573,19.222222222222257,0.9250000000000002,759.969403335843,4.23163001081081,0.14608125000000002,1,3914.25776,3914.25776,Off,0.0,20.222222222222257,0,0.0,0.05,0.0,0.0,0,0,0,3416.9160844444446,Off,0.0,0,80.47129793439571,51.666666666666686,46.10666666666668,0.0,49.8147418929437,0.0,0.0,0.0,125.73640302249329,47.56336379941796,49.8147418929437,46.437674752655084,12.43753247303448,17.640156580680593,-1.0820656415416643,-0.38067955445573176,2.8,9.236100170605994,3008.597219972919,800.4107773539539,-614.043478380894,-0.0,-0.0,296.11534685653874,0.0,2.0,0.031749945780865624,0.0,0.0,0.5908166734829874,131.99922844444444,26.1557448331169,0.25420150797424335,8.574915268968843,0.0031130552552226013,28.443803785980396,1.2316677916513372,0,0,40.44137401811089
2025-01-01 00:09:00,0.36835793094967906,0.1317497275618047,0.14438918918918917,0.006139298849161317,0.002195828792696745,0.002406486486486486,0.01097511816013075,0.1613015627895483,0.14608125000000002,0.05,0.0,0.14438918918918917,0.0,0.11716639422847136,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003103307748538012,0.0,On,0.007871810411592737,0,On,0.0050797038182530865,0,On,0.11657946482263949,0.0874345986169796,On,0,0,Off,On,3300.3696066641573,19.222222222222257,0.9250000000000002,759.969403335843,4.23163001081081,0.14608125000000002,1,3914.25776,3914.25776,Off,0.0,20.222222222222257,0,0.0,0.05,0.0,0.0,0,0,0,3416.9160844444446,Off,0.0,0,80.37779321096791,51.666666666666686,46.10666666666668,0.0,49.79559774802194,0.0,0.0,0.0,125.59030189213736,47.5466464881744,49.79559774802194,46.422170858250645,12.43753247303448,17.65821466966503,-1.0640075525572286,-0.13104115464493088,2.8,9.236100170605994,3007.5937477969023,798.0005578745379,-615.110314377651,-0.0,-0.0,296.11534685653874,0.0,2.0,0.031766453298445574,0.0,0.0,0.5911238524839016,131.99922844444444,26.21910865385732,0.2539278857667705,8.583819461350643,0.0031132498301050067,28.38440002319361,1.2315911652554083,0,0,38.03115453869482
