Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Gas Power (therms/hour),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.3970483515831811,0.24497899779570861,0.003240956553886125,0.006617472526386351,0.0040829832965951435,5.401594256476875e-05,0.008276029241778577,0.0,0.37877232234140246,0.0,0.010000000000000002,0.003240956553886125,0.0,0.0,0.0,0.24206233112904194,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.002864089912280702,0.0,On,0.0054119393294978745,0,On,0.010514243155848623,0,On,0.28593178683206705,0.21444884012405022,On,0.045508304346831153,0,On,0.003240956553886125,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,7452.505284444444,Off,0.0,21.611111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,906.1758755555555,Off,0.0,0.0,35.1516744671438,51.666666666666686,46.10666666666668,0.0,50.72605123940466,0.0,0.0,0.0,35.1516744671438,50.788226721218265,50.81931446212507,50.72605123940466,12.43753247303448,20.573677650385328,0.0,8.303648351493361,-2.0951365108506894,2.8,9.236100170605994,-178.66798773217204,-1401.860009454454,467.08769502795775,-563.272689603407,-0.0,-0.0,453.5240506025497,0.0,2.0,0.024317769833923808,0.0,0,0.6095398607140375,131.99922844444444,-68.91934873131474,0.23824706140330965,10.337477918898774,0.0035160099111528897,18.747636590337233,1.2155199335544458,0.19967843591988363,-1432.1862356966355,30.326226242181292,0.08690022328215709,554.3746356493579,-87.28694062140012
2025-01-01 00:01:00,0.3970483515831811,0.24497899779570861,0.003240956553886125,0.006617472526386351,0.0040829832965951435,5.401594256476875e-05,0.008276029241778577,0.0,0.37877232234140246,0.0,0.010000000000000002,0.003240956553886125,0.0,0.0,0.0,0.24206233112904194,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.002864089912280702,0.0,On,0.0054119393294978745,0,On,0.010514243155848623,0,On,0.28593178683206705,0.21444884012405022,On,0.045508304346831153,0,On,0.003240956553886125,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,7452.505284444444,Off,0.0,21.611111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,906.1758755555555,Off,0.0,0.0,35.29360339848698,51.666666666666686,46.10666666666668,0.0,50.720840483275275,0.0,0.0,0.0,35.29360339848698,50.78329347820405,50.81451997566844,50.720840483275275,12.43753247303448,20.446748906157215,0.0,8.264640539483421,-2.0042660205931133,2.8,9.236100170605994,-172.38167341297492,-1390.9458823433463,454.5758640686852,-557.046169339277,-0.0,-0.0,453.5240506025497,0.0,2.0,0.024221934975775454,0.0,0,0.607137701038778,131.99922844444444,-68.85955467624771,0.2408335860231025,10.305650494132502,0.003516184954553218,19.087717636782852,1.2195975288641805,0.19961091261527936,-1421.5545566496003,30.60867430625399,0.08669976247665231,542.8284567441967,-88.25259267551152
2025-01-01 00:02:00,0.3970483515831811,0.24497899779570861,0.003240956553886125,0.006617472526386351,0.0040829832965951435,5.401594256476875e-05,0.008276029241778577,0.0,0.37877232234140246,0.0,0.010000000000000002,0.003240956553886125,0.0,0.0,0.0,0.24206233112904194,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.002864089912280702,0.0,On,0.0054119393294978745,0,On,0.010514243155848623,0,On,0.28593178683206705,0.21444884012405022,On,0.045508304346831153,0,On,0.003240956553886125,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,7452.505284444444,Off,0.0,21.611111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,906.1758755555555,Off,0.0,0.0,35.43099074060818,51.666666666666686,46.10666666666668,0.0,50.71560869403343,0.0,0.0,0.0,35.43099074060818,50.778340316653384,50.809706127963366,50.71560869403343,12.43753247303448,20.323703686845057,0.0,8.22831095585272,-1.91781909607753,2.8,9.236100170605994,-166.46676053375393,-1380.7478099521593,443.2819980143147,-551.0366528872931,-0.0,-0.0,453.5240506025497,0.0,2.0,0.024128867277694022,0.0,0,0.6048049019328996,131.99922844444444,-68.95415824901053,0.24268291533915892,10.251635809695621,0.003516362577375439,19.417495628847103,1.2201087410612863,0.1995480048283549,-1411.6588645767142,30.911054624554883,0.08650862893643373,531.8857619460445,-88.60376393172974
2025-01-01 00:03:00,0.3970483515831811,0.24497899779570861,0.003240956553886125,0.006617472526386351,0.0040829832965951435,5.401594256476875e-05,0.008276029241778577,0.0,0.37877232234140246,0.0,0.010000000000000002,0.003240956553886125,0.0,0.0,0.0,0.24206233112904194,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.002864089912280702,0.0,On,0.0054119393294978745,0,On,0.010514243155848623,0,On,0.28593178683206705,0.21444884012405022,On,0.045508304346831153,0,On,0.003240956553886125,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,7452.505284444444,Off,0.0,21.611111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,906.1758755555555,Off,0.0,0.0,35.56410014674073,51.666666666666686,46.10666666666668,0.0,50.71035654695176,0.0,0.0,0.0,35.56410014674073,50.77336787394027,50.80487353743453,50.71035654695176,12.43753247303448,20.20431602214355,0.0,8.19444701847009,-1.8351908410348063,2.8,9.236100170605994,-160.9203391636575,-1371.240542151185,432.6180818024694,-545.2307590968535,-0.0,-0.0,453.5240506025497,0.0,2.0,0.024038409881437014,0.0,0,0.6025375316480582,131.99922844444444,-69.21363066935372,0.24449310424889648,10.198779366687235,0.003516543193274651,19.737515514083764,1.2206051611623752,0.19948934865542184,-1402.4400200289763,31.199477877791388,0.08632554288704605,521.464310025434,-88.84622822296454
2025-01-01 00:04:00,0.3970483515831811,0.24497899779570861,0.003240956553886125,0.006617472526386351,0.0040829832965951435,5.401594256476875e-05,0.008276029241778577,0.0,0.37877232234140246,0.0,0.010000000000000002,0.003240956553886125,0.0,0.0,0.0,0.24206233112904194,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.002864089912280702,0.0,On,0.0054119393294978745,0,On,0.010514243155848623,0,On,0.28593178683206705,0.21444884012405022,On,0.045508304346831153,0,On,0.003240956553886125,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,7452.505284444444,Off,0.0,21.611111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,906.1758755555555,Off,0.0,0.0,35.693161079555175,51.666666666666686,46.10666666666668,0.0,50.705084678107234,0.0,0.0,0.0,35.693161079555175,50.768376750437184,50.80002278660216,50.705084678107234,12.43753247303448,20.088389291251712,-0.02272181985943078,8.162859093248244,-1.7559346740644224,2.8,9.236100170605994,-154.3924907225205,-1362.4526912358738,422.63599069867837,-539.6167742195184,-0.0,-0.0,453.5240506025497,0.0,2.0,0.023950426761425968,0.0,0,0.6003321806194493,131.99922844444444,-68.29976710555181,0.24626590734401038,10.146994301409222,0.0035167267112386777,20.048284451647287,1.2210875713490053,0.19943461924195258,-1393.845336936369,31.392645700495308,0.08614956304247426,511.5030400075328,-88.86704930885439
2025-01-01 00:05:00,0.3970483515831811,0.24497899779570861,0.003240956553886125,0.006617472526386351,0.0040829832965951435,5.401594256476875e-05,0.008276029241778577,0.0,0.37877232234140246,0.0,0.010000000000000002,0.003240956553886125,0.0,0.0,0.0,0.24206233112904194,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.002864089912280702,0.0,On,0.0054119393294978745,0,On,0.010514243155848623,0,On,0.28593178683206705,0.21444884012405022,On,0.045508304346831153,0,On,0.003240956553886125,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,7452.505284444444,Off,0.0,21.611111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,906.1758755555555,Off,0.0,0.0,35.81830354410286,51.666666666666686,46.10666666666668,0.0,50.699793689463434,0.0,0.0,0.0,35.81830354410286,50.76336751431344,50.79515442673844,50.699793689463434,12.43753247303448,19.975812324606082,-0.13529878650506078,8.133369974425998,-1.67964476046583,2.8,9.236100170605994,-146.7217746389286,-1354.0941184560563,413.22928615810514,-534.1873111777863,-0.0,-0.0,453.5240506025497,0.0,2.0,0.023864845649733426,0.0,0,0.5981870374070132,131.99922844444444,-66.05851406369197,0.24800187979844546,10.097496311947264,0.003516913045066119,20.350073908693897,1.2215564012568196,0.1993835126732688,-1385.8256856615444,31.731567205488187,0.08597982922741457,501.9469337112916,-88.7176475531864
2025-01-01 00:06:00,0.3970483515831811,0.24497899779570861,0.003240956553886125,0.006617472526386351,0.0040829832965951435,5.401594256476875e-05,0.008276029241778577,0.0,0.37877232234140246,0.0,0.010000000000000002,0.003240956553886125,0.0,0.0,0.0,0.24206233112904194,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.002864089912280702,0.0,On,0.0054119393294978745,0,On,0.010514243155848623,0,On,0.28593178683206705,0.21444884012405022,On,0.045508304346831153,0,On,0.003240956553886125,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,7452.505284444444,Off,0.0,21.611111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,906.1758755555555,Off,0.0,0.0,35.939634218294074,51.666666666666686,46.10666666666668,0.0,50.69448416365354,0.0,0.0,0.0,35.939634218294074,50.75834071549322,50.790268991413065,50.69448416365354,12.43753247303448,19.866493983844283,-0.24461712726686002,8.105843506790444,-1.605976004084803,2.8,9.236100170605994,-138.8845684520486,-1346.4551477481834,404.3221779100767,-528.9360818275641,-0.0,-0.0,453.5240506025497,0.0,2.0,0.02378160874894189,0.0,0,0.5961006532829245,131.99922844444444,-63.47253722703428,0.24970133600712777,10.048979369132343,0.0035171021112102054,20.64310166171978,1.2220119993039913,0.19933579568341864,-1378.343245980333,31.888098232149268,0.0858156084902088,492.7493564548103,-88.42717854473361
2025-01-01 00:07:00,0.7678879349165144,0.24497899779570861,0.32110345655388617,0.012798132248608573,0.0040829832965951435,0.0053517242758981025,0.008276029241778577,0.0,0.37877232234140246,0.3708395833333333,0.010000000000000002,0.003240956553886125,0.31786250000000005,0.0,0.0,0.24206233112904194,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.002864089912280702,0.0,On,0.0054119393294978745,0,On,0.010514243155848623,0,On,0.28593178683206705,0.21444884012405022,On,0.045508304346831153,0,On,0.003240956553886125,On,0,0,Off,On,6559.411774072562,20.611111111111143,0.8,1263.9330937052157,9.315631605555556,0.3708395833333333,1,7452.505284444444,7452.505284444444,Off,0.0,21.611111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,906.1758755555555,Off,0.0,0.0,36.05730372014075,51.666666666666686,46.10666666666668,0.0,50.689156667447726,0.0,0.0,0.0,36.05730372014075,50.753296888929384,50.78536699967021,50.689156667447726,12.43753247303448,19.760305349364184,-0.3508057617469582,8.080124121093489,-1.5346331486531417,2.8,9.236100170605994,6428.128338099345,-75.25181772708947,395.8490536934297,-523.8551121046684,-0.0,-0.0,453.5240506025497,0.0,2.0,0.023700628752563978,0.0,0,0.5940708398563678,131.99922844444444,-60.95237447109924,0.2513652382607316,10.001389995438064,0.003517293828279298,20.92769423801081,1.2224548735728824,0.1992912009361972,-1371.3550428440392,32.17013141173416,0.08565627250837873,483.87052868789385,-88.02147499446413
2025-01-01 00:08:00,0.7678879349165144,0.24497899779570861,0.32110345655388617,0.012798132248608573,0.0040829832965951435,0.0053517242758981025,0.008276029241778577,0.0,0.37877232234140246,0.3708395833333333,0.010000000000000002,0.003240956553886125,0.31786250000000005,0.0,0.0,0.24206233112904194,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.002864089912280702,0.0,On,0.0054119393294978745,0,On,0.010514243155848623,0,On,0.28593178683206705,0.21444884012405022,On,0.045508304346831153,0,On,0.003240956553886125,On,0,0,Off,On,6559.411774072562,20.611111111111143,0.8,1263.9330937052157,9.315631605555556,0.3708395833333333,1,7452.505284444444,7452.505284444444,Off,0.0,21.611111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,906.1758755555555,Off,0.0,0.0,35.80093857397785,51.666666666666686,46.10666666666668,0.0,50.68381174522244,0.0,0.0,0.0,35.80093857397785,50.74823654843678,50.78044895004395,50.68381174522244,12.43753247303448,19.975581342154385,-0.13552976895675783,8.178013728455225,-1.4653641246961393,2.8,9.236100170605994,6411.371451368394,-102.73842139098292,387.753758892107,-534.1761937707836,-0.0,-0.0,453.5240506025497,0.0,2.0,0.02386466991403988,0.0,0,0.5981826324837453,131.99922844444444,-67.3881795359342,0.24804575379931562,10.097687503430254,0.0035174881180095223,20.307094015499654,1.2215569407197877,0.19946087812055294,-1397.9681762268258,31.296661130627164,0.085501284079631,475.2765653432222,-87.52280645111519
2025-01-01 00:09:00,0.7678879349165144,0.24497899779570861,0.32110345655388617,0.012798132248608573,0.0040829832965951435,0.0053517242758981025,0.008276029241778577,0.0,0.37877232234140246,0.3708395833333333,0.010000000000000002,0.003240956553886125,0.31786250000000005,0.0,0.0,0.24206233112904194,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.002864089912280702,0.0,On,0.0054119393294978745,0,On,0.010514243155848623,0,On,0.28593178683206705,0.21444884012405022,On,0.045508304346831153,0,On,0.003240956553886125,On,0,0,Off,On,6559.411774072562,20.611111111111143,0.8,1263.9330937052157,9.315631605555556,0.3708395833333333,1,7452.505284444444,7452.505284444444,Off,0.0,21.611111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,906.1758755555555,Off,0.0,0.0,35.55310243396921,51.666666666666686,46.10666666666668,0.0,50.67850499054233,0.0,0.0,0.0,35.55310243396921,50.743212186644634,50.77556578469579,50.67850499054233,12.43753247303448,20.183562734197412,0.0,8.269175576460235,-1.3979541268074684,2.8,9.236100170605994,6395.737151247937,-128.279218370207,379.9883553831177,-544.2240291112483,-0.0,-0.0,453.5240506025497,0.0,2.0,0.024022669817988975,0.0,0,0.6021429972747472,131.99922844444444,-72.97464431592695,0.24488561464898803,10.190475734878621,0.003517676784757604,19.70904046663365,1.22069068524976,0.19961876402855938,-1422.790248276477,30.577936201054364,0.08535018497830568,466.93863255121,-86.95027716809227
