Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,7.765181116724697,5.016440320086813,0.0,0.12941968527874495,0.08360733866811355,0.0,0.054291529797385565,0.0,0.6602212936606733,7.000668293266638,0.05,0.0,0.0,0.4798719898642678,4.521984996889212,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.10949265885008036,0.08211949413756024,On,0.0,0,Off,0.010236348684210526,0.0,On,0.04405518111317504,0,On,0.020391973841649345,0,On,0.5303366609689436,0.39775249572670757,On,0,0,Off,HP On,3507.9756042537283,18.33333333333337,1.6751332933980867,7751.711687895668,6.308412043266638,0.69225625,1,10567.431042149396,10567.431042149396,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,13911.792573333334,Off,0.0,0.0,38.40859789810655,51.666666666666686,46.10666666666668,0.0,51.14066961921322,0.0,0.0,0.0,38.40859789810655,50.618141995482766,51.14066961921322,50.35687818361754,12.43753247303448,17.62924343360482,-0.20408989972855096,7.270158573472016,2.8,9.236100170605994,3082.825723390485,1027.4931326022588,-1129.1116138459888,-0.0,-0.0,809.3884856346774,0.0,2.0,0.058425202734378276,0.0,0,0.12523198721540163,131.99922844444444,-105.42675265193108,0.20332873775422936,7.821437973443205,0.002493126348726282,88.03451680683948,1.2285860155738144,1.157014707191978,-6740.303633633399,16.085078339989717
2025-01-01 00:01:00,7.7657676410762,5.016819177391102,0.0,0.12942946068460334,0.08361365295651836,0.0,0.054291529797385565,0.0,0.6602212936606733,7.0012548176181415,0.05,0.0,0.0,0.4798719898642678,4.5223638541935,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.10949265885008036,0.08211949413756024,On,0.0,0,Off,0.010236348684210526,0.0,On,0.04405518111317504,0,On,0.020391973841649345,0,On,0.5303366609689436,0.39775249572670757,On,0,0,Off,HP On,3507.903217141974,18.33333333333337,1.6749407350679961,7751.551731247293,6.308998567618142,0.69225625,1,10567.198698389266,10567.198698389266,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,13911.792573333334,Off,0.0,0.0,38.40031746062985,51.666666666666686,46.10666666666668,0.0,51.1379470627912,0.0,0.0,0.0,38.40031746062985,50.61569184778659,51.1379470627912,50.3545642402843,12.43753247303448,17.63389867987028,-0.19943465346308997,7.327628636358829,2.8,9.236100170605994,3078.8484439139265,933.7696285520433,-1129.6688107150665,-0.0,-0.0,809.3884856346774,0.0,2.0,0.05843569022236331,0.0,0,0.12525446670883592,131.99922844444444,-108.77444814765903,0.20386846577669565,7.845997572800144,0.0024931958904407486,88.01701000682378,1.2321550964278185,1.1576014113663966,-6830.421391989854,12.639289294604005
2025-01-01 00:02:00,7.766338322760611,5.017187801343388,0.0,0.12943897204601018,0.08361979668905646,0.0,0.054291529797385565,0.0,0.6602212936606733,7.001825499302552,0.05,0.0,0.0,0.4798719898642678,4.5227324781457865,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.10949265885008036,0.08211949413756024,On,0.0,0,Off,0.010236348684210526,0.0,On,0.04405518111317504,0,On,0.020391973841649345,0,On,0.5303366609689436,0.39775249572670757,On,0,0,Off,HP On,3507.832790078252,18.33333333333337,1.6747534147502163,7751.396105794158,6.309569249302552,0.69225625,1,10566.972645872409,10566.972645872409,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,13911.792573333334,Off,0.0,0.0,38.392184694271144,51.666666666666686,46.10666666666668,0.0,51.13522511451555,0.0,0.0,0.0,38.392184694271144,50.61324222831317,51.13522511451555,50.35225078521198,12.43753247303448,17.638427540379524,-0.1949057929538469,7.382228957857964,2.8,9.236100170605994,3074.9633658376597,845.2969358932905,-1130.2109857019454,-0.0,-0.0,809.3884856346774,0.0,2.0,0.058445892125862965,0.0,0,0.1252763340638274,131.99922844444444,-112.04692417332447,0.20381586825209944,7.848686141536539,0.002493265216930324,87.99966362429264,1.2321358547422647,1.1581585434120356,-6916.118927685091,10.019757784223222
2025-01-01 00:03:00,7.766893862313673,5.0175466444450585,0.0,0.12944823103856123,0.08362577740741764,0.0,0.054291529797385565,0.0,0.6602212936606733,7.0023810388556145,0.05,0.0,0.0,0.4798719898642678,4.523091321247457,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.10949265885008036,0.08211949413756024,On,0.0,0,Off,0.010236348684210526,0.0,On,0.04405518111317504,0,On,0.020391973841649345,0,On,0.5303366609689436,0.39775249572670757,On,0,0,Off,HP On,3507.7642362220436,18.33333333333337,1.6745710995328429,7751.244619641353,6.310124788855615,0.69225625,1,10566.752605863396,10566.752605863396,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,13911.792573333334,Off,0.0,0.0,38.384193059547606,51.666666666666686,46.10666666666668,0.0,51.13250376417467,0.0,0.0,0.0,38.384193059547606,50.61079312764229,51.13250376417467,50.34993780937611,12.43753247303448,17.642835626464443,-0.19049770686892842,7.434161795230095,2.8,9.236100170605994,3071.104081193731,761.2883798756766,-1130.7388020382964,-0.0,-0.0,809.3884856346774,0.0,2.0,0.05845582115478406,0.0,0,0.12529761652353166,131.99922844444444,-115.30983862469355,0.20376483769709589,7.850624127174387,0.0024933345308394686,87.98243464224143,1.2321171253980345,1.1586882083461238,-6997.701803068998,7.7455633033214575
2025-01-01 00:04:00,7.767434830823687,5.017896075582715,0.0,0.12945724718039478,0.0836316012597119,0.0,0.054291529797385565,0.0,0.6602212936606733,7.002922007365628,0.05,0.0,0.0,0.4798719898642678,4.523440752385113,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.10949265885008036,0.08211949413756024,On,0.0,0,Off,0.010236348684210526,0.0,On,0.04405518111317504,0,On,0.020391973841649345,0,On,0.5303366609689436,0.39775249572670757,On,0,0,Off,HP On,3507.697484738563,18.33333333333337,1.6743935992281114,7751.097116262466,6.310665757365628,0.69225625,1,10566.538351001029,10566.538351001029,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,13911.792573333334,Off,0.0,0.0,38.37633721688898,51.666666666666686,46.10666666666668,0.0,51.12978300200883,0.0,0.0,0.0,38.37633721688898,50.60834453677096,51.12978300200883,50.347625304152025,12.43753247303448,17.647127518063574,-0.18620581526979763,7.483595046964348,2.8,9.236100170605994,3068.1900187418696,681.4381832238469,-1131.252800157171,-0.0,-0.0,809.3884856346774,0.0,2.0,0.0584654876901545,0.0,0,0.1253183363392494,131.99922844444444,-117.64315147420012,0.20371531392869685,7.852496508582954,0.002493403832231445,87.96531867977482,1.2320988889433784,1.1591921550885322,-7075.423233212827,5.7643001742076265
2025-01-01 00:05:00,7.767962214164083,5.018236731567684,0.0,0.1294660369027347,0.0836372788594614,0.0,0.054291529797385565,0.0,0.6602212936606733,7.003449390706024,0.05,0.0,0.0,0.4798719898642678,4.523781408370082,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.10949265885008036,0.08211949413756024,On,0.0,0,Off,0.010236348684210526,0.0,On,0.04405518111317504,0,On,0.020391973841649345,0,On,0.5303366609689436,0.39775249572670757,On,0,0,Off,HP On,3507.6324136442813,18.33333333333337,1.6742205877996525,7750.953326105694,6.311193140706024,0.69225625,1,10566.329489749975,10566.329489749975,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,13911.792573333334,Off,0.0,0.0,38.368608003511945,51.666666666666686,46.10666666666668,0.0,51.12706281862722,0.0,0.0,0.0,38.368608003511945,50.605896447036756,51.12706281862722,50.34531326124153,12.43753247303448,17.651311081538434,-0.1820222517949368,7.530676817897211,2.8,9.236100170605994,3066.6259003220835,605.4620077564514,-1131.753914791274,-0.0,-0.0,809.3884856346774,0.0,2.0,0.05847490950908934,0.0,0,0.1253385316154859,131.99922844444444,-118.64108416560128,0.20366719464403266,7.854990603390313,0.002493473121167179,87.9483081033738,1.232081112005985,1.1596719260689834,-7149.506663682727,4.015345333485371
2025-01-01 00:06:00,7.768477149652775,5.018569347034763,0.0,0.1294746191608796,0.08364282245057938,0.0,0.054291529797385565,0.0,0.6602212936606733,7.003964326194716,0.05,0.0,0.0,0.4798719898642678,4.5241140238371615,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.10949265885008036,0.08211949413756024,On,0.0,0,Off,0.010236348684210526,0.0,On,0.04405518111317504,0,On,0.020391973841649345,0,On,0.5303366609689436,0.39775249572670757,On,0,0,Off,HP On,3507.568882310398,18.33333333333337,1.6740516898396676,7750.812938418045,6.311708076194717,0.69225625,1,10566.125570728442,10566.125570728442,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,13911.792573333334,Off,0.0,0.0,38.36099486588111,51.666666666666686,46.10666666666668,0.0,51.12434320527212,0.0,0.0,0.0,38.36099486588111,50.60344885036181,51.12434320527212,50.34300167290665,12.43753247303448,17.655395379168677,-0.17793795416469393,7.575539791802753,2.8,9.236100170605994,3065.0176200805213,533.1182525855465,-1132.2432248164416,-0.0,-0.0,809.3884856346774,0.0,2.0,0.05848410707474476,0.0,0,0.1253582462141636,131.99922844444444,-119.6965230481124,0.20362036232196543,7.856745861598104,0.002493542397703476,87.93139408589691,1.2320637561516858,1.1601289025392376,-7220.152434659132,2.4577488266338854
2025-01-01 00:07:00,7.768979990098142,5.018894149875653,0.0,0.12948299983496903,0.08364823583126088,0.0,0.054291529797385565,0.0,0.6602212936606733,7.004467166640083,0.05,0.0,0.0,0.4798719898642678,4.524438826678051,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.10949265885008036,0.08211949413756024,On,0.0,0,Off,0.010236348684210526,0.0,On,0.04405518111317504,0,On,0.020391973841649345,0,On,0.5303366609689436,0.39775249572670757,On,0,0,Off,HP On,3507.5068469315524,18.33333333333337,1.673886787508799,7750.675856401089,6.312210916640083,0.69225625,1,10565.92645333264,10565.92645333264,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,13911.792573333334,Off,0.0,0.0,38.35349449604998,51.666666666666686,46.10666666666668,0.0,51.1216241539149,0.0,0.0,0.0,38.35349449604998,50.60100173934144,51.1216241539149,50.34069053205471,12.43753247303448,17.65938324637554,-0.17395008695783076,7.618304676244941,2.8,9.236100170605994,3063.5900226333733,464.1944761193445,-1132.7210638347915,-0.0,-0.0,809.3884856346774,0.0,2.0,0.05849308682192714,0.0,0,0.12537749392802186,131.99922844444444,-120.58424609806511,0.2035747795523671,7.8591297642240825,0.002493611661892366,87.91457394185393,1.2320468093323456,1.1605643402560737,-7287.543035558614,1.0616552768696899
2025-01-01 00:08:00,7.76947118309477,5.0192114292078935,0.0,0.12949118638491283,0.08365352382013155,0.0,0.054291529797385565,0.0,0.6602212936606733,7.004958359636711,0.05,0.0,0.0,0.4798719898642678,4.524756106010292,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.10949265885008036,0.08211949413756024,On,0.0,0,Off,0.010236348684210526,0.0,On,0.04405518111317504,0,On,0.020391973841649345,0,On,0.5303366609689436,0.39775249572670757,On,0,0,Off,HP On,3507.446252026716,18.33333333333337,1.6737257320211139,7750.541957456218,6.312702109636712,0.69225625,1,10565.731959482933,10565.731959482933,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,13911.792573333334,Off,0.0,0.0,38.34610271496783,51.666666666666686,46.10666666666668,0.0,51.11890565675553,0.0,0.0,0.0,38.34610271496783,50.598555106782,51.11890565675553,50.33837983179525,12.43753247303448,17.663278267881715,-0.17005506545165616,7.659082539518553,2.8,9.236100170605994,3062.2888710988213,398.500168958416,-1133.1878556291992,-0.0,-0.0,809.3884856346774,0.0,2.0,0.058501856869450516,0.0,0,0.12539629215940018,131.99922844444444,-121.3580109333733,0.20353039936900413,7.860778221993966,0.002493680913784456,87.89784424059516,1.2320302563275658,1.1609793937507857,-7351.846651799247,-0.19513669855465565
2025-01-01 00:09:00,7.769951129912493,5.019521444226193,0.0,0.12949918549854156,0.08365869073710322,0.0,0.054291529797385565,0.0,0.6602212936606733,7.005438306454434,0.05,0.0,0.0,0.4798719898642678,4.525066121028591,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.10949265885008036,0.08211949413756024,On,0.0,0,Off,0.010236348684210526,0.0,On,0.04405518111317504,0,On,0.020391973841649345,0,On,0.5303366609689436,0.39775249572670757,On,0,0,Off,HP On,3507.3870478481836,18.33333333333337,1.673568389921563,7750.411131653967,6.313182056454434,0.69225625,1,10565.54192950215,10565.54192950215,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,13911.792573333334,Off,0.0,0.0,38.33881577378955,51.666666666666686,46.10666666666668,0.0,51.11618770628275,0.0,0.0,0.0,38.33881577378955,50.59610894575646,51.11618770628275,50.336069565493325,12.43753247303448,17.667083658584378,-0.16624967474899321,7.697976449381987,2.8,9.236100170605994,3061.032900104681,335.8618892363911,-1133.6439800694166,-0.0,-0.0,809.3884856346774,0.0,2.0,0.05851042450009721,0.0,0,0.12541465651863898,131.99922844444444,-122.09865330876332,0.20348717962250243,7.863059376275146,0.002493750153428519,87.881201912017,1.232014083486079,1.1613751333988478,-7413.219637248212,-1.3296051693630133
