Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-11 12:00:00,0.592430985033223,0.2627060528880609,0.1581625,0.3428602385005806,0.1845229166666667,0.015047829865975698,0.05,0.1581625,0.0,0.0,51.709722526653536,19.153814956880662,-0.06922039613697724
2025-01-11 13:00:00,0.6296355149126089,0.2627060528880609,0.18979500000000002,0.3428602385005806,0.2214275,0.015347776412028329,0.05,0.18979500000000002,0.0,0.0,50.900539248207245,19.19971900940791,-0.05167226624033662
2025-01-11 14:00:00,0.574478604276644,0.2627060528880609,0.14234625,0.3428602385005806,0.16607062500000003,0.015547740776063416,0.05,0.14234625,0.0,0.0,50.12719027924806,19.241175342834563,-0.04650715490464699
2025-01-11 15:00:00,0.7615740745355191,0.31097178027516564,0.18089541011809251,0.48887063578715134,0.1568444791666667,0.06585895958170106,0.05,0.134438125,0.04645728511809253,0.0,50.04100087874929,19.193431021311955,-0.05277904772987494
2025-01-11 16:00:00,0.8651079924996876,0.33285499932111146,0.14234625,0.5573347349953938,0.16607062500000003,0.09170263250429375,0.05,0.14234625,0.0,0.0,51.87687030129265,19.120666395376684,-0.07205033143428796
2025-01-11 17:00:00,1.0043717533262402,0.34632251793525154,0.197703125,0.605744591064435,0.23065364583333334,0.11797351642847191,0.05,0.197703125,0.0,0.0,50.80544225585459,19.226115824909055,-0.04783580832571091
2025-01-11 18:00:00,1.2862442072908216,0.40018659758368474,0.18106065426507711,0.8606606516113011,0.16607062500000003,0.2095129306795205,0.05,0.14234625,0.03871440426507711,0.0,50.804872957689035,19.20667587602932,-0.04661390680969433
2025-01-11 19:00:00,1.6005251844798727,0.416251651775079,0.2672238085301542,1.0876868723279065,0.2214275,0.24141081215196625,0.05,0.18979500000000002,0.07742880853015421,0.0,51.768750477748384,19.153194462906885,-0.06683239349821424
2025-01-11 20:00:00,1.1711318789110372,0.33634589823384237,0.18979500000000002,0.7872670247608589,0.2214275,0.11243735415017825,0.05,0.18979500000000002,0.0,0.0,51.4855908672188,19.264445276069075,-0.04089558999003273
2025-01-11 21:00:00,1.1328266184714837,0.32062167849080353,0.2214275,0.736037383943867,0.25833208333333335,0.0884571511942833,0.05,0.2214275,0.0,0.0,50.54168322105762,19.139611785139397,-0.06749785172052054
2025-01-11 22:00:00,0.8466953462430499,0.2911848990192965,0.197703125,0.5087542396020749,0.23065364583333334,0.05728746080764162,0.05,0.197703125,0.0,0.0,49.70743536726562,19.240989145606626,-0.045912596621034814
2025-01-11 23:00:00,0.7135298760245401,0.26192559325325926,0.260968125,0.34181962565417845,0.3044628125,0.017247437870361662,0.05,0.260968125,0.0,0.0,48.8954433148139,19.164909750935976,-0.06726062944733448
2025-01-12 00:00:00,0.6472063670706818,0.26114513361845765,0.2443256542650771,0.3407790128077762,0.23987979166666668,0.016547562596238855,0.05,0.20561125,0.03871440426507711,0.0,49.45593464676802,19.194804737331918,-0.058174700465056794
2025-01-12 01:00:00,0.5720566410115603,0.260364673983656,0.14234625,0.339738399961374,0.16607062500000003,0.016247616050186223,0.05,0.14234625,0.0,0.0,51.22982250052713,17.9286871173239,-0.04442105056785959
2025-01-12 02:00:00,0.5894683198318247,0.2595842143488543,0.1581625,0.3386977871149718,0.1845229166666667,0.016247616050186223,0.05,0.1581625,0.0,0.0,50.40462797976982,17.782400459345045,-0.057966487893511304
2025-01-12 03:00:00,0.6804892009547208,0.25880375471405265,0.23724375,0.33765717426856956,0.276784375,0.016047651686151135,0.05,0.23724375,0.0,0.0,49.601886277607335,17.832880949114575,-0.05200774271070489
2025-01-12 04:00:00,0.6425440047749852,0.258023295079251,0.20561125,0.33661656142216734,0.23987979166666668,0.016047651686151135,0.05,0.20561125,0.0,0.0,48.81067165438073,17.768130333133914,-0.055600916020252335
2025-01-12 05:00:00,1.0578727005794006,0.2648246217951794,0.25981141597110796,0.7438012863793397,0.23987979166666668,0.02419162253339406,0.05,0.20561125,0.05420016597110795,0.0,48.33779529051024,17.881529827420668,-0.04215612567879514
2025-01-12 06:00:00,1.9514506490671086,0.3083430213686792,0.2825443260892005,1.616954491864905,0.2122013541666667,0.07229480303553708,0.05,0.181886875,0.10065745108920048,0.0,51.4035500893943,17.75291561920114,-0.06807967531694725
2025-01-12 07:00:00,0.7233428237285242,0.27925007374959104,0.2523990234120617,0.3781026942961079,0.25833208333333335,0.03690804609908303,0.05,0.2214275,0.030971523412061684,0.0,51.86217399447472,17.84756584667907,-0.037254177735131754
2025-01-12 08:00:00,0.7396085986122594,0.26192559325325926,0.2846925,0.34181962565417845,0.33214125000000005,0.01564772295808096,0.05,0.2846925,0.0,0.0,51.018626207488374,17.802992162405896,-0.060339299541256074
2025-01-12 09:00:00,0.6375211013534875,0.26192559325325926,0.197703125,0.34181962565417845,0.23065364583333334,0.015047829865975698,0.05,0.197703125,0.0,0.0,50.13719953893483,17.806107331018676,-0.060609560352554756
2025-01-12 10:00:00,0.8209034229917346,0.26114513361845765,0.355865625,0.3407790128077762,0.41517656250000007,0.014947847683958154,0.05,0.355865625,0.0,0.0,49.29000154764091,18.943656449498977,-0.24748944674732976
2025-01-12 11:00:00,0.7469731709583766,0.26603059365384285,0.3232416601180926,0.3541023627825347,0.3229151041666667,0.019955704009175044,0.05,0.276784375,0.04645728511809253,0.0,48.804924344895376,19.16026450967342,-0.060961816057288884
2025-01-12 12:00:00,0.6842651962455091,0.2822478930296018,0.17397875,0.39617255340867275,0.20297520833333335,0.035117434503503096,0.05,0.17397875,0.0,0.0,51.70618630182941,19.197885620120783,-0.05358067612791011
2025-01-12 13:00:00,0.657313952412609,0.2627060528880609,0.213519375,0.3428602385005806,0.2491059375,0.015347776412028329,0.05,0.213519375,0.0,0.0,50.84531530323309,19.21833009143865,-0.05004735271518393
2025-01-12 14:00:00,0.5652524584433107,0.2627060528880609,0.134438125,0.3428602385005806,0.1568444791666667,0.015547740776063416,0.05,0.134438125,0.0,0.0,50.007786832953755,19.22829723070307,-0.0476571725602606
2025-01-12 15:00:00,0.6961171619587757,0.296890160173173,0.21944457023618505,0.4468107661673219,0.14761833333333335,0.05168806245812036,0.05,0.12653,0.09291457023618506,0.0,50.45774272934789,19.18474487407691,-0.05352152754847583
