Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.5914046923784401,0.15356776343324174,0.3567106306306306,0.5914046923784401,0.15356776343324174,0.3567106306306306,0.013459683839931852,0.0,0.2070541752051749,0.3608908333333333,0.010000000000000002,0.3567106306306306,0.0,0.0,0.15065109676657507,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.0035099780701754383,0.0,0.009949705769756413,0.0,0.006186046183074748,0.0,0.16580337853957097,0.1243525339046782,7459.392941978067,20.000000000000057,0.40083333333333343,2571.594121281191,10.454158086406405,0.3608908333333333,0.43333333333333335,9670.096229925926,22315.60668444444,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1690.1410977777778,0.0,0.0,34.27239217373197,51.66666666666668,46.10666666666668,0.0,51.23399801188093,0.0,0.0,0.0,34.27239217373197,49.106044119588645,51.23399801188093,48.04206717344251,12.43753247303448,19.728476349872913,-0.06915520787839699,11.887825137553953,2.8,9.236100170605994,3463.656339738503,1176.38771557708,-4222.708906152966,0.0,0.0,340.90685099178125,0.0,2.0,0.19135778644393217,0.0,0.0,2.476369221313652,131.99922844444444,-113.93454707838025,0.19078449361696853,9.024603164258746,0.0026600083071723056,-79.30248679498332,1.2231625804348172,0.09835627263442809,-1166.8847270480467,-228.32167865606465
2025-01-01 01:00:00,0.3126564919277804,0.15291029936169434,0.08231783783783782,0.31265649192778033,0.15291029936169434,0.08231783783783782,0.013196435484668693,0.0,0.20617755644311167,0.0832825,0.010000000000000002,0.08231783783783782,0.0,0.0,0.14999363269502766,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.034188131720465954,0.025641098790349457,0.0,0.0,0.0032467297149122803,0.0,0.009949705769756413,0.0,0.006186046183074748,0.0,0.16580337853957097,0.1243525339046782,1721.398371225708,16.666666666666686,0.09250000000000001,593.4447972187364,2.4124980199399393,0.0832825,0.1,2231.560668444444,22315.60668444444,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1690.1410977777778,0.0,0.0,37.09357542591772,51.66666666666668,46.10666666666668,0.0,51.02230121208293,0.0,0.0,0.0,37.09357542591772,48.927403887460144,51.02230121208293,47.87995522514875,12.43753247303448,17.123901908959848,-0.02936094655220819,7.8971233178421,2.5,9.236100170605994,-1193.42474627346,-92.81065718880369,-3212.9671047846955,0.0,0.0,339.76698387445487,0.0,2.0,0.16770281128649003,0.0,0.0,2.1702491856495043,131.99922844444444,-41.62299658892676,0.22365714074610105,7.7729280209344855,0.002641630879149287,-39.04271260946451,1.234228611171388,0.07508128087404067,-546.8814803796985,-139.3739740278416
2025-01-01 02:00:00,0.4505840398323839,0.1522528352901469,0.2195142342342342,0.4505840398323839,0.1522528352901469,0.2195142342342342,0.013196435484668693,0.0,0.20530093768104846,0.22208666666666668,0.010000000000000002,0.2195142342342342,0.0,0.0,0.14933616862348023,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.0032467297149122803,0.0,0.009949705769756413,0.0,0.006186046183074748,0.0,0.16580337853957097,0.1243525339046782,4590.395656601888,16.666666666666686,0.2466666666666667,1582.5194592499638,6.433328053173172,0.22208666666666668,0.26666666666666666,5950.828449185185,22315.60668444444,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1690.1410977777778,0.0,0.0,37.67498390219264,51.66666666666668,46.10666666666668,0.0,50.79817372059944,0.0,0.0,0.0,37.67498390219264,48.73689341434361,50.79817372059944,47.70625326121569,12.43753247303448,16.432450447500113,-0.06183741178815903,8.689251168023283,1.6500000000000001,9.236100170605994,1801.869496595724,847.7494560739211,-3060.082384347869,0.0,0.0,338.89036511239163,0.0,2.0,0.15802723580226546,0.0,0.0,2.0450371533988543,131.99922844444444,-67.33414077068653,0.232703502479188,7.437603999268806,0.002636821915161266,5.841259501253946,1.2371621897358223,0.06176553466966915,-572.5936872884225,-162.1763158876202
2025-01-01 03:00:00,0.44953192216681187,0.15159537121859948,0.2195142342342342,0.44953192216681187,0.15159537121859948,0.2195142342342342,0.01302093658115992,0.0,0.20442431891898522,0.22208666666666668,0.010000000000000002,0.2195142342342342,0.0,0.0,0.1486787045519328,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03243489419633949,0.024326170647254612,0.0,0.0,0.003071230811403509,0.0,0.009949705769756413,0.0,0.006186046183074748,0.0,0.16580337853957097,0.1243525339046782,4590.395656601888,16.666666666666686,0.2466666666666667,1582.5194592499638,6.433328053173172,0.22208666666666668,0.26666666666666666,5950.828449185185,22315.60668444444,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1690.1410977777778,0.0,0.0,37.47870602649691,51.66666666666668,46.10666666666668,0.0,50.57504520391813,0.0,0.0,0.0,37.47870602649691,48.54701992127216,50.57504520391813,47.53300727994917,12.43753247303448,16.410045543043072,-0.057264387819477194,9.139543948582595,1.6500000000000001,9.236100170605994,1699.2747526456292,713.4515856913949,-3140.9890482867354,0.0,0.0,337.83824744681965,0.0,2.0,0.1626080313785373,0.0,0.0,2.104317423018471,131.99922844444444,-87.97010311634264,0.23307714134507398,7.427469586811389,0.0026373971399345306,-55.178764905118534,1.2372571992603407,0.07140673834519434,-695.5484466135548,-173.51942694501398
2025-01-01 04:00:00,0.5041769700714153,0.15093790714705205,0.2743927927927928,0.5041769700714153,0.15093790714705205,0.2743927927927927,0.01302093658115992,0.0,0.20354770015692197,0.27760833333333335,0.010000000000000002,0.2743927927927928,0.0,0.0,0.14802124048038537,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.003071230811403509,0.0,0.009949705769756413,0.0,0.006186046183074748,0.0,0.16580337853957097,0.1243525339046782,5737.994570752359,16.666666666666686,0.3083333333333334,1978.1493240624548,8.041660066466466,0.27760833333333335,0.3333333333333333,7438.535561481481,22315.60668444444,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1690.1410977777778,0.0,0.0,37.262274346383556,51.66666666666668,46.10666666666668,0.0,50.3534390156348,0.0,0.0,0.0,37.262274346383556,48.35827426823933,50.3534390156348,47.36069189454158,12.43753247303448,16.406104562916372,-0.056079356566413455,9.344971642882717,0.55,9.236100170605994,2461.405747955136,1007.3748747696176,-3521.8817016723096,0.0,0.0,336.96162868475636,0.0,2.0,0.16859816953418996,0.0,0.0,2.181836054665169,131.99922844444444,-91.6687498096698,0.2312192051344058,7.397382017647477,0.0026168724377125647,33.24504715371676,1.2367087091979343,0.07085068801479631,-798.0789602558983,-172.6954890369388
2025-01-01 05:00:00,1.7223742679746161,0.16189066591623635,0.2743927927927928,1.7223742679746161,0.16189066591623633,0.2743927927927927,0.020692940002739618,1.1916808674814816,0.22239212715706172,0.27760833333333335,0.010000000000000002,0.2743927927927928,0.0,0.0,0.15897399924956968,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.0034222286184210525,0.0,0.017270711384318564,0.0,0.01042679482430209,0.0,0.18040705689848338,0.13530529267386246,5737.994570752359,16.666666666666686,0.3083333333333334,1978.1493240624548,8.041660066466466,0.27760833333333335,0.3333333333333333,7438.535561481481,22315.60668444444,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1690.1410977777778,1191.6808674814815,0.21666666666666667,39.178104015618175,51.66666666666668,46.10666666666668,0.0,50.8997990712029,0.21870631774369004,578.011480892895,1191.6808674814815,39.178104015618175,49.96792511216115,50.90070861855088,49.50107858529229,12.43753247303448,16.35471586845005,-0.06866959918215383,9.466286790288319,-0.25000000000000006,9.236100170605994,2289.814840250192,924.1378445257088,-3718.8033165242364,0.0,0.0,362.45580162135195,0.0,2.0,0.1699720588858971,0.0,0.0,2.1996156149709374,131.99922844444444,-91.83221559928246,0.23468211320738525,7.4071897692414295,0.0026489363851150446,44.331410770995916,1.2362833709827292,0.06740545594224731,-856.602300048265,-197.40917948848093
2025-01-01 06:00:00,1.5465967135008918,0.17067338412922958,0.24695351351351347,1.5465967135008918,0.17067338412922956,0.24695351351351347,0.03866980960211666,1.0083453494074075,0.23973405449136762,0.2498475,0.010000000000000002,0.24695351351351347,0.0,0.0,0.1677567174625629,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.0038609758771929823,0.0,0.03480883372492368,0.0,0.016058431207950325,0.0,0.19036411032501455,0.14277308274376085,5164.195113677124,16.666666666666686,0.2775,1780.3343916562092,7.237494059819819,0.2498475,0.3,6694.682005333333,22315.60668444444,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1690.1410977777778,1008.3453494074075,0.18333333333333332,39.27834144470236,51.66666666666668,46.10666666666668,0.0,51.377250183552995,0.32080884877064453,868.587904711334,1008.3453494074075,39.27834144470236,50.08485783181189,51.377250183552995,49.438661655941345,12.43753247303448,16.37950235954116,-0.06262219219908263,9.206008818457084,0.3,9.236100170605994,1896.4704856233884,757.246946596797,-3562.2548137396525,0.0,0.0,397.07760481517766,0.0,2.0,0.16855349395705563,0.0,0.0,2.181257906128777,131.99922844444444,-102.54741912926055,0.23313471417503157,7.4031049055076386,0.0026355517208675387,-59.07833308618432,1.2361876152300146,0.07138990473358929,-837.2164515641385,-185.87099349527364
2025-01-01 07:00:00,0.6040376162594743,0.17287338368801608,0.301832072072072,0.6040376162594743,0.17287338368801608,0.301832072072072,0.043336004724060406,0.0,0.2453324448687472,0.3053691666666667,0.010000000000000002,0.301832072072072,0.0,0.0,0.1699567170213494,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.0035977275219298247,0.0,0.039738277202130586,0.0,0.018723488840281268,0.0,0.19154420554593674,0.14365815415945252,6311.7940278275955,16.666666666666686,0.3391666666666667,2175.9642564687,8.84582607311311,0.3053691666666667,0.36666666666666664,8182.389117629629,22315.60668444444,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1690.1410977777778,0.0,0.0,39.45224662650787,51.66666666666668,46.10666666666668,0.0,51.55955419790982,0.24927725183668856,678.5352167003549,0.0,39.45224662650787,50.25455170077036,51.55955419790982,49.60205045220063,12.43753247303448,16.36705680811482,-0.06468194392711052,9.331877418067803,-0.55,9.236100170605994,2678.3188079737247,1020.5750096735685,-3878.7177970030884,0.0,0.0,343.4709565032588,8.052579310465559,1.0334999999999999,0.17383505765375717,0.0,0.0,2.2496068456831724,68.21060129866666,-98.2283793540412,0.2322090786590574,7.3820173431685525,0.002623005020659222,-5.644261114951977,1.2362499741759596,0.07372750045154053,-963.6011254390563,-191.7881213560752
2025-01-01 08:00:00,1.4417796489396755,0.1550549819570001,0.28811243243243234,1.4417796489396753,0.1550549819570001,0.2881124324324324,0.014012039045316418,0.9166775903703706,0.20960126952398844,0.29148875,0.010000000000000002,0.28811243243243234,0.0,0.0,0.15213831529033342,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.002720233004385965,0.0,0.011291806040930451,0.0,0.006750182470210494,0.0,0.16690971780918554,0.1251822883568891,6024.894299289978,16.666666666666686,0.3237500000000001,2077.0567902655775,8.443743069789788,0.29148875,0.35,7810.462339555555,22315.60668444444,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1690.1410977777778,916.6775903703705,0.16666666666666666,40.42449849189106,51.66666666666668,46.10666666666668,0.0,51.62090447451036,0.05333000229808751,143.5604602000288,916.6775903703705,40.42449849189106,51.061564217795045,51.628360046550476,50.77443851739728,12.43753247303448,16.369953404580812,-0.06918131754564412,9.190014334892485,-1.4,9.236100170605994,2043.9403278358864,792.8015914127609,-4236.405372891604,0.0,0.0,214.130715456973,576.3840404210439,0.03335,0.18027120175502145,0.0,0.0,2.3328972591672357,2.201087134311111,41.32068598054004,0.2333887392729298,7.402071176003515,0.0026355896777420563,103.42786832578346,1.2368088773640011,0.0776913887271177,-1090.1195532032825,-194.13564564953398
2025-01-01 09:00:00,0.5076825693641875,0.15422522750478918,0.2743927927927928,0.5076825693641875,0.15422522750478918,0.2743927927927927,0.012143442063616061,0.0,0.20793079396723815,0.27760833333333335,0.010000000000000002,0.2743927927927928,0.0,0.0,0.1513085608381225,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.0021937362938596492,0.0,0.009949705769756413,0.0,0.006186046183074748,0.0,0.16580337853957097,0.1243525339046782,5737.994570752359,16.666666666666686,0.3083333333333334,1978.1493240624548,8.041660066466466,0.27760833333333335,0.3333333333333333,7438.535561481481,22315.60668444444,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1690.1410977777778,0.0,0.0,41.05535223840999,51.66666666666668,46.10666666666668,0.0,51.62628001284515,0.0,0.0,0.0,41.05535223840999,51.64496965048655,51.65431446930725,51.62628001284515,12.43753247303448,16.35853509721948,-0.06982708091630432,9.098988382066103,-0.85,9.236100170605994,2244.9538896545046,820.8541156967747,-4019.713364507906,0.0,0.0,208.46799953308425,1657.646862809522,0.0,0.1767621839056095,0.0,0.0,2.287486910517169,0.0,318.20468387696667,0.2382020656729318,7.4619001086178285,0.0026868725947554748,254.19279209893452,1.2374402552689514,0.07620395147989552,-1004.2036678167769,-153.0915405489031
