Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,1.4829155249343846,0.23113034450330155,0.0,1.4829155249343846,0.23113034450330155,0.0,0.01215814405742875,0.31629863303080197,1.144458747846154,0.010000000000000002,0.0,0.0,0.22821367783663488,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03681798800665564,0.027613491004991726,0.0,0.0,0.003412116228070175,0.0,0.008746027829358575,0.0,0.012013729248622046,0.0,0.2674669157755243,0.20060018683164316,0.0,0.0,1144.458747846154,22.000000000000032,0.45,0.0,1.096862594,0.04759615384615385,0.45,1096.862594,2437.4724311111113,0.0,23.000000000000032,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,606.6572,0.0,0.0,81.21296638652096,51.66666666666668,46.10666666666668,0.0,51.88593126501342,0.0,0.0,0.0,126.895259978939,51.92181974485897,51.93976398478175,51.88593126501342,12.43753247303448,21.654993545356287,-0.0636996118544646,2.8,1034.2242062106193,-616.9781482222359,0.0,0.0,507.73293565061067,0.0,3.0,0.025105945643421827,0.0,0.0,0.3505919564203539,197.99884266666666,-0.9893290639094616,0.2009275173872366,10.44783862425229,0.003157428417686861,95.29674230745808,1.2148041080321488
2025-01-01 01:00:00,1.4393518054857741,0.23044000722817676,0.0,1.439351805485774,0.23044000722817676,0.0,0.011902235340323487,0.31537818333063555,1.1020713868148149,0.010000000000000002,0.0,0.0,0.22752334056151008,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03589753830648924,0.026923153729866926,0.0,0.0,0.0031562075109649117,0.0,0.008746027829358575,0.0,0.012013729248622046,0.0,0.2674669157755243,0.20060018683164316,0.0,0.0,1102.071386814815,22.000000000000032,0.43333333333333335,0.0,1.0562380534814817,0.04583333333333333,0.43333333333333335,1056.2380534814815,2437.4724311111113,0.0,23.000000000000032,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,606.6572,0.0,0.0,79.24701494688041,51.66666666666668,46.10666666666668,0.0,51.145665629586595,0.0,0.0,0.0,123.82346085450064,51.17254164889845,51.18597965855438,51.145665629586595,12.43753247303448,21.638674538769667,-0.06121325676824944,2.5,1030.9141175372238,-576.0253708356609,0.0,0.0,506.556577233339,0.0,3.0,0.023109605015333233,0.0,0.0,0.32271405943038717,197.99884266666666,-1.6884756752692842,0.2030279388581954,10.47365365190287,0.003187293079618851,99.25684731752771,1.2149082477143986
2025-01-01 02:00:00,1.2264945506289124,0.22974966995305196,0.0,1.2264945506289122,0.22974966995305196,0.0,0.011902235340323487,0.3144577336304692,0.8901345816581198,0.010000000000000002,0.0,0.0,0.22683300328638528,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034977088606322856,0.026232816454742135,0.0,0.0,0.0031562075109649117,0.0,0.008746027829358575,0.0,0.012013729248622046,0.0,0.2674669157755243,0.20060018683164316,0.0,0.0,890.1345816581198,22.000000000000032,0.35,0.0,0.8531153508888889,0.03701923076923077,0.35,853.115350888889,2437.4724311111113,0.0,23.000000000000032,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,606.6572,0.0,0.0,77.32789823835137,51.66666666666668,46.10666666666668,0.0,50.409403116342816,0.0,0.0,0.0,120.824840997424,50.44193708815094,50.45820407405501,50.409403116342816,12.43753247303448,21.623072301581217,-0.05775719616297413,1.6500000000000001,840.0011684639575,-555.6998154628858,0.0,0.0,505.6361275331726,0.0,3.0,0.02125736092334306,0.0,0.0,0.29684839839526794,197.99884266666666,-0.06972526444915216,0.20527074309010304,10.501910197833098,0.003219600580639144,106.25346374328932,1.2149486507335283
2025-01-01 03:00:00,1.2324743375148375,0.23423496027411725,0.04645728511809253,1.2324743375148375,0.23423496027411722,0.04645728511809252,0.011731629528919978,0.3206081263277977,0.8901345816581198,0.010000000000000002,0.04645728511809253,0.0,0.23131829360745057,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03405663890615646,0.025542479179617338,0.0,0.0,0.002985601699561403,0.0,0.008746027829358575,0.0,0.012183734851196885,0.0,0.2743677525704444,0.20577581442783321,0.0,0.0,890.1345816581198,22.000000000000032,0.35,0.0,0.8531153508888889,0.03701923076923077,0.35,853.115350888889,2437.4724311111113,0.0,23.000000000000032,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,606.6572,1055.056,0.0,75.22303598983449,51.66666666666668,46.10666666666668,0.0,50.10906674344612,0.4017838357589304,1059.3821378385558,1055.056,117.53599373411639,49.67741475281259,50.13847061913482,49.432184881807125,12.43753247303448,21.65839991044821,-0.05729582051220786,1.6500000000000001,816.6898140530836,-583.2605095781222,0.0,0.0,511.1328558434533,0.0,3.0,0.02230038178200761,0.0,0.0,0.3114136622821614,197.99884266666666,-1.3171138703672076,0.20689701410761396,10.55259640321441,0.0032520612602180672,93.34625215338127,1.2147796075720794
2025-01-01 04:00:00,1.3340506959304146,0.2447882277769226,0.03871440426507711,1.3340506959304146,0.2447882277769226,0.03871440426507711,0.012006606063108738,0.3371347861465081,0.9749093037207979,0.010000000000000002,0.03871440426507711,0.0,0.24187156111025593,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03313618920599007,0.024852141904492545,0.0,0.0,0.002985601699561403,0.0,0.009021004363547334,0.0,0.014639371332833467,0.0,0.2893592256076846,0.2170194192057634,0.0,0.0,974.9093037207979,22.000000000000032,0.38333333333333336,0.0,0.934364431925926,0.04054487179487179,0.38333333333333336,934.3644319259259,2437.4724311111113,0.0,23.000000000000032,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,606.6572,879.2133333333333,0.0,74.65364951888735,51.66666666666668,46.10666666666668,0.0,51.290501545355575,0.17014342865777893,462.3143649527457,879.2133333333333,116.6463273732615,49.42501751801823,51.290501545355575,48.492275504349564,12.43753247303448,21.687782301839032,-0.05340225530584662,0.55,870.9702365648922,-630.5583602139008,0.0,0.0,526.8850890837456,0.0,3.0,0.02275060390426831,0.0,0.0,0.3177007887226052,197.99884266666666,-0.26579602575049677,0.20816171379318946,10.591184858019629,0.0032794881940050686,100.61958997304986,1.214068009261292
2025-01-01 05:00:00,1.3922036946134277,0.24782221636779267,0.04645728511809253,1.3922036946134275,0.24782221636779267,0.04645728511809252,0.018135630220050106,0.3467713996412407,1.0172966647521369,0.010000000000000002,0.04645728511809253,0.0,0.244905549701126,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03313618920599007,0.024852141904492545,0.0,0.0,0.003326813322368421,0.0,0.014808816897681685,0.0,0.02023066670640599,0.0,0.29340454372884467,0.22005340779663343,0.0,0.0,1017.296664752137,22.000000000000032,0.4,0.0,0.9749889724444446,0.0423076923076923,0.4,974.9889724444445,2437.4724311111113,0.0,23.000000000000032,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,606.6572,1055.056,0.0,76.03130645212032,51.66666666666668,46.10666666666668,0.0,51.687508999693314,0.5070232328344223,1385.6718362928307,1055.056,118.798916331438,49.99560898988104,51.687508999693314,49.14965898497492,12.43753247303448,21.702781393620192,-0.05684668750430835,-0.25000000000000006,868.452519658962,-650.8287666140488,0.0,0.0,500.58979866427177,0.0,2.367,0.022521232678264544,0.0,0.0,0.3144977344336597,156.221086864,1.3948228566023615,0.20990779129983092,10.628459968475504,0.0033118627965531217,71.04553185975328,1.2133739096936993
2025-01-01 06:00:00,1.4310753087292354,0.24161791944086713,0.03871440426507711,1.4310753087292354,0.24161791944086713,0.03871440426507711,0.022722273604511387,0.3386690093412482,1.0596840257834759,0.010000000000000002,0.03871440426507711,0.0,0.23870125277420046,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034977088606322856,0.026232816454742135,0.0,0.0,0.003753327850877193,0.0,0.01896894575363419,0.0,0.020400672308980832,0.0,0.28329124842594455,0.21246843631945833,0.0,0.0,1059.684025783476,22.000000000000032,0.4166666666666667,0.0,1.015613512962963,0.04407051282051282,0.4166666666666667,1015.6135129629631,2437.4724311111113,0.0,23.000000000000032,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,606.6572,879.2133333333333,0.0,77.26118189176525,51.66666666666668,46.10666666666668,0.0,51.709385925297596,0.06535057840229508,176.49306416390337,879.2133333333333,120.7205967058832,50.44085046252067,51.709385925297596,49.80658273113222,12.43753247303448,21.7252407877714,-0.03680050920605312,0.3,866.8275063289352,-636.9413768787232,0.0,0.0,444.9657911386102,0.0,1.56675,0.02262555048671665,0.0,0.0,0.3159544803803829,103.40489558266668,-0.8809337144277172,0.21008825822586788,10.64660958003564,0.0033194954943874624,14.362962113007292,1.2132756551241337
2025-01-01 07:00:00,1.6463614955407726,0.25772236215269195,0.0,1.6463614955407724,0.25772236215269195,0.0,0.03476491213426785,0.3723631134976726,1.2292334699088319,0.010000000000000002,0.0,0.0,0.2548056954860253,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03681798800665564,0.027613491004991726,0.0,0.0,0.0034974191337719296,0.0,0.03126749300049592,0.0,0.03262218618297213,0.0,0.30292293930804487,0.22719220448103358,0.0,0.0,1229.2334699088321,22.000000000000032,0.48333333333333334,0.0,1.178111675037037,0.05112179487179487,0.48333333333333334,1178.1116750370372,2437.4724311111113,0.0,23.000000000000032,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,606.6572,0.0,0.0,76.69659881939782,51.66666666666668,46.10666666666668,0.0,51.43481355991945,0.1296619309136024,353.8336340380776,0.0,119.83843565530908,50.27089123514079,51.43481355991945,49.68893007275147,12.43753247303448,21.711177394296644,-0.0416967267211908,-0.55,1069.3122869783192,-679.0633628441392,0.0,0.0,517.9886479390441,1.5264059292472074,2.0010000000000003,0.023134197172171238,0.0,0.0,0.32305747658347456,132.0652280586667,1.1535319745821853,0.21097498410054216,10.652480313117213,0.0033306849119828495,47.90988329201232,1.2133254010441261
2025-01-01 08:00:00,1.706101580881753,0.27697357080725704,0.03871440426507711,1.706101580881753,0.27697357080725704,0.03871440426507711,0.04881383718812496,0.4180542737847961,1.2292334699088319,0.010000000000000002,0.03871440426507711,0.0,0.27405690414059036,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773843770682203,0.028303828280116516,0.0,0.0,0.0026443900767543858,0.0,0.046169447111370575,0.0,0.05264506826400886,0.0,0.32767076781396526,0.24575307586047385,0.0,0.0,1229.2334699088321,22.000000000000032,0.48333333333333334,0.0,1.178111675037037,0.05112179487179487,0.48333333333333334,1178.1116750370372,2437.4724311111113,0.0,23.000000000000032,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,606.6572,879.2133333333333,0.0,78.3587834822023,51.66666666666668,46.10666666666668,0.0,51.76308856097342,0.1734957654014927,470.78942205545417,879.2133333333333,122.43559919094109,50.87083222531007,51.76308856097342,50.424704057478394,12.43753247303448,21.71903485337572,-0.039996118713252156,-1.4,1074.9975345722548,-730.5750371942947,0.0,0.0,555.0580076726102,112.59860032335833,1.68375,0.023902171621359946,0.0,0.0,0.33378185512097297,111.12685044666667,21.281094185107406,0.21203380712862163,10.678116791698205,0.0033475513343972844,51.242573192920965,1.2138506212491926
2025-01-01 09:00:00,1.66617875667443,0.2621605676871268,0.0,1.66617875667443,0.2621605676871268,0.0,0.03672639468564573,0.39021889207995225,1.2292334699088319,0.010000000000000002,0.0,0.0,0.25924390102046013,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773843770682203,0.028303828280116516,0.0,0.0,0.0021325726425438594,0.0,0.03459382204310187,0.0,0.044560357386005355,0.0,0.3079200969871249,0.23094007274034362,0.0,0.0,1229.2334699088321,22.000000000000032,0.48333333333333334,0.0,1.178111675037037,0.05112179487179487,0.48333333333333334,1178.1116750370372,2437.4724311111113,0.0,23.000000000000032,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,606.6572,0.0,0.0,75.11926300843334,51.66666666666668,46.10666666666668,0.0,51.357511783060694,0.13084984474349087,353.8336340380776,0.0,117.37384845067707,49.68335807900511,51.357511783060694,48.84628122697733,12.43753247303448,21.72895950825696,-0.039576669098900535,-0.85,1061.8792261074602,-702.7673814860286,0.0,0.0,471.32449458449923,364.13329624769904,0.9990000000000001,0.023576366131018888,0.0,0.0,0.3292321446303389,65.933614608,64.08864310015753,0.21280025462312796,10.700222129601805,0.0033600985936491886,40.095102299946966,1.2144097330488783
