Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Gas Lighting Gas Power (therms/hour),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,2.85434790348108,1.7374961753962799,0.0019467322822720485,2.8543479034810804,1.7374961753962797,0.0019467322822720482,0.14229227225888835,0.0,0.5207650400194223,2.1412905912027695,0.05,0.0019467322822720485,0.0,0.0,0.33977575832022466,1.3831370837427217,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.024126206140350874,0.0,0.11816606611853749,0.0,0.06773069559245597,0.0,0.39224323654080606,0.29418242740560446,0.0019467322822720485,0.0,0.0,4135.377256831109,18.33333333333337,1.5085167418121435,0.0,1.8865596189805476,0.2547309722222223,0.7333333333333333,3880.6462846088866,5288.720784773608,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,0.0,0.0,23.710169686696755,51.66666666666668,46.10666666666668,0.0,51.849066616930045,0.0,0.0,0.0,23.710169686696755,51.7062190316285,51.849066616930045,51.63479523897773,12.43753247303448,18.04393466067807,-0.040831735757480975,2.8,9.236100170605994,3671.32892822902,-1027.7642149913956,0.0,0.0,701.5998999426764,0.0,1.0,0.05172709035362001,0.0,0.0,0.4841143877147752,65.99961422222222,-137.88401355336924,0.21863483036855325,8.336153224954511,0.0027445104767928183,-4.502100187545137,1.2301747563027923
2025-01-01 01:00:00,2.7699591744615857,1.7457117755793976,0.0010176100566422072,2.769959174461586,1.7457117755793976,0.0010176100566422072,0.09017448161918272,0.0,0.45166262911398647,2.178122063728417,0.05,0.0010176100566422072,0.0,0.0,0.3242005775096899,1.4069278647363743,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05927133018900624,0.044453497641754665,0.0,0.0,0.022316740679824556,0.0,0.06785774093935816,0.0,0.01939519243439982,0.0,0.3729961064905804,0.27974707986793523,0.0010176100566422072,0.0,0.0,4163.136531158894,18.33333333333337,1.5263825548829535,0.0,1.9176017512284171,0.2605203125,0.75,3902.616218658895,5222.612689249698,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,0.0,0.0,23.572515481776875,51.66666666666668,46.10666666666668,0.0,51.71977017055605,0.0,0.0,0.0,23.572515481776875,51.58670287796809,51.71977017055605,51.52016923167412,12.43753247303448,18.119521766430243,-0.0370690212596287,2.5,9.236100170605994,3615.4274760586077,-981.9751978989755,0.0,0.0,581.7269975010508,0.0,1.0,0.04825474802877991,0.0,0.0,0.45161669903686524,65.99961422222222,-147.46085470236252,0.21756444056921037,8.371374478632369,0.002743853674521415,1.6990014474507644,1.229915970072591
2025-01-01 02:00:00,2.730443419081185,1.7200289652894611,0.0008406343946174756,2.730443419081185,1.7200289652894611,0.0008406343946174756,0.09017448161918272,0.0,0.45014285141683247,2.14012608604517,0.05,0.0008406343946174756,0.0,0.0,0.3230607442368244,1.3823848877193035,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05775155249185224,0.043313664368889164,0.0,0.0,0.022316740679824556,0.0,0.06785774093935816,0.0,0.01939519243439982,0.0,0.3729961064905804,0.27974707986793523,0.0008406343946174756,0.0,0.0,4010.072209863452,18.33333333333337,1.4959993200790116,0.0,1.8796057735451699,0.2605203125,0.75,3749.551897363452,5037.34841668553,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,0.0,0.0,23.48282451285096,51.66666666666668,46.10666666666668,0.0,51.59107375034093,0.0,0.0,0.0,23.48282451285096,51.467681962245564,51.59107375034093,51.405986068197876,12.43753247303448,18.12750197960934,-0.032092962006396476,1.6500000000000001,9.236100170605994,3469.619051111283,-976.5475538943332,0.0,0.0,580.2072198038969,0.0,1.0,0.04524352929363973,0.0,0.0,0.4234346709298923,65.99961422222222,-144.11282466173256,0.2175867473721316,8.377114710877008,0.0027455488897503853,14.719858849099676,1.2298809607315144
2025-01-01 03:00:00,2.4137295070920635,1.5160730336404635,0.0006636587325927439,2.4137295070920635,1.5160730336404635,0.0006636587325927439,0.08896817131216518,0.0,0.44862307371967847,1.8261382620602198,0.05,0.0006636587325927439,0.0,0.0,0.3219209109639589,1.1795687893431712,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05623177479469822,0.042173831096023656,0.0,0.0,0.021110430372807017,0.0,0.06785774093935816,0.0,0.01939519243439982,0.0,0.3729961064905804,0.27974707986793523,0.0006636587325927439,0.0,0.0,3460.4712151870763,18.33333333333337,1.2775869732673066,0.0,1.6061433315046643,0.21999493055555558,0.6333333333333333,3240.4762846315207,5078.390763236005,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,0.0,0.0,23.426706158101968,51.66666666666668,46.10666666666668,0.0,51.46297997329887,0.0,0.0,0.0,23.426706158101968,51.349159415955945,51.46297997329887,51.29224913728449,12.43753247303448,18.088312555167708,-0.03883248076907086,1.6500000000000001,9.236100170605994,2895.0200786752516,-1011.4825920211331,0.0,0.0,586.292080298392,0.0,1.1335000000000002,0.047047657866398425,0.0,0.0,0.44031952939359054,74.81056272088888,-140.26062478908352,0.21835354644480823,8.36197653945522,0.002748438313678989,2.053034926319102,1.2300443211544745
2025-01-01 04:00:00,3.011481839568078,1.9020247433083821,0.0007079026480989268,3.011481839568078,1.9020247433083821,0.0007079026480989268,0.08896817131216518,0.0,0.4471032960225244,2.4254103722333884,0.05,0.0007079026480989268,0.0,0.0,0.3207810776910934,1.5666603322839554,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054711997097544214,0.04103399782315815,0.0,0.0,0.021110430372807017,0.0,0.06785774093935816,0.0,0.01939519243439982,0.0,0.3729961064905804,0.27974707986793523,0.0007079026480989268,0.0,0.0,4445.218374234324,18.33333333333337,1.6877901150921735,0.0,2.1243646777889444,0.3010456944444445,0.8666666666666667,4144.17267978988,4841.880504544723,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,0.0,0.0,23.32342443172684,51.66666666666668,46.10666666666668,0.0,51.33529924502522,0.0,0.0,0.0,23.32342443172684,51.23095927915787,51.33529924502522,51.1787892962242,12.43753247303448,18.116419097607768,-0.033662650332394746,0.55,9.236100170605994,3827.516720547037,-1119.7245477504316,0.0,0.0,641.9609683247934,0.0,2.0,0.04846972149708137,0.0,0.0,0.4536286380086925,131.99922844444444,-139.93807426164975,0.2181657208333598,8.37608141241938,0.002752353857012813,67.67189031993396,1.2293458772472718
2025-01-01 05:00:00,2.6552849175273368,1.6703858620338743,0.0007963904791112925,2.6552849175273368,1.6703858620338743,0.0007963904791112924,0.09138079192620027,0.0,0.4471032960225244,2.066800829578612,0.05,0.0007963904791112925,0.0,0.0,0.3207810776910934,1.3350214510094474,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054711997097544214,0.04103399782315815,0.0,0.0,0.023523050986842105,0.0,0.06785774093935816,0.0,0.01939519243439982,0.0,0.3729961064905804,0.27974707986793523,0.0007963904791112925,0.0,0.0,3706.0743721890826,18.33333333333337,1.429881394323539,0.0,1.806280517078612,0.2605203125,0.75,3445.554059689083,4668.36793237847,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,0.0,0.0,23.183343691254567,51.66666666666668,46.10666666666668,0.0,51.20904476600506,0.0,0.0,0.0,23.183343691254567,51.1140260071423,51.20904476600506,51.066516627710925,12.43753247303448,18.19805159808279,-0.03985799444952557,-0.25000000000000006,9.236100170605994,3036.5953801021114,-1179.0453812078317,0.0,0.0,644.3735889388286,0.0,2.0,0.04851139668577908,0.0,0.0,0.45401867654210637,131.99922844444444,-134.8071998179674,0.21846129947406723,8.432562274578501,0.002771326316438274,73.48706602315494,1.2283707955366805
2025-01-01 06:00:00,2.763230943828844,1.738480415879335,0.001150341803160756,2.763230943828844,1.7384804158793352,0.001150341803160756,0.09439656769374412,0.0,0.45014285141683247,2.168691524718268,0.05,0.001150341803160756,0.0,0.0,0.3230607442368244,1.4008363383091773,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05775155249185224,0.043313664368889164,0.0,0.0,0.02653882675438596,0.0,0.06785774093935816,0.0,0.01939519243439982,0.0,0.3729961064905804,0.27974707986793523,0.001150341803160756,0.0,0.0,3985.8862782294727,18.33333333333337,1.4989973552697295,0.0,1.9023818719404901,0.26630965277777785,0.7666666666666667,3719.576625451695,4828.839037193029,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,0.0,0.0,23.127865470688633,51.66666666666668,46.10666666666668,0.0,51.082583961665165,0.0,0.0,0.0,23.127865470688633,50.99683982350769,51.082583961665165,50.95396775442896,12.43753247303448,18.15930050401655,-0.032846403572959974,0.3,9.236100170605994,3359.8956728776757,-1134.5888889610267,0.0,0.0,650.4289201006806,0.0,2.0,0.048343975438371024,0.0,0.0,0.4524517793103984,131.99922844444444,-141.83063649145058,0.2197180849089884,8.425480705509063,0.002780826261939205,40.27670791884858,1.2285266004553574
2025-01-01 07:00:00,5.0474635872820866,3.215434051023789,0.0014600492117040366,5.0474635872820866,3.215434051023789,0.0014600492117040366,0.09258710223321781,0.0,0.45318240681114047,4.451694078237728,0.05,0.0014600492117040366,0.0,0.0,0.32534041078255543,2.8755103069079,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.024729361293859647,0.0,0.06785774093935816,0.0,0.01939519243439982,0.0,0.3729961064905804,0.27974707986793523,0.0014600492117040366,0.0,0.0,6593.59049747886,20.000000000000057,1.7556818467881077,0.0,2.460512452904395,0.3473604166666667,1.0,6246.230080812194,4602.408872145527,1.6438212086666666,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,0.0,0.0,22.381149219463072,51.66666666666668,46.10666666666668,0.0,50.958395884463776,0.0,0.0,0.0,22.381149219463072,50.8817102613509,50.958395884463776,50.84336744979446,12.43753247303448,19.104146035792056,-0.36889121440940814,-0.55,9.236100170605994,5747.72811880208,-1326.6160141635255,0.0,0.0,651.6590100344622,3.114200011520526,2.0,0.0511785066297619,0.0,0.0,0.47898018681984184,131.99922844444444,-170.9053745477169,0.20786003800799044,8.878204323421944,0.0027909215649090506,64.24130642096647,1.2245478147362996
2025-01-01 08:00:00,3.316482806945105,2.1013850740380846,0.0014600492117040366,3.316482806945105,2.1013850740380846,0.0014600492117040366,0.08655555069813009,0.0,0.45470218450829447,2.7252250717386812,0.05,0.0014600492117040366,0.0,0.0,0.3264802440554209,1.7603214966493301,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.01869780975877193,0.0,0.06785774093935816,0.0,0.01939519243439982,0.0,0.3729961064905804,0.27974707986793523,0.0014600492117040366,0.0,0.0,4720.510382256396,20.000000000000057,1.838908144127374,0.0,2.3778646550720146,0.3473604166666667,1.0,4373.14996558973,4373.14996558973,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,0.0,0.0,22.48878005079789,51.66666666666668,46.10666666666668,0.0,50.83629289110297,0.0,0.0,0.0,22.48878005079789,50.76846424185605,50.83629289110297,50.7345499172326,12.43753247303448,18.837741775356886,-0.6622582246431733,-1.4,9.236100170605994,3866.793544094436,-1405.2715559529497,0.0,0.0,647.1472361965284,199.75642134699143,2.0,0.05252800518508527,0.0,0.0,0.49161015812435804,131.99922844444444,-95.59251840553789,0.21272437913582712,8.778846821243937,0.0028085601525026675,109.48614859643482,1.226226185414775
2025-01-01 09:00:00,3.5894842309361104,2.1287244994583556,0.0014158052961978536,3.5894842309361104,2.1287244994583556,0.0014158052961978536,0.27429407280130197,0.0,0.5600599406370386,2.70513021749777,0.05,0.0014158052961978536,0.0,0.0,0.3667996630399453,1.747341503085077,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.015078878837719297,0.0,0.25921519396358267,0.0,0.0709937232504446,0.0,0.42675533180327974,0.32006649885245964,0.0014158052961978536,0.0,0.0,4708.176524212316,20.000000000000057,1.8493962586063537,0.0,2.3577698008311034,0.3473604166666667,1.0,4360.816107545649,4360.816107545649,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,0.0,0.0,22.03285452971529,51.66666666666668,46.10666666666668,0.0,50.633067541018804,0.10899497948821564,289.9551880684376,0.0,22.03285452971529,50.11807053109262,50.633067541018804,49.86057202612953,12.43753247303448,18.83940417442126,-0.6605958255787947,-0.85,9.236100170605994,4282.783458725466,-1343.5129928163528,0.0,0.0,936.4803686565555,513.3379694600694,2.0,0.05167549212630248,0.0,0.0,0.4836314793575831,131.99922844444444,-18.36044132705261,0.21490599990440062,8.815535192711508,0.002836390325463681,159.955262345586,1.2268140749040837
2025-01-01 10:00:00,5.576256680699022,2.198990068787521,0.0014600492117040366,5.576256680699022,2.198990068787521,0.0014600492117040366,0.37854007416007734,1.741687421703704,0.6265724548951677,2.779456729940074,0.05,0.0014600492117040366,0.0,0.0,0.389055048190199,1.7953516872639883,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.014475723684210524,0.0,0.3640643504758668,0.0,0.1078323906415688,0.0,0.45794895636743854,0.3434617172755788,0.0014600492117040366,0.0,0.0,4924.122503695287,20.000000000000057,1.8814066610647857,0.0,2.4320963132734073,0.3473604166666667,1.0,4576.762087028621,4576.762087028621,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,1741.6874217037039,0.31666666666666665,21.34005125305485,51.66666666666668,46.10666666666668,0.0,50.74372282453112,0.558409125103145,1479.1856808462724,1741.6874217037039,21.34005125305485,49.64589428589844,50.744836056461764,49.09586678465147,12.43753247303448,19.39459375248445,-0.14989580788075188,0.85,9.236100170605994,4840.734346209089,-1202.7774006296088,0.0,0.0,1105.0553305539688,656.2614758047803,2.0,0.049423229792437254,0.0,0.0,0.4625525322666434,131.99922844444444,14.333912589440898,0.21027969477494357,9.114303320155008,0.002873204975975945,180.75075615318843,1.224458947804576
2025-01-01 11:00:00,4.019998010352233,1.7859868926412803,0.0014600492117040366,4.019998010352233,1.7859868926412803,0.0014600492117040366,0.36718456984466746,0.8250098313333335,0.6377338392206241,2.140069769953608,0.05,0.0014600492117040366,0.0,0.0,0.389055048190199,1.382348511117748,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.014475723684210524,0.0,0.352708846160457,0.0,0.1189937749670253,0.0,0.45794895636743854,0.3434617172755788,0.0014600492117040366,0.0,0.0,3825.0420355351516,20.000000000000057,1.4223364806561736,0.0,1.8795494574536085,0.2605203125,0.75,3564.5217230351514,4773.386136766954,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,825.0098313333333,0.15,20.694437398963114,51.66666666666668,46.10666666666668,0.0,51.320831534439115,0.2170854588518099,588.4019209303079,825.0098313333333,20.694437398963114,49.14668150144099,51.320863748478345,48.059574270902694,12.43753247303448,19.850963279926678,-0.029641275095995272,1.95,9.236100170605994,3809.4793244368107,-1120.2326598649574,0.0,0.0,1063.0504549542375,663.6607450878361,1.3664999999999998,0.04794476967095883,0.0,0.0,0.4487156082955244,90.18847283466667,41.61949381237899,0.20675212343490346,9.358350618924051,0.002907355282286628,131.24409446460308,1.221953275609383
2025-01-01 12:00:00,3.177461151606538,1.7169667194680354,0.0014158052961978536,3.1774611516065385,1.7169667194680354,0.0014158052961978536,0.3574645392568946,0.09166775903703704,0.6486412556968113,2.0296875976157955,0.05,0.0014158052961978536,0.0,0.0,0.39133471473592996,1.311048671398772,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06383066328046826,0.04787299746035118,0.0,0.0,0.015078878837719297,0.0,0.34238566041917534,0.0,0.12686163604890446,0.0,0.45794895636743854,0.3434617172755788,0.0014158052961978536,0.0,0.0,3709.526315517491,20.000000000000057,1.3578532282993083,0.0,1.786535305949129,0.24315229166666671,0.7,3466.374023850825,5027.315851738149,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,91.66775903703704,0.016666666666666666,21.734588275911747,51.66666666666668,46.10666666666668,0.0,51.60287543718998,0.13032521860983667,356.64488132417824,91.66775903703704,21.734588275911747,50.54983609256847,51.60287543718998,50.023316420257714,12.43753247303448,19.715528359337103,-0.03878050410138781,3.05,9.236100170605994,3812.010035794857,-1019.254934820843,0.0,0.0,1040.0489822302075,681.1148686203786,1.0,0.0470331127830208,0.0,0.0,0.44018340180385995,65.99961422222222,81.68967286800111,0.20993769725229405,9.31674104594996,0.0029289902980593366,87.7815759625313,1.2218891631415538
2025-01-01 13:00:00,3.890967965514655,1.3404304133374128,0.0014158052961978536,3.8909679655146547,1.3404304133374128,0.0014158052961978536,0.4893461450575699,1.1916808674814816,0.7623114273778333,1.3976295255977702,0.05,0.0014158052961978536,0.0,0.0,0.423067590788565,0.9027794892155144,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06383066328046826,0.04787299746035118,0.0,0.0,0.016888344298245615,0.0,0.4724578007593243,0.0,0.19822130632641322,0.0,0.5002594577709519,0.3751945933282138,0.0014158052961978536,0.0,0.0,2786.1199775370737,20.000000000000057,0.9508291530232988,0.0,1.24131733809777,0.15631218750000003,0.45,2629.807790037074,5694.295658198071,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,1191.6808674814815,0.21666666666666667,21.705901046819033,51.66666666666668,46.10666666666668,0.0,51.59881869802875,0.3363420672673442,911.2877339293753,1191.6808674814815,21.705901046819033,50.56407739028529,51.60037572316368,50.04514971127865,12.43753247303448,19.791815971078282,-0.03134873018660382,4.45,9.236100170605994,3324.573909634756,-890.3247204936724,0.0,0.0,1315.63883172477,749.6798997922286,1.5,0.04480584939463553,0.0,0.0,0.4193384201090368,98.99942133333333,113.13982086658491,0.21026089653677843,9.370187430620575,0.002948924209920877,102.85217516484676,1.2209823610498154
2025-01-01 14:00:00,2.7418136257644616,1.1833320986729639,0.0014158052961978536,2.7418136257644616,1.1833320986729639,0.0014158052961978536,0.3584156778761821,0.4583387951851853,0.6715129448883205,1.2035462078147736,0.05,0.0014158052961978536,0.0,0.0,0.39133471473592996,0.7774140506037005,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06383066328046826,0.04787299746035118,0.0,0.0,0.018094654605263154,0.0,0.34032102327091895,0.0,0.1497333252404137,0.0,0.45794895636743854,0.3434617172755788,0.0014158052961978536,0.0,0.0,2446.372524042934,20.000000000000057,0.8270335085554631,0.0,1.0703913814258847,0.13315482638888892,0.38333333333333336,2313.217697654045,6271.720237252678,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,458.33879518518523,0.08333333333333333,20.931662093445023,51.66666666666668,46.10666666666668,0.0,51.461145462616734,0.2665581749727986,726.1306352628159,458.33879518518523,20.931662093445023,49.24883578761594,51.461145462616734,48.14268095011554,12.43753247303448,19.5971882536753,-0.07183632906716735,4.7,9.236100170605994,2831.2762832807052,-835.7715657035213,0.0,0.0,1063.8718100410042,804.4712088952163,1.0,0.043441411870643945,0.0,0.0,0.4065686348381739,65.99961422222222,156.80351490028812,0.21392914230944154,9.29637839605522,0.0029659055618000947,56.37619970095259,1.2211679787938554
2025-01-01 15:00:00,2.833690143397815,1.2180893294856314,0.0014600492117040366,2.8336901433978148,1.2180893294856314,0.0014600492117040366,0.38379835608316965,0.4583387951851853,0.6916805103820275,1.2498724817474327,0.05,0.0014600492117040366,0.0,0.0,0.3961681287200311,0.807337867432267,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.021110430372807017,0.0,0.3626879257103626,0.0,0.16345633875531923,0.0,0.465913286043394,0.34943496453254536,0.0014600492117040366,0.0,0.0,2352.5080014372643,20.000000000000057,0.8323924398468704,0.0,1.1051389748029883,0.14473350694444448,0.4166666666666667,2207.77449449282,5331.726105293357,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,458.33879518518523,0.08333333333333333,21.70205352195504,51.66666666666668,46.10666666666668,0.0,51.614045033324906,0.21293548770621668,581.5672629258376,458.33879518518523,21.70205352195504,50.54402219926185,51.614045033324906,50.00901078223034,12.43753247303448,19.76223432826732,-0.039139613597255145,4.15,9.236100170605994,2705.369192407029,-894.1913702677415,0.0,0.0,1108.8645506643816,677.4899228413562,1.0,0.04428394789713543,0.0,0.0,0.41445393845382605,65.99961422222222,138.18801057312456,0.21240040756023065,9.382078712973037,0.0029750624511150716,46.409850300694124,1.2204732042185342
2025-01-01 16:00:00,3.0709397913551384,1.0828716964830667,0.0019909761977782315,3.0709397913551384,1.0828716964830665,0.0019909761977782315,0.37752714195796266,0.9166775903703706,0.6826302260919844,1.0441048329348208,0.05,0.0019909761977782315,0.0,0.0,0.3938632665840346,0.6744250965656986,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06687021867477627,0.05015266400608219,0.0,0.0,0.02653882675438596,0.0,0.35098831520357676,0.0,0.15747920397993814,0.0,0.45828080343727,0.34371060257795244,0.0019909761977782315,0.0,0.0,1951.4308961878592,20.000000000000057,0.6942984584297274,0.0,0.9225286871014876,0.12157614583333336,0.35,1829.854750354526,5202.470869100072,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,916.6775903703705,0.16666666666666666,21.549775247536505,51.66666666666668,46.10666666666668,0.0,51.50381479076574,0.13101098641752726,354.15955114073455,916.6775903703705,21.549775247536505,50.15533305298324,51.50478268367653,49.48012429118119,12.43753247303448,19.62790022853617,-0.0685413015389767,3.05,9.236100170605994,2097.929610561555,-1004.3993794325124,0.0,0.0,1094.0773260315607,261.89057336657015,1.0,0.04644535139067097,0.0,0.0,0.43468253669363227,65.99961422222222,56.82076777464756,0.21477966538568002,9.330195336092464,0.0029834358778965714,1.521244149497135,1.2210270772760887
2025-01-01 17:00:00,3.4556712009177937,1.6276902924937566,0.0025219031838524266,3.4556712009177937,1.6276902924937564,0.0025219031838524266,0.5791850019275393,0.18333551807407408,0.8135094254218868,1.8296412554942938,0.05,0.0025219031838524266,0.0,0.0,0.4312754595888128,1.1818314995716104,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07294932946339229,0.0547119970975442,0.0,0.0,0.03377668859649123,0.0,0.5454083133310481,0.0,0.23847547930346946,0.0,0.502084616655025,0.3765634624912686,0.0025219031838524266,0.0,0.0,3346.957184310842,20.000000000000057,1.1958458728975647,0.0,1.615435665216516,0.21420559027777783,0.6166666666666667,3132.751594033064,5109.7619454487285,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6980.6607955555555,183.3355180740741,0.03333333333333333,21.235654106730692,51.66666666666668,46.10666666666668,0.0,51.482179247976156,0.3136466357676869,853.2966963156877,183.3355180740741,21.235654106730692,49.820151326826846,51.482263801290905,48.98905281293744,12.43753247303448,19.70022307473179,-0.0440456217578778,1.95,9.236100170605994,3624.302818198845,-1128.5955627583826,0.0,0.0,1423.5481184057965,21.10650681076532,1.0,0.04875776988937761,0.0,0.0,0.45632448596989467,65.99961422222222,-17.60692175941124,0.21321851622951668,9.351656145147949,0.002976509552875705,-32.615504046359405,1.2201562760998752
