Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.16882747281555419,0.11348739054980743,0.0,0.00281379121359257,0.0018914565091634572,0.0,0.013104752386706562,0.1557227204288476,0.0,0.0,0.0,0.0,0.11348739054980743,0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.00040638752492843305,0.0,On,0.00918838679160269,0,On,0.004406199695771006,0,On,0.11800500777467389,0.08850375583100539,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,13249.744933333333,Off,0.0,0,86.14763881449535,51.666666666666686,46.10666666666668,0.0,48.67544994630743,0.0,0.0,0.0,134.60568564764898,47.02271396984486,48.67544994630743,46.196345981613575,12.43753247303448,14.82664956267977,-0.22890599287583058,0.979452234210174,2.8,9.236100170605994,-226.54859512413177,645.7860388650197,-678.311735275744,-0.0,-0.0,490.5651933824381,0.0,5.0,0.043277984028918165,0.0,0,0.560062224805878,329.99807111111113,-38.80205323082589,0.3360463318666856,7.612449134763948,0.00345120312559283,107.87473237184066,1.2398259495800656,0.27184172728319994,644.9645594599758,0.8214794050438998
2025-01-01 00:01:00,0.16882747281555419,0.11348739054980743,0.0,0.00281379121359257,0.0018914565091634572,0.0,0.013104752386706562,0.1557227204288476,0.0,0.0,0.0,0.0,0.11348739054980743,0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.00040638752492843305,0.0,On,0.00918838679160269,0,On,0.004406199695771006,0,On,0.11800500777467389,0.08850375583100539,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,13249.744933333333,Off,0.0,0,86.25238254648292,51.666666666666686,46.10666666666668,0.0,48.6603056548795,0.0,0.0,0.0,134.76934772887955,47.00929157333897,48.6603056548795,46.18378453256871,12.43753247303448,14.773953251382204,-0.28160230417339527,1.0904593901866657,2.8,9.236100170605994,-226.8528649508249,606.708248070047,-674.4249863967793,-0.0,-0.0,490.5651933824381,0.0,5.0,0.043219370966715444,0.0,0,0.5593037106847487,329.99807111111113,-42.9930719364837,0.33822518959347314,7.6094430622610965,0.0034517129389390385,108.00884953887096,1.243674837592679,0.27184172728319994,605.6381090384887,1.0701390315583896
2025-01-01 00:02:00,0.6633118478155542,0.11348739054980743,0.4887567567567567,0.01105519746359257,0.0018914565091634572,0.008145945945945945,0.013104752386706562,0.1557227204288476,0.494484375,0.0,0.4887567567567567,0.0,0.11348739054980743,0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.00040638752492843305,0.0,On,0.00918838679160269,0,On,0.004406199695771006,0,On,0.11800500777467389,0.08850375583100539,On,On,8876.985362730868,15.5555555555556,0.9250000000000002,4867.243945602467,14.324048576576574,0.494484375,1,13249.744933333333,13249.744933333333,Off,0.0,0,86.35396578133756,51.666666666666686,46.10666666666668,0.0,48.64514476001852,0.0,0.0,0.0,134.92807153333993,46.99585285703695,48.64514476001852,46.17120690554618,12.43753247303448,14.722423865572416,-0.3331316899831833,1.19478776024415,2.8,9.236100170605994,8649.613420209585,5437.266615261661,-670.6320604310049,-0.0,-0.0,490.5651933824381,0.0,5.0,0.04316205381476861,0.0,0,0.5585619669931425,329.99807111111113,-47.30507547271405,0.33940147898839124,7.585169119943863,0.0034522218064028977,108.13876831858097,1.2438970750262255,0.27184172728319994,568.6777488119004,1.3449208472938516
2025-01-01 00:03:00,0.6633118478155542,0.11348739054980743,0.4887567567567567,0.01105519746359257,0.0018914565091634572,0.008145945945945945,0.013104752386706562,0.1557227204288476,0.494484375,0.0,0.4887567567567567,0.0,0.11348739054980743,0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.00040638752492843305,0.0,On,0.00918838679160269,0,On,0.004406199695771006,0,On,0.11800500777467389,0.08850375583100539,On,On,8876.985362730868,15.5555555555556,0.9250000000000002,4867.243945602467,14.324048576576574,0.494484375,1,13249.744933333333,13249.744933333333,Off,0.0,0,85.85755046550062,51.666666666666686,46.10666666666668,0.0,48.629967788049356,0.0,0.0,0.0,134.15242260234473,46.982398313366076,48.629967788049356,46.158613576024436,12.43753247303448,14.894762657640666,-0.16079289791493423,1.8133299052236675,2.8,9.236100170605994,8622.314588884223,5217.3852857166585,-683.3474606383318,-0.0,-0.0,490.5651933824381,0.0,5.0,0.04335374138323879,0.0,0,0.5610426039376292,329.99807111111113,-61.888506590749714,0.3356989155106302,7.66886792072583,0.003452731194934807,107.40024879621082,1.243152462968458,0.27184172728319994,349.54712805003965,0.5942120641522619
2025-01-01 00:04:00,0.6633118478155542,0.11348739054980743,0.4887567567567567,0.01105519746359257,0.0018914565091634572,0.008145945945945945,0.013104752386706562,0.1557227204288476,0.494484375,0.0,0.4887567567567567,0.0,0.11348739054980743,0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.00040638752492843305,0.0,On,0.00918838679160269,0,On,0.004406199695771006,0,On,0.11800500777467389,0.08850375583100539,On,On,8876.985362730868,15.5555555555556,0.9250000000000002,4867.243945602467,14.324048576576574,0.494484375,1,13249.744933333333,13249.744933333333,Off,0.0,0,85.37591210600957,51.666666666666686,46.10666666666668,0.0,48.614874299140105,0.0,0.0,0.0,133.39986266563994,46.96902111462643,48.614874299140105,46.1460945223696,12.43753247303448,15.061646676787797,0.0,2.3916865074639757,2.8,9.236100170605994,8598.924344430916,5011.884534778094,-695.7420334937447,-0.0,-0.0,490.5651933824381,0.0,5.0,0.04353933511034627,0.0,0,0.5634443802228734,329.99807111111113,-72.88417818864514,0.3321580286680685,7.750353668856814,0.0034532374076897765,106.6828137906259,1.242432257936281,0.27184172728319994,144.65301970300695,-0.012430527379087675
2025-01-01 00:05:00,0.6633118478155542,0.11348739054980743,0.4887567567567567,0.01105519746359257,0.0018914565091634572,0.008145945945945945,0.013104752386706562,0.1557227204288476,0.494484375,0.0,0.4887567567567567,0.0,0.11348739054980743,0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.00040638752492843305,0.0,On,0.00918838679160269,0,On,0.004406199695771006,0,On,0.11800500777467389,0.08850375583100539,On,On,8876.985362730868,15.5555555555556,0.9250000000000002,4867.243945602467,14.324048576576574,0.494484375,1,13249.744933333333,13249.744933333333,Off,0.0,0,84.90797803218696,51.666666666666686,46.10666666666668,0.0,48.59986183011603,0.0,0.0,0.0,132.66871567529213,46.95571895846628,48.59986183011603,46.13364752264141,12.43753247303448,15.223475211087443,0.0,2.932603721125808,2.8,9.236100170605994,8578.695167492991,4819.700116138745,-707.8377166745427,-0.0,-0.0,490.5651933824381,0.0,5.0,0.04371927489266932,0.0,0,0.5657729885691307,329.99807111111113,-81.01767194577178,0.3287656465121693,7.82791812238335,0.0034537405304151496,105.98495061241995,1.241734657287646,0.27184172728319994,-46.97745490987227,-0.5663745538496574
2025-01-01 00:06:00,0.6633118478155542,0.11348739054980743,0.4887567567567567,0.01105519746359257,0.0018914565091634572,0.008145945945945945,0.013104752386706562,0.1557227204288476,0.494484375,0.0,0.4887567567567567,0.0,0.11348739054980743,0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.00040638752492843305,0.0,On,0.00918838679160269,0,On,0.004406199695771006,0,On,0.11800500777467389,0.08850375583100539,On,On,8876.985362730868,15.5555555555556,0.9250000000000002,4867.243945602467,14.324048576576574,0.494484375,1,13249.744933333333,13249.744933333333,Off,0.0,0,84.45285765757164,51.666666666666686,46.10666666666668,0.0,48.58492809646802,0.0,0.0,0.0,131.9575900899557,46.94248970966336,48.58492809646802,46.121270516261035,12.43753247303448,15.38057954589942,0.0,3.4386347935143737,2.8,9.236100170605994,8559.933578294364,4639.930178017389,-719.652317322507,-0.0,-0.0,490.5651933824381,0.0,5.0,0.04389392610468842,0.0,0,0.5680331573030325,329.99807111111113,-87.96466049643396,0.32551064199988966,7.90370444290035,0.003454240642777763,105.30540436272354,1.2410581612982703,0.27184172728319994,-226.24883345266895,-1.0649341324086024
2025-01-01 00:07:00,0.6633118478155542,0.11348739054980743,0.4887567567567567,0.01105519746359257,0.0018914565091634572,0.008145945945945945,0.013104752386706562,0.1557227204288476,0.494484375,0.0,0.4887567567567567,0.0,0.11348739054980743,0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.00040638752492843305,0.0,On,0.00918838679160269,0,On,0.004406199695771006,0,On,0.11800500777467389,0.08850375583100539,On,On,8876.985362730868,15.5555555555556,0.9250000000000002,4867.243945602467,14.324048576576574,0.494484375,1,13249.744933333333,13249.744933333333,Off,0.0,0,84.00986829158914,51.666666666666686,46.10666666666668,0.0,48.57007096203203,0.0,0.0,0.0,131.26541920560803,46.92933137175492,48.57007096203203,46.10896157661637,12.43753247303448,15.533213271730927,0.0,3.912155892732192,2.8,9.236100170605994,8541.886508335036,4471.727222406589,-731.1985678549177,-0.0,-0.0,490.5651933824381,0.0,5.0,0.04406356862636933,0.0,0,0.5702285083630727,329.99807111111113,-94.46547992335266,0.32238400549647517,7.977636360238323,0.00345473781941936,104.64321679097374,1.240401612626602,0.27184172728319994,-394.0029198276162,-1.5138033682610876
2025-01-01 00:08:00,0.6633118478155542,0.11348739054980743,0.9796772983674105,0.01105519746359257,0.0018914565091634572,0.016327954972790173,0.013104752386706562,0.1557227204288476,0.494484375,0.4909205416106537,0.4887567567567567,0.0,0.11348739054980743,0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.00040638752492843305,0.0,On,0.00918838679160269,0,On,0.004406199695771006,0,On,0.11800500777467389,0.08850375583100539,On,On,8876.985362730868,15.5555555555556,0.9250000000000002,4867.243945602467,14.324048576576574,0.494484375,1,13249.744933333333,13249.744933333333,On,11136.702222222222,0,85.01079962530756,51.666666666666686,46.10666666666668,0.0,48.5552884043721,0.0,0.0,11136.702222222222,132.82937441454305,46.91624205464612,48.5552884043721,46.09671887978314,12.43753247303448,15.681586361633734,0.0,4.355376212860678,2.8,9.236100170605994,8524.384981565152,4314.303799060639,-742.4865138002742,-0.0,-0.0,490.5651933824381,0.0,5.0,0.044228434588213746,0.0,0,0.5723620457599081,329.99807111111113,-100.67906074787848,0.3193780233868221,8.048845533740836,0.0034552321311883054,103.99759489565135,1.2397640478324914,0.27184172728319994,-551.0223641328089,-1.9177824090191873
2025-01-01 00:09:00,0.16882747281555419,0.11348739054980743,0.4909205416106537,0.00281379121359257,0.0018914565091634572,0.008182009026844229,0.013104752386706562,0.1557227204288476,0.0,0.4909205416106537,0.0,0.0,0.11348739054980743,0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.00040638752492843305,0.0,On,0.00918838679160269,0,On,0.004406199695771006,0,On,0.11800500777467389,0.08850375583100539,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,13249.744933333333,On,11136.702222222222,0,87.45438236717251,51.666666666666686,46.10666666666668,0.0,48.540609377342875,0.0,0.0,11136.702222222222,136.64747244870705,48.01350881386959,48.540609377342875,47.74995853213296,12.43753247303448,15.825886259662248,0.0,4.770350105547882,2.8,9.236100170605994,-369.56710579455,-700.3161160257666,-753.5250070798945,-0.0,-0.0,490.5651933824381,0.0,5.0,0.04438873168609991,0.0,0,0.5744364572946983,329.99807111111113,-106.60729209709362,0.31648577571701764,8.118197534250811,0.00345572364581788,103.36782970243674,1.2391446056522135,0.27184172728319994,-698.0349605138105,-2.2811555119561433
