occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.4,0.69,0.127,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.703,0.14,0.276,0.276,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.703,0.14,0.276,0.276,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.703,0.14,0.276,0.276,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.493,0.752,0.19,0.385,0.385,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.693,0.847,0.284,0.582,0.582,0.0,0.0,0.0,0.0,0.125,0,0,0,0
0.8,0.891,0.325,0.663,0.663,0.0,0.0,0.0,0.0,0.0179,0,0,0,0
0.8,0.891,0.325,0.663,0.663,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.898,0.377,0.727,0.727,0.0,0.0,0.0,0.0,0.202,0,0,0,0
0.893,0.947,0.485,0.886,0.886,0.0,0.0,0.0,0.0,0.252,0,0,0,0
1.0,0.993,0.541,0.986,0.986,0.0,0.0,0.0,0.0,0.168,0,0,0,0
1.0,0.993,0.541,0.986,0.986,0.0,0.0,0.0,0.0,0.12,0,0,0,0
1.0,0.984,0.642,0.982,0.982,0.116,0.467,0.0,0.0,0.0172,0,0,0,0
1.0,0.973,0.758,0.977,0.977,0.239,1.0,0.0,0.0,0.0841,0,0,0,0
1.0,0.973,0.758,0.977,0.977,0.25,1.0,0.0,0.0,0.517,0,0,0,0
1.0,0.973,0.758,0.977,0.977,0.228,1.0,0.0,0.0,0.141,0,0,0,0
1.0,0.955,0.841,0.894,0.894,0.261,0.4,0.6,0.0,0.252,0,0,0,0
1.0,0.934,0.936,0.798,0.798,0.449,0.0,1.0,0.0,0.215,0,0,0,0
1.0,0.934,0.936,0.798,0.798,0.319,0.0,1.0,0.0,0.112,0,0,0,0
1.0,0.934,0.936,0.798,0.798,0.0507,0.0,1.0,0.0,0.0,0,0,0,0
0.907,0.871,0.831,0.655,0.655,0.261,0.0,1.0,0.0,0.127,0,0,0,0
0.893,0.825,0.794,0.543,0.543,0.322,0.0,0.8,0.0,0.145,0,0,0,0
1.0,0.857,0.887,0.602,0.602,0.261,0.0,0.0,0.0,0.0841,0,0,0,0
1.0,0.857,0.887,0.602,0.602,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.8,0.674,0.521,0.521,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.715,0.383,0.384,0.384,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.672,0.279,0.289,0.289,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.648,0.224,0.239,0.239,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.623,0.147,0.169,0.169,0.0,0.0,0.0,0.0,0.126,0,0,0,0
1.0,0.593,0.0591,0.0892,0.0892,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.593,0.0591,0.0892,0.0892,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.593,0.0591,0.0892,0.0892,0.0,0.0,0.0,0.0,0.117,0,0,0,0
1.0,0.591,0.0463,0.0775,0.0775,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.0318,0.0641,0.0641,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.0318,0.0641,0.0641,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.0318,0.0641,0.0641,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.0272,0.0595,0.0595,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.022,0.0543,0.0543,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.022,0.0543,0.0543,0.0,0.0,0.0,0.0,0.168,0,0,0,0
1.0,0.589,0.022,0.0543,0.0543,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.0198,0.052,0.052,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.0173,0.0493,0.0493,0.0,0.0,0.0,0.0,0.168,0,0,0,0
1.0,0.576,0.0166,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.907,0.575,0.017,0.0499,0.0499,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.8,0.589,0.0184,0.0504,0.0504,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.8,0.576,0.0172,0.0499,0.0499,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
