Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,1.3450623693251258,0.1174686411305568,0.9667625000000001,0.022417706155418764,0.00195781068550928,0.016112708333333333,0.026701767522406893,0.15047101846938554,1.1278895833333333,0.04000000000000001,0.0,0.9667625000000001,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,On,17291.977272958586,18.33333333333337,0.8,6502.325114819191,28.333016005555557,1.1278895833333333,1,22666.412804444444,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,Off,0.0,0,79.46426351500128,51.666666666666686,46.10666666666668,0.0,49.51882598931603,0.0,0.0,0.0,124.1629117421895,47.244062576216486,49.51882598931603,46.10668086966672,12.43753247303448,17.708131867268136,-0.12520146606523497,8.56591635227107,-1.5951703866072555,2.8,9.236100170605994,15827.559385652105,2537.1474995135777,1174.1557440853512,-1638.5185875605064,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08433551376134425,0.0,0,0.78929696853376,123.15528013866667,-118.68432083355688,0.23366457648881958,8.314593072388767,0.002881171885633654,-43.0766069098632,1.227965127519574,0.5359997741303691,-4027.6395448748995,62.46192956928621,0.2531347627958242,1449.9237322767651,-275.76798819141385
2025-01-01 00:01:00,1.3450623693251258,0.1174686411305568,1.4313353511809255,0.022417706155418764,0.00195781068550928,0.02385558918634876,0.026701767522406893,0.15047101846938554,1.1278895833333333,0.04000000000000001,0.4645728511809253,0.9667625000000001,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,On,17291.977272958586,18.33333333333337,0.8,6502.325114819191,28.333016005555557,1.1278895833333333,1,22666.412804444444,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,On,10550.56,0,80.2278402522998,51.666666666666686,46.10666666666668,0.0,49.50448817810007,0.0,0.0,10550.56,125.35600039421843,47.23168149569443,49.50448817810007,46.09527815449162,12.43753247303448,17.91915603724741,0.0,8.736105030315777,-1.5413594718621515,2.8,9.236100170605994,15772.389824929829,2408.729791989204,1152.7673255218688,-1671.7739310474888,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08484619047520592,0.0,0,0.7940763973197449,123.15528013866667,-140.59853806885096,0.2312402080644698,8.437255476128424,0.00288102323446579,-43.889899946359506,1.2306594118240604,0.5367862840833354,-4152.605154353763,59.00983152377615,0.25265637194261087,1429.4654240482928,-276.6980985264241
2025-01-01 00:02:00,1.3450623693251258,0.1174686411305568,1.4313353511809255,0.022417706155418764,0.00195781068550928,0.02385558918634876,0.026701767522406893,0.15047101846938554,1.1278895833333333,0.04000000000000001,0.4645728511809253,0.9667625000000001,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,On,17291.977272958586,18.33333333333337,0.8,6502.325114819191,28.333016005555557,1.1278895833333333,1,22666.412804444444,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,On,10550.56,0,82.37151740212693,51.666666666666686,46.10666666666668,0.0,49.49028041195656,0.0,0.0,10550.56,128.7054959408233,48.27124547149683,49.49028041195656,47.66172800126697,12.43753247303448,18.12371447749125,0.0,8.895366634294003,-1.4891480522819334,2.8,9.236100170605994,15718.08064174761,2288.2163218034784,1132.676985322801,-1704.2606860915027,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08534033092259337,0.0,0,0.7987010630122613,123.15528013866667,-162.42096620705493,0.22827198710107915,8.532801331989582,0.0028808721083273636,-44.674420852009334,1.229795244901318,0.5375212532861546,-4269.854989644187,55.74619662847425,0.2521913335377491,1409.6745120998198,-276.99752677701866
2025-01-01 00:03:00,1.3450623693251258,0.1174686411305568,1.4313353511809255,0.022417706155418764,0.00195781068550928,0.02385558918634876,0.026701767522406893,0.15047101846938554,1.1278895833333333,0.04000000000000001,0.4645728511809253,0.9667625000000001,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,On,17291.977272958586,18.33333333333337,0.8,6502.325114819191,28.333016005555557,1.1278895833333333,1,22666.412804444444,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,On,10550.56,0,84.53075291713351,51.666666666666686,46.10666666666668,0.0,49.47622897816388,0.0,0.0,10550.56,132.0793014330211,49.31047544760891,49.47622897816388,49.22759868233143,12.43753247303448,18.32215759796004,0.0,9.044571414334973,-1.4382978963428323,2.8,9.236100170605994,15664.847253057078,2175.0547815897335,1113.8778070736075,-1736.011016723524,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08581885906079864,0.0,0,0.8031796129374132,123.15528013866667,-183.90402426556568,0.22543274578260314,8.625342586983939,0.0028807181727539865,-45.43163323534772,1.228958076986076,0.5382089011097596,-4379.970289725349,52.699956495891826,0.25173759391521616,1390.455862303243,-276.57805522963565
2025-01-01 00:04:00,1.3450623693251258,0.1174686411305568,1.4313353511809255,0.022417706155418764,0.00195781068550928,0.02385558918634876,0.026701767522406893,0.15047101846938554,1.1278895833333333,0.04000000000000001,0.4645728511809253,0.9667625000000001,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,On,17291.977272958586,18.33333333333337,0.8,6502.325114819191,28.333016005555557,1.1278895833333333,1,22666.412804444444,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,On,10550.56,0,86.78632486936404,51.666666666666686,46.10666666666668,0.0,50.349368999930036,0.0,0.0,10550.56,135.6036326083813,50.34936899993003,50.349368999930036,50.349368999930036,12.43753247303448,18.514786372187235,0.0,9.184478148732264,-1.388600889857356,2.8,9.236100170605994,15617.63157660425,2068.7297383936175,1096.1119393297563,-1767.0515499957712,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08628257265676796,0.0,0,0.8075195134045192,123.15528013866667,-200.07916744614835,0.22271400621588652,8.715075128485655,0.0028805615213998085,-46.16290447883962,1.228146532896195,0.538852899341978,-4483.459807032857,49.864430607282515,0.2512933523079273,1371.726827859064,-275.6148885293079
2025-01-01 00:05:00,0.21717278599179243,0.1174686411305568,0.4645728511809253,0.0036195464331965407,0.00195781068550928,0.007742880853015421,0.026701767522406893,0.15047101846938554,0.0,0.04000000000000001,0.4645728511809253,0.0,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,On,10550.56,0,89.07085498894797,51.666666666666686,46.10666666666668,0.0,51.3879111185786,0.0,0.0,10550.56,139.1732109202312,51.3879111185786,51.38791111857861,51.3879111185786,12.43753247303448,18.701953782324267,0.0,9.315759060265734,-1.339883821440498,2.8,9.236100170605994,-1716.179042861783,-4533.544031434198,1079.1810717318465,-1797.4194757703876,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08673238807224912,0.0,0,0.8117293406529039,123.15528013866667,-211.5445881789799,0.22010702419006395,8.802221228167447,0.0028804022433933205,-46.869798363513794,1.2273590288865677,0.5394564932865501,-4580.776402595038,47.232371160841,0.2508571067799815,1353.4188303378476,-274.23775860600114
2025-01-01 00:06:00,0.21717278599179243,0.1174686411305568,0.0,0.0036195464331965407,0.00195781068550928,0.0,0.026701767522406893,0.15047101846938554,0.0,0.04000000000000001,0.0,0.0,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,Off,0.0,0,90.84758630652153,51.666666666666686,46.10666666666668,0.0,52.42609729167235,0.0,0.0,0.0,141.9493536039399,52.42609729167235,52.42609729167235,52.42609729167235,12.43753247303448,18.569972284774394,0.0,9.204333018869944,-1.292002527910769,2.8,9.236100170605994,-1686.906771111485,-4448.2348257244585,1062.9556372982183,-1775.9842396124961,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08641527681490406,0.0,0,0.8087614930292008,123.15528013866667,-203.70755258657323,0.2219207322589199,8.740605159616162,0.0028802404225964726,-46.296196881297774,1.2279144370506097,0.5389442300253257,-4498.165034289845,49.93020856538639,0.2504276048491524,1335.474946536315,-272.5193092380965
2025-01-01 00:07:00,0.21717278599179243,0.1174686411305568,0.0,0.0036195464331965407,0.00195781068550928,0.0,0.026701767522406893,0.15047101846938554,0.0,0.04000000000000001,0.0,0.0,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,Off,0.0,0,91.15244089122903,51.666666666666686,46.10666666666668,0.0,52.41097218915839,0.0,0.0,0.0,142.42568889254537,52.41194261091975,52.412427821800435,52.41097218915839,12.43753247303448,18.442174331616087,0.0,9.100554311023505,-1.2448363688149617,2.8,9.236100170605994,-1659.49206890196,-4369.3076385347085,1047.3204676503856,-1755.3252553822651,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08610786628629566,0.0,0,0.8058844346287196,123.15528013866667,-196.95183460727915,0.22369275625252363,8.681146603616831,0.002880080654491968,-45.7396606741181,1.2284527213170864,0.5384666858344309,-4421.35361571065,52.04597717594149,0.25000379634790015,1317.847668841302,-270.5272011909165
2025-01-01 00:08:00,0.21717278599179243,0.1174686411305568,0.0,0.0036195464331965407,0.00195781068550928,0.0,0.026701767522406893,0.15047101846938554,0.0,0.04000000000000001,0.0,0.0,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,Off,0.0,0,91.44684105676737,51.666666666666686,46.10666666666668,0.0,52.39579680441652,0.0,0.0,0.0,142.88568915119902,52.3977404317195,52.398712245371,52.39579680441652,12.43753247303448,18.318224827803522,0.0,9.003685605188837,-1.1982851898694358,2.8,9.236100170605994,-1632.8240965099872,-4295.683597558906,1032.1783259672734,-1735.3795436343244,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08580938358346954,0.0,0,0.8030909318445058,123.15528013866667,-190.2295739632472,0.22542642505619861,8.623017034699776,0.0028799228761587884,-45.1988632541988,1.2289752489556243,0.5380205559772441,-4349.770074274011,54.08647671510491,0.24958480807629208,1300.4976358080353,-268.31930984076195
2025-01-01 00:09:00,0.21717278599179243,0.1174686411305568,0.0,0.0036195464331965407,0.00195781068550928,0.0,0.026701767522406893,0.15047101846938554,0.0,0.04000000000000001,0.0,0.0,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,Off,0.0,0,91.73144936892761,51.666666666666686,46.10666666666668,0.0,52.38057287934589,0.0,0.0,0.0,143.33038963894938,52.383492382942244,52.38495213474042,52.38057287934589,12.43753247303448,18.197878488016524,0.0,8.913130485588274,-1.152266453388362,2.8,9.236100170605994,-1607.0724525572016,-4226.952175880189,1017.4472134253945,-1716.099695398036,-0.0,-0.0,292.78502108758425,0.0,1.866,0.085519267869703,0.0,0,0.8003757357997181,123.15528013866667,-183.75777824674978,0.22712396976450056,8.566098898522153,0.0028797670295889113,-44.672835046830116,1.229483014291585,0.5376031685964242,-4282.951314113769,55.99913823357904,0.24916991960175938,1283.3924500712744,-265.94523664588
2025-01-01 00:10:00,0.21717278599179243,0.1174686411305568,0.0,0.0036195464331965407,0.00195781068550928,0.0,0.026701767522406893,0.15047101846938554,0.0,0.04000000000000001,0.0,0.0,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,Off,0.0,0,92.00681618922351,51.666666666666686,46.10666666666668,0.0,52.36530204548085,0.0,0.0,0.0,143.76065029566175,52.36919999022628,52.371148962599,52.36530204548085,12.43753247303448,18.080931738562576,0.0,8.828378919274929,-1.1067127408372008,2.8,9.236100170605994,-1582.21335711763,-4162.714991045223,1003.0582849775335,-1697.4458425462572,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08523705562009089,0.0,0,0.7977345083598488,123.15528013866667,-177.55253565895708,0.22878715584045187,8.511585118200244,0.002879613060388799,-44.16077123554287,1.2299768399850477,0.5372122372193904,-4220.501814815391,57.78682377016881,0.24875854210492412,1266.5056562188176,-263.4473712412842
2025-01-01 00:11:00,0.21717278599179243,0.1174686411305568,0.0,0.0036195464331965407,0.00195781068550928,0.0,0.026701767522406893,0.15047101846938554,0.0,0.04000000000000001,0.0,0.0,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,Off,0.0,0,92.27341054785263,51.666666666666686,46.10666666666668,0.0,52.349985842675174,0.0,0.0,0.0,144.17720398101974,52.35486469345982,52.35730411885214,52.349985842675174,12.43753247303448,17.967211229514934,0.0,8.748987032379056,-1.0615695763583184,2.8,9.236100170605994,-1558.2251166816923,-4102.626554742774,988.9540302189761,-1679.383652377573,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08496235354119042,0.0,0,0.7951635686873921,123.15528013866667,-171.62648539170337,0.23041742111241245,8.457451953763178,0.0028794609171744023,-43.66198619222284,1.2304574246676188,0.5368457700569232,-4162.077950227174,59.45139548440083,0.24835019986726176,1249.8158555758537,-260.8618253568776
2025-01-01 00:12:00,0.21717278599179243,0.1174686411305568,0.0,0.0036195464331965407,0.00195781068550928,0.0,0.026701767522406893,0.15047101846938554,0.0,0.04000000000000001,0.0,0.0,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,Off,0.0,0,92.53164530970467,51.666666666666686,46.10666666666668,0.0,52.33462573264568,0.0,0.0,0.0,144.58069579641355,52.3404878594529,52.343418922856515,52.33462573264568,12.43753247303448,17.85656446876546,0.0,8.674561749593352,-1.0167935333962588,2.8,9.236100170605994,-1535.081046222931,-4046.3789849044665,975.0866848567288,-1661.8827153528778,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08469481641009911,0.0,0,0.7926596858375389,123.15528013866667,-165.9833519576377,0.23201599206230508,8.405553068806576,0.0028793105511321845,-43.175876235880324,1.2309253818927859,0.5365020010548253,-4107.376095694407,60.99711078994035,0.24794451410460813,1233.305940607924,-258.2192557511952
2025-01-01 00:13:00,0.21717278599179243,0.1174686411305568,0.0,0.0036195464331965407,0.00195781068550928,0.0,0.026701767522406893,0.15047101846938554,0.0,0.04000000000000001,0.0,0.0,0.0,0.10580197446389013,0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.004021034356725146,0.0,On,0.022680733165681748,0,On,0.009401719184198668,0,On,0.10775778632678415,0.08081833974508809,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,22666.412804444444,Off,0.0,24.444444444444457,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,11158.389484444444,Off,0.0,0,92.7818925500137,51.666666666666686,46.10666666666668,0.0,52.31922310832558,0.0,0.0,0.0,144.9717071093964,52.32607079068839,52.32949463186979,52.31922310832558,12.43753247303448,17.748854100828765,-0.08447923250460576,8.604750262722655,-0.9723505895377788,2.8,9.236100170605994,-1512.7502923243317,-3993.69510326059,961.4168504387387,-1644.9155507561136,-0.0,-0.0,292.78502108758425,0.0,1.866,0.08443413357478932,0.0,0,0.7902199524146649,123.15528013866667,-160.61976265580225,0.23358395371876084,8.35453835041571,0.0028791619157154287,-42.70189691950743,1.2313812638808213,0.5361793427563362,-4056.124433642838,62.429330382248615,0.24754118886876564,1216.9624333821537,-255.5455829434149
