Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,2.651360223210148,0.10150471842177576,0.0,0.04418933705350247,0.001691745307029596,0.0,0.008176391680909166,2.499896577777778,0.1332872537514608,0.0,0.010000000000000002,0.0,0.0,0.0985880517551091,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.002864089912280702,0.0,On,0.005312301768628464,0,On,0.001836518077981959,0,On,0.09379046123225593,0.07034284592419192,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,6207.8322755555555,Off,0.0,22.166666666666714,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1025.4558177777778,Lower On,2499.896577777778,1.0,33.27492943453035,51.666666666666686,46.10666666666668,0.0,49.895267782319614,0.0,0.0,2499.896577777778,33.27492943453035,49.895267782319614,49.89526778231962,49.895267782319614,12.43753247303448,21.465852537049777,0.0,2.8,-541.7340668473246,-685.0527466835158,-0.0,-0.0,200.89792736833428,0.0,1.0,0.02816167806754052,0.0,0,0.7058897852884414,65.99961422222222,-57.579247532143114,0.19119448140985998,10.144778063694996,0.0029780881883634844,-2.5389639118816185,1.2122319941458668
2025-01-01 00:01:00,2.651360223210148,0.10150471842177576,0.0,0.04418933705350247,0.001691745307029596,0.0,0.008176391680909166,2.499896577777778,0.1332872537514608,0.0,0.010000000000000002,0.0,0.0,0.0985880517551091,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.002864089912280702,0.0,On,0.005312301768628464,0,On,0.001836518077981959,0,On,0.09379046123225593,0.07034284592419192,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,6207.8322755555555,Off,0.0,22.166666666666714,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1025.4558177777778,Lower On,2499.896577777778,1.0,33.89011742832645,51.666666666666686,46.10666666666668,0.0,50.24143746555274,0.0,0.0,2499.896577777778,33.89011742832645,50.24143746555274,50.24143746555275,50.24143746555274,12.43753247303448,21.28327079067183,0.0,2.8,-534.3833018056346,-675.2971790466624,-0.0,-0.0,200.89792736833428,0.0,1.0,0.028034864241629872,0.0,0,0.7027111187285516,65.99961422222222,-59.984050127306354,0.19390934082631373,10.08743897537233,0.002978064418204527,-2.285856403627124,1.2165270142935483
2025-01-01 00:02:00,2.651360223210148,0.10150471842177576,0.0,0.04418933705350247,0.001691745307029596,0.0,0.008176391680909166,2.499896577777778,0.1332872537514608,0.0,0.010000000000000002,0.0,0.0,0.0985880517551091,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.002864089912280702,0.0,On,0.005312301768628464,0,On,0.001836518077981959,0,On,0.09379046123225593,0.07034284592419192,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,6207.8322755555555,Off,0.0,22.166666666666714,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1025.4558177777778,Lower On,2499.896577777778,1.0,34.49902814935422,51.666666666666686,46.10666666666668,0.0,50.58752081230493,0.0,0.0,2499.896577777778,34.49902814935422,50.58752081230493,50.58752081230493,50.58752081230493,12.43753247303448,21.105997996752535,0.0,2.8,-528.3120019534229,-665.8784885167076,-0.0,-0.0,200.89792736833428,0.0,1.0,0.027911547942553096,0.0,0,0.6996201198303644,65.99961422222222,-63.33144080504949,0.1960292611034661,10.008317059518522,0.00297804309323165,-2.039906777943282,1.2172599194894664
2025-01-01 00:03:00,2.651360223210148,0.10150471842177576,0.0,0.04418933705350247,0.001691745307029596,0.0,0.008176391680909166,2.499896577777778,0.1332872537514608,0.0,0.010000000000000002,0.0,0.0,0.0985880517551091,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.002864089912280702,0.0,On,0.005312301768628464,0,On,0.001836518077981959,0,On,0.09379046123225593,0.07034284592419192,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,6207.8322755555555,Off,0.0,22.166666666666714,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1025.4558177777778,Lower On,2499.896577777778,1.0,35.10204493291258,51.666666666666686,46.10666666666668,0.0,50.93351870353881,0.0,0.0,2499.896577777778,35.10204493291258,50.9335187035388,50.93351870353881,50.93351870353881,12.43753247303448,20.93370556115532,0.0,2.8,-522.7689707451513,-656.7747718788114,-0.0,-0.0,200.89792736833428,0.0,1.0,0.02779151681928276,0.0,0,0.6966114658847429,65.99961422222222,-66.8921262346741,0.19811476412721618,9.93090863548568,0.0029780240742044856,-1.8006789054348595,1.217973079658796
2025-01-01 00:04:00,2.651360223210148,0.10150471842177576,0.0,0.04418933705350247,0.001691745307029596,0.0,0.008176391680909166,2.499896577777778,0.1332872537514608,0.0,0.010000000000000002,0.0,0.0,0.0985880517551091,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.002864089912280702,0.0,On,0.005312301768628464,0,On,0.001836518077981959,0,On,0.09379046123225593,0.07034284592419192,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,6207.8322755555555,Off,0.0,22.166666666666714,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1025.4558177777778,Lower On,2499.896577777778,1.0,35.69946621705367,51.666666666666686,46.10666666666668,0.0,51.279431966419125,0.0,0.0,2499.896577777778,35.69946621705367,51.279431966419125,51.27943196641913,51.279431966419125,12.43753247303448,20.766137804796724,0.0,2.8,-514.1190680089654,-647.968436205513,-0.0,-0.0,200.89792736833428,0.0,1.0,0.027674607659254096,0.0,0,0.6936810658683461,65.99961422222222,-67.04855917178676,0.2001671735284304,9.855816167542425,0.002978007295443497,-1.5678407849029363,1.2186674839972598
2025-01-01 00:05:00,2.651360223210148,0.10150471842177576,0.0,0.04418933705350247,0.001691745307029596,0.0,0.008176391680909166,2.499896577777778,0.1332872537514608,0.0,0.010000000000000002,0.0,0.0,0.0985880517551091,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.002864089912280702,0.0,On,0.005312301768628464,0,On,0.001836518077981959,0,On,0.09379046123225593,0.07034284592419192,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,6207.8322755555555,Off,0.0,22.166666666666714,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1025.4558177777778,Lower On,2499.896577777778,1.0,36.29135687066491,51.666666666666686,46.10666666666668,0.0,51.62526138622735,0.0,0.0,2499.896577777778,36.29135687066491,51.62526138622735,51.625261386227365,51.62526138622735,12.43753247303448,20.603239758505286,-0.06342690816142849,2.8,-503.06708072793015,-639.4527388201451,-0.0,-0.0,200.89792736833428,0.0,1.0,0.027560796176512248,0.0,0,0.6908283110387748,65.99961422222222,-64.51226927611941,0.20218546544047938,9.782309578650901,0.002977992694597031,-1.341335896678546,1.2193432951196483
2025-01-01 00:06:00,0.15146364543236998,0.10150471842177576,0.0,0.0025243940905394996,0.001691745307029596,0.0,0.008176391680909166,0.0,0.1332872537514608,0.0,0.010000000000000002,0.0,0.0,0.0985880517551091,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.002864089912280702,0.0,On,0.005312301768628464,0,On,0.001836518077981959,0,On,0.09379046123225593,0.07034284592419192,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,6207.8322755555555,Off,0.0,22.166666666666714,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1025.4558177777778,Off,0.0,0.0,36.67973352304303,51.666666666666686,46.10666666666668,0.0,51.97100773914116,0.0,0.0,0.0,36.67973352304303,51.97100773914115,51.97100773914116,51.97100773914116,12.43753247303448,20.4449348428201,-0.22173182384661416,2.8,-491.60276570330166,-631.2199698405265,-0.0,-0.0,200.89792736833428,0.0,1.0,0.02745004237674193,0.0,0,0.6880521989139133,65.99961422222222,-61.280723231109526,0.20416892909918388,9.711075197535296,0.002977980210048187,-1.1210769257309843,1.2200007680929377
2025-01-01 00:07:00,6.3592959209879245,0.10150471842177576,0.0,0.10598826534979874,0.001691745307029596,0.0,0.008176391680909166,0.0,0.1332872537514608,6.207832275555555,0.010000000000000002,0.0,0.0,0.0985880517551091,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.002864089912280702,0.0,On,0.005312301768628464,0,On,0.001836518077981959,0,On,0.09379046123225593,0.07034284592419192,On,On,6207.8322755555555,21.166666666666714,1.0000000000000002,0.0,6.207832275555555,0.0,1,6207.8322755555555,6207.8322755555555,Off,0.0,22.166666666666714,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1025.4558177777778,Off,0.0,0.0,36.85276175553067,51.666666666666686,46.10666666666668,0.0,51.96555597238154,0.0,0.0,0.0,36.85276175553067,51.96586004584037,51.96601208256979,51.96555597238154,12.43753247303448,20.29106114856165,-0.3756055181050648,2.8,5727.355159957631,-623.2581886478886,-0.0,-0.0,200.89792736833428,0.0,1.0,0.02734224579931433,0.0,0,0.6853502113862985,65.99961422222222,-58.11685431836945,0.2061179944025733,9.64203417885595,0.002977969781193651,-0.9068572117015727,1.2206405159099445
2025-01-01 00:08:00,6.3592959209879245,0.10150471842177576,0.0,0.10598826534979874,0.001691745307029596,0.0,0.008176391680909166,0.0,0.1332872537514608,6.207832275555555,0.010000000000000002,0.0,0.0,0.0985880517551091,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.002864089912280702,0.0,On,0.005312301768628464,0,On,0.001836518077981959,0,On,0.09379046123225593,0.07034284592419192,On,On,6207.8322755555555,21.166666666666714,1.0000000000000002,0.0,6.207832275555555,0.0,1,6207.8322755555555,6207.8322755555555,Off,0.0,22.166666666666714,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1025.4558177777778,Off,0.0,0.0,36.66969803505146,51.666666666666686,46.10666666666668,0.0,51.96007855610596,0.0,0.0,0.0,36.66969803505146,51.96068806947677,51.960992826162176,51.96007855610596,12.43753247303448,20.44322262991679,-0.22344403674992463,2.8,5715.165053300443,-631.1311559469494,-0.0,-0.0,200.89792736833428,0.0,1.0,0.027448843657248277,0.0,0,0.6880221522723756,65.99961422222222,-62.433993676496556,0.20418922359004263,9.710124329727925,0.00297796134954638,-1.1170590610382143,1.2200078969216002
2025-01-01 00:09:00,6.3592959209879245,0.10150471842177576,0.0,0.10598826534979874,0.001691745307029596,0.0,0.008176391680909166,0.0,0.1332872537514608,6.207832275555555,0.010000000000000002,0.0,0.0,0.0985880517551091,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.002864089912280702,0.0,On,0.005312301768628464,0,On,0.001836518077981959,0,On,0.09379046123225593,0.07034284592419192,On,On,6207.8322755555555,21.166666666666714,1.0000000000000002,0.0,6.207832275555555,0.0,1,6207.8322755555555,6207.8322755555555,Off,0.0,22.166666666666714,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1025.4558177777778,Off,0.0,0.0,36.49235398334916,51.666666666666686,46.10666666666668,0.0,51.95462841712947,0.0,0.0,0.0,36.49235398334916,51.955541784572645,51.95599846829424,51.95462841712947,12.43753247303448,20.59049381891381,-0.076172847752904,2.8,5703.9829831252055,-638.7883128922597,-0.0,-0.0,200.89792736833428,0.0,1.0,0.02755188434385646,0.0,0,0.6906049304708687,65.99961422222222,-65.95890690642406,0.20234160482583435,9.776838761343015,0.002977950958128881,-1.3200447444482983,1.2193962353620649
