Metric,Value
Total Electric Energy (kWh),990.6930863093304
Total Gas Energy (therms),0.0
Average Electric Power (kW),1.37596261987407
Peak Electric Power (kW),6.636973993935519
Other Electric Energy (kWh),219.24849141830543
HVAC Heating Electric Energy (kWh),346.6735828764444
Lighting Electric Energy (kWh),31.24562572939549
Water Heating Electric Energy (kWh),393.52538628518533
Average Temperature - Indoor (C),18.080314838805492
Unmet Heating Load (C-hours),38.4047544975172
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
