Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.7193326248592274,0.11127507467797906,0.47467027027027026,0.011988877080987123,0.0018545845779663177,0.00791117117117117,0.02853565825028561,0.006614,0.1539501541089417,0.48023281250000005,0.05,0.0,0.47467027027027026,0.0,0,0.09669174134464573,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0031326663011695902,0.0,On,0.025402991949116018,0,On,0.02502783231608067,0,On,0.08717421155778711,0.06538065866834031,On,0,0,Off,On,11326.155429554528,16.666666666666686,0.925,2021.9506585010286,13.911214351951951,0.48023281250000005,1,12867.873275555556,12867.873275555556,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,6724.809715555556,Off,0.0,0.0,3.587544791609313e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.587544791609313e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,15.791421024448173,-0.37524564221851264,7.216923813682544,2.8,9.236100170605994,10365.996249385878,475.01917544705384,-1210.377727843118,-0.0,-0.0,286.33897484440445,0.0,1.666,0.07149021680814367,0.0,0,1.289550432680988,109.95535729422221,-36.120427169936306,0.2556024870664777,7.28848279992676,0.0027899485319704933,-11.55666644804637,1.236178951632854,0.27484513867506166,-1582.0697256712065,35.13824261723181
2025-01-01 00:01:00,0.7193326248592274,0.11127507467797906,0.47467027027027026,0.011988877080987123,0.0018545845779663177,0.00791117117117117,0.02853565825028561,0.006614,0.1539501541089417,0.48023281250000005,0.05,0.0,0.47467027027027026,0.0,0,0.09669174134464573,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0031326663011695902,0.0,On,0.025402991949116018,0,On,0.02502783231608067,0,On,0.08717421155778711,0.06538065866834031,On,0,0,Off,On,11326.155429554528,16.666666666666686,0.925,2021.9506585010286,13.911214351951951,0.48023281250000005,1,12867.873275555556,12867.873275555556,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,6724.809715555556,Off,0.0,0.0,3.5571292755776085e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.5571292755776085e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,16.095463780647044,-0.0712028860196412,7.345332893591365,2.8,9.236100170605994,10309.101278998745,425.64249808174054,-1253.5177856432324,-0.0,-0.0,286.33897484440445,0.0,1.666,0.07234513929489478,0.0,0,1.304971642909756,109.95535729422221,-49.875339756955384,0.2514077338891174,7.4583539839152895,0.002789872179009528,-12.719832729395746,1.2384868320248201,0.27515673669379553,-1629.9095256537457,33.6013652344576
2025-01-01 00:02:00,0.7193326248592274,0.11127507467797906,0.47467027027027026,0.011988877080987123,0.0018545845779663177,0.00791117117117117,0.02853565825028561,0.006614,0.1539501541089417,0.48023281250000005,0.05,0.0,0.47467027027027026,0.0,0,0.09669174134464573,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0031326663011695902,0.0,On,0.025402991949116018,0,On,0.02502783231608067,0,On,0.08717421155778711,0.06538065866834031,On,0,0,Off,On,11326.155429554528,16.666666666666686,0.925,2021.9506585010286,13.911214351951951,0.48023281250000005,1,12867.873275555556,12867.873275555556,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,6724.809715555556,Off,0.0,0.0,3.5278035663092545e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.5278035663092545e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,16.388834165049595,0.0,7.465122838986063,2.8,9.236100170605994,10254.473725548583,379.6329400017512,-1295.7152471356146,-0.0,-0.0,286.33897484440445,0.0,1.666,0.07316606840104628,0.0,0,1.3197796758309472,109.95535729422221,-62.30543171473394,0.24673999265257296,7.599897074027254,0.0027897882978053716,-13.833901458414742,1.2372320185695667,0.2754471016870344,-1674.63029166622,32.312573166942755
2025-01-01 00:03:00,0.7193326248592274,0.11127507467797906,0.47467027027027026,0.011988877080987123,0.0018545845779663177,0.00791117117117117,0.02853565825028561,0.006614,0.1539501541089417,0.48023281250000005,0.05,0.0,0.47467027027027026,0.0,0,0.09669174134464573,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0031326663011695902,0.0,On,0.025402991949116018,0,On,0.02502783231608067,0,On,0.08717421155778711,0.06538065866834031,On,0,0,Off,On,11326.155429554528,16.666666666666686,0.925,2021.9506585010286,13.911214351951951,0.48023281250000005,1,12867.873275555556,12867.873275555556,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,6724.809715555556,Off,0.0,0.0,3.499468590462129e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.499468590462129e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,16.6722247540183,0.0,7.577040055201356,2.8,9.236100170605994,10200.963278143676,336.5453312734262,-1337.0069798032064,-0.0,-0.0,286.33897484440445,0.0,1.666,0.07395540267261967,0.0,0,1.3340177967499125,109.95535729422221,-74.52414645205107,0.2423223098555861,7.736468152160197,0.002789696977327247,-14.90217249935631,1.2360223108962616,0.2757181072632562,-1716.492156504864,31.086829277261543
2025-01-01 00:04:00,0.23909981235922728,0.11127507467797906,0.0,0.003984996872653788,0.0018545845779663177,0.0,0.02853565825028561,0.006614,0.1539501541089417,0.0,0.05,0.0,0.0,0.0,0,0.09669174134464573,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0031326663011695902,0.0,On,0.025402991949116018,0,On,0.02502783231608067,0,On,0.08717421155778711,0.06538065866834031,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,12867.873275555556,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,6724.809715555556,Off,0.0,0.0,3.47207481136517e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.47207481136517e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,16.94617922970906,0.0,7.6817141003916705,2.8,9.236100170605994,-1176.259189036291,-1725.7728121844013,-1377.4156530551124,-0.0,-0.0,286.33897484440445,0.0,1.666,0.07471506969316227,0.0,0,1.3477207756856624,109.95535729422221,-85.18251082558301,0.23813507929682537,7.867830723009915,0.002789598508690423,-15.927346536010303,1.234855137448803,0.27597133277688296,-1755.714775705982,29.941963521580725
2025-01-01 00:05:00,0.23909981235922728,0.11127507467797906,0.0,0.003984996872653788,0.0018545845779663177,0.0,0.02853565825028561,0.006614,0.1539501541089417,0.0,0.05,0.0,0.0,0.0,0,0.09669174134464573,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0031326663011695902,0.0,On,0.025402991949116018,0,On,0.02502783231608067,0,On,0.08717421155778711,0.06538065866834031,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,12867.873275555556,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,6724.809715555556,Off,0.0,0.0,3.485152492525382e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.485152492525382e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,16.815259927041474,0.0,7.639229042288865,2.8,9.236100170605994,-1152.5156525189116,-1709.4521980655607,-1358.0447325264474,-0.0,-0.0,286.33897484440445,0.0,1.666,0.07435244713213673,0.0,0,1.3411797397041196,109.95535729422221,-80.80989483686841,0.2401128253495582,7.80497809426493,0.002789493166567604,-15.40203541967112,1.2354127530263934,0.27586858173587137,-1739.7869621936277,30.33476412806713
2025-01-01 00:06:00,0.23909981235922728,0.11127507467797906,0.0,0.003984996872653788,0.0018545845779663177,0.0,0.02853565825028561,0.006614,0.1539501541089417,0.0,0.05,0.0,0.0,0.0,0,0.09669174134464573,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0031326663011695902,0.0,On,0.025402991949116018,0,On,0.02502783231608067,0,On,0.08717421155778711,0.06538065866834031,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,12867.873275555556,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,6724.809715555556,Off,0.0,0.0,3.497784343646041e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.497784343646041e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,16.689162885718684,0.0,7.599841716038856,2.8,9.236100170605994,-1130.1472081218642,-1694.0448488998695,-1339.4913850422377,-0.0,-0.0,286.33897484440445,0.0,1.666,0.07400246764505221,0.0,0,1.334866761241479,109.95535729422221,-76.99479792403089,0.24203516199271377,7.74468090857403,0.0027893913447870817,-14.895234068587355,1.2359503060016985,0.2757732884281394,-1725.030450406503,30.98560150663349
2025-01-01 00:07:00,0.23909981235922728,0.11127507467797906,0.0,0.003984996872653788,0.0018545845779663177,0.0,0.02853565825028561,0.006614,0.1539501541089417,0.0,0.05,0.0,0.0,0.0,0,0.09669174134464573,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0031326663011695902,0.0,On,0.025402991949116018,0,On,0.02502783231608067,0,On,0.08717421155778711,0.06538065866834031,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,12867.873275555556,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,6724.809715555556,Off,0.0,0.0,3.5099208280560866e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.5099208280560866e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,16.567485595796626,0.0,7.563251561506085,2.8,9.236100170605994,-1108.422533178987,-1680.0708893167046,-1321.685409331083,-0.0,-0.0,286.33897484440445,0.0,1.666,0.07366408741207517,0.0,0,1.328763011731007,109.95535729422221,-73.07609869230821,0.24390651695691415,7.685503048788732,0.0027892929162631314,-14.405449258260274,1.2364694612790212,0.2756847330566772,-1711.330484767883,31.25959545117858
2025-01-01 00:08:00,0.23909981235922728,0.11127507467797906,0.0,0.003984996872653788,0.0018545845779663177,0.0,0.02853565825028561,0.006614,0.1539501541089417,0.0,0.05,0.0,0.0,0.0,0,0.09669174134464573,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0031326663011695902,0.0,On,0.025402991949116018,0,On,0.02502783231608067,0,On,0.08717421155778711,0.06538065866834031,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,12867.873275555556,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,6724.809715555556,Off,0.0,0.0,3.5216610190976404e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.5216610190976404e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,16.44993203487187,0.0,7.52917174924453,2.8,9.236100170605994,-1087.5384246011383,-1666.8077561697846,-1304.573673550081,-0.0,-0.0,286.33897484440445,0.0,1.666,0.07333654896274314,0.0,0,1.3228548278155867,109.95535729422221,-69.3037258954619,0.24572990121321822,7.629125911448471,0.0027891977642322554,-13.931587598833486,1.2369714363889646,0.2756022276143409,-1698.577871784917,31.770115615132536
2025-01-01 00:09:00,0.23909981235922728,0.11127507467797906,0.0,0.003984996872653788,0.0018545845779663177,0.0,0.02853565825028561,0.006614,0.1539501541089417,0.0,0.05,0.0,0.0,0.0,0,0.09669174134464573,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0031326663011695902,0.0,On,0.025402991949116018,0,On,0.02502783231608067,0,On,0.08717421155778711,0.06538065866834031,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,12867.873275555556,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,6724.809715555556,Off,0.0,0.0,3.533054453441764e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.533054453441764e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,16.336251559404488,0.0,7.497403441108468,2.8,9.236100170605994,-1067.4739838723492,-1654.674054543747,-1288.1107979575372,-0.0,-0.0,286.33897484440445,0.0,1.666,0.07301921373132737,0.0,0,1.3171306909581573,109.95535729422221,-65.70216075921633,0.2475077936662867,7.5741994897346485,0.0027891057795339305,-13.472723469920352,1.2374572604484857,0.275525295953226,-1686.6966838102392,32.02262926649223
