Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-20 04:00:00,0.34474338352000494,0.10260684222345326,0.15031225225225225,0.12251830496977381,0.15207372395833335,0.013537354591897699,0.006614,0.05,0.15031225225225225,0.0,0.0,51.66666666666668,18.03853592603978,-0.06092971490933253
2025-01-20 05:00:00,0.3210450095251218,0.10260684222345326,0.12657873873873873,0.12251830496977381,0.12806208333333335,0.013850621222014657,0.006614,0.05,0.12657873873873873,0.0,0.0,51.66666666666668,18.015129135881306,-0.061168303769770206
2025-01-20 06:00:00,0.3635433993661884,0.10417239635726853,0.1661345945945946,0.1246057104815275,0.168081484375,0.014242204509660857,0.006614,0.05,0.1661345945945946,0.0,0.0,51.66666666666668,18.036687538341564,-0.06733510280901485
2025-01-20 07:00:00,0.36398308532705775,0.1109556252056582,0.13448990990990992,0.13915243722259152,0.1360659635416667,0.032150684562799535,0.006614,0.05,0.13448990990990992,0.0,0.0,51.66666666666668,18.025346990256633,-0.06316455228869415
2025-01-20 08:00:00,1.1197180571650718,0.1265928027354868,0.14358413236501527,0.8529013206424853,0.12806208333333335,0.08214065318925323,0.006614,0.05,0.12657873873873873,0.01700539362627655,0.0,51.66666666666668,18.062825170486374,-0.056570450100359555
2025-01-20 09:00:00,0.4200451213795358,0.12015057171034901,0.12997981746399404,0.1749951896904999,0.12806208333333335,0.060373848355702524,0.006614,0.05,0.12657873873873873,0.0034010787252553095,0.0,51.66666666666668,18.063272997449175,-0.0603814227834824
2025-01-20 10:00:00,0.3936043019480904,0.1193677946434414,0.09833513277930936,0.18114093819720595,0.0960465625,0.0598028012508844,0.006614,0.05,0.09493405405405404,0.0034010787252553095,0.0,51.66666666666668,18.09235600896205,-0.050313597008020614
2025-01-20 11:00:00,0.3887217836093249,0.1193677946434414,0.08702288288288289,0.1861237262009763,0.08804268229166667,0.05794137511668193,0.006614,0.05,0.08702288288288289,0.0,0.0,51.66666666666668,18.055070652115493,-0.062479950544446855
2025-01-20 12:00:00,0.3348583550215565,0.11864396089229033,0.05765986235042215,0.1810157822210687,0.04802328125,0.04920529155048772,0.006614,0.05,0.04746702702702702,0.010192835323395117,0.0,51.66666666666668,18.018808093394263,-0.05686450247040706
2025-01-20 13:00:00,0.9928100231173986,0.1197886548347735,0.02713459223876882,0.8599520017680196,0.024011640625,0.05223238072437914,0.006614,0.05,0.02373351351351351,0.0034010787252553095,0.0,51.66666666666668,17.878739092647034,-0.0717234783516469
