Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-01 00:00:00,0.3618451647938736,0.23724939950776885,0.0,0.3419897333866551,0.019855431407218457,0.0,0.0,0.0,51.4121760969593,19.366383148419377,0.0
2025-01-01 01:00:00,0.33769297832734774,0.23207385076035536,0.0,0.32179390681026526,0.01589907151708249,0.0,0.0,0.0,51.27983411378528,19.150824091968467,0.0
2025-01-01 02:00:00,0.33665236548094557,0.2312933911255537,0.0,0.32075329396386304,0.01589907151708249,0.0,0.0,0.0,51.14741542938578,19.00349358965782,0.0
2025-01-01 03:00:00,0.33535584391743806,0.23051293149075203,0.0,0.3197126811174608,0.015643162799977225,0.0,0.0,0.0,51.0150362511797,18.858007113469174,0.0
2025-01-01 04:00:00,0.34181523107103584,0.23191997185595037,0.0,0.31867206827105865,0.015643162799977225,0.0,0.007499999999999999,0.0,50.88272390206395,18.708633292122865,0.0
2025-01-01 05:00:00,1.369755474122895,0.24026167160029527,0.0,0.33383728743594504,0.02007283727954247,1.0083453494074075,0.007499999999999999,0.0,51.29565898501896,18.521147651476205,0.0
2025-01-01 06:00:00,2.322134536699371,0.2511509432721768,0.0,0.3560923510912058,0.03351924583038709,1.925022939777778,0.007499999999999999,0.0,51.49946414662358,18.470065466908622,0.0
2025-01-01 07:00:00,1.5205825875943861,0.2868310303803479,0.0,0.4278446928333309,0.06939254535364771,1.0083453494074075,0.014999999999999998,0.0,51.56196250701428,18.46179730956405,0.0
2025-01-01 08:00:00,2.547070703701617,0.30842089152792407,0.0,0.5177602168527896,0.08928754707105006,1.925022939777778,0.014999999999999998,0.0,51.4048249844958,18.436225527315013,0.0
2025-01-01 09:00:00,2.5586049567494142,0.30842089152792407,0.0,0.5287034017009121,0.08987861527072434,1.925022939777778,0.014999999999999998,0.0,51.352693636139506,18.54427599942052,0.0
2025-01-01 10:00:00,3.344744844011592,0.30392810505813456,0.0,0.49989591853383264,0.08731615436664783,2.7500327711111114,0.007499999999999999,0.0,51.30185697534997,18.653905155903008,0.0
2025-01-01 11:00:00,1.3558199358094247,0.2803033336721298,0.0,0.46812209772113855,0.06268800675495272,0.8250098313333335,0.0,0.0,51.45220006338351,18.774624499829823,0.0
2025-01-01 12:00:00,1.7002158079551424,0.2703832038312369,0.0,0.45874075855714364,0.04979418191651712,1.1916808674814816,0.0,0.0,51.65664440233482,18.85085974778139,0.0
