Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,1.0015514141191264,0.26608636296394045,0.5016879166666667,1.0015514141191264,0.26608636296394045,0.5016879166666667,0.020271302607617534,0.34597754206706416,0.5853025694444446,0.05,0.0,0.5016879166666667,0.0,0.2515030296306071,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0661799100099244,0.04963493250744329,0.0,0.0,0.004544051535087718,0.0,0.0004420611757790718,0.0,0.015285189896750744,0.0,0.010640169226254523,0.0,0.2691574628308852,0.20186809712316384,9019.20854509051,22.222222222222285,0.3866666666666667,3328.5128378354143,14.703023516851854,0.5853025694444446,0.48333333333333334,11762.418813481483,24336.038924444445,0.0,23.33333333333337,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13388.367568888889,0.0,0.0,70.83241940415687,51.66666666666668,46.10666666666668,0.0,49.247292554572525,0.0,0.0,0.0,110.67565531899511,48.82597600656037,49.247292554572525,48.615317732554296,12.43753247303448,21.867393980591995,-0.0745417224986932,2.6013666134985156,6.862224721432343,2.8,9.236100170605994,4219.299975338763,313.68514314667044,1899.011611638966,-5383.270295662766,0.0,0.0,677.4058933876308,0.0,5.0,0.21660582468091658,0.0,0.0,1.5797214909788397,329.99807111111113,-94.04416747661222,0.17834795223914643,10.192358721989418,0.0028376162393813306,-70.17943553996244,1.214163752041459,1.0873669091327998,275.30408456542295,38.381058581247466,0.20763400224922524,-1101.4017941352733,-328.09943206117504
2025-01-01 01:00:00,0.6564477097259687,0.2648454896512544,0.207595,0.6564477097259687,0.2648454896512544,0.207595,0.019930498742485956,0.34432304431681604,0.24219416666666677,0.05,0.0,0.207595,0.0,0.25026215631792104,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06452541225967628,0.04839405919475721,0.0,0.0,0.004203247669956139,0.0,0.0004420611757790718,0.0,0.015285189896750744,0.0,0.010640169226254523,0.0,0.2691574628308852,0.20186809712316384,3732.086294520211,20.5555555555556,0.16000000000000003,1377.3156570353437,6.084009731111111,0.24219416666666677,0.2,4867.207784888889,24336.038924444445,0.0,23.33333333333337,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13388.367568888889,0.0,0.0,73.03595750985554,51.66666666666668,46.10666666666668,0.0,48.66175913245878,0.0,0.0,0.0,114.11868360914929,48.290244101131115,48.66175913245878,48.104486585467285,12.43753247303448,20.490630156897975,-0.04053727676594618,3.294169522321826,6.1183359772507675,2.5,9.236100170605994,-325.2013506908222,-1091.6233422647542,346.7070250915986,-4710.542571685435,0.0,-0.04128024026181431,675.4105917722511,0.0,5.0,0.20064871215436716,0.0,1.6536936799736095e-06,1.4633572092064453,329.99807111111113,-22.114385057587768,0.19354582112056723,9.563571185692306,0.0028284082661972163,-30.478556395196087,1.2199256266875451,1.0873669091327998,-1126.8500721972923,35.22672993253804,0.16823737157340338,-779.4730424863602,-251.13558945738515
2025-01-01 02:00:00,0.9171702258646096,0.2636046163385683,0.43248958333333337,0.9171702258646096,0.2636046163385683,0.4324895833333333,0.019930498742485956,0.3426685465665679,0.5045711805555557,0.05,0.0,0.43248958333333337,0.0,0.24902128300523493,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06287091450942818,0.04715318588207112,0.0,0.0,0.004203247669956139,0.0,0.0004420611757790718,0.0,0.015285189896750744,0.0,0.010640169226254523,0.0,0.2691574628308852,0.20186809712316384,7775.179780250441,20.5555555555556,0.3333333333333333,2869.4076188236336,12.675020273148148,0.5045711805555557,0.4166666666666667,10140.016218518518,24336.038924444445,0.0,23.33333333333337,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13388.367568888889,0.0,0.0,72.26530920101868,51.66666666666668,46.10666666666668,0.0,48.06718747622234,0.0,0.0,0.0,112.91454562659169,47.74501336693156,48.06718747622234,47.583926312286174,12.43753247303448,20.237017513519934,-0.06505171410469283,2.755348616548105,6.979929865503967,1.6500000000000001,9.236100170605994,3660.6634948306178,-1538.4523654338,1628.318962404111,-4725.974447600399,0.0,0.0,673.756094022003,0.0,5.0,0.1942011718560863,0.0,0.0,1.4163227845154192,329.99807111111113,-62.29793184142727,0.19645215310765796,9.448016800806762,0.002827488657318036,20.468017017837784,1.2209777876643244,1.0873669091327998,-1573.440325904545,34.98796047074494,0.139772783430345,-978.0444508198169,-263.0442055997054
2025-01-01 03:00:00,0.8749228310931626,0.2623637430258822,0.3978904166666667,0.8749228310931626,0.2623637430258822,0.3978904166666667,0.01970329616573157,0.34101404881631986,0.4642054861111113,0.05,0.0,0.3978904166666667,0.0,0.24778040969254886,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061216416759180055,0.04591231256938503,0.0,0.0,0.003976045093201754,0.0,0.0004420611757790718,0.0,0.015285189896750744,0.0,0.010640169226254523,0.0,0.2691574628308852,0.20186809712316384,7153.165397830405,20.5555555555556,0.3066666666666667,2639.8550093177423,11.661018651296297,0.4642054861111113,0.38333333333333336,9328.814921037037,24336.038924444445,0.0,23.33333333333337,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13388.367568888889,0.0,0.0,70.66127022252195,51.66666666666668,46.10666666666668,0.0,47.484881072323006,0.0,0.0,0.0,110.40823472269054,47.21012266623368,47.484881072323006,47.07274346318901,12.43753247303448,20.311190182268035,-0.048348203488819706,2.4645402916150374,7.372285611611097,1.6500000000000001,9.236100170605994,2872.8241735672505,-1144.9386196828818,1155.938126153761,-4861.1681589898935,0.0,0.0,671.8743936950005,0.0,5.0,0.19904863157006952,0.0,0.0,1.4516756486321343,329.99807111111113,-91.04745896826117,0.19571361315741453,9.484431287975651,0.002829801869296495,-57.40090013925688,1.2206674813688814,1.0873669091327998,-1179.7660103373034,34.82739065442151,0.16218222257039486,-1203.1921708587145,-280.72471230526685
2025-01-01 04:00:00,0.8934511805651368,0.26112286971319615,0.41519,0.8934511805651368,0.26112286971319615,0.41519,0.01970329616573157,0.3393595510660717,0.48438833333333353,0.05,0.0,0.41519,0.0,0.24653953637986278,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05956191900893194,0.04467143925669895,0.0,0.0,0.003976045093201754,0.0,0.0004420611757790718,0.0,0.015285189896750744,0.0,0.010640169226254523,0.0,0.2691574628308852,0.20186809712316384,7464.172589040422,20.5555555555556,0.32000000000000006,2754.6313140706875,12.168019462222222,0.48438833333333353,0.4,9734.415569777779,24336.038924444445,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13388.367568888889,0.0,0.0,69.49291152546287,51.66666666666668,46.10666666666668,0.0,46.915375475549666,0.0,0.0,0.0,108.58267425853575,46.686112633649515,46.915375475549666,46.571481212699446,12.43753247303448,20.23039974069326,-0.06731212266789827,2.157609619382868,7.252334005830175,0.55,9.236100170605994,2751.257831609709,-2265.699477878116,1105.9472907639492,-5300.443236760411,0.0,0.0,670.2198959447525,0.0,5.0,0.20456521363549995,0.0,0.0,1.4919084690484206,329.99807111111113,-82.69141661505543,0.19568797119687767,9.428911069898865,0.002816580808091836,42.67366167588088,1.2204404572187202,1.0873669091327998,-2301.0595302116412,35.36005233352545,0.16095373765586973,-1375.3952437568921,-273.28877954984677
2025-01-01 05:00:00,0.9948198218297567,0.26112286971319615,0.5535726794853137,0.9948198218297567,0.26112286971319615,0.5535726794853137,0.020157701319240343,0.3393595510660717,0.5853025694444446,0.05,0.05188476281864711,0.5016879166666667,0.0,0.24653953637986278,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05956191900893194,0.04467143925669895,0.0,0.0,0.004430450246710526,0.0,0.0004420611757790718,0.0,0.015285189896750744,0.0,0.010640169226254523,0.0,0.2691574628308852,0.20186809712316384,9019.20854509051,20.5555555555556,0.3866666666666667,3328.5128378354143,14.703023516851854,0.5853025694444446,0.48333333333333334,11762.418813481483,24336.038924444445,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13388.367568888889,1172.2844444444445,0.0,75.40086678868703,51.66666666666668,46.10666666666668,0.0,49.05075248779051,0.0,0.0,1172.2844444444445,117.81385435732348,48.96370062884128,49.05805802453147,48.91286916262571,12.43753247303448,20.297747803038384,-0.04926146966182798,0.8658354341652614,7.199713816428417,-0.25000000000000006,9.236100170605994,4001.8103765441356,-1576.426704963304,1533.704152016799,-5600.581654998214,0.0,0.0,670.6743010982611,0.0,5.0,0.2069146061561395,0.0,0.0,1.509042753692273,329.99807111111113,-87.49081464642333,0.1963395536750484,9.481063242003566,0.0028393069827621566,59.84910848582373,1.2195312207265088,1.0873669091327998,-1615.2347116783649,38.808006715060905,0.1531935520772652,-1489.2629726075538,-305.5457132110618
2025-01-01 06:00:00,0.9274033977116783,0.2777928544815665,0.3978904166666667,0.9274033977116782,0.2777928544815665,0.3978904166666667,0.04224301171329946,0.37095489988726754,0.4642054861111113,0.05,0.0,0.3978904166666667,0.0,0.26320952114823315,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06287091450942818,0.04715318588207112,0.0,0.0,0.00499845668859649,0.0,0.0010468690116066254,0.0,0.03619768601309634,0.0,0.020008871689623287,0.0,0.28807511368821614,0.21605633526616203,7153.165397830405,20.5555555555556,0.3066666666666667,2639.8550093177423,11.661018651296297,0.4642054861111113,0.38333333333333336,9328.814921037037,24336.038924444445,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13388.367568888889,0.0,0.0,78.91669815074721,51.66666666666668,46.10666666666668,0.0,50.99427086520345,0.13870587236777362,372.8795363209886,0.0,123.30734086054252,50.29274402089936,51.005169095141206,49.93108236880957,12.43753247303448,20.251670619686493,-0.059458806970943814,1.5133760191582548,6.8127687052375165,0.3,9.236100170605994,2411.4983515880735,-1696.5399425527798,975.7625330032946,-5374.060070285256,0.0,0.0,723.0307247535031,0.0,5.0,0.20493938414902357,0.0,0.0,1.4946373208804273,329.99807111111113,-90.63770071057803,0.19632696112045708,9.45074126394446,0.0028310256989476624,-67.35664145747408,1.219728814412944,1.0873669091327998,-1733.7773964139928,37.23745386121308,0.1598753882145216,-1369.1405623929322,-294.95191392151577
2025-01-01 07:00:00,1.2810831827489937,0.34519926045749355,0.5950804897402315,1.2810831827489937,0.34519926045749355,0.5950804897402315,0.13864234755901306,0.507138265745536,0.5853025694444446,0.05,0.0933925730735648,0.5016879166666667,0.0,0.3306159271241602,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0661799100099244,0.04963493250744329,0.0,0.0,0.004657652823464912,0.0,0.003766038414345034,0.0,0.1302186563212031,0.0,0.06631702957998889,0.0,0.37464132615562273,0.28098099461671694,9019.20854509051,20.5555555555556,0.3866666666666667,3328.5128378354143,14.703023516851854,0.5853025694444446,0.48333333333333334,11762.418813481483,24336.038924444445,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13388.367568888889,2110.112,0.0,77.10854780522769,51.66666666666668,46.10666666666668,0.0,51.29478982918056,0.56651530603908,1534.632234403543,2110.112,120.48210594566825,49.55761413125173,51.29478982918056,48.689026282287315,12.43753247303448,20.280323207710197,-0.048291661513018266,0.9032234191627224,6.670713186905187,-0.55,9.236100170605994,4100.140286105552,-2043.9054215587976,1456.7714337478974,-5781.059387838873,0.0,0.0,949.5537915847666,9.258204541848318,5.0,0.21045819467341725,0.0,0.0,1.5348863936044304,329.99807111111113,-87.56266273085201,0.1957137712127407,9.459608468766126,0.0028272399468496994,49.82505059200017,1.219612365597984,1.0873669091327998,-2082.7549963936117,38.84957483481407,0.1648461200366499,-1575.8694967981362,-295.8719072893809
2025-01-01 08:00:00,1.266765138401912,0.34572174196547084,0.48438833333333337,1.2667651384019123,0.34572174196547084,0.4843883333333333,0.13551251481310497,0.5161329013665847,0.5651197222222224,0.05,0.0,0.48438833333333337,0.0,0.3311384086321375,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06783440776017251,0.05087580582012936,0.0,0.0,0.0035216399396929823,0.0,0.0037099961760363276,0.0,0.12828087869737567,0.0,0.07461502319040123,0.0,0.373683470416011,0.28026260281200815,8708.201353880493,20.5555555555556,0.37333333333333335,3213.736533082469,14.196022705925929,0.5651197222222224,0.4666666666666667,11356.818164740742,24336.038924444445,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13388.367568888889,0.0,0.0,80.04486213936255,51.66666666666668,46.10666666666668,0.0,51.38351684206504,0.07215945665912905,195.20614136539174,0.0,125.07009709275398,50.68476773642643,51.38351684206504,50.33539318360713,12.43753247303448,20.2208209799045,-0.06646964680489056,0.1286771574692859,6.104622596280534,-1.4,9.236100170605994,3501.3301326818823,-2156.4641280910773,1207.0493409602072,-6187.234466283903,0.0,0.0,907.1409269439024,638.1442408224855,4.2675,0.21643651422037322,0.0,0.0,1.5784866978999283,281.6533536933333,73.22231814139045,0.19793297144218344,9.459060794951736,0.002847495610767683,196.19148382694775,1.2204178966783152,1.0873669091327998,-2197.3280338483555,40.863905757278616,0.17228891472816965,-1711.7839438487672,-294.9032482734949
2025-01-01 09:00:00,1.1524724046451535,0.32228420933684726,0.5016739294853138,1.1524724046451538,0.32228420933684726,0.5016739294853138,0.10237151972726559,0.47534685714011005,0.5247540277777779,0.05,0.05188476281864711,0.44978916666666674,0.0,0.3077008760035139,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06783440776017251,0.05087580582012936,0.0,0.0,0.0028400322094298243,0.0,0.0027976285363705963,0.0,0.09673385898146517,0.0,0.06507902246875802,0.0,0.34243342691117956,0.2568250701833846,8086.186971460457,20.5555555555556,0.3466666666666667,2984.1839235765788,13.182021084074075,0.5247540277777779,0.43333333333333335,10545.61686725926,24336.038924444445,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13388.367568888889,1172.2844444444445,0.0,77.24483960214579,51.66666666666668,46.10666666666668,0.0,51.128794433925755,0.29216621260782005,789.5909386664644,1172.2844444444445,120.6950618783528,49.65669001477236,51.128794433925755,48.920637805195675,12.43753247303448,20.31026695306381,-0.05179595053963831,0.23120621628135338,6.074924644916876,-0.85,9.236100170605994,3228.7324785399846,-1523.9697195012955,1177.7178974639223,-5968.866989659833,0.0,0.0,751.7468796502598,1794.5966412727903,3.0,0.2135530427659263,0.0,0.0,1.557457338085048,197.99884266666666,359.66561708910115,0.1997681944121779,9.549903307184406,0.0028885336798271147,325.44509714670636,1.2206281410440072,1.0873669091327998,-1562.2046091714558,38.23488967016041,0.16816046688364164,-1545.177927696705,-261.2880984159512
