occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.631,0.0556,0.0864,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.624,0.0516,0.0827,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0357,0.0678,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0333,0.0654,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0555,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
1.0,0.596,0.0235,0.0555,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0555,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0223,0.0543,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0177,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0177,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0177,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0174,0.0493,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
1.0,0.596,0.0164,0.0493,0.0,0.0,0.0,0.0,0.0,0.154,0,0,0,0
1.0,0.596,0.0164,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0164,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0169,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.019,0.0507,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
1.0,0.589,0.0184,0.0504,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.57,0.0188,0.0645,0.0,0.0,0.0,0.0,0.2,0.0,0,0,0,0
1.0,0.606,0.0306,0.125,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.615,0.0335,0.141,0.0,0.0,0.0,0.0,0.867,0.235,0,0,0,0
1.0,0.651,0.0453,0.201,0.0,0.0,0.0,0.0,0.0,0.135,0,0,0,0
1.0,0.668,0.0525,0.231,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
1.0,0.739,0.0813,0.348,0.0,0.0,0.0,0.0,0.0,0.177,0,0,0,0
0.95,0.727,0.0769,0.328,0.0,0.0,0.0,0.0,0.0,0.0771,0,0,0,0
0.75,0.68,0.0595,0.248,0.0,0.0,0.0,0.0,0.2,0.154,0,0,0,0
0.75,0.682,0.0618,0.251,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
0.7,0.677,0.0656,0.241,0.0,0.0,0.0,0.0,1.0,0.154,0,0,0,0
0.45,0.613,0.038,0.135,0.0,0.0,0.0,0.0,1.0,0.179,0,0,0,0
0.25,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.933,0.0,0,0,0,0
0.25,0.574,0.0225,0.0713,0.0,0.0,0.0,0.0,0.0,0.0827,0,0,0,0
0.25,0.626,0.0493,0.159,0.0,0.0,0.0,0.0,0.2,0.0551,0,0,0,0
0.3,0.638,0.056,0.181,0.0,0.0,0.0,0.0,1.0,0.0769,0,0,0,0
0.5,0.69,0.0827,0.269,0.0,0.0,0.0,0.0,0.867,0.216,0,0,0,0
0.5,0.69,0.0845,0.268,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
0.5,0.69,0.0917,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.69,0.0917,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.69,0.0917,0.262,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
0.5,0.69,0.0935,0.26,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
0.55,0.702,0.109,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.7,0.741,0.135,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.69,0.101,0.253,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
0.5,0.69,0.102,0.252,0.0,0.0,0.0,0.0,0.0,0.308,0,0,0,0
0.5,0.69,0.106,0.246,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
0.5,0.69,0.106,0.246,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.69,0.106,0.246,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.69,0.108,0.246,0.0,0.0,0.172,0.2,0.0,0.0769,0,0,0,0
0.5,0.69,0.119,0.244,0.0,0.0,0.0,1.0,0.0,0.0769,0,0,0,0
0.5,0.69,0.119,0.244,0.0,0.0,0.0,0.733,0.0,0.154,0,0,0,0
0.5,0.69,0.119,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.45,0.677,0.109,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.626,0.0705,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.626,0.0705,0.149,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
0.25,0.626,0.0705,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.3,0.628,0.072,0.151,0.0,0.0,0.0,0.0,0.0,0.155,0,0,0,0
0.5,0.635,0.0776,0.161,0.0,0.0,0.0,0.0,0.0,0.206,0,0,0,0
0.5,0.65,0.09,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.709,0.139,0.272,0.0,0.0,0.0,0.0,0.0,0.0772,0,0,0,0
0.5,0.715,0.146,0.285,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
0.45,0.721,0.156,0.304,0.0,0.0,0.0,0.0,0.0,0.154,0,0,0,0
0.25,0.65,0.0937,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.65,0.0937,0.191,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
0.25,0.653,0.0975,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.665,0.112,0.241,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
0.25,0.665,0.112,0.241,0.0,0.0,0.0,0.0,0.0,0.0769,0,0,0,0
0.25,0.665,0.112,0.241,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.665,0.119,0.25,0.34,0.2,0.0,0.0,0.0,0.0769,0,0,0,0
0.3,0.691,0.173,0.33,0.252,1.0,0.0,0.0,0.0,0.154,0,0,0,0
0.5,0.777,0.279,0.518,0.368,1.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.777,0.279,0.518,0.44,1.0,0.0,0.0,0.0,0.0769,0,0,0,0
0.55,0.796,0.337,0.563,0.564,1.0,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.87,0.572,0.745,0.0,1.0,0.0762,0.2,0.0,0.0769,0,0,0,0
0.75,0.87,0.572,0.745,0.0,1.0,0.573,1.0,0.0,0.0,0,0,0,0
0.75,0.87,0.572,0.745,0.0,1.0,0.285,1.0,0.0,0.0,0,0,0,0
0.75,0.865,0.599,0.718,0.0,0.333,0.0298,1.0,0.0,0.0,0,0,0,0
0.75,0.841,0.706,0.611,0.0,0.0,0.219,1.0,0.0,0.0,0,0,0,0
0.75,0.841,0.706,0.611,0.0,0.0,0.45,0.6,0.0,0.0,0,0,0,0
0.8,0.86,0.752,0.649,0.0,0.0,0.142,0.0,0.0,0.0,0,0,0,0
1.0,0.919,0.926,0.759,0.0,0.0,0.391,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0.192,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0.0464,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0.334,0.0,0.0,0.0,0,0,0,0
1.0,0.83,0.79,0.562,0.0,0.0,0.172,0.0,0.0,0.0,0,0,0,0
