Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,2.081711674375584,0.519903453705658,1.0968500000000003,0.0346951945729264,0.008665057561760968,0.01828083333333334,0.03364546258521844,0.007772,0.7506358784570324,1.2796583333333336,0.010000000000000002,0.0,1.0968500000000003,0.0,0,0.5169867870389914,0,0.0029166666666666685,1,0.0,0.0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.005086641081871345,0.0,On,0.0006823047730656982,0.0,On,0.02787651673028139,0,On,0.06132016240504384,0,On,0.6231358060420642,0.46735185453154804,On,0,0,Off,On,19637.74987487049,18.33333333333337,0.7999999999999999,7358.312316240623,32.14550482222223,1.2796583333333336,1,25716.40385777778,25716.40385777778,Off,0.0,29.444444444444457,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2077.5811066666665,Off,0.0,0.0,3.3202944512330156e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.3202944512330156e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,18.463669863493617,0.0,10.158294180723953,1.6363583525336105,-2.694040184147952,2.8,9.236100170605994,19070.63727779927,3722.6791825242854,301.0151426211403,1492.43173510844,-1481.8363262724226,-0.0,-0.0,1070.6599057304174,0.0,5.0,0.07259205049086981,0.0,0,0.43077066145315274,329.99807111111113,-155.93617652921455,0.22927790585408123,8.7655113347511,0.0029650087960276486,128.57468950361815,1.2247216674187582,0.3823678233907887,-3666.706407578981,31.073273862643443,0.18122781818879996,274.8285018499511,26.18664077118919,0.23667438860527784,1694.5748142953857,-202.14307918694578
2025-01-01 00:01:00,0.8020533410422509,0.519903453705658,0.0,0.013367555684037516,0.008665057561760968,0.0,0.03364546258521844,0.007772,0.7506358784570324,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.5169867870389914,0,0.0029166666666666685,1,0.0,0.0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.005086641081871345,0.0,On,0.0006823047730656982,0.0,On,0.02787651673028139,0,On,0.06132016240504384,0,On,0.6231358060420642,0.46735185453154804,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,25716.40385777778,Off,0.0,29.444444444444457,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2077.5811066666665,Off,0.0,0.0,3.3044427164933644e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.3044427164933644e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,18.622273655147886,0.0,10.387934708456484,1.7771834183962452,-2.6127285780073186,2.8,9.236100170605994,-611.1416164292099,-3760.7557026919394,267.51339428953423,1461.4655311940942,-1505.5676401040166,-0.0,-0.0,1070.6599057304174,0.0,5.0,0.07301527548804529,0.0,0,0.4332821335874152,329.99807111111113,-176.23388205561076,0.22769575563530514,8.86271957631834,0.002965290866787306,127.68916960188764,1.2276313409026691,0.38310448183458257,-3788.423046239697,27.667343547757994,0.18122781818879996,241.56848407883012,25.94491021070407,0.23615051392888958,1665.7997664623583,-204.3342352682641
2025-01-01 00:02:00,0.8020533410422509,0.519903453705658,0.0,0.013367555684037516,0.008665057561760968,0.0,0.03364546258521844,0.007772,0.7506358784570324,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.5169867870389914,0,0.0029166666666666685,1,0.0,0.0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.005086641081871345,0.0,On,0.0006823047730656982,0.0,On,0.02787651673028139,0,On,0.06132016240504384,0,On,0.6231358060420642,0.46735185453154804,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,25716.40385777778,Off,0.0,29.444444444444457,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2077.5811066666665,Off,0.0,0.0,3.311625533797269e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.311625533797269e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,18.55046552289997,0.0,10.22604727575657,1.9103155245855448,-2.533601476839464,2.8,9.236100170605994,-604.6800930736978,-3672.082720878952,235.86063619307475,1435.3546404726596,-1494.804576709324,-0.0,-0.0,1070.6599057304174,0.0,5.0,0.07282380596565377,0.0,0,0.4321459285587518,329.99807111111113,-180.53542209479127,0.22874347358478742,8.829495074712927,0.002965570330922299,127.99563674292344,1.2279333408812232,0.3825853144588965,-3702.57323365081,30.490512771858068,0.18122781818879996,210.12538699494837,25.735249198126375,0.23563959542583074,1637.8966049768385,-202.54196450417885
2025-01-01 00:03:00,0.8020533410422509,0.519903453705658,0.0,0.013367555684037516,0.008665057561760968,0.0,0.03364546258521844,0.007772,0.7506358784570324,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.5169867870389914,0,0.0029166666666666685,1,0.0,0.0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.005086641081871345,0.0,On,0.0006823047730656982,0.0,On,0.02787651673028139,0,On,0.06132016240504384,0,On,0.6231358060420642,0.46735185453154804,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,25716.40385777778,Off,0.0,29.444444444444457,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2077.5811066666665,Off,0.0,0.0,3.318659741087989e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.318659741087989e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,18.48040355699572,0.0,10.075759261623046,2.036194058475199,-2.455789353693497,2.8,9.236100170605994,-599.8906623611707,-3590.394043678211,205.93286660117073,1411.286603937033,-1484.333013183732,-0.0,-0.0,1070.6599057304174,0.0,5.0,0.07263675918678317,0.0,0,0.4310359686649077,329.99807111111113,-186.21755490785625,0.229771483901258,8.797183308960788,0.002965850396903121,128.29372373086912,1.2282281349544368,0.382102714620821,-3623.064751652167,32.67070797395645,0.18122781818879996,180.39543623279917,25.537430368371552,0.23513608501667507,1610.5524979472546,-199.26589401022156
2025-01-01 00:04:00,0.8020533410422509,0.519903453705658,0.0,0.013367555684037516,0.008665057561760968,0.0,0.03364546258521844,0.007772,0.7506358784570324,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.5169867870389914,0,0.0029166666666666685,1,0.0,0.0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.005086641081871345,0.0,On,0.0006823047730656982,0.0,On,0.02787651673028139,0,On,0.06132016240504384,0,On,0.6231358060420642,0.46735185453154804,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,25716.40385777778,Off,0.0,29.444444444444457,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2077.5811066666665,Off,0.0,0.0,3.3254958016944634e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.3254958016944634e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,18.41195157262339,0.0,9.935887817778424,2.1552311378514655,-2.378934165788064,2.8,9.236100170605994,-589.7293885605296,-3514.442052968637,177.63292471764393,1388.1343502174068,-1474.1305220965285,-0.0,-0.0,1070.6599057304174,0.0,5.0,0.07245378717112619,0.0,0,0.42995018894551695,329.99807111111113,-186.25877219441864,0.2307814068846418,8.765711612082477,0.00296613104774833,128.58409923024922,1.2285162864673984,0.38165301585700795,-3549.2318034670193,34.78975049838253,0.18122781818879996,152.28129794907298,25.351626768570945,0.23463770615640986,1583.6377530330208,-195.5034028156141
2025-01-01 00:05:00,0.8020533410422509,0.519903453705658,0.0,0.013367555684037516,0.008665057561760968,0.0,0.03364546258521844,0.007772,0.7506358784570324,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.5169867870389914,0,0.0029166666666666685,1,0.0,0.0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.005086641081871345,0.0,On,0.0006823047730656982,0.0,On,0.02787651673028139,0,On,0.06132016240504384,0,On,0.6231358060420642,0.46735185453154804,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,25716.40385777778,Off,0.0,29.444444444444457,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2077.5811066666665,Off,0.0,0.0,3.3321832522877535e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.3321832522877535e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,18.34507842317978,0.0,9.805484536294621,2.2678153091237214,-2.3029129543648894,2.8,9.236100170605994,-576.5888938068277,-3443.758727494136,150.8680526106567,1365.4184627736506,-1464.190535224088,-0.0,-0.0,1070.6599057304174,0.0,5.0,0.07227482119222935,0.0,0,0.42888818156887315,329.99807111111113,-183.05826431315728,0.2317733786930925,8.735064220725478,0.002966412267832449,128.8668904172794,1.2287979172760541,0.38123328023914116,-3480.5400588577822,36.781331363646274,0.18122781818879996,125.69120538050483,25.176847230151857,0.23414369173888439,1557.106342473796,-191.68787970014546
2025-01-01 00:06:00,0.8020533410422509,0.519903453705658,0.0,0.013367555684037516,0.008665057561760968,0.0,0.03364546258521844,0.007772,0.7506358784570324,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.5169867870389914,0,0.0029166666666666685,1,0.0,0.0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.005086641081871345,0.0,On,0.0006823047730656982,0.0,On,0.02787651673028139,0,On,0.06132016240504384,0,On,0.6231358060420642,0.46735185453154804,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,25716.40385777778,Off,0.0,29.444444444444457,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2077.5811066666665,Off,0.0,0.0,3.3387220928678594e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.3387220928678594e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,18.279739024611004,0.0,9.683744707906945,2.374312738998958,-2.227701874417854,2.8,9.236100170605994,-563.1355386627059,-3377.8914263859742,125.55091923528255,1342.9574649413632,-1454.5045113212445,-0.0,-0.0,1070.6599057304174,0.0,5.0,0.07209975452735734,0.0,0,0.4278493132283956,329.99807111111113,-179.2909330718789,0.23274775208378842,8.705217770468872,0.0029666940418003594,129.14229839792415,1.2290732084627702,0.38084101259157405,-3416.536924327751,38.645497941776796,0.18122781818879996,100.53867739458396,25.012241840698596,0.23365391400491992,1530.9472603481365,-187.9897954067733
2025-01-01 00:07:00,0.8020533410422509,0.519903453705658,0.0,0.013367555684037516,0.008665057561760968,0.0,0.03364546258521844,0.007772,0.7506358784570324,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.5169867870389914,0,0.0029166666666666685,1,0.0,0.0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.005086641081871345,0.0,On,0.0006823047730656982,0.0,On,0.02787651673028139,0,On,0.06132016240504384,0,On,0.6231358060420642,0.46735185453154804,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,25716.40385777778,Off,0.0,29.444444444444457,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2077.5811066666665,Off,0.0,0.0,3.345112323434781e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.345112323434781e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,18.21586750632646,0.0,9.569973350701096,2.475068499999428,-2.1533145532029976,2.8,9.236100170605994,-549.840256424001,-3316.4502201820737,101.59923355771792,1320.6932968528242,-1445.06094911743,-0.0,-0.0,1070.6599057304174,0.0,5.0,0.07192842387513053,0.0,0,0.4268326148724754,329.99807111111113,-175.43921303698852,0.23370520143445753,8.675499852991733,0.00296697635471435,129.41063447037348,1.2293424293499517,0.38047405520756433,-3356.832400004909,40.38217982283483,0.18122781818879996,76.7422148764179,24.857018681300026,0.2331684886716229,1505.1625974618275,-184.4693006090034
2025-01-01 00:08:00,0.8020533410422509,0.519903453705658,0.0,0.013367555684037516,0.008665057561760968,0.0,0.03364546258521844,0.007772,0.7506358784570324,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.5169867870389914,0,0.0029166666666666685,1,0.0,0.0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.005086641081871345,0.0,On,0.0006823047730656982,0.0,On,0.02787651673028139,0,On,0.06132016240504384,0,On,0.6231358060420642,0.46735185453154804,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,25716.40385777778,Off,0.0,29.444444444444457,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2077.5811066666665,Off,0.0,0.0,3.3513539439885186e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.3513539439885186e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,18.153400460763816,0.0,9.463559381044783,2.5704077814965456,-2.079777046219788,2.8,9.236100170605994,-537.0464583259503,-3259.089770967762,78.93546015479127,1298.6144880672512,-1435.848847142034,-0.0,-0.0,1070.6599057304174,0.0,5.0,0.0717606715356671,0.0,0,0.4258371506895197,329.99807111111113,-171.85751691433396,0.23464638645903624,8.646518625275462,0.0029672591922734865,129.67219940829963,1.2296058395317966,0.3801305076735777,-3301.084563736488,41.99479276872615,0.18122781818879996,54.225014707144624,24.710445447646656,0.23268761353629472,1479.7586836616304,-181.1441955943792
2025-01-01 00:09:00,0.8020533410422509,0.519903453705658,0.0,0.013367555684037516,0.008665057561760968,0.0,0.03364546258521844,0.007772,0.7506358784570324,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.5169867870389914,0,0.0029166666666666685,1,0.0,0.0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.005086641081871345,0.0,On,0.0006823047730656982,0.0,On,0.02787651673028139,0,On,0.06132016240504384,0,On,0.6231358060420642,0.46735185453154804,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,25716.40385777778,Off,0.0,29.444444444444457,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2077.5811066666665,Off,0.0,0.0,3.357446954529072e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.357446954529072e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,18.092276583702343,0.0,9.363957880317786,2.6606370356960842,-2.0071182034298896,2.8,9.236100170605994,-524.6942308737351,-3205.501065026721,57.48654430535319,1276.7269851935032,-1426.857641189,-0.0,-0.0,1070.6599057304174,0.0,5.0,0.07159634451165013,0.0,0,0.4248620127735667,329.99807111111113,-168.4964954151526,0.2355719561164516,8.618241619490593,0.002967542540791403,129.92728519586638,1.2298636903453974,0.37980867201294194,-3248.9895471203045,43.488482093583826,0.18122781818879996,32.914699105524775,24.57184519982842,0.2322115061046548,1454.742706293369,-178.01572109986586
