Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.269656603409182,0.16673124953485616,0.4645728511809253,0.0044942767234863665,0.002778854158914269,0.007742880853015421,0.02026623799171849,0.22939036541746352,0.0,0.020000000000000004,0.4645728511809253,0.0,0.0,0.16089791620152283,0,0.005833333333333337,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004296134868421053,0.0,On,0.015970103123297438,0,On,0.01485981048209968,0,On,0.1537394470492036,0.11530458528690266,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,5327.739728888889,Off,0.0,23.888888888888914,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1586.3939244444446,On,10550.56,0,81.1358485612087,51.666666666666686,46.10666666666668,0.0,50.233745728745276,0.0,0.0,10550.56,126.77476337688859,48.86976032111741,50.233745728745276,48.18776761730349,12.43753247303448,19.352270534303198,-0.14772946569685885,2.8,9.236100170605994,-275.8118302147037,-537.7425627622802,-0.0,-0.0,304.89445633796004,0.0,1.0,0.024928674374143218,0.0,0,0.624852558831422,65.99961422222222,-42.96372379038353,0.22205528991712087,9.255794893507412,0.0030358634492524622,0.5400751262029502,1.2209488740396541
2025-01-01 00:01:00,0.269656603409182,0.16673124953485616,0.4645728511809253,0.0044942767234863665,0.002778854158914269,0.007742880853015421,0.02026623799171849,0.22939036541746352,0.0,0.020000000000000004,0.4645728511809253,0.0,0.0,0.16089791620152283,0,0.005833333333333337,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004296134868421053,0.0,On,0.015970103123297438,0,On,0.01485981048209968,0,On,0.1537394470492036,0.11530458528690266,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,5327.739728888889,Off,0.0,23.888888888888914,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1586.3939244444446,On,10550.56,0,85.01101721868618,51.666666666666686,46.10666666666668,0.0,50.215454309384285,0.0,0.0,10550.56,132.82971440419715,50.25565699024146,50.27575833067006,50.215454309384285,12.43753247303448,19.25144643263602,0.0,2.8,9.236100170605994,-272.2199438890208,-533.2422622052445,-0.0,-0.0,304.89445633796004,0.0,1.0,0.02487154834675635,0.0,0,0.623420659812131,65.99961422222222,-43.87213802173628,0.22410713145711805,9.233004810341216,0.003035868469417527,0.663233911243104,1.2249376501258344
2025-01-01 00:02:00,0.269656603409182,0.16673124953485616,0.4645728511809253,0.0044942767234863665,0.002778854158914269,0.007742880853015421,0.02026623799171849,0.22939036541746352,0.0,0.020000000000000004,0.4645728511809253,0.0,0.0,0.16089791620152283,0,0.005833333333333337,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004296134868421053,0.0,On,0.015970103123297438,0,On,0.01485981048209968,0,On,0.1537394470492036,0.11530458528690266,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,5327.739728888889,Off,0.0,23.888888888888914,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1586.3939244444446,On,10550.56,0,88.99389267990134,51.666666666666686,46.10666666666668,0.0,51.640748622013916,0.0,0.0,10550.56,139.05295731234582,51.640748622013916,51.64074862201392,51.640748622013916,12.43753247303448,19.153354104044958,0.0,2.8,9.236100170605994,-268.91843229831784,-528.8777662042401,-0.0,-0.0,304.89445633796004,0.0,1.0,0.024815944956197336,0.0,0,0.6220269266216273,65.99961422222222,-44.935122432037815,0.22548194099536123,9.188191253767608,0.003035874614306498,0.7830124875646334,1.2253487150604785
2025-01-01 00:03:00,0.269656603409182,0.16673124953485616,0.0,0.0044942767234863665,0.002778854158914269,0.0,0.02026623799171849,0.22939036541746352,0.0,0.020000000000000004,0.0,0.0,0.0,0.16089791620152283,0,0.005833333333333337,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004296134868421053,0.0,On,0.015970103123297438,0,On,0.01485981048209968,0,On,0.1537394470492036,0.11530458528690266,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,5327.739728888889,Off,0.0,23.888888888888914,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1586.3939244444446,Off,0.0,0,91.13912327859765,51.666666666666686,46.10666666666668,0.0,53.02501284115058,0.0,0.0,0.0,142.40488012280883,53.02501284115058,53.025012841150584,53.02501284115058,12.43753247303448,19.057873195516713,0.0,2.8,9.236100170605994,-265.8886828056858,-524.642615793654,-0.0,-0.0,304.89445633796004,0.0,1.0,0.024761798251002012,0.0,0,0.6206697061458895,65.99961422222222,-46.140523349991724,0.2268293567132649,9.144713281460913,0.0030358818665151173,0.8995553801879836,1.2257491007201218
2025-01-01 00:04:00,0.269656603409182,0.16673124953485616,0.0,0.0044942767234863665,0.002778854158914269,0.0,0.02026623799171849,0.22939036541746352,0.0,0.020000000000000004,0.0,0.0,0.0,0.16089791620152283,0,0.005833333333333337,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004296134868421053,0.0,On,0.015970103123297438,0,On,0.01485981048209968,0,On,0.1537394470492036,0.11530458528690266,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,5327.739728888889,Off,0.0,23.888888888888914,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1586.3939244444446,Off,0.0,0,91.33771609887053,51.666666666666686,46.10666666666668,0.0,53.004934265292675,0.0,0.0,0.0,142.7151814044852,53.006079368851495,53.00665192063091,53.004934265292675,12.43753247303448,18.964890447830967,0.0,2.8,9.236100170605994,-261.78517409729704,-520.5307583924991,-0.0,-0.0,304.89445633796004,0.0,1.0,0.024709046100334704,0.0,0,0.6193474410372996,65.99961422222222,-46.14887204275793,0.22815031785802345,9.101860453521098,0.0030358901954146253,1.0129998518092762,1.2261392613178825
2025-01-01 00:05:00,0.269656603409182,0.16673124953485616,0.0,0.0044942767234863665,0.002778854158914269,0.0,0.02026623799171849,0.22939036541746352,0.0,0.020000000000000004,0.0,0.0,0.0,0.16089791620152283,0,0.005833333333333337,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004296134868421053,0.0,On,0.015970103123297438,0,On,0.01485981048209968,0,On,0.1537394470492036,0.11530458528690266,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,5327.739728888889,Off,0.0,23.888888888888914,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1586.3939244444446,Off,0.0,0,91.52961032264028,51.666666666666686,46.10666666666668,0.0,52.984812658161104,0.0,0.0,0.0,143.01501612912543,52.98710464037694,52.988250631484874,52.984812658161104,12.43753247303448,18.87436292694429,0.0,2.8,9.236100170605994,-256.43608109374975,-516.5393230003815,-0.0,-0.0,304.89445633796004,0.0,1.0,0.02465766610873744,0.0,0,0.6180595699399264,65.99961422222222,-44.79121443132827,0.22944480666775377,9.060270098493413,0.0030358995717014257,1.1233970712313521,1.2265193574206488
2025-01-01 00:06:00,0.269656603409182,0.16673124953485616,0.0,0.0044942767234863665,0.002778854158914269,0.0,0.02026623799171849,0.22939036541746352,0.0,0.020000000000000004,0.0,0.0,0.0,0.16089791620152283,0,0.005833333333333337,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004296134868421053,0.0,On,0.015970103123297438,0,On,0.01485981048209968,0,On,0.1537394470492036,0.11530458528690266,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,5327.739728888889,Off,0.0,23.888888888888914,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1586.3939244444446,Off,0.0,0,91.714896549363,51.666666666666686,46.10666666666668,0.0,52.96464949661902,0.0,0.0,0.0,143.3045258583797,52.96809004731034,52.96981032265601,52.96464949661902,12.43753247303448,18.786258261041173,0.0,2.8,9.236100170605994,-250.81962700118322,-512.6659486249181,-0.0,-0.0,304.89445633796004,0.0,1.0,0.024607641764319652,0.0,0,0.6168056789730749,65.99961422222222,-43.04813471422515,0.2307126776402175,9.019280379809917,0.00303590996659819,1.230785395575829,1.2268895061424976
2025-01-01 00:07:00,0.269656603409182,0.16673124953485616,0.0,0.0044942767234863665,0.002778854158914269,0.0,0.02026623799171849,0.22939036541746352,0.0,0.020000000000000004,0.0,0.0,0.0,0.16089791620152283,0,0.005833333333333337,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004296134868421053,0.0,On,0.015970103123297438,0,On,0.01485981048209968,0,On,0.1537394470492036,0.11530458528690266,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,5327.739728888889,Off,0.0,23.888888888888914,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1586.3939244444446,Off,0.0,0,91.89378616961785,51.666666666666686,46.10666666666668,0.0,52.94444623751626,0.0,0.0,0.0,143.5840408900279,52.94903696241372,52.951332324862456,52.94444623751626,12.43753247303448,18.700499041091984,0.0,2.8,9.236100170605994,-245.34267965235347,-508.90634247608347,-0.0,-0.0,304.89445633796004,0.0,1.0,0.02455893086841428,0.0,0,0.6155847104011957,65.99961422222222,-41.33079351423001,0.23195445959547878,8.979503952802819,0.0030359213517331335,1.3352586691640624,1.2272500147868446
2025-01-01 00:08:00,0.269656603409182,0.16673124953485616,0.0,0.0044942767234863665,0.002778854158914269,0.0,0.02026623799171849,0.22939036541746352,0.0,0.020000000000000004,0.0,0.0,0.0,0.16089791620152283,0,0.005833333333333337,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004296134868421053,0.0,On,0.015970103123297438,0,On,0.01485981048209968,0,On,0.1537394470492036,0.11530458528690266,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,5327.739728888889,Off,0.0,23.888888888888914,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1586.3939244444446,Off,0.0,0,92.06653184487251,51.666666666666686,46.10666666666668,0.0,52.92420429107899,0.0,0.0,0.0,143.8539560076133,52.92994671453431,52.932817926261976,52.92420429107899,12.43753247303448,18.61699243260844,0.0,2.8,9.236100170605994,-240.08622949881186,-505.2555987021716,-0.0,-0.0,304.89445633796004,0.0,1.0,0.024511482322449697,0.0,0,0.6143953834071557,65.99961422222222,-39.72508713460022,0.23317094257218196,8.94089280165099,0.0030359336996489614,1.4369298795279875,1.2276012567776775
2025-01-01 00:09:00,0.269656603409182,0.16673124953485616,0.0,0.0044942767234863665,0.002778854158914269,0.0,0.02026623799171849,0.22939036541746352,0.0,0.020000000000000004,0.0,0.0,0.0,0.16089791620152283,0,0.005833333333333337,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004296134868421053,0.0,On,0.015970103123297438,0,On,0.01485981048209968,0,On,0.1537394470492036,0.11530458528690266,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,5327.739728888889,Off,0.0,23.888888888888914,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1586.3939244444446,Off,0.0,0,92.2333839901273,51.666666666666686,46.10666666666668,0.0,52.90392501181915,0.0,0.0,0.0,144.1146624845739,52.910820580030816,52.914268364136646,52.90392501181915,12.43753247303448,18.535646385791615,0.0,2.8,9.236100170605994,-235.03915432227848,-501.70891083681727,-0.0,-0.0,304.89445633796004,0.0,1.0,0.02446524533546574,0.0,0,0.613236424884293,65.99961422222222,-38.22469982342127,0.2343629453831497,8.903399223094631,0.0030359469839757736,1.5359112319563906,1.2279436035508524
