occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.654,0.0689,0.14,0.0987,0.0,0.0,0,0,0,0
1.0,0.654,0.0689,0.14,0.0987,0.0,0.0,0,0,0,0
1.0,0.654,0.0689,0.14,0.0987,0.0,0.0,0,0,0,0
1.0,0.636,0.0517,0.196,0.0822,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.281,0.0576,0.0,0.0,0,0,0,0
1.0,0.627,0.0301,0.225,0.0609,0.0,0.0,0,0,0,0
1.0,0.654,0.0362,0.14,0.0658,0.0,0.103,0,0,0,0
1.0,0.636,0.0291,0.196,0.0592,0.0,0.0,0,0,0,0
1.0,0.608,0.0183,0.281,0.0493,0.0,0.0,0,0,0,0
1.0,0.608,0.0183,0.281,0.0493,0.0,0.0,0,0,0,0
1.0,0.608,0.0183,0.281,0.0493,0.0,0.0,0,0,0,0
1.0,0.608,0.0176,0.281,0.0493,0.0,0.0,0,0,0,0
1.0,0.608,0.0166,0.281,0.0493,0.0,0.0,0,0,0,0
1.0,0.608,0.0166,0.281,0.0493,0.0,0.0,0,0,0,0
1.0,0.608,0.0166,0.281,0.0493,0.0,0.0,0,0,0,0
1.0,0.589,0.0163,0.337,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.867,0.58,0.0199,0.365,0.0628,0.0,0.3,0,0,0,0
0.667,0.608,0.026,0.281,0.0831,0.0,0.263,0,0,0,0
0.667,0.613,0.0298,0.281,0.11,0.4,0.206,0,0,0,0
0.667,0.621,0.0355,0.281,0.151,0.6,0.412,0,0,0,0
0.667,0.621,0.0355,0.281,0.151,0.0,0.298,0,0,0,0
0.667,0.621,0.0355,0.281,0.151,0.0,0.163,0,0,0,0
0.667,0.629,0.0393,0.281,0.163,0.0,0.103,0,0,0,0
0.667,0.64,0.0449,0.281,0.182,0.0,0.284,0,0,0,0
0.8,0.672,0.0566,0.225,0.235,0.0,0.133,0,0,0,0
1.0,0.719,0.074,0.14,0.315,0.0,0.103,0,0,0,0
1.0,0.724,0.0802,0.14,0.322,0.0,0.2,0,0,0,0
1.0,0.732,0.0895,0.14,0.333,0.0,0.0,0,0,0,0
1.0,0.766,0.104,0.0842,0.39,0.0,0.0,0,0,0,0
1.0,0.818,0.126,0.0,0.475,0.0,0.311,0,0,0,0
1.0,0.818,0.136,0.0,0.481,0.0,0.0,0,0,0,0
1.0,0.818,0.149,0.0,0.489,0.0,0.0,0,0,0,0
1.0,0.818,0.149,0.0,0.489,0.0,0.202,0,0,0,0
1.0,0.818,0.149,0.0,0.489,0.0,0.168,0,0,0,0
1.0,0.818,0.157,0.0,0.483,0.0,0.0,0,0,0,0
1.0,0.818,0.168,0.0,0.475,0.0,0.103,0,0,0,0
1.0,0.818,0.168,0.0,0.475,0.0,0.0,0,0,0,0
1.0,0.818,0.168,0.0,0.475,0.0,0.0,0,0,0,0
1.0,0.818,0.175,0.0,0.468,0.0,0.206,0,0,0,0
1.0,0.818,0.186,0.0,0.457,0.0,0.103,0,0,0,0
1.0,0.818,0.186,0.0,0.457,0.0,0.0,0,0,0,0
1.0,0.818,0.186,0.0,0.457,0.0,0.103,0,0,0,0
1.0,0.818,0.19,0.0,0.452,0.0,0.0,0,0,0,0
1.0,0.818,0.196,0.0,0.444,0.0,0.0,0,0,0,0
1.0,0.818,0.196,0.0,0.444,0.0,0.0,0,0,0,0
