Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,1.910457158478736,1.2509522505897877,0.0,0.031840952641312266,0.02084920417649646,0.0,0.011510141473841889,0.0,0.3077901484438657,1.5911568685610284,0.0,0.0,0.0,0.22316644701862806,1.0277858035711596,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.008022997833491013,0,On,0.01023488575236156,0,On,0.26073727468484853,0.19555295601363634,On,0,0,Off,Off,0.0,0.0,32.30088703827359,51.666666666666686,46.10666666666668,0.0,50.28057799511667,0.0,0.0,0.0,32.30088703827359,47.673174645554525,50.28057799511667,46.36947297077346,12.43753247303448,HP On,4207.540460097009,20.000000000000057,2.678554635052646,0.0,1.5587122020927962,0.03244466646823237,2.5054703309787056,4175.095793628776,6173.5267802266235,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,8898.554759436718,20.00772576072006,0,6.788013411407825,2.8,9.236100170605994,3068.766111466014,-1891.4989857439086,-1529.856012830314,-0.0,-0.0,433.0479091342127,0.0,2.0,0.06821964101737625,0.0,0,0.8981932467893173,131.99922844444444,-41.96624493489263,0.21291347770912056,9.549486849408758,0.003031783600772257,-38.73172339568002,1.2182220190311113,0.3751177518441128,-1949.5836723001194,58.08468655621061
2025-01-01 00:01:00,1.9104297527950385,1.2509345482669065,0.0,0.03184049587991731,0.020848909137781774,0.0,0.011510141473841889,0.0,0.3077901484438657,1.5911294628773307,0.0,0.0,0.0,0.22316644701862806,1.0277681012482784,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.008022997833491013,0,On,0.01023488575236156,0,On,0.26073727468484853,0.19555295601363634,On,0,0,Off,Off,0.0,0.0,32.29774173141504,51.666666666666686,46.10666666666668,0.0,50.27724834982971,0.0,0.0,0.0,32.29774173141504,47.67045475022521,50.27724834982971,46.36705795042297,12.43753247303448,HP On,4214.914865136689,20.000000000000057,2.6756995481444847,0.0,1.5657851105615541,0.025344352315776666,2.517621867402066,4189.570512820912,6173.529668105011,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,8899.818547380613,20.007686677354055,0,6.815472497280382,2.8,9.236100170605994,3072.3660485169735,-1905.7357668517438,-1529.8506347514337,-0.0,-0.0,433.0479091342127,0.0,2.0,0.0682195561419533,0.0,0,0.8981921293027609,131.99922844444444,-45.746091002493756,0.21352265800357606,9.573528262620316,0.0030315940682838776,-38.690436667457234,1.2217809058524132,0.3752094290235476,-1963.4870953048198,57.75132845307601
2025-01-01 00:02:00,1.9133290433957373,1.252807304987946,0.0,0.03188881738992896,0.0208801217497991,0.0,0.011510141473841889,0.0,0.3077901484438657,1.5940287534780297,0.0,0.0,0.0,0.22316644701862806,1.029640857969318,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.008022997833491013,0,On,0.01023488575236156,0,On,0.26073727468484853,0.19555295601363634,On,0,0,Off,Off,0.0,0.0,32.29455126382241,51.666666666666686,46.10666666666668,0.0,50.273919084617546,0.0,0.0,0.0,32.29455126382241,47.66773511974638,50.273919084617546,46.3646431373108,12.43753247303448,HP On,4220.775859579602,20.000000000000057,2.6745568421683754,0.0,1.5686222407954873,0.025406512682542563,2.522490649414272,4195.36934689706,6173.529668105011,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,8899.835732957183,20.00768667735405,0,6.841145231119729,2.8,9.236100170605994,3074.3943836248422,-1919.160889489443,-1529.8506347514333,-0.0,-0.0,433.0479091342127,0.0,2.0,0.06821955614195328,0.0,0,0.8981921293027607,131.99922844444444,-49.578750337539,0.2135094263274238,9.573184470370975,0.0030314052893254907,-38.64949583165391,1.2217810449510274,0.37529512188310443,-1976.4918588192206,57.33096932977759
2025-01-01 00:03:00,1.9161980277915975,1.2546604858345327,0.0,0.03193663379652663,0.020911008097242213,0.0,0.011510141473841889,0.0,0.3077901484438657,1.5968977378738898,0.0,0.0,0.0,0.22316644701862806,1.0314940388159046,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.008022997833491013,0,On,0.01023488575236156,0,On,0.26073727468484853,0.19555295601363634,On,0,0,Off,Off,0.0,0.0,32.2913611136768,51.666666666666686,46.10666666666668,0.0,50.27059020354522,0.0,0.0,0.0,32.2913611136768,47.665015757920784,50.27059020354522,46.36222853510857,12.43753247303448,HP On,4226.588244948142,20.000000000000057,2.6734214568655124,0.0,1.5714454337163382,0.02545230415755171,2.5273323621192465,4201.13594079059,6173.529668105011,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,8899.817285490473,20.00768667735405,0,6.865170654518353,2.8,9.236100170605994,3076.352545827063,-1931.8330390212934,-1529.8506347514333,-0.0,-0.0,433.0479091342127,0.0,2.0,0.06821955614195328,0.0,0,0.8981921293027607,131.99922844444444,-53.43297350385848,0.21349620864608185,9.572841022360928,0.003031216710147713,-38.60859832263439,1.2217811839025203,0.3753752984754501,-1988.6672619362075,56.8342229149141
2025-01-01 00:04:00,1.9183415042895517,1.2560450348745518,0.0,0.03197235840482586,0.020934083914575862,0.0,0.011510141473841889,0.0,0.3077901484438657,1.599041214371844,0.0,0.0,0.0,0.22316644701862806,1.0328785878559237,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.008022997833491013,0,On,0.01023488575236156,0,On,0.26073727468484853,0.19555295601363634,On,0,0,Off,Off,0.0,0.0,32.28817128111885,51.666666666666686,46.10666666666668,0.0,50.267261706565904,0.0,0.0,0.0,32.28817128111885,47.662296664721694,50.267261706565904,46.359814143799596,12.43753247303448,HP On,4230.925584842271,20.000000000000057,2.672575365081625,0.0,1.573552035630984,0.025489178740860034,2.5309430928065697,4205.436406101411,6173.529668105011,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,8899.798856495221,20.00768667735405,0,6.887669953128455,2.8,9.236100170605994,3078.2682746206374,-1943.533104318263,-1529.8506347514333,-0.0,-0.0,433.0479091342127,0.0,2.0,0.06821955614195328,0.0,0,0.8981921293027607,131.99922844444444,-55.854584604412565,0.21348300494475356,9.572497918264933,0.0030310283305390756,-38.56774409453705,1.221781322707048,0.3754503666261847,-2000.0737380641383,56.540633745875226
2025-01-01 00:05:00,1.9196185553203922,1.2568699283504043,0.0,0.0319936425886732,0.020947832139173405,0.0,0.011510141473841889,0.0,0.3077901484438657,1.6003182654026846,0.0,0.0,0.0,0.22316644701862806,1.0337034813317763,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.008022997833491013,0,On,0.01023488575236156,0,On,0.26073727468484853,0.19555295601363634,On,0,0,Off,Off,0.0,0.0,32.284981765951656,51.666666666666686,46.10666666666668,0.0,50.26393359363277,0.0,0.0,0.0,32.284981765951656,47.659577840122374,50.26393359363277,46.35739996336718,12.43753247303448,HP On,4233.507045525745,20.000000000000057,2.672072370288031,0.0,1.574805508968172,0.02551275643451288,2.5330907270597023,4207.994289091232,6173.529668105011,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,8899.780445953971,20.00768667735405,0,6.908764761298193,2.8,9.236100170605994,3080.1783643171807,-1954.5399560730702,-1529.8506347514333,-0.0,-0.0,433.0479091342127,0.0,2.0,0.06821955614195328,0.0,0,0.8981921293027607,131.99922844444444,-56.52595559134291,0.2134698152086578,9.572155157757951,0.0030308401502883334,-38.52693310154878,1.2217814613647657,0.37552073511141404,-2010.7721048662572,56.23214879318705
2025-01-01 00:06:00,1.920674866716559,1.257552238107903,0.0,0.032011247778609316,0.02095920396846505,0.0,0.011510141473841889,0.0,0.3077901484438657,1.6013745767988512,0.0,0.0,0.0,0.22316644701862806,1.0343857910892749,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.008022997833491013,0,On,0.01023488575236156,0,On,0.26073727468484853,0.19555295601363634,On,0,0,Off,Off,0.0,0.0,32.28179256828775,51.666666666666686,46.10666666666668,0.0,50.260605864698995,0.0,0.0,0.0,32.28179256828775,47.656859284096086,50.260605864698995,46.35498599379464,12.43753247303448,HP On,4235.643666429515,20.000000000000057,2.6716558291274786,0.0,1.575844168237443,0.0255304085614083,2.5348698428146634,4210.113257868107,6173.529668105011,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,8899.762053849281,20.00768667735405,0,6.928553996147618,2.8,9.236100170605994,3082.093837766588,-1964.8635972191141,-1529.8506347514333,-0.0,-0.0,433.0479091342127,0.0,2.0,0.06821955614195328,0.0,0,0.8981921293027607,131.99922844444444,-56.74710304570645,0.2134566394230292,9.572497441754418,0.0030306521691844655,-38.48616529790506,1.2217815998758284,0.37558673645364105,-2020.8117945769843,55.9481973578701
2025-01-01 00:07:00,1.921651333389101,1.2581829732689227,0.0,0.03202752222315168,0.02096971622114871,0.0,0.011510141473841889,0.0,0.3077901484438657,1.6023510434713935,0.0,0.0,0.0,0.22316644701862806,1.0350165262502946,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.008022997833491013,0,On,0.01023488575236156,0,On,0.26073727468484853,0.19555295601363634,On,0,0,Off,Off,0.0,0.0,32.27860368798647,51.666666666666686,46.10666666666668,0.0,50.257278519717765,0.0,0.0,0.0,32.27860368798647,47.65414099661611,50.257278519717765,46.35257223506529,12.43753247303448,HP On,4237.618807566847,20.000000000000057,2.671270795162116,0.0,1.5768047713894437,0.025546272081949987,2.53651487964315,4212.072535484897,6173.529668105011,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,8899.743680163727,20.00768667735405,0,6.947129208306517,2.8,9.236100170605994,3084.0071797496666,-1974.5499871439915,-1529.8506347514333,-0.0,-0.0,433.0479091342127,0.0,2.0,0.06821955614195328,0.0,0,0.8981921293027607,131.99922844444444,-56.80890219995911,0.2134434775731178,9.572155389895139,0.0030304643870166744,-38.44544063788992,1.221781738240391,0.37564867821871983,-2030.238613525346,55.68862638135433
2025-01-01 00:08:00,1.922621146296812,1.2588094105224454,0.0,0.03204368577161353,0.020980156842040756,0.0,0.011510141473841889,0.0,0.3077901484438657,1.6033208563791042,0.0,0.0,0.0,0.22316644701862806,1.0356429635038173,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.008022997833491013,0,On,0.01023488575236156,0,On,0.26073727468484853,0.19555295601363634,On,0,0,Off,Off,0.0,0.0,32.27541512510408,51.666666666666686,46.10666666666668,0.0,50.253951558642264,0.0,0.0,0.0,32.27541512510408,47.65142297765571,50.253951558642264,46.35015868716244,12.43753247303448,HP On,4239.580342361885,20.000000000000057,2.6708884708872582,0.0,1.5777590975793263,0.02556175879977795,2.5381488087655892,4214.018583562108,6173.529668105011,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,8899.762159492539,20.00768667735405,0,6.964573974690287,2.8,9.236100170605994,3085.9092179404915,-1983.6442395472513,-1529.8506347514333,-0.0,-0.0,433.0479091342127,0.0,2.0,0.06821955614195328,0.0,0,0.8981921293027607,131.99922844444444,-56.86839880417312,0.2134303296441894,9.57181368062897,0.003030276803574385,-38.404759075835486,1.2217818764586088,0.37570684104797336,-2039.0944176478204,55.45017810056891
2025-01-01 00:09:00,1.9235969289477928,1.2594397038491847,0.0,0.032059948815796546,0.020990661730819746,0.0,0.011510141473841889,0.0,0.3077901484438657,1.6042966390300852,0.0,0.0,0.0,0.22316644701862806,1.0362732568305566,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.008022997833491013,0,On,0.01023488575236156,0,On,0.26073727468484853,0.19555295601363634,On,0,0,Off,Off,0.0,0.0,32.27222687952807,51.666666666666686,46.10666666666668,0.0,50.25062498142569,0.0,0.0,0.0,32.27222687952807,47.64870522718817,50.25062498142569,46.34774535006941,12.43753247303448,HP On,4241.553570358585,20.000000000000057,2.670503969409834,0.0,1.5787193443546301,0.025577294675455158,2.5397925143897035,4215.97627568313,6173.529668105011,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,8899.743823795498,20.00768667735405,0,6.980964837457516,2.8,9.236100170605994,3087.790742474993,-1992.1858700140804,-1529.8506347514333,-0.0,-0.0,433.0479091342127,0.0,2.0,0.06821955614195328,0.0,0,0.8981921293027607,131.99922844444444,-56.96010226637097,0.21341719562152525,9.571472313632043,0.0030300894186472463,-38.36412056612254,1.2217820145306364,0.3757614818396507,-2047.4175745679242,55.2317045538439
