Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.27567351901554793,0.13873755439673616,0.0564375,0.2756735190155479,0.13873755439673618,0.0564375,0.011297123988689189,0.0,0.1885326450268587,0.06584375000000002,0.010000000000000002,0.0564375,0.0,0.0,0.13582088773006948,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043945379194814636,0.03295903439611097,0.0,0.0,0.00233672331871345,0.0,0.004480200334987869,0.0,0.004480200334987869,0.0,0.007438128053432643,0.0,0.13714913777861143,0.10286185333395854,0.0,0.0,1214.8163818354592,18.888888888888914,0.28,174.2434348312076,1.6540200833333334,0.06584375000000002,0.35,1323.2160666666668,3780.6173333333336,0.0,20.000000000000057,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,533.9755644444444,0.0,0.0,34.2735953844316,51.66666666666668,46.10666666666668,0.0,49.760815328271875,0.0,0.0,0.0,34.2735953844316,48.053164601175204,49.760815328271875,47.19933923762687,12.43753247303448,18.64559240016236,-0.06704440530883708,1.740374819425934,-0.7099825875501186,2.8,9.236100170605994,565.6405301682147,-19.219725627693453,60.507297300080225,-700.7518626844013,0.0,0.0,322.2285578154895,0.0,2.0,0.033925895049424316,0.0,0.0,3.6183674805663,131.99922844444444,-27.689270431240843,0.25315678783975043,9.25625348840592,0.003302474155155729,3.2063452240437225,1.2272265130960185,0.0,0.0,14.743406868530753,0.01799901431900146,82.58101798010931,-22.073720680029098
2025-01-01 01:00:00,0.2712642136201074,0.13791357853683342,0.05375,0.2712642136201074,0.13791357853683342,0.053750000000000006,0.01112186973978568,0.0,0.18743401054698833,0.06270833333333335,0.010000000000000002,0.05375,0.0,0.0,0.13499691187016674,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042846744714944256,0.03213505853620819,0.0,0.0,0.002161469069809941,0.0,0.004480200334987869,0.0,0.004480200334987869,0.0,0.007438128053432643,0.0,0.13714913777861143,0.10286185333395854,0.0,0.0,1156.9679827004372,18.888888888888914,0.26666666666666666,165.94612841067388,1.5752572222222223,0.06270833333333335,0.3333333333333333,1260.205777777778,3780.6173333333336,0.0,20.000000000000057,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,533.9755644444444,0.0,0.0,34.023073862930254,51.66666666666668,46.10666666666668,0.0,49.433697732708445,0.0,0.0,0.0,34.023073862930254,47.76566183227898,49.433697732708445,46.93164388206426,12.43753247303448,18.57224177851826,-0.08169829328986662,2.5900955043793985,0.7359658617069146,2.5,9.236100170605994,568.9052469155416,-449.21627891398896,16.66094297916179,-649.9599089852949,0.0,0.0,320.9546690867156,0.0,2.0,0.03103653789503351,0.0,0.0,3.3102029958280657,131.99922844444444,-27.663899346228995,0.2552748652814066,9.237033729555112,0.003314810588870532,12.088287775965862,1.2275853296501744,0.0,0.0,14.204986992618428,0.013448167748053963,32.899320683759974,-16.23837770459819
2025-01-01 02:00:00,0.27330099580690365,0.13708960267693066,0.0564375,0.2733009958069037,0.13708960267693066,0.0564375,0.01112186973978568,0.0,0.18633537606711797,0.06584375000000002,0.010000000000000002,0.0564375,0.0,0.0,0.13417293601026398,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417481102350739,0.03131108267630542,0.0,0.0,0.002161469069809941,0.0,0.004480200334987869,0.0,0.004480200334987869,0.0,0.007438128053432643,0.0,0.13714913777861143,0.10286185333395854,0.0,0.0,1214.8163818354592,18.888888888888914,0.28,174.2434348312076,1.6540200833333334,0.06584375000000002,0.35,1323.2160666666668,3780.6173333333336,0.0,20.000000000000057,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,533.9755644444444,0.0,0.0,33.66357368120686,51.66666666666668,46.10666666666668,0.0,49.10971819051888,0.0,0.0,0.0,33.66357368120686,47.480624775296,49.10971819051888,46.66607806768456,12.43753247303448,18.5950434151722,-0.0654871602199585,1.7522798640886799,0.7329616042565142,1.6500000000000001,9.236100170605994,632.6190868502295,-585.1422826791887,-3.5159149690223823,-632.6609625182833,0.0,0.0,319.8560346068453,0.0,2.0,0.028513996750261072,0.0,0.0,3.0411612849656735,131.99922844444444,-26.42909070669986,0.2582367942204243,9.296899761097047,0.0033584734902982758,21.553468216617222,1.2274567716284133,0.0,0.0,16.082613980648137,0.008232020557539407,10.535572763117045,-14.051487732139428
2025-01-01 03:00:00,0.27208552516109763,0.13626562681702786,0.0564375,0.27208552516109763,0.13626562681702786,0.0564375,0.011005033573850005,0.0,0.1852367415872476,0.06584375000000002,0.010000000000000002,0.0564375,0.0,0.0,0.13334896015036118,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04064947575520353,0.030487106816402636,0.0,0.0,0.0020446329038742686,0.0,0.004480200334987869,0.0,0.004480200334987869,0.0,0.007438128053432643,0.0,0.13714913777861143,0.10286185333395854,0.0,0.0,1214.8163818354592,18.888888888888914,0.28,174.2434348312076,1.6540200833333334,0.06584375000000002,0.35,1323.2160666666668,3780.6173333333336,0.0,20.000000000000057,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,533.9755644444444,0.0,0.0,33.32042012505748,51.66666666666668,46.10666666666668,0.0,48.78929071911451,0.0,0.0,0.0,33.32042012505748,47.198452975390815,48.78929071911451,46.40303410352897,12.43753247303448,18.606680739657918,-0.07968728764527105,1.6732992530281627,0.5054368333391646,1.6500000000000001,9.236100170605994,599.9039749677648,-398.0514259529959,2.9208428432533684,-664.5767623487252,0.0,0.0,318.6405639610392,0.0,2.0,0.02997499520416682,0.0,0.0,3.1969841243356822,131.99922844444444,-26.01293211291655,0.2612179965709307,9.348471800152902,0.0033996252888946876,2.263499488854622,1.227377992636862,0.0,0.0,15.625737388380035,0.010663375877392111,18.010497575988385,-15.089654732735019
2025-01-01 04:00:00,0.8605669254960422,0.13544165095712507,0.061812500000000006,0.8605669254960422,0.13544165095712507,0.061812500000000006,0.011005033573850005,0.5833092014814816,0.18413810710737724,0.07211458333333336,0.010000000000000002,0.061812500000000006,0.0,0.0,0.1325249842904584,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03955084127533316,0.02966313095649986,0.0,0.0,0.0020446329038742686,0.0,0.004480200334987869,0.0,0.004480200334987869,0.0,0.007438128053432643,0.0,0.13714913777861143,0.10286185333395854,0.0,0.0,1330.513180105503,18.888888888888914,0.3066666666666667,190.83804767227497,1.8115458055555556,0.07211458333333336,0.38333333333333336,1449.2366444444447,3780.6173333333336,0.0,20.000000000000057,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,533.9755644444444,583.3092014814815,0.23333333333333334,34.423908448917366,51.66666666666668,46.10666666666668,0.0,49.16307341713006,0.0,0.0,583.3092014814815,34.423908448917366,48.104728926560156,49.163295005410326,47.57533509299495,12.43753247303448,18.58850949971255,-0.07879634306989948,0.6926617924864432,0.6206300904465746,0.55,9.236100170605994,630.4995192913378,-861.0910552935437,-6.451744797903099,-726.8065885820993,0.0,0.0,317.54192948116884,0.0,2.0,0.030699172061750612,0.0,0.0,3.27422123150242,131.99922844444444,-24.64636569213415,0.2607158847540371,9.326476238412685,0.0033908428468703245,14.966822733826637,1.2268849229754926,0.0,0.0,18.805008108944484,0.008923685642310131,8.577323673901141,-15.029068471804239
2025-01-01 05:00:00,0.30439884258501837,0.1445015472916997,0.0645,0.3043988425850183,0.14450154729169973,0.0645,0.01783177962384245,0.0,0.20131706296117588,0.07525000000000001,0.010000000000000002,0.0645,0.0,0.0,0.14158488062503302,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03955084127533316,0.02966313095649986,0.0,0.0,0.0022783052357456136,0.0,0.007776737194048417,0.0,0.007776737194048417,0.0,0.012537222127798417,0.0,0.14922899955804428,0.11192174966853319,0.0,0.0,1388.3615792405249,18.888888888888914,0.32000000000000006,199.13535409280865,1.8903086666666666,0.07525000000000001,0.4,1512.2469333333333,3780.6173333333336,0.0,20.000000000000057,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,533.9755644444444,0.0,0.0,38.2541047057784,51.66666666666668,46.10666666666668,0.0,51.50777950088323,0.0,0.0,0.0,38.2541047057784,51.519634329000866,51.5255617430597,51.50777950088323,12.43753247303448,18.640046054244156,-0.06954582001381926,-0.2603859421190516,-0.4279509817287417,-0.25000000000000006,9.236100170605994,669.7396215752783,-542.9515513721841,-9.755724601810236,-757.4615866279936,0.0,0.0,340.70204106039967,0.0,2.0,0.030460081843392824,0.0,0.0,3.248721056200722,131.99922844444444,-24.190096249547576,0.2649027520013716,9.42197807400881,0.0034584508193827913,14.90755854064776,1.226002633271956,0.0,0.0,19.773445956270738,0.0067937057927050185,6.682650299989734,-16.43837490179997
2025-01-01 06:00:00,1.186666213832294,0.15232670105780616,0.0779375,1.186666213832294,0.15232670105780619,0.0779375,0.033918166554318376,0.8332988592592595,0.21852210468538305,0.09092708333333335,0.010000000000000002,0.0779375,0.0,0.0,0.14941003439113948,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417481102350739,0.03131108267630542,0.0,0.0,0.002570395650584795,0.0,0.01567388545186679,0.0,0.01567388545186679,0.0,0.019308725497197,0.0,0.15746526895311214,0.11809895171483407,0.0,0.0,1677.603574915634,20.611111111111168,0.3866666666666667,240.62188619547715,2.2841229722222223,0.09092708333333335,0.48333333333333334,1827.298377777778,3780.6173333333336,0.0,21.611111111111168,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,533.9755644444444,833.2988592592593,0.3333333333333333,34.83089708192496,51.66666666666668,46.10666666666668,0.0,51.01678072300873,0.32233401536447487,863.1159351232552,833.2988592592593,34.83089708192496,50.227732617712604,51.02623581454987,49.823753473523404,12.43753247303448,20.311732267897778,-0.06934068059111495,0.43039128832344226,-0.6027336999164883,0.3,9.236100170605994,834.437451276144,-674.2986192638032,-4.229749355646995,-845.313655068463,0.0,0.0,373.41693085742804,0.0,2.0,0.03214144754173622,0.0,0.0,3.4280471714575875,131.99922844444444,-35.74868444532843,0.2379706405313629,10.161869157339549,0.0034473292211713064,-9.441606941400746,1.2190267820293952,0.0,0.0,18.59945797290194,0.009777986438155964,11.911016999340507,-16.140766354987502
2025-01-01 07:00:00,1.229432850581998,0.17429078395211245,0.07525000000000001,1.2294328505819982,0.17429078395211242,0.07525000000000001,0.0709612905446498,0.7916339162962964,0.2690459770743852,0.08779166666666668,0.010000000000000002,0.07525000000000001,0.0,0.0,0.17137411728544577,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043945379194814636,0.03295903439611097,0.0,0.0,0.0023951414016812863,0.0,0.03428307457148425,0.0,0.03428307457148425,0.0,0.040547154027124166,0.0,0.18455344385244643,0.13841508288933477,0.0,0.0,1619.755175780612,20.611111111111168,0.37333333333333335,232.32457977494343,2.205360111111111,0.08779166666666668,0.4666666666666667,1764.288088888889,3780.6173333333336,0.0,21.611111111111168,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,533.9755644444444,791.6339162962963,0.31666666666666665,34.01580873830454,51.66666666666668,46.10666666666668,0.0,51.15557300163209,0.3956266818571273,1068.8013415734717,791.6339162962963,34.01580873830454,49.50832682720808,51.15706452610012,48.68321221552805,12.43753247303448,20.301329680759043,-0.09025611654350124,-0.4197045861001353,-0.8799837364206025,-0.55,9.236100170605994,819.2426514550322,-785.2588912697461,-10.571710056246358,-905.4475464244134,0.0,0.0,459.0877549938083,1.31474228249274,2.0,0.032919473740832386,0.0,0.0,3.5110275819592682,131.99922844444444,-30.20169773885247,0.237739234024335,10.151109013522248,0.003441726193748235,7.881740816751346,1.2190741828897163,0.0,0.0,20.589416751293154,0.009548751270540152,5.135910480559874,-15.70762053680623
2025-01-01 08:00:00,1.23052653834846,0.1853643395036552,0.0725625,1.23052653834846,0.18536433950365516,0.0725625,0.08673483913277703,0.7499689733333335,0.2991664758823495,0.08465625000000003,0.010000000000000002,0.0725625,0.0,0.0,0.1824476728369885,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045044013674684996,0.03378301025601374,0.0,0.0,0.0018109605720029237,0.0,0.04246193928038706,0.0,0.04246193928038706,0.0,0.05590291209969816,0.0,0.1982195501079664,0.14866466258097477,0.0,0.0,1561.9067766455905,20.611111111111168,0.36000000000000004,224.02727335440974,2.12659725,0.08465625000000003,0.45,1701.2778,3780.6173333333336,0.0,21.611111111111168,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,533.9755644444444,749.9689733333333,0.3,34.436530898524616,51.66666666666668,46.10666666666668,0.0,51.34772289697121,0.2393573351850198,648.3561725061173,749.9689733333333,34.436530898524616,49.82799895463163,51.348188802778395,49.06767107765466,12.43753247303448,20.281552250438853,-0.08896672393453459,-1.2864159963137227,-1.2363632409057934,-1.4,9.236100170605994,766.8327855351838,-808.9121144160415,-10.465974998121634,-975.4267749938998,0.0,0.0,504.0251749520134,81.04288972114114,2.0,0.03402483938458487,0.0,0.0,3.628920391969511,131.99922844444444,-11.291035739402112,0.24121369209527838,10.195302567523566,0.0034864707733628496,31.737679396294677,1.2196958919321799,0.0,0.0,22.285033666653295,0.010200800004775632,5.597011354379588,-16.062986352501223
2025-01-01 09:00:00,1.0632280549827728,0.18641675170413607,0.059125000000000004,1.0632280549827726,0.18641675170413607,0.059125000000000004,0.08961043838125946,0.5833092014814816,0.311329248453365,0.06897916666666667,0.010000000000000002,0.059125000000000004,0.0,0.0,0.1835000850374694,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045044013674684996,0.03378301025601374,0.0,0.0,0.0014604520741959063,0.0,0.04407499315353178,0.0,0.04407499315353178,0.0,0.06666246840340576,0.0,0.19962276637527426,0.14971707478145566,0.0,0.0,1272.664780970481,20.611111111111168,0.29333333333333333,182.54074125174125,1.7327829444444445,0.06897916666666667,0.36666666666666664,1386.2263555555555,3780.6173333333336,0.0,21.611111111111168,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,533.9755644444444,583.3092014814815,0.23333333333333334,34.53570067347075,51.66666666666668,46.10666666666668,0.0,51.39262670673117,0.07031331867989613,189.37786783140143,583.3092014814815,34.53570067347075,49.967604860162986,51.39438052174536,49.2533401218647,12.43753247303448,20.353174757561494,-0.06671979901127827,-0.9042961984522538,-0.8999049199798749,-0.85,9.236100170605994,620.0777032221336,-608.1656119623826,-10.233459876005735,-940.5884068323996,0.0,0.0,518.9653216327997,235.80979279076683,2.0,0.033581815685237,0.0,0.0,3.581669684375646,131.99922844444444,23.5689636453485,0.24741368392389818,10.3450302510059,0.003590584642938037,56.731963717419724,1.219933831836919,0.0,0.0,20.2650466088581,0.010358424526029962,0.33696687456324464,-10.57042675056898
