trial,transformer_kwh,max_diversified_kw,kva_rating,n_customers
0,9820.275627940768,42.49729228759744,50.0,9
1,12863.140737978558,52.84939528418753,50.0,9
2,11834.419617045192,47.71633568404611,50.0,9
3,7300.309626718545,30.634706132691292,50.0,9
4,7365.797717965271,27.599204798383326,50.0,9
5,6585.1855400567265,32.74609795961909,50.0,9
6,6878.281324664586,30.146808423324444,50.0,9
7,11330.418839596616,52.306863314382625,50.0,9
8,10932.311214560714,53.87193150345111,50.0,9
9,8085.6700816741695,35.605258031305894,50.0,9
10,9044.004625117139,41.16531885049286,50.0,9
11,6540.4303033836195,26.136623344070756,50.0,9
12,14386.89077533403,57.29922025779795,50.0,9
13,9495.190202530253,35.00631177565804,50.0,9
14,6448.09700036911,25.53974678284133,50.0,9
15,14586.315459405698,57.42736678061139,50.0,9
16,8443.199780438483,34.5645736833392,50.0,9
17,9829.6263965248,39.199876969273454,50.0,9
18,12084.137705179835,51.95818569435679,50.0,9
19,14299.988270876584,54.54922219724347,50.0,9
