trial,transformer_kwh,max_diversified_kw,kva_rating,n_customers
0,7377.072499444323,47.19600945106112,25.0,3
1,2183.4670238791077,16.820127892909166,25.0,3
2,1650.7953875180622,12.549821137369833,25.0,3
3,2558.2773141898756,13.856039293292461,25.0,3
4,2482.13230669535,18.426962470859717,25.0,3
5,1637.3364382592226,9.374625967500915,25.0,3
6,3736.686508488989,24.623569672474943,25.0,3
7,2528.494025048702,16.216517308147225,25.0,3
8,3727.2730125488883,30.476064953874957,25.0,3
9,1959.252624531265,13.421148069809231,25.0,3
10,1851.0660932246128,17.052647862145506,25.0,3
11,1532.1359804164172,12.446978933788106,25.0,3
12,3313.388065448362,23.085950681356753,25.0,3
13,2858.0422051252363,21.992509743301465,25.0,3
14,1737.1976924425455,18.993508323989595,25.0,3
15,901.5494509509463,15.995993615327219,25.0,3
16,5685.4830402683265,35.07482278037301,25.0,3
17,4678.3371470770335,25.37164749999496,25.0,3
18,1799.399270741496,9.1417186258324,25.0,3
19,3506.8655871427463,19.038847595159496,25.0,3
