trial,transformer_kwh,max_diversified_kw,kva_rating,n_customers
0,21040.99169366687,85.2705562176256,75.0,17
1,14342.164318024033,54.72087533495783,75.0,17
2,20288.92570076019,112.44413859419377,75.0,17
3,24118.293340005494,90.85571702358826,75.0,17
4,15737.916387319949,52.07077822989351,75.0,17
5,20299.055872870882,111.13624973621087,75.0,17
6,15801.419751091576,58.670430121960344,75.0,17
7,16505.813785882645,59.85290982958127,75.0,17
8,16945.308680573104,63.524374978952864,75.0,17
9,19989.117050493565,86.96720277680113,75.0,17
10,19476.156917385397,72.74156352019577,75.0,17
11,16558.208813790698,69.95822921058145,75.0,17
12,20725.878176554117,74.8507600122381,75.0,17
13,16560.814833797336,61.61160404536765,75.0,17
14,12427.273893593221,41.698406775019244,75.0,17
15,14884.140259447664,51.822937911064614,75.0,17
16,16093.595468129453,55.67893023824155,75.0,17
17,22349.37992898094,80.66512091692388,75.0,17
18,15183.526416670158,57.29471572417253,75.0,17
19,14359.675082062768,46.30713027195905,75.0,17
