Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-01 00:00:00,0.6255693558303697,0.16339100423408903,0.011438932531264902,0.3862773095553495,0.0,0.18229404627502016,0.006998,0.05,0.011438932531264902,0.0,0.0,0.0,51.66666666666668,20.40717682248389,0.0
2025-01-01 01:00:00,0.6591588584896882,0.162766413366119,0.005979442004979381,0.4235792011949313,0.0,0.178581657294757,0.006998,0.05,0.005979442004979381,0.0,0.0,0.0,51.66666666666668,19.41314069900921,0.0
2025-01-01 02:00:00,0.7630263912021865,0.16214182249814893,0.14612007958813222,0.38461173390742937,0.142835,0.178581657294757,0.006998,0.05,0.004939539047591663,0.14118054054054055,0.0,0.0,51.66666666666668,18.88982777830496,-0.0973466357040015
2025-01-01 03:00:00,0.735363044354926,0.1615172316301789,0.08331369014425799,0.4219136255470112,0.0803446875,0.1761067313079149,0.006998,0.05,0.0038996360902039443,0.07941405405405405,0.0,0.0,51.66666666666668,19.17443920805918,-0.03396124355628386
2025-01-01 04:00:00,1.0325044775997168,0.16089264076220883,0.24240177399171303,0.5583656837918017,0.24103406249999998,0.1761067313079149,0.006998,0.05,0.004159611829550874,0.23824216216216215,0.0,0.0,51.66666666666668,19.178441762590598,-0.0467009877802593
2025-01-01 05:00:00,1.3217336628797034,0.16898967515666932,0.2709023334000111,0.7246261698659295,0.24996125000000002,0.29014824301377384,0.006998,0.05,0.004679563308244733,0.24706594594594597,0.019156824145820425,0.0,51.66666666666668,19.0954413960642,-0.07273937161372963
2025-01-01 06:00:00,1.2037385928840876,0.16886181022688482,0.18629063251259959,0.6483303366063514,0.16961656249999998,0.328793693777736,0.006998,0.05,0.00675936922302017,0.16765189189189192,0.011879371397687527,0.0,51.66666666666668,18.98590862152061,-0.0711743124140499
2025-01-01 07:00:00,1.0173510615588586,0.1763352428919,0.11425068974929517,0.41053983707820285,0.0981990625,0.45161416198065574,0.006998,0.05,0.008579199398448678,0.09706162162162162,0.008609868729224878,0.0,51.66666666666668,19.166105209919102,-0.04790186492527783
2025-01-01 08:00:00,0.9944805080360422,0.16897296309866755,0.27329271291196217,0.396691121285115,0.267815625,0.2729757617509271,0.006998,0.05,0.008579199398448678,0.2647135135135135,0.0,0.0,51.66666666666668,19.224103522269687,-0.020279955789359743
2025-01-01 09:00:00,1.3122655625943336,0.17299393936258328,0.5411655832641118,0.36788944950937486,0.53563125,0.35174686308495856,0.006998,0.05,0.008319223659101748,0.529427027027027,0.0034193325779830305,0.0,51.66666666666668,19.804964977205817,-0.7783683561275475
