Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,3.63023223426574,2.2686599357699566,0.0,0.060503870571095665,0.037810998929499275,0.0,0.06196967613970585,0.6238974213321054,2.944365136793929,0.0,0.0,0.0,0.3667879406703188,1.901871995099638,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0.0,0,Off,0.004544051535087718,0.0,On,0.0016141180054602933,0.0,On,0.05581150659915784,0,On,0.1348468337716802,0,On,0.43005574704885297,0.32254181028663964,On,0,0,Off,Off,0.0,0,83.85313640693751,51.666666666666686,46.10666666666668,0.0,51.35446351283606,0.0,0.0,0.0,131.02052563583985,51.40097914755067,51.42423696490798,51.35446351283606,12.43753247303448,HP On,7511.421201793264,20.000000000000057,2.5837355384622294,0.0,2.883723926176363,0.06064121061756596,2.9234881297844635,7450.779991175698,9843.34222041892,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,14154.858480627172,20.005701937285597,0,6.80774355319592,-1.0393217701816775,2.8,9.236100170605994,6163.44299926903,-3418.7852518498466,2724.494241117727,-1938.9420425548462,-0.0,-0.0,721.7628094006137,0.0,1.0,0.08647185599772293,0.0,0,0.6306453184518876,65.99961422222222,-130.79896937000183,0.1890131986090612,9.163551184867892,0.00268964473103839,-31.592423866981935,1.2184819333071202,0.6773199028896508,-3537.6218980472026,118.83664619735579,0.5436834545663999,2720.309261488709,4.184979629017822
2025-01-01 00:01:00,3.5016082081206457,2.1855770225247984,0.0,0.05836013680201076,0.03642628370874664,0.0,0.06196967613970585,0.6238974213321054,2.8157411106488346,0.0,0.0,0.0,0.3667879406703188,1.8187890818544796,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0.0,0,Off,0.004544051535087718,0.0,On,0.0016141180054602933,0.0,On,0.05581150659915784,0,On,0.1348468337716802,0,On,0.43005574704885297,0.32254181028663964,On,0,0,Off,Off,0.0,0,83.8086009135725,51.666666666666686,46.10666666666668,0.0,51.34052546964858,0.0,0.0,0.0,130.95093892745703,51.38791425035088,51.411608640702035,51.34052546964858,12.43753247303448,HP On,7274.450036451888,20.000000000000057,2.609407199561492,0.0,2.7704044862095185,0.045336624439316416,2.80692432572202,7229.113412012572,9842.920602588054,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,14156.884536043324,20.009280703267265,0,6.835516914408633,-0.8244519348084381,2.8,9.236100170605994,5920.608354037438,-3444.76674924089,2572.382645970177,-1939.528692987985,-0.0,-0.0,721.7628094006137,0.0,1.0,0.08648003136071382,0.0,0,0.6307049419483115,65.99961422222222,-136.0757988270783,0.18951730724510168,9.1882415324038,0.00268955911459533,-31.57757005363135,1.2220264218164587,0.6774872725450091,-3563.017576258697,118.25082701780642,0.5436834545663999,2568.065600194147,4.317045776029893
2025-01-01 00:02:00,3.505752501628652,2.188253971678915,0.0,0.05842920836047753,0.036470899527981916,0.0,0.06196967613970585,0.6238974213321054,2.819885404156841,0.0,0.0,0.0,0.3667879406703188,1.8214660310085962,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0.0,0,Off,0.004544051535087718,0.0,On,0.0016141180054602933,0.0,On,0.05581150659915784,0,On,0.1348468337716802,0,On,0.43005574704885297,0.32254181028663964,On,0,0,Off,Off,0.0,0,83.77364299009,51.666666666666686,46.10666666666668,0.0,51.32659526464928,0.0,0.0,0.0,130.8963171720156,51.37485629208823,51.39898680580771,51.32659526464928,12.43753247303448,HP On,7282.9822272361025,20.000000000000057,2.6083583031761166,0.0,2.7749393989297837,0.04494600522705749,2.8116231678197137,7238.036222009045,9842.920602588054,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,14157.037101346608,20.009280703267265,0,6.861528315244819,-0.6219448303347269,2.8,9.236100170605994,5924.079987727216,-3469.294646574524,2429.1003372356654,-1939.528692987985,-0.0,-0.0,721.7628094006137,0.0,1.0,0.08648003136071382,0.0,0,0.6307049419483115,65.99961422222222,-141.13635592151522,0.18951132057601508,9.188072368760968,0.002689473786620359,-31.554111485125194,1.2220264847574696,0.677643986671275,-3586.8129246969725,117.51827812244832,0.5436834545663999,2424.581416061534,4.518921174131245
2025-01-01 00:03:00,3.510121990924446,2.191076382941944,0.0,0.058502033182074094,0.03651793971569907,0.0,0.06196967613970585,0.6238974213321054,2.824254893452635,0.0,0.0,0.0,0.3667879406703188,1.8242884422716255,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0.0,0,Off,0.004544051535087718,0.0,On,0.0016141180054602933,0.0,On,0.05581150659915784,0,On,0.1348468337716802,0,On,0.43005574704885297,0.32254181028663964,On,0,0,Off,Off,0.0,0,83.73869968767991,51.666666666666686,46.10666666666668,0.0,51.312671302844066,0.0,0.0,0.0,130.84171826199986,51.36180378051125,51.386370019344845,51.312671302844066,12.43753247303448,HP On,7291.5062613751115,20.000000000000057,2.6073653592090995,0.0,2.779238299698444,0.04501659375419086,2.8160748378796336,7246.489667620921,9842.920602588054,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,14157.022628561084,20.00928070326727,0,6.885912090931598,-0.43108494744637094,2.8,9.236100170605994,5927.495481134049,-3492.47924786761,2294.017107136123,-1939.5286929879856,-0.0,-0.0,721.7628094006137,0.0,1.0,0.08648003136071382,0.0,0,0.6307049419483115,65.99961422222222,-146.24489665369006,0.1895053383530218,9.187903325884061,0.002689388522038829,-31.530670344893554,1.2220265476517358,0.6777908617372598,-3609.128787321189,116.649539453579,0.5436834545663999,2289.3497428268947,4.667364309227949
2025-01-01 00:04:00,3.5135309991698764,2.193278384735821,0.0,0.058558849986164604,0.036554639745597015,0.0,0.06196967613970585,0.6238974213321054,2.8276639016980654,0.0,0.0,0.0,0.3667879406703188,1.826490444065502,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0.0,0,Off,0.004544051535087718,0.0,On,0.0016141180054602933,0.0,On,0.05581150659915784,0,On,0.1348468337716802,0,On,0.43005574704885297,0.32254181028663964,On,0,0,Off,Off,0.0,0,83.70377100024649,51.666666666666686,46.10666666666668,0.0,51.29875358141234,0.0,0.0,0.0,130.78714218788514,51.34875671334188,51.37375827930665,51.29875358141234,12.43753247303448,HP On,7298.150318058842,20.000000000000057,2.606592291504291,0.0,2.782589235614315,0.04507466608375024,2.819543083931086,7253.075651975091,9842.920602588054,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,14157.008166107675,20.009280703267265,0,6.908784988842318,-0.25120233658245406,2.8,9.236100170605994,5930.873439858115,-3513.9392935518754,2166.701778635152,-1939.528692987985,-0.0,-0.0,721.7628094006137,0.0,1.0,0.08648003136071382,0.0,0,0.6307049419483115,65.99961422222222,-149.51099461335605,0.18949936057282074,9.18773440369021,0.002689303320803636,-31.50724661998665,1.222026610499293,0.6779286071441462,-3630.0702351356895,116.13094158381446,0.5436834545663999,2161.8958950889055,4.805883546246526
2025-01-01 00:05:00,3.5157414812417116,2.1947062151008656,0.0,0.05859569135402853,0.03657843691834776,0.0,0.06196967613970585,0.6238974213321054,2.8298743837699005,0.0,0.0,0.0,0.3667879406703188,1.8279182744305467,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0.0,0,Off,0.004544051535087718,0.0,On,0.0016141180054602933,0.0,On,0.05581150659915784,0,On,0.1348468337716802,0,On,0.43005574704885297,0.32254181028663964,On,0,0,Off,Off,0.0,0,83.6688569217244,51.666666666666686,46.10666666666668,0.0,51.284842097534785,0.0,0.0,0.0,130.73258894019438,51.335715088303004,51.36115158368711,51.284842097534785,12.43753247303448,HP On,7302.4547655526185,20.000000000000057,2.6060919577350705,0.0,2.7847598390879202,0.045114544681980444,2.8217888490950687,7257.340220870638,9842.920602588054,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,14156.993713979306,20.009280703267265,0,6.930264171829535,-0.08164102818670789,2.8,9.236100170605994,5934.25139643523,-3534.1587928075496,2046.7015070973498,-1939.528692987985,-0.0,-0.0,721.7628094006137,0.0,1.0,0.08648003136071382,0.0,0,0.6307049419483115,65.99961422222222,-150.43748553001714,0.1894933872321131,9.188293430398389,0.0026892181828677107,-31.48384029746399,1.2220266733001754,0.6780579338294158,-3649.742996616565,115.58420380901542,0.5436834545663999,2041.7550928249516,4.946414272398321
2025-01-01 00:06:00,3.5176519745908226,2.19594027189365,0.0,0.05862753290984704,0.036599004531560834,0.0,0.06196967613970585,0.6238974213321054,2.8317848771190115,0.0,0.0,0.0,0.3667879406703188,1.829152331223331,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0.0,0,Off,0.004544051535087718,0.0,On,0.0016141180054602933,0.0,On,0.05581150659915784,0,On,0.1348468337716802,0,On,0.43005574704885297,0.32254181028663964,On,0,0,Off,Off,0.0,0,83.63395744594187,51.666666666666686,46.10666666666668,0.0,51.27093684839335,0.0,0.0,0.0,130.67805850928417,51.322678903118444,51.348549930481,51.27093684839335,12.43753247303448,HP On,7306.176810734477,20.000000000000057,2.605659137946144,0.0,2.7866387254139258,0.04514615170508586,2.823732271199331,7261.030659029391,9842.920602588054,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,14156.9792721689,20.009280703267265,0,6.95044500699711,0.07822378161070274,2.8,9.236100170605994,5937.63700188851,-3553.155326160899,1933.5748777125175,-1939.528692987985,-0.0,-0.0,721.7628094006137,0.0,1.0,0.08648003136071382,0.0,0,0.6307049419483115,65.99961422222222,-150.77392525859517,0.18948741832760255,9.188124760667739,0.0026891331081840197,-31.46045136439503,1.2220267360544173,0.678179420659637,-3668.2330781296164,115.07775196871712,0.5436834545663999,1928.4846381171535,5.090239595364321
2025-01-01 00:07:00,3.5194482811519574,2.19710057130779,0.0,0.058657471352532624,0.036618342855129826,0.0,0.06196967613970585,0.6238974213321054,2.8335811836801463,0.0,0.0,0.0,0.3667879406703188,1.830312630637471,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0.0,0,Off,0.004544051535087718,0.0,On,0.0016141180054602933,0.0,On,0.05581150659915784,0,On,0.1348468337716802,0,On,0.43005574704885297,0.32254181028663964,On,0,0,Off,Off,0.0,0,83.59907256675757,51.666666666666686,46.10666666666668,0.0,51.257037831171274,0.0,0.0,0.0,130.6235508855587,51.30964815551301,51.33595331768388,51.257037831171274,12.43753247303448,HP On,7309.676168471454,20.000000000000057,2.6052522699578184,0.0,2.7884059524855407,0.04517523119460567,2.825559754864938,7264.500937276848,9842.920602588054,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,14156.96484066939,20.009280703267265,0,6.969415835211046,0.22897907736991235,2.8,9.236100170605994,5941.015071999784,-3571.008864111646,1826.9044718449713,-1939.528692987985,-0.0,-0.0,721.7628094006137,0.0,1.0,0.08648003136071382,0.0,0,0.6307049419483115,65.99961422222222,-150.89521288429842,0.18948145385599527,9.187956211364241,0.002689048096705564,-31.437079807858698,1.2220267987620543,0.6782936035145265,-3685.620246447225,114.6113823355792,0.5436834545663999,1821.6686295040379,5.235842340933375
2025-01-01 00:08:00,3.5212292103443676,2.198250937922981,0.0,0.05868715350573946,0.03663751563204968,0.0,0.06196967613970585,0.6238974213321054,2.8353621128725566,0.0,0.0,0.0,0.3667879406703188,1.8314629972526622,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0.0,0,Off,0.004544051535087718,0.0,On,0.0016141180054602933,0.0,On,0.05581150659915784,0,On,0.1348468337716802,0,On,0.43005574704885297,0.32254181028663964,On,0,0,Off,Off,0.0,0,83.56420227804536,51.666666666666686,46.10666666666668,0.0,51.24314504305309,0.0,0.0,0.0,130.56906605944587,51.29662284321243,51.32336174329212,51.24314504305309,12.43753247303448,HP On,7313.145126593813,20.000000000000057,2.604849018170769,0.0,2.7901584280028415,0.04520368486971482,2.8273715593458615,7267.941441724099,9842.920602588054,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,14157.012836544609,20.009280703267265,0,6.987257408089993,0.3711746548665356,2.8,9.236100170605994,5944.369020287052,-3587.797922493464,1726.2993590730048,-1939.528692987985,-0.0,-0.0,721.7628094006137,0.0,1.0,0.08648003136071382,0.0,0,0.6307049419483115,65.99961422222222,-151.01022271938933,0.1894754938139998,9.187787782405309,0.002688963148385379,-31.413725614943406,1.2220268614231202,0.6784009719975652,-3701.9774842983134,114.17956180484987,0.5436834545663999,1720.9175152288476,5.381843844157176
2025-01-01 00:09:00,3.523011660490453,2.1994022869771923,0.0,0.05871686100817421,0.03665670478295321,0.0,0.06196967613970585,0.6238974213321054,2.837144563018642,0.0,0.0,0.0,0.3667879406703188,1.8326143463068736,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0.0,0,Off,0.004544051535087718,0.0,On,0.0016141180054602933,0.0,On,0.05581150659915784,0,On,0.1348468337716802,0,On,0.43005574704885297,0.32254181028663964,On,0,0,Off,Off,0.0,0,83.5293465737095,51.666666666666686,46.10666666666668,0.0,51.229258481224605,0.0,0.0,0.0,130.5146040214211,51.28360296394344,51.31077520530286,51.229258481224605,12.43753247303448,HP On,7316.616305552963,20.000000000000057,2.6044456263536,0.0,2.7919124643162574,0.04523209870238503,2.82918455432336,7271.384206850578,9842.920602588054,0.0,Off,0.0,21.111111111111143,0,0.0,0.0,0.0,0.0,0,0.0,0,14156.9984266144,20.009280703267265,0,7.004043796909319,0.5053256516309619,2.8,9.236100170605994,5947.683158199858,-3603.591366556158,1631.3935734436352,-1939.528692987985,-0.0,-0.0,721.7628094006137,0.0,1.0,0.08648003136071382,0.0,0,0.6307049419483115,65.99961422222222,-151.16726376573456,0.18946953819832726,9.187619473708615,0.002688878263176536,-31.390388772747404,1.2220269240376498,0.6785019749944726,-3717.3717982013704,113.7804316452122,0.5436834545663999,1625.8663002537244,5.527273189910824
