Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.905208631613319,0.11061436951453757,0.596572972972973,0.01508681052688865,0.0018435728252422928,0.009942882882882883,0.01687476013057578,0.0,0.2347698089827432,0.6035640625,0.05,0.596572972972973,0.0,0.0,0.09603103618120423,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004021034356725146,0.0,On,0.00043536101800228396,0.0,On,0.01241836475584835,0,On,0.0031843487043932118,0,On,0.0903811071337161,0.06778583035028705,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,13554.29392564506,18.33333333333337,0.9250000000000002,3221.8132612993845,17.483830404804802,0.6035640625,1,16172.543124444444,16172.543124444444,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,10610.346506666667,Off,0.0,0.0,38.38380018938437,51.666666666666686,46.10666666666668,0.0,50.841264142127706,0.0,0.0,0.0,38.38380018938437,50.501530132363214,50.841264142127706,50.33166312748097,12.43753247303448,17.524420707418123,-0.30891262591524793,-0.8322244815708056,0.9835244984608138,2.8,9.236100170605994,11485.057245128684,2170.421049828835,3333.3400773632106,-2369.023882869676,-0.0,-0.0,273.7730413549923,0.0,2.0,0.12345638882311571,0.0,0,1.1554296535141806,131.99922844444444,26.014160998307318,0.22550511043758165,8.071790319300401,0.0027479299847611408,-49.65787930957385,1.228840018275763,0.4530695454719999,2144.643960677879,25.777089150955888,0.1383833764612734,327.5903649084761,-216.0635488446501
2025-01-01 00:01:00,0.905208631613319,0.11061436951453757,0.596572972972973,0.01508681052688865,0.0018435728252422928,0.009942882882882883,0.01687476013057578,0.0,0.2347698089827432,0.6035640625,0.05,0.596572972972973,0.0,0.0,0.09603103618120423,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004021034356725146,0.0,On,0.00043536101800228396,0.0,On,0.01241836475584835,0,On,0.0031843487043932118,0,On,0.0903811071337161,0.06778583035028705,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,13554.29392564506,18.33333333333337,0.9250000000000002,3221.8132612993845,17.483830404804802,0.6035640625,1,16172.543124444444,16172.543124444444,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,10610.346506666667,Off,0.0,0.0,38.16817253956042,51.666666666666686,46.10666666666668,0.0,50.83774042334861,0.0,0.0,0.0,38.16817253956042,50.49829802549468,50.83774042334861,50.328576826567705,12.43753247303448,17.70650283226889,-0.12683050106448235,-0.47704442707788924,1.2638059705383786,2.8,9.236100170605994,11416.784529749993,1960.095424179625,3270.572520648298,-2412.6949887658325,-0.0,-0.0,273.7730413549923,0.0,2.0,0.12419639882636144,0.0,0,1.1623554149899378,131.99922844444444,1.412551515772975,0.22356635219566082,8.181064893812437,0.0027477587445736964,-50.51344227896309,1.2316582202269335,0.4530695454719999,1934.9281893409568,25.16723483866817,0.1372772735179279,274.8288811325835,-226.06962178366982
2025-01-01 00:02:00,0.905208631613319,0.11061436951453757,0.596572972972973,0.01508681052688865,0.0018435728252422928,0.009942882882882883,0.01687476013057578,0.0,0.2347698089827432,0.6035640625,0.05,0.596572972972973,0.0,0.0,0.09603103618120423,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004021034356725146,0.0,On,0.00043536101800228396,0.0,On,0.01241836475584835,0,On,0.0031843487043932118,0,On,0.0903811071337161,0.06778583035028705,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,13554.29392564506,18.33333333333337,0.9250000000000002,3221.8132612993845,17.483830404804802,0.6035640625,1,16172.543124444444,16172.543124444444,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,10610.346506666667,Off,0.0,0.0,37.95924871492199,51.666666666666686,46.10666666666668,0.0,50.83423624590404,0.0,0.0,0.0,37.95924871492199,50.495084075546615,50.83423624590404,50.32550799036791,12.43753247303448,17.882841444528342,0.0,-0.15436367014977595,1.5317356929009747,2.8,9.236100170605994,11351.496118221568,1769.0683334445976,3212.6215778733667,-2455.291635204923,-0.0,-0.0,273.7730413549923,0.0,2.0,0.12491145486785667,0.0,0,1.1690476320727798,131.99922844444444,-21.27921357356118,0.22108202629313062,8.264426987344194,0.002747584952635298,-51.336083025068355,1.2309120799438387,0.4530695454719999,1744.4016015476925,24.666731896905073,0.13621151872428544,225.1340880063815,-234.32577143239945
2025-01-01 00:03:00,0.905208631613319,0.11061436951453757,0.596572972972973,0.01508681052688865,0.0018435728252422928,0.009942882882882883,0.01687476013057578,0.0,0.2347698089827432,0.6035640625,0.05,0.596572972972973,0.0,0.0,0.09603103618120423,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004021034356725146,0.0,On,0.00043536101800228396,0.0,On,0.01241836475584835,0,On,0.0031843487043932118,0,On,0.0903811071337161,0.06778583035028705,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,13554.29392564506,18.33333333333337,0.9250000000000002,3221.8132612993845,17.483830404804802,0.6035640625,1,16172.543124444444,16172.543124444444,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,10610.346506666667,Off,0.0,0.0,37.75666102021016,51.666666666666686,46.10666666666668,0.0,50.830751003463,0.0,0.0,0.0,37.75666102021016,50.491887718023634,50.830751003463,50.32245607530395,12.43753247303448,18.053752000141465,0.0,0.13884847812731133,1.7883662037765073,2.8,9.236100170605994,11287.571156902368,1595.4875345886417,3158.476218338596,-2496.8607464111797,-0.0,-0.0,273.7730413549923,0.0,2.0,0.12560299308359826,0.0,0,1.1755197455747464,131.99922844444444,-43.63506368650508,0.21870304059638182,8.344563538884014,0.002747408223331382,-52.12746075146064,1.2301897758652394,0.4530695454719999,1571.2747295191516,24.212805069489963,0.1351828313242969,178.2224952396567,-241.55953820044516
2025-01-01 00:04:00,0.905208631613319,0.11061436951453757,0.596572972972973,0.01508681052688865,0.0018435728252422928,0.009942882882882883,0.01687476013057578,0.0,0.2347698089827432,0.6035640625,0.05,0.596572972972973,0.0,0.0,0.09603103618120423,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004021034356725146,0.0,On,0.00043536101800228396,0.0,On,0.01241836475584835,0,On,0.0031843487043932118,0,On,0.0903811071337161,0.06778583035028705,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,13554.29392564506,18.33333333333337,0.9250000000000002,3221.8132612993845,17.483830404804802,0.6035640625,1,16172.543124444444,16172.543124444444,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,10610.346506666667,Off,0.0,0.0,37.560113551768424,51.666666666666686,46.10666666666668,0.0,50.82728412294554,0.0,0.0,0.0,37.560113551768424,50.488708419392054,50.82728412294554,50.31942056761532,12.43753247303448,18.219488283826255,0.0,0.40533339841757066,2.0345816445829494,2.8,9.236100170605994,11229.816132750157,1437.7335294713357,3107.7218447428854,-2537.4372211719187,-0.0,-0.0,273.7730413549923,0.0,2.0,0.1262721842454631,0.0,0,1.1817827127622613,131.99922844444444,-60.81361307797694,0.21642283743747287,8.422956030363647,0.002747228664269092,-52.8890968636396,1.2294901547026764,0.4530695454719999,1413.9289272946503,23.804602176685233,0.13418847994885513,133.85412457305617,-247.94554112955507
2025-01-01 00:05:00,0.905208631613319,0.11061436951453757,0.596572972972973,0.01508681052688865,0.0018435728252422928,0.009942882882882883,0.01687476013057578,0.0,0.2347698089827432,0.6035640625,0.05,0.596572972972973,0.0,0.0,0.09603103618120423,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004021034356725146,0.0,On,0.00043536101800228396,0.0,On,0.01241836475584835,0,On,0.0031843487043932118,0,On,0.0903811071337161,0.06778583035028705,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,13554.29392564506,18.33333333333337,0.9250000000000002,3221.8132612993845,17.483830404804802,0.6035640625,1,16172.543124444444,16172.543124444444,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,10610.346506666667,Off,0.0,0.0,37.36923685476556,51.666666666666686,46.10666666666668,0.0,50.8238350580315,0.0,0.0,0.0,37.36923685476556,50.48554567103481,50.8238350580315,50.31640097753647,12.43753247303448,18.38036732010379,0.0,0.6475768181046697,2.2711673396535943,2.8,9.236100170605994,11178.569707291259,1294.333812783543,3060.052978227647,-2577.074142629026,-0.0,-0.0,273.7730413549923,0.0,2.0,0.12692044004951064,0.0,0,1.1878497457137303,131.99922844444444,-72.42311707976724,0.21423432574136772,8.497807133421299,0.0027470463779951837,-53.62281009061042,1.228811804169902,0.4530695454719999,1270.896499182934,23.437313600609134,0.1332260271226487,91.81740158083801,-253.57768465257539
2025-01-01 00:06:00,0.30164456911331894,0.11061436951453757,0.0,0.005027409485221982,0.0018435728252422928,0.0,0.01687476013057578,0.0,0.2347698089827432,0.0,0.05,0.0,0.0,0.0,0.09603103618120423,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004021034356725146,0.0,On,0.00043536101800228396,0.0,On,0.01241836475584835,0,On,0.0031843487043932118,0,On,0.0903811071337161,0.06778583035028705,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,16172.543124444444,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,10610.346506666667,Off,0.0,0.0,37.183679291260056,51.666666666666686,46.10666666666668,0.0,50.82040329581018,0.0,0.0,0.0,37.183679291260056,50.482398995444726,50.82040329581018,50.313396845262005,12.43753247303448,18.536690851479538,0.0,0.8678322629782396,2.498827889734888,2.8,9.236100170605994,-2423.907913061527,1163.9537247176027,-206.6245163165045,-2615.8235764295687,-0.0,-0.0,273.7730413549923,0.0,2.0,0.12754909593309754,0.0,0,1.1937333428015504,131.99922844444444,-81.85737798695062,0.21213094737991325,8.571302754824126,0.002746861460898225,-54.33032049074436,1.2281533846169461,0.4530695454719999,1140.8468527331531,23.106871984449484,0.13229327204519042,51.92424160393525,-258.54875792043975
2025-01-01 00:07:00,0.30164456911331894,0.11061436951453757,0.0,0.005027409485221982,0.0018435728252422928,0.0,0.01687476013057578,0.0,0.2347698089827432,0.0,0.05,0.0,0.0,0.0,0.09603103618120423,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004021034356725146,0.0,On,0.00043536101800228396,0.0,On,0.01241836475584835,0,On,0.0031843487043932118,0,On,0.0903811071337161,0.06778583035028705,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,16172.543124444444,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,10610.346506666667,Off,0.0,0.0,37.28986711981599,51.666666666666686,46.10666666666668,0.0,50.81698835516913,0.0,0.0,0.0,37.28986711981599,50.47926794472432,50.81698835516913,50.31040773950192,12.43753247303448,18.442284336065505,0.0,1.068142825780639,2.4036766214447938,2.8,9.236100170605994,-2392.9610078568026,1045.3832283858187,-183.21437551792238,-2592.3944633989895,-0.0,-0.0,273.7730413549923,0.0,2.0,0.12716958597633185,0.0,0,1.1901815050875926,131.99922844444444,-74.33958581280507,0.21337529218264187,8.526448260893908,0.002746674003523959,-53.78238130982283,1.2285511530660511,0.4530695454719999,1022.5736455143173,22.809582871501433,0.1326839168267115,68.53077241844463,-251.745147936367
2025-01-01 00:08:00,0.30164456911331894,0.11061436951453757,0.0,0.005027409485221982,0.0018435728252422928,0.0,0.01687476013057578,0.0,0.2347698089827432,0.0,0.05,0.0,0.0,0.0,0.09603103618120423,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004021034356725146,0.0,On,0.00043536101800228396,0.0,On,0.01241836475584835,0,On,0.0031843487043932118,0,On,0.0903811071337161,0.06778583035028705,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,16172.543124444444,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,10610.346506666667,Off,0.0,0.0,37.39260591807302,51.666666666666686,46.10666666666668,0.0,50.81356385831126,0.0,0.0,0.0,37.39260591807302,50.476127952460644,50.81356385831126,50.307409999535345,12.43753247303448,18.350833186361616,0.0,1.25036084778771,2.3142937513850614,2.8,9.236100170605994,-2364.5159534544214,937.5252645936263,-160.4723560258605,-2569.779210787449,-0.0,-0.0,273.7730413549923,0.0,2.0,0.1268015308586471,0.0,0,1.1867368733341892,131.99922844444444,-68.50978402196469,0.21458822455933124,8.483830675241343,0.0027464884968001002,-53.249918277251346,1.2289367180805593,0.4530695454719999,914.9831641421059,22.542100451520362,0.13304983460553046,84.21814699465723,-244.69050302051775
2025-01-01 00:09:00,0.30164456911331894,0.11061436951453757,0.0,0.005027409485221982,0.0018435728252422928,0.0,0.01687476013057578,0.0,0.2347698089827432,0.0,0.05,0.0,0.0,0.0,0.09603103618120423,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004021034356725146,0.0,On,0.00043536101800228396,0.0,On,0.01241836475584835,0,On,0.0031843487043932118,0,On,0.0903811071337161,0.06778583035028705,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,16172.543124444444,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,10610.346506666667,Off,0.0,0.0,37.49213028309077,51.666666666666686,46.10666666666668,0.0,50.81013011717062,0.0,0.0,0.0,37.49213028309077,50.47297930907922,50.81013011717062,50.30440390503352,12.43753247303448,18.262136064877616,0.0,1.4161657345900922,2.2305071864012813,2.8,9.236100170605994,-2337.013350558467,839.3851936111623,-139.7640316384937,-2547.9207365941456,-0.0,-0.0,273.7730413549923,0.0,2.0,0.12644415858083388,0.0,0,1.1833922223925444,131.99922844444444,-62.86565531931385,0.21577176595077466,8.44200000363506,0.002746304884277457,-52.731922497808576,1.2293109058165195,0.4530695454719999,817.083804965432,22.30138864573035,0.13339193062245894,99.00006011387552,-238.7640917523692
