Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.5561166614594026,0.1827265624246581,0.7554666666666667,0.009268611024323378,0.003045442707077635,0.012591111111111112,0.16170889281232065,0.0,0.394407768647082,0.0,0.7554666666666667,0.0,0.0,0.1827265624246581,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.024126206140350874,0.0,On,0.13758268667196977,0,On,0.04722827337746018,0,On,0.20399302241755515,0.15299476681316632,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,On,13284.327324444444,17.77777777777783,0.6,0.0,22.140545540740742,0.0,1,13284.327324444444,13284.327324444444,Off,0.0,0.0,36.732473391403495,51.666666666666686,46.10666666666668,0.0,50.15266613507399,0.0,0.0,0.0,36.732473391403495,48.62484886574951,50.15266613507399,47.86094023108727,12.43753247303448,17.11079796913534,-0.16697980864248763,2.8,9.236100170605994,11637.905496094378,-2115.694688938818,-0.0,-0.0,570.2922996312072,0.0,2.0,0.11344137797449706,0.0,0,1.0616990606702599,131.99922844444444,-101.01943904245562,0.2355562248582833,7.932206930667583,0.002796510052271091,-52.29775121618668,1.230555042676594
2025-01-01 00:01:00,0.5561166614594026,0.1827265624246581,0.7554666666666667,0.009268611024323378,0.003045442707077635,0.012591111111111112,0.16170889281232065,0.0,0.394407768647082,0.0,0.7554666666666667,0.0,0.0,0.1827265624246581,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.024126206140350874,0.0,On,0.13758268667196977,0,On,0.04722827337746018,0,On,0.20399302241755515,0.15299476681316632,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,On,13284.327324444444,17.77777777777783,0.6,0.0,22.140545540740742,0.0,1,13284.327324444444,13284.327324444444,Off,0.0,0.0,36.53769062041758,51.666666666666686,46.10666666666668,0.0,50.1491052529805,0.0,0.0,0.0,36.53769062041758,48.62175580880983,50.1491052529805,47.8580810867245,12.43753247303448,17.275097149863406,-0.002680627914422473,2.8,9.236100170605994,11585.02012960012,-2149.7888668074784,-0.0,-0.0,570.2922996312072,0.0,2.0,0.11396110991212542,0.0,0,1.0665632373916007,131.99922844444444,-119.81062766805391,0.23378477615532467,8.03309600898483,0.002796329960096419,-52.96114520443656,1.2334516046698976
2025-01-01 00:02:00,0.5561166614594026,0.1827265624246581,0.7554666666666667,0.009268611024323378,0.003045442707077635,0.012591111111111112,0.16170889281232065,0.0,0.394407768647082,0.0,0.7554666666666667,0.0,0.0,0.1827265624246581,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.024126206140350874,0.0,On,0.13758268667196977,0,On,0.04722827337746018,0,On,0.20399302241755515,0.15299476681316632,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,On,13284.327324444444,17.77777777777783,0.6,0.0,22.140545540740742,0.0,1,13284.327324444444,13284.327324444444,Off,0.0,0.0,36.34853509178488,51.666666666666686,46.10666666666668,0.0,50.14556205522709,0.0,0.0,0.0,36.34853509178488,48.61867915354818,50.14556205522709,47.85523770270873,12.43753247303448,17.43457634709033,0.0,2.8,9.236100170605994,11533.15300822413,-2183.084784473006,-0.0,-0.0,570.2922996312072,0.0,2.0,0.11446502201798803,0.0,0,1.0712793561395146,131.99922844444444,-138.38183137851692,0.2314242401661395,8.108805914272173,0.0027961480117448794,-53.601108125280675,1.2327747946951997
2025-01-01 00:03:00,0.5561166614594026,0.1827265624246581,0.7554666666666667,0.009268611024323378,0.003045442707077635,0.012591111111111112,0.16170889281232065,0.0,0.394407768647082,0.0,0.7554666666666667,0.0,0.0,0.1827265624246581,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.024126206140350874,0.0,On,0.13758268667196977,0,On,0.04722827337746018,0,On,0.20399302241755515,0.15299476681316632,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,On,13284.327324444444,17.77777777777783,0.6,0.0,22.140545540740742,0.0,1,13284.327324444444,13284.327324444444,Off,0.0,0.0,36.164746341801724,51.666666666666686,46.10666666666668,0.0,50.142036032835954,0.0,0.0,0.0,36.164746341801724,48.61561842612276,50.142036032835954,47.85240962276616,12.43753247303448,17.589458945587737,0.0,2.8,9.236100170605994,11482.379159416316,-2215.6110187970685,-0.0,-0.0,570.2922996312072,0.0,2.0,0.11495386512840877,0.0,0,1.075854443999127,131.99922844444444,-156.6294458622674,0.22915668510751425,8.181791020594437,0.0027959637636974944,-54.21854776237264,1.2321182084336035
2025-01-01 00:04:00,0.5561166614594026,0.1827265624246581,0.7554666666666667,0.009268611024323378,0.003045442707077635,0.012591111111111112,0.16170889281232065,0.0,0.394407768647082,0.0,0.7554666666666667,0.0,0.0,0.1827265624246581,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.024126206140350874,0.0,On,0.13758268667196977,0,On,0.04722827337746018,0,On,0.20399302241755515,0.15299476681316632,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,On,13284.327324444444,17.77777777777783,0.6,0.0,22.140545540740742,0.0,1,13284.327324444444,13284.327324444444,Off,0.0,0.0,35.98608875102994,51.666666666666686,46.10666666666668,0.0,50.13852670038412,0.0,0.0,0.0,35.98608875102994,48.61257317462411,50.13852670038412,47.84959641174411,12.43753247303448,17.739946999587765,0.0,2.8,9.236100170605994,11437.07662925587,-2247.3932980334293,-0.0,-0.0,570.2922996312072,0.0,2.0,0.11542831944982027,0.0,0,1.0802948670296615,131.99922844444444,-170.14969678635316,0.2269767101657434,8.25281536637458,0.002795777293952368,-54.81446052614665,1.2314809270012637
2025-01-01 00:05:00,0.5561166614594026,0.1827265624246581,0.7554666666666667,0.009268611024323378,0.003045442707077635,0.012591111111111112,0.16170889281232065,0.0,0.394407768647082,0.0,0.7554666666666667,0.0,0.0,0.1827265624246581,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.024126206140350874,0.0,On,0.13758268667196977,0,On,0.04722827337746018,0,On,0.20399302241755515,0.15299476681316632,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,On,13284.327324444444,17.77777777777783,0.6,0.0,22.140545540740742,0.0,1,13284.327324444444,13284.327324444444,Off,0.0,0.0,35.812255211643404,51.666666666666686,46.10666666666668,0.0,50.13503359375698,0.0,0.0,0.0,35.812255211643404,48.60954296698312,50.13503359375698,47.84679765359619,12.43753247303448,17.886304025202122,0.0,2.8,9.236100170605994,11397.047699869583,-2278.471918811337,-0.0,-0.0,570.2922996312072,0.0,2.0,0.11588925553490806,0.0,0,1.0846087727429434,131.99922844444444,-179.10000539473265,0.2248782837731472,8.32204519159043,0.0027955886771724287,-55.390107381440984,1.2308617770549346
2025-01-01 00:06:00,0.5561166614594026,0.1827265624246581,0.0,0.009268611024323378,0.003045442707077635,0.0,0.16170889281232065,0.0,0.394407768647082,0.0,0.0,0.0,0.0,0.1827265624246581,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.024126206140350874,0.0,On,0.13758268667196977,0,On,0.04722827337746018,0,On,0.20399302241755515,0.15299476681316632,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,13284.327324444444,Off,0.0,0.0,35.6429622950403,51.666666666666686,46.10666666666668,0.0,50.131556276611526,0.0,0.0,0.0,35.6429622950403,48.60652739699066,50.131556276611526,47.84401295718023,12.43753247303448,18.028773212619193,0.0,2.8,9.236100170605994,-1924.9186556626278,-2308.884503437591,-0.0,-0.0,570.2922996312072,0.0,2.0,0.11633747611971859,0.0,0,1.0888036739541522,131.99922844444444,-186.32645185624443,0.22285591699067447,8.388980756047816,0.0027953979837146534,-55.94665178667164,1.2302596773456655
2025-01-01 00:07:00,0.5561166614594026,0.1827265624246581,0.0,0.009268611024323378,0.003045442707077635,0.0,0.16170889281232065,0.0,0.394407768647082,0.0,0.0,0.0,0.0,0.1827265624246581,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.024126206140350874,0.0,On,0.13758268667196977,0,On,0.04722827337746018,0,On,0.20399302241755515,0.15299476681316632,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,13284.327324444444,Off,0.0,0.0,35.75910532457324,51.666666666666686,46.10666666666668,0.0,50.12809433823514,0.0,0.0,0.0,35.75910532457324,48.603526082303716,50.12809433823514,47.84124195433802,12.43753247303448,17.925933745478833,0.0,2.8,9.236100170605994,-1896.389106973898,-2286.9158009210855,-0.0,-0.0,570.2922996312072,0.0,2.0,0.11601398091377685,0.0,0,1.0857760788877655,131.99922844444444,-179.76560568401925,0.2242872873948663,8.340526446631099,0.002795205279957262,-55.4231995978371,1.2306944810930325
2025-01-01 00:08:00,0.5561166614594026,0.1827265624246581,0.0,0.009268611024323378,0.003045442707077635,0.0,0.16170889281232065,0.0,0.394407768647082,0.0,0.0,0.0,0.0,0.1827265624246581,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.024126206140350874,0.0,On,0.13758268667196977,0,On,0.04722827337746018,0,On,0.20399302241755515,0.15299476681316632,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,13284.327324444444,Off,0.0,0.0,35.87175624183646,51.666666666666686,46.10666666666668,0.0,50.12462197129887,0.0,0.0,0.0,35.87175624183646,48.60051498779608,50.12462197129887,47.838461496044694,12.43753247303448,17.826085832019483,0.0,2.8,9.236100170605994,-1869.9115407774266,-2265.664575975282,-0.0,-0.0,570.2922996312072,0.0,2.0,0.11569966386866315,0.0,0,1.082834382325997,131.99922844444444,-174.53926443335263,0.22568663181055654,8.292994552490823,0.0027950144466341214,-54.91365537086661,1.2311169334347096
2025-01-01 00:09:00,0.5561166614594026,0.1827265624246581,0.0,0.009268611024323378,0.003045442707077635,0.0,0.16170889281232065,0.0,0.394407768647082,0.0,0.0,0.0,0.0,0.1827265624246581,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.024126206140350874,0.0,On,0.13758268667196977,0,On,0.04722827337746018,0,On,0.20399302241755515,0.15299476681316632,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,13284.327324444444,Off,0.0,0.0,35.98114111959612,51.666666666666686,46.10666666666668,0.0,50.121139491637294,0.0,0.0,0.0,35.98114111959612,48.59749440752097,50.121139491637294,47.835671865462814,12.43753247303448,17.729035464793185,0.0,2.8,9.236100170605994,-1844.2432416678644,-2245.0829182239067,-0.0,-0.0,570.2922996312072,0.0,2.0,0.11539393515815739,0.0,0,1.0799730640789913,131.99922844444444,-169.45262307516518,0.2270559123678102,8.246934846096408,0.002794825432656731,-54.417154304474096,1.2315278300461467
