Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,5.147852476877599,0.08314171019890468,0.0,5.147852476877598,0.08314171019890468,0.0,0.011642721237525359,0.0,0.10935986141785098,5.016849894222222,0.010000000000000002,0.0,0.0,0.08022504353223801,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.0035099780701754383,0.0,0.00813274316734992,0.0,0.0023931367082002625,0.0,0.0693064502684278,0.051979837701320836,5016.849894222222,17.277777777777796,0.55,0.0,5.016849894222222,0.0,0.55,5016.849894222222,9121.54526222222,0.0,18.277777777777796,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1320.2853555555555,0.0,0.0,37.06254810514827,51.66666666666668,46.10666666666668,0.0,50.88924844807032,0.0,0.0,0.0,37.06254810514827,48.760488179750645,50.88924844807032,47.69610804559082,12.43753247303448,16.984901477211608,-0.052076308955178105,0.8799366652643351,-0.7009183474703202,2.8,9.236100170605994,4249.552207375814,-501.8306472797656,661.4964189243859,-895.0519416562206,0.0,0.0,182.1507453588086,0.0,1.0,0.04840763396348524,0.0,0.0,0.6264452419286092,65.99961422222222,-54.39649054899675,0.23205107420173177,7.808334201930306,0.0027242336619293433,-4.058407158981992,1.2346805258467706,0.0,0.0,97.19629773938162,0.17166114737063345,787.4888380255483,-125.99241910116233
2025-01-01 01:00:00,4.842596212920564,0.08243558005313174,0.0,4.842596212920564,0.08243558005313174,0.0,0.0113794728822622,0.0,0.1084183545568204,4.712798385481481,0.010000000000000002,0.0,0.0,0.07951891338646508,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03671876758019234,0.027539075685144247,0.0,0.0,0.0032467297149122803,0.0,0.00813274316734992,0.0,0.0023931367082002625,0.0,0.0693064502684278,0.051979837701320836,4712.798385481481,17.277777777777796,0.5166666666666667,0.0,4.712798385481481,0.0,0.5166666666666667,4712.798385481481,9121.54526222222,0.0,18.277777777777796,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1320.2853555555555,0.0,0.0,36.8579300696335,51.66666666666668,46.10666666666668,0.0,50.66889065871648,0.0,0.0,0.0,36.8579300696335,48.573785251050694,50.66889065871648,47.5262325472178,12.43753247303448,16.97282049507464,-0.060130578595913774,2.5089065909701618,0.9798078506499913,2.5,9.236100170605994,3988.169272138396,-3677.3468601327254,166.11763154190288,-844.6362918443317,0.0,0.0,180.94599014251486,0.0,1.0,0.044777892767494484,0.0,0.0,0.5794726073359774,65.99961422222222,-60.93881164126781,0.23218330246096405,7.802067864574757,0.0027235296799017405,2.329257114932926,1.2347925474957837,0.0,0.0,87.24929003497954,0.12525305814302368,271.76098777627686,-105.64335623437395
2025-01-01 02:00:00,5.297731969170644,0.08172944990735882,0.0,5.297731969170645,0.08172944990735882,0.0,0.0113794728822622,0.0,0.10747684769578983,5.168875648592592,0.010000000000000002,0.0,0.0,0.07881278324069216,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.0032467297149122803,0.0,0.00813274316734992,0.0,0.0023931367082002625,0.0,0.0693064502684278,0.051979837701320836,5168.875648592593,17.83333333333337,0.5666666666666667,0.0,5.168875648592592,0.0,0.5666666666666667,5168.875648592593,9121.54526222222,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1320.2853555555555,0.0,0.0,36.015342134339186,51.66666666666668,46.10666666666668,0.0,50.451495971078806,0.0,0.0,0.0,36.015342134339186,48.389548766161354,50.451495971078806,47.35857516370263,12.43753247303448,17.511538732152065,-0.05864113960799908,1.666989020975337,1.206504893676327,1.6500000000000001,9.236100170605994,4392.704555734404,-4827.310448268808,-54.46888901170085,-885.2707899053844,0.0,0.0,180.00448328148428,0.0,1.0,0.042624603238665945,0.0,0.0,0.5516067963185075,65.99961422222222,-70.90478623428886,0.2245843251139614,8.062217865517345,0.002725786183032828,13.545239110338132,1.2325022291906802,0.0,0.0,107.28056434597119,0.07437705532676951,57.17407296721163,-111.64296197891248
2025-01-01 03:00:00,5.144589209035734,0.08102331976158589,0.0,5.144589209035734,0.08102331976158589,0.0,0.011203973978753428,0.0,0.10653534083475925,5.016849894222222,0.010000000000000002,0.0,0.0,0.07810665309491922,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03483575385813119,0.026126815393598384,0.0,0.0,0.003071230811403509,0.0,0.00813274316734992,0.0,0.0023931367082002625,0.0,0.0693064502684278,0.051979837701320836,5016.849894222222,17.83333333333337,0.55,0.0,5.016849894222222,0.0,0.55,5016.849894222222,9121.54526222222,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1320.2853555555555,0.0,0.0,35.80920081004543,51.66666666666668,46.10666666666668,0.0,50.23748634846281,0.0,0.0,0.0,35.80920081004543,48.20817654825915,50.23748634846281,47.19352164815732,12.43753247303448,17.50613518493116,-0.060474369662805214,1.5470291348249576,1.1103256543841242,1.6500000000000001,9.236100170605994,4215.371408461316,-3423.6287186056993,41.72527319670988,-922.1062056611719,0.0,0.0,178.88747751694493,0.0,1.0,0.04447276840729593,0.0,0.0,0.5755239800639423,65.99961422222222,-58.25975761667943,0.224939237691731,8.06367869204309,0.0027292258532570575,-4.75497168712545,1.2325224762094957,0.0,0.0,109.30940188865763,0.09379180885161716,164.94563753883318,-123.22036434212332
2025-01-01 04:00:00,5.143647702174704,0.08031718961581295,0.0,5.143647702174704,0.08031718961581295,0.0,0.011203973978753428,0.0,0.10559383397372869,5.016849894222222,0.010000000000000002,0.0,0.0,0.07740052294914629,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.003071230811403509,0.0,0.00813274316734992,0.0,0.0023931367082002625,0.0,0.0693064502684278,0.051979837701320836,5016.849894222222,17.83333333333337,0.55,0.0,5.016849894222222,0.0,0.55,5016.849894222222,9121.54526222222,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1320.2853555555555,0.0,0.0,35.55901365084726,51.66666666666668,46.10666666666668,0.0,50.02494246101774,0.0,0.0,0.0,35.55901365084726,48.027884835093,50.02494246101774,47.02935602213063,12.43753247303448,17.539682311880714,-0.05470028251284701,0.6033826193254062,1.1132214926114332,0.55,9.236100170605994,4120.818658227854,-7143.797232846346,-130.00660612902004,-1022.8957977737324,0.0,0.0,177.94597065591435,0.0,1.0,0.04583232434619247,0.0,0.0,0.5931180510672881,65.99961422222222,-51.0814088765501,0.22408553284229776,8.072065880061924,0.0027258807191830837,15.794409819386079,1.231804330448427,0.0,0.0,126.20690356566206,0.09558257933808163,-9.552305247659667,-120.45430088136035
2025-01-01 05:00:00,5.143998699981722,0.08031718961581295,0.0,5.143998699981722,0.08031718961581295,0.0,0.011554971785770973,0.0,0.10559383397372869,5.016849894222222,0.010000000000000002,0.0,0.0,0.07740052294914629,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.0034222286184210525,0.0,0.00813274316734992,0.0,0.0023931367082002625,0.0,0.0693064502684278,0.051979837701320836,5016.849894222222,17.83333333333337,0.55,0.0,5.016849894222222,0.0,0.55,5016.849894222222,9121.54526222222,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1320.2853555555555,0.0,0.0,35.34646139407121,51.66666666666668,46.10666666666668,0.0,49.81391987857254,0.0,0.0,0.0,35.34646139407121,47.84872878441615,49.81391987857254,46.86613323733797,12.43753247303448,17.542033337623334,-0.05793632975062,-0.43352277437707953,0.2300326841771135,-0.25000000000000006,9.236100170605994,4080.843838514123,-4382.9104402438725,-162.92534141699036,-1071.809441170675,0.0,0.0,178.29696846293194,0.0,1.0,0.045744265366884876,0.0,0.0,0.5919784760854175,65.99961422222222,-42.493583000355116,0.22486544049097126,8.08247031793874,0.0027371294789633135,22.733810753817334,1.2311680949569337,0.0,0.0,133.96406340704937,0.07526819019347766,-20.455853762897014,-142.46948765409334
2025-01-01 06:00:00,5.146320460962555,0.08172944990735882,0.0,5.146320460962555,0.08172944990735882,0.0,0.011993719044542902,0.0,0.10747684769578983,5.016849894222222,0.010000000000000002,0.0,0.0,0.07881278324069216,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.0038609758771929823,0.0,0.00813274316734992,0.0,0.0023931367082002625,0.0,0.0693064502684278,0.051979837701320836,5016.849894222222,17.83333333333337,0.55,0.0,5.016849894222222,0.0,0.55,5016.849894222222,9121.54526222222,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1320.2853555555555,0.0,0.0,35.139733835184636,51.66666666666668,46.10666666666668,0.0,49.604303751845336,0.0,0.0,0.0,35.139733835184636,47.67060476147718,49.604303751845336,46.7037552662931,12.43753247303448,17.540424054540104,-0.05863115791577389,0.3084218207813404,-0.0391072339736613,0.3,9.236100170605994,4117.884931937766,-5254.875822597098,-86.125764829459,-1034.3683654054182,0.0,0.0,180.618729443765,0.0,1.0,0.04565133471781542,0.0,0.0,0.5907758566187687,65.99961422222222,-45.21532632280314,0.22482788017463923,8.080859122057488,0.0027363973567235073,-6.917509427022154,1.2311754663433372,0.0,0.0,121.82188509900517,0.0859106065481977,42.000182688498256,-128.12594751795726
2025-01-01 07:00:00,5.147940226329352,0.08314171019890468,0.0,5.147940226329352,0.08314171019890468,0.0,0.011730470689279744,0.0,0.10935986141785098,5.016849894222222,0.010000000000000002,0.0,0.0,0.08022504353223801,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.0035977275219298247,0.0,0.00813274316734992,0.0,0.0023931367082002625,0.0,0.0693064502684278,0.051979837701320836,5016.849894222222,17.83333333333337,0.55,0.0,5.016849894222222,0.0,0.55,5016.849894222222,9121.54526222222,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1320.2853555555555,0.0,0.0,34.940342228671724,51.66666666666668,46.10666666666668,0.0,49.39615795378379,0.0,0.0,0.0,34.940342228671724,47.493575530891434,49.39615795378379,46.54228431944525,12.43753247303448,17.53361839382535,-0.0603935702837564,-0.533341428317666,-0.265597624396912,-0.55,9.236100170605994,4038.076966096676,-6189.079298115957,-170.4374703176681,-1119.9472834603062,0.0,0.0,182.23849481056303,4.73933728470374,1.0,0.046949599186800604,0.0,0.0,0.6075767521133558,65.99961422222222,-41.06413947580263,0.22498340579532242,8.078433092192197,0.002737113273045111,18.620717011868642,1.2312037630026926,0.0,0.0,133.51357051827947,0.08716891490423655,-38.737562390227694,-131.6999079274404
2025-01-01 08:00:00,6.381903509716303,0.10435767844123969,0.0,6.381903509716303,0.10435767844123969,0.0,0.07171657843530085,1.2833486265185186,0.15201416491063197,4.8648241398518515,0.010000000000000002,0.0,0.0,0.10144101177457303,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.002720233004385965,0.0,0.06899634543091487,0.0,0.01675948254453454,0.0,0.09665290106384392,0.07248967579788293,4864.824139851852,17.83333333333337,0.5333333333333333,0.0,4.8648241398518515,0.0,0.5333333333333333,4864.824139851852,9121.54526222222,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1320.2853555555555,1283.3486265185188,0.23333333333333334,36.36451537641607,51.66666666666668,46.10666666666668,0.0,49.99202063893241,0.24120550003298583,643.1340632743037,1283.3486265185188,36.36451537641607,48.73845054146976,49.99202063893241,48.11166549273844,12.43753247303448,17.55634965327739,-0.05320661797486466,-1.3917860484162305,-0.7674320375270014,-1.4,9.236100170605994,3968.524869635518,-6381.768228824773,-210.8237980593739,-1221.4850317038195,0.0,0.0,282.9646544936859,339.2503875124384,1.0,0.048730915517113324,0.0,0.0,0.6306288422100518,65.99961422222222,42.2211069937998,0.22566540642690233,8.105903038664641,0.0027481360867739756,62.08542215314191,1.2316774356617413,0.0,0.0,142.21268547396386,0.09618557690866665,-81.00316194958737,-129.8206361097865
2025-01-01 09:00:00,5.579408992876996,0.10752548883495898,0.0,5.579408992876996,0.10752548883495898,0.0,0.08253138178066312,0.9166775903703706,0.16145314398522237,4.40874687674074,0.010000000000000002,0.0,0.0,0.10460882216829231,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.0021937362938596492,0.0,0.08033764548680347,0.0,0.021974714427499265,0.0,0.10087664825546963,0.0756574861916022,4408.746876740741,17.83333333333337,0.48333333333333334,0.0,4.40874687674074,0.0,0.48333333333333334,4408.746876740741,9121.54526222222,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1320.2853555555555,916.6775903703705,0.16666666666666666,37.01534232840059,51.66666666666668,46.10666666666668,0.0,51.399233418459104,0.2634237306085721,716.7001058894068,916.6775903703705,37.01534232840059,49.260095834183225,51.399233418459104,48.1905270420453,12.43753247303448,17.533405952989597,-0.058147283294356276,-1.031574278179682,-0.5231120618493756,-0.85,9.236100170605994,3755.9184496825537,-4435.299752704614,-121.12700036364407,-1162.024820560818,0.0,0.0,302.9227746102249,975.7129986362432,1.0,0.04785577075344298,0.0,0.0,0.6193035567475653,65.99961422222222,206.27361889240566,0.22808957831666504,8.12741938710177,0.0027724156756523863,108.10750583909639,1.2323748144964835,0.0,0.0,132.55699903998865,0.09594832286625136,-44.62786032266511,-76.49914004097896
