occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.599,0.024,0.309,0.0763,0.0,0.0,0.0,0.0,0.179,0,0,0,0
1.0,0.617,0.0281,0.253,0.0898,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.675,0.0513,0.14,0.225,0.0,0.0,0.0,0.0,0.285,0,0,0,0
0.867,0.68,0.0551,0.14,0.252,0.0,0.0,0.0,0.667,0.354,0,0,0,0
0.8,0.668,0.0512,0.168,0.232,0.0,0.0,0.0,1.0,0.0713,0,0,0,0
0.667,0.645,0.0433,0.225,0.191,0.0,0.0,0.0,1.0,0.231,0,0,0,0
0.733,0.68,0.0586,0.196,0.249,0.0,0.0,0.0,0.4,0.0889,0,0,0,0
0.8,0.704,0.0682,0.168,0.288,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.672,0.0566,0.225,0.235,0.0,0.0,0.0,0.0,0.357,0,0,0,0
0.467,0.625,0.0391,0.309,0.155,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.611,0.0364,0.337,0.133,0.0,0.0,0.0,0.0,0.0713,0,0,0,0
0.4,0.613,0.038,0.337,0.135,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.613,0.038,0.337,0.135,0.0,0.0,0.0,0.0,0.0713,0,0,0,0
0.4,0.613,0.038,0.337,0.135,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.647,0.0589,0.281,0.195,0.0,0.0,0.0,0.0,0.138,0,0,0,0
0.4,0.664,0.0693,0.253,0.225,0.0,0.0,0.0,0.0,0.143,0,0,0,0
0.4,0.664,0.0693,0.253,0.225,0.0,0.0,0.0,0.0,0.0713,0,0,0,0
0.533,0.698,0.0871,0.196,0.284,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.467,0.681,0.083,0.225,0.251,0.0,0.0,0.0,0.0,0.214,0,0,0,0
0.4,0.664,0.0765,0.253,0.22,0.0,0.0,0.0,0.0,0.214,0,0,0,0
0.4,0.664,0.0765,0.253,0.22,0.0,0.0,0.0,0.0,0.0713,0,0,0,0
0.4,0.664,0.0765,0.253,0.22,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0813,0.253,0.215,0.0,0.0,0.0,0.0,0.0713,0,0,0,0
0.4,0.664,0.0837,0.253,0.212,0.0,0.0,0.0,0.0,0.0713,0,0,0,0
0.4,0.664,0.0837,0.253,0.212,0.166,0.667,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0837,0.253,0.212,0.274,0.267,0.733,0.0,0.0,0,0,0,0
0.533,0.698,0.11,0.196,0.261,0.274,0.0,1.0,0.667,0.0,0,0,0,0
0.467,0.681,0.0999,0.225,0.233,0.0287,0.0,0.4,1.0,0.0713,0,0,0,0
0.4,0.664,0.0879,0.253,0.207,0.468,0.0,0.0,1.0,0.0,0,0,0,0
0.4,0.664,0.0879,0.253,0.207,0.0287,0.0,0.0,0.4,0.0,0,0,0,0
0.267,0.63,0.0673,0.309,0.154,0.102,0.0,0.0,0.0,0.0713,0,0,0,0
0.2,0.613,0.057,0.337,0.127,0.293,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.613,0.057,0.337,0.127,0.00955,0.0,0.0,0.0,0.143,0,0,0,0
0.2,0.613,0.057,0.337,0.127,0.191,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.613,0.0587,0.337,0.128,0.0732,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.613,0.0596,0.337,0.129,0.439,0.0,0.0,0.0,0.0713,0,0,0,0
0.2,0.613,0.0596,0.337,0.129,0.0287,0.0,0.0,0.0,0.0713,0,0,0,0
0.2,0.613,0.0596,0.337,0.129,0.111,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.618,0.0634,0.337,0.135,0.22,0.0,0.0,0.0,0.214,0,0,0,0
0.2,0.621,0.0653,0.337,0.139,0.268,0.0,0.0,0.0,0.0713,0,0,0,0
0.2,0.621,0.0653,0.337,0.139,0.175,0.0,0.0,0.0,0.0713,0,0,0,0
0.333,0.66,0.0982,0.281,0.198,0.293,0.0,0.0,0.0,0.285,0,0,0,0
0.4,0.695,0.132,0.253,0.26,0.194,0.0,0.0,0.0,0.143,0,0,0,0
0.267,0.656,0.0989,0.309,0.201,0.185,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.632,0.0782,0.337,0.163,0.312,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.679,0.12,0.281,0.238,0.102,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.718,0.16,0.253,0.33,0.379,0.0,0.0,0.667,0.0,0,0,0,0
0.533,0.781,0.222,0.196,0.459,0.0732,0.0,0.0,0.333,0.0,0,0,0,0
0.6,0.809,0.248,0.168,0.51,0.357,0.0,0.0,0.0,0.214,0,0,0,0
0.6,0.809,0.248,0.168,0.51,0.439,0.0,0.0,0.0,0.0713,0,0,0,0
0.733,0.874,0.373,0.112,0.703,0.156,0.0,0.0,0.0,0.0,0,0,0,0
0.933,0.964,0.506,0.0281,0.924,0.0446,0.0,0.0,0.0,0.0713,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.127,0.0,0.0,0.0,0.204,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.0446,0.0,0.0,0.0,0.0,0,0,0,0
