Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.36774800852986816,0.21501038849522638,0.0,0.006129133475497803,0.0035835064749204395,0.0,0.06324620860725097,0.0,0.30450179992261717,0.0,0.0,0.0,0.21501038849522638,0.0,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.020472697368421052,0.0,On,0.04277351123882992,0,On,0.01782128192898194,0,On,0.24505600413754675,0.18379200310316002,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,543.0607688888889,Off,0.0,0.0,35.530053241568154,51.666666666666686,46.10666666666668,0.0,51.682214371278356,0.0,0.0,0.0,35.530053241568154,51.68375656476114,51.68452766150253,51.682214371278356,12.43753247303448,21.146769662579356,0.0,2.8,-332.0920914748449,-899.3252508820846,-0.0,-0.0,548.5929309069065,0.0,3.0,0.037613134504989335,0.0,0,0.5252485845583477,197.99884266666666,18.640228500333073,0.20104134604167145,10.10452751764485,0.003071244270463042,73.25004888609969,1.2134781449276508
2025-01-01 00:01:00,0.36774800852986816,0.21501038849522638,0.0,0.006129133475497803,0.0035835064749204395,0.0,0.06324620860725097,0.0,0.30450179992261717,0.0,0.0,0.0,0.21501038849522638,0.0,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.020472697368421052,0.0,On,0.04277351123882992,0,On,0.01782128192898194,0,On,0.24505600413754675,0.18379200310316002,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,543.0607688888889,Off,0.0,0.0,35.53363845672246,51.666666666666686,46.10666666666668,0.0,51.679002230580174,0.0,0.0,0.0,35.53363845672246,51.68076475757802,51.68164602107695,51.679002230580174,12.43753247303448,21.140688356864178,0.0,2.8,-333.0545093293031,-898.8909767783555,-0.0,-0.0,548.5929309069065,0.0,3.0,0.03760743707931637,0.0,0,0.5251690228624206,197.99884266666666,17.243536542145815,0.20172885753299682,10.12697485781695,0.0030716259371506415,73.21738227451021,1.2170477405359068
2025-01-01 00:02:00,0.36774800852986816,0.21501038849522638,0.0,0.006129133475497803,0.0035835064749204395,0.0,0.06324620860725097,0.0,0.30450179992261717,0.0,0.0,0.0,0.21501038849522638,0.0,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.020472697368421052,0.0,On,0.04277351123882992,0,On,0.01782128192898194,0,On,0.24505600413754675,0.18379200310316002,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,543.0607688888889,Off,0.0,0.0,35.537247805219586,51.666666666666686,46.10666666666668,0.0,51.67578980031199,0.0,0.0,0.0,35.537247805219586,51.677772648501964,51.678764072596955,51.67578980031199,12.43753247303448,21.134586007948528,0.0,2.8,-334.0226350481422,-898.4552836085154,-0.0,-0.0,548.5929309069065,0.0,3.0,0.03760171964080788,0.0,0,0.5250891816972688,197.99884266666666,15.839717653466723,0.20182932798159905,10.124435748267569,0.003072006314702585,73.18492917242489,1.2170726983359001
2025-01-01 00:03:00,0.36774800852986816,0.21501038849522638,0.0,0.006129133475497803,0.0035835064749204395,0.0,0.06324620860725097,0.0,0.30450179992261717,0.0,0.0,0.0,0.21501038849522638,0.0,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.020472697368421052,0.0,On,0.04277351123882992,0,On,0.01782128192898194,0,On,0.24505600413754675,0.18379200310316002,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,543.0607688888889,Off,0.0,0.0,35.54087875651232,51.666666666666686,46.10666666666668,0.0,51.672577078289905,0.0,0.0,0.0,35.54087875651232,51.674780235500805,51.67588181410627,51.672577078289905,12.43753247303448,21.128464788556716,0.0,2.8,-334.9954924766779,-898.0183273290612,-0.0,-0.0,548.5929309069065,0.0,3.0,0.03759598422221049,0.0,0,0.5250090894491812,197.99884266666666,14.429903945476644,0.20193007138574662,10.122600194755105,0.0030723865158580666,73.15255195650026,1.2170977353466266
2025-01-01 00:04:00,0.36774800852986816,0.21501038849522638,0.0,0.006129133475497803,0.0035835064749204395,0.0,0.06324620860725097,0.0,0.30450179992261717,0.0,0.0,0.0,0.21501038849522638,0.0,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.020472697368421052,0.0,On,0.04277351123882992,0,On,0.01782128192898194,0,On,0.24505600413754675,0.18379200310316002,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,543.0607688888889,Off,0.0,0.0,35.54452897449888,51.666666666666686,46.10666666666668,0.0,51.66936406255883,0.0,0.0,0.0,35.54452897449888,51.6717875167555,51.672999243853845,51.66936406255883,12.43753247303448,21.122326704793977,0.0,2.8,-335.22873314036156,-897.5802518890296,-0.0,-0.0,548.5929309069065,0.0,3.0,0.037590232700558154,0.0,0,0.5249287723299966,197.99884266666666,13.758587841761521,0.20203106327786505,10.12004113231058,0.003072766540993814,73.120246357293,1.2171228432802315
2025-01-01 00:05:00,0.36774800852986816,0.21501038849522638,0.0,0.006129133475497803,0.0035835064749204395,0.0,0.06324620860725097,0.0,0.30450179992261717,0.0,0.0,0.0,0.21501038849522638,0.0,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.020472697368421052,0.0,On,0.04277351123882992,0,On,0.01782128192898194,0,On,0.24505600413754675,0.18379200310316002,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,543.0607688888889,Off,0.0,0.0,35.548173071771636,51.666666666666686,46.10666666666668,0.0,51.66615075137491,0.0,0.0,0.0,35.548173071771636,51.668794490643684,51.67011636027808,51.66615075137491,12.43753247303448,21.116193574688502,0.0,2.8,-334.98994673726315,-897.1426146962112,-0.0,-0.0,548.5929309069065,0.0,3.0,0.03758448551894972,0.0,0,0.5248485158173513,197.99884266666666,13.55973705204162,0.20213203319853532,10.117484295214478,0.003073146390466974,73.0879657422485,1.2171479319011684
2025-01-01 00:06:00,0.36774800852986816,0.21501038849522638,0.0,0.006129133475497803,0.0035835064749204395,0.0,0.06324620860725097,0.0,0.30450179992261717,0.0,0.0,0.0,0.21501038849522638,0.0,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.020472697368421052,0.0,On,0.04277351123882992,0,On,0.01782128192898194,0,On,0.24505600413754675,0.18379200310316002,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,543.0607688888889,Off,0.0,0.0,35.55179520745434,51.666666666666686,46.10666666666668,0.0,51.66293714528967,0.0,0.0,0.0,35.55179520745434,51.665801157680754,51.667233163876304,51.66293714528967,12.43753247303448,21.11007901345908,0.0,2.8,-334.697633701674,-896.7063868019981,-0.0,-0.0,548.5929309069065,0.0,3.0,0.03757875543754943,0.0,0,0.5247684981005479,197.99884266666666,13.415822193417487,0.20223281196423554,10.115650146262254,0.0030735260644206043,73.0556809426703,1.21717294488907
2025-01-01 00:07:00,0.36774800852986816,0.21501038849522638,0.0,0.006129133475497803,0.0035835064749204395,0.0,0.06324620860725097,0.0,0.30450179992261717,0.0,0.0,0.0,0.21501038849522638,0.0,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.020472697368421052,0.0,On,0.04277351123882992,0,On,0.01782128192898194,0,On,0.24505600413754675,0.18379200310316002,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,543.0607688888889,Off,0.0,0.0,35.55539332005404,51.666666666666686,46.10666666666668,0.0,51.65972324628685,0.0,0.0,0.0,35.55539332005404,51.66280751971598,51.66434965643056,51.65972324628685,12.43753247303448,21.103984794673696,0.0,2.8,-334.36882151795953,-896.2716939408373,-0.0,-0.0,548.5929309069065,0.0,3.0,0.03757304412126204,0.0,0,0.5246887424291476,197.99884266666666,13.309941515971225,0.20233337717172334,10.113112889279927,0.0030739055628637847,73.02338808365482,1.217197874898016
2025-01-01 00:08:00,0.36774800852986816,0.21501038849522638,0.0,0.006129133475497803,0.0035835064749204395,0.0,0.06324620860725097,0.0,0.30450179992261717,0.0,0.0,0.0,0.21501038849522638,0.0,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.020472697368421052,0.0,On,0.04277351123882992,0,On,0.01782128192898194,0,On,0.24505600413754675,0.18379200310316002,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,543.0607688888889,Off,0.0,0.0,35.55896599585421,51.666666666666686,46.10666666666668,0.0,51.65650905653656,0.0,0.0,0.0,35.55896599585421,51.659813578772244,51.66146583989009,51.65650905653656,12.43753247303448,21.09791213547837,0.0,2.8,-334.03332797931114,-895.8386220748998,-0.0,-0.0,548.5929309069065,0.0,3.0,0.03756735271382721,0.0,0,0.5246092647749018,197.99884266666666,13.212363188682161,0.2024337132877701,10.110586652747191,0.003074284885787723,72.99108447532474,1.2172227168826877
2025-01-01 00:09:00,0.36774800852986816,0.21501038849522638,0.0,0.006129133475497803,0.0035835064749204395,0.0,0.06324620860725097,0.0,0.30450179992261717,0.0,0.0,0.0,0.21501038849522638,0.0,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.020472697368421052,0.0,On,0.04277351123882992,0,On,0.01782128192898194,0,On,0.24505600413754675,0.18379200310316002,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,543.0607688888889,Off,0.0,0.0,35.56251288776145,51.666666666666686,46.10666666666668,0.0,51.653294578336684,0.0,0.0,0.0,35.56251288776145,51.656819336991425,51.65858171631881,51.653294578336684,12.43753247303448,21.09186133633085,0.0,2.8,-333.7049031483848,-895.4071917477718,-0.0,-0.0,548.5929309069065,0.0,3.0,0.03756168150000712,0.0,0,0.5245300691143716,197.99884266666666,13.109357692480387,0.20253381615041746,10.10878415805172,0.003074664033171191,72.95876938763881,1.2172474695892281
