Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,15.983479926832674,10.30051113042533,0.0,0.2663913321138779,0.17167518550708882,0.0,0.027032268045682966,0.0,0.2699240429039024,15.636523615883087,0.05,0.0,0.0,0.18573132548721388,10.100196471604782,0.01458333333333334,1,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.0034055921052631574,0.0,On,0.01417142271404302,0,On,0.009455253226376787,0.0,On,0.022282275587617088,0,On,0.21257701683375607,0.159432762625317,On,HP and ER On,14806.816087992072,18.33333333333337,1.208375397688212,4005.4828760211235,2.8780257692164213,0.3958791666666667,1,18416.41979734653,6053.801117346531,12.362618679999999,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7955.708382222222,Off,0.0,0.0,36.113685454300885,51.666666666666686,46.10666666666668,0.0,50.748389636606106,0.0,0.0,0.0,36.113685454300885,48.20043486768539,50.748389636606106,46.92645748322503,12.43753247303448,17.255817760372327,-0.5775155729610439,-2.4469291075135846,2.8,9.236100170605994,10279.694124402144,7039.3973664425275,-1954.253266460219,-0.0,-0.0,480.07476243788904,0.0,3.0,0.10373385796357484,0.0,0,1.4562694167606418,197.99884266666666,-91.58024196918615,0.2467830457145584,8.190376844216598,0.002957580646754535,-40.39588083290598,1.2298210241787502,0,0,72.5512728229892
2025-01-01 00:01:00,15.995895415082405,10.308530743588308,0.0,0.26659825691804007,0.17180884572647181,0.0,0.027032268045682966,0.0,0.2699240429039024,15.648939104132818,0.05,0.0,0.0,0.18573132548721388,10.108216084767761,0.01458333333333334,1,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.0034055921052631574,0.0,On,0.01417142271404302,0,On,0.009455253226376787,0.0,On,0.022282275587617088,0,On,0.21257701683375607,0.159432762625317,On,HP and ER On,14801.990183562002,18.33333333333337,1.2069898422552194,4004.1773909363424,2.8904412574661524,0.3958791666666667,1,18410.28840783168,6047.669727831681,12.362618679999999,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7955.708382222222,Off,0.0,0.0,35.859094344296665,51.666666666666686,46.10666666666668,0.0,50.74472459455965,0.0,0.0,0.0,35.859094344296665,48.19739391576741,50.74472459455965,46.92372857637129,12.43753247303448,17.47156661604295,-0.361766717290422,-1.9387460731385162,2.8,9.236100170605994,10215.88973839469,7031.692906397892,-1997.9499465802076,-0.0,-0.0,480.07476243788904,0.0,3.0,0.1044937853681461,0.0,0,1.4669376697299281,197.99884266666666,-107.82722431259374,0.24413362524375326,8.315095354932566,0.0029573718617514617,-41.78102504801202,1.23249799617919,0,0,67.11747874914967
2025-01-01 00:02:00,16.00803264313058,10.316370618417182,0.0,0.26680054405217635,0.17193951030695304,0.0,0.027032268045682966,0.0,0.2699240429039024,15.661076332180993,0.05,0.0,0.0,0.18573132548721388,10.116055959596634,0.01458333333333334,1,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.0034055921052631574,0.0,On,0.01417142271404302,0,On,0.009455253226376787,0.0,On,0.022282275587617088,0,On,0.21257701683375607,0.159432762625317,On,HP and ER On,14797.28754893654,18.33333333333337,1.205638776561079,4002.9052523244673,2.9025784855143293,0.3958791666666667,1,18404.313634594342,6041.694954594343,12.362618679999999,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7955.708382222222,Off,0.0,0.0,35.61177694820783,51.666666666666686,46.10666666666668,0.0,50.74108266883659,0.0,0.0,0.0,35.61177694820783,48.19437440168704,50.74108266883659,46.921020268112265,12.43753247303448,17.681085449995102,-0.15224788333826922,-1.4405188921234566,2.8,9.236100170605994,10153.604163444226,7024.652324725374,-2040.7536809485853,-0.0,-0.0,480.07476243788904,0.0,3.0,0.10522969850625193,0.0,0,1.4772687980370636,197.99884266666666,-123.54695719431032,0.24090881817751267,8.413640098407093,0.0029571563866966286,-43.11699107379916,1.2316102472401727,0,0,62.28956261359909
2025-01-01 00:03:00,3.6646481716161183,2.3433318951414317,0.0,0.0610774695269353,0.03905553158569053,0.0,0.027032268045682966,0.0,0.2699240429039024,3.317691860666533,0.05,0.0,0.0,0.18573132548721388,2.1430172363208846,0.01458333333333334,1,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.0034055921052631574,0.0,On,0.01417142271404302,0,On,0.009455253226376787,0.0,On,0.022282275587617088,0,On,0.21257701683375607,0.159432762625317,On,HP On,5062.313260833811,18.33333333333337,2.06579689313187,1369.4374914110394,2.9218126939998665,0.3958791666666667,1,6035.871585578184,6035.871585578184,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7955.708382222222,Off,0.0,0.0,35.37144801586722,51.666666666666686,46.10666666666668,0.0,50.737463201534375,0.0,0.0,0.0,35.37144801586722,48.191375712961396,50.737463201534375,46.918331968674906,12.43753247303448,17.884618811133357,0.0,-0.9517027412535919,2.8,9.236100170605994,2308.3338373039064,2439.4715519223882,-2082.68125287334,-0.0,-0.0,480.07476243788904,0.0,3.0,0.10594264606378857,0.0,0,1.4872775236757012,197.99884266666666,-138.91028092769227,0.2378207774876914,8.508589058886741,0.002956933861453941,-44.40566504249207,1.2307490930053413,0,0,57.57140834458694
2025-01-01 00:04:00,3.6637847868491242,2.342774203675512,0.0,0.061063079780818735,0.0390462367279252,0.0,0.027032268045682966,0.0,0.2699240429039024,3.316828475899539,0.05,0.0,0.0,0.18573132548721388,2.142459544854965,0.01458333333333334,1,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.0034055921052631574,0.0,On,0.01417142271404302,0,On,0.009455253226376787,0.0,On,0.022282275587617088,0,On,0.21257701683375607,0.159432762625317,On,HP On,5062.646444305571,18.33333333333337,2.0665524326216897,1369.527622920932,2.9209493092328724,0.3958791666666667,1,6036.294900559837,6036.294900559837,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7955.708382222222,Off,0.0,0.0,35.38514452856769,51.666666666666686,46.10666666666668,0.0,50.73386556054792,0.0,0.0,0.0,35.38514452856769,48.188397261127065,50.73386556054792,46.91566311141665,12.43753247303448,17.869845824817396,0.0,-0.7220704154934481,2.8,9.236100170605994,2308.8402293504187,2437.7921255225615,-2079.626570275309,-0.0,-0.0,480.07476243788904,0.0,3.0,0.10589096263819113,0.0,0,1.4865519650825039,197.99884266666666,-141.7251182566187,0.23802374560196005,8.501377025587233,0.002956704525056866,-44.22964772584742,1.2308117395574059,0,0,55.73521374051559
2025-01-01 00:05:00,3.662950224553477,2.342235129686888,0.0,0.06104917040922462,0.039037252161448134,0.0,0.027032268045682966,0.0,0.2699240429039024,3.315993913603892,0.05,0.0,0.0,0.18573132548721388,2.141920470866341,0.01458333333333334,1,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.0034055921052631574,0.0,On,0.01417142271404302,0,On,0.009455253226376787,0.0,On,0.022282275587617088,0,On,0.21257701683375607,0.159432762625317,On,HP On,5062.968572646512,18.33333333333337,2.067283203905213,1369.6147638394016,2.9201147469372253,0.3958791666666667,1,6036.704169819247,6036.704169819247,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7955.708382222222,Off,0.0,0.0,35.39827324533715,51.666666666666686,46.10666666666668,0.0,50.73026677839636,0.0,0.0,0.0,35.39827324533715,48.185417655978256,50.73026677839636,46.91299309476921,12.43753247303448,17.85555968800447,0.0,-0.4960534579745688,2.8,9.236100170605994,2311.6517067428667,2435.9836407863336,-2076.6742615344274,-0.0,-0.0,480.07476243788904,0.0,3.0,0.1058409729208011,0.0,0,1.4858501836389448,197.99884266666666,-142.12365227780504,0.23821968016011488,8.494430325968992,0.002956476109341086,-44.05725135683456,1.2308723325455562,0,0,53.77516241762998
2025-01-01 00:06:00,3.6621464329143905,2.3417159315788916,0.0,0.06103577388190651,0.03902859885964819,0.0,0.027032268045682966,0.0,0.2699240429039024,3.3151901219648052,0.05,0.0,0.0,0.18573132548721388,2.1414012727583445,0.01458333333333334,1,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.0034055921052631574,0.0,On,0.01417142271404302,0,On,0.009455253226376787,0.0,On,0.022282275587617088,0,On,0.21257701683375607,0.159432762625317,On,HP On,5063.278886917911,18.33333333333337,2.0679874537366527,1369.6987088612675,2.919310955298139,0.3958791666666667,1,6037.098429112512,6037.098429112512,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7955.708382222222,Off,0.0,0.0,35.410794657804246,51.666666666666686,46.10666666666668,0.0,50.726666906414,0.0,0.0,0.0,35.410794657804246,48.18243694532621,50.726666906414,46.91032196478231,12.43753247303448,17.841794404508637,0.0,-0.27361287462350475,2.8,9.236100170605994,2315.4488519981132,2434.2872343831887,-2073.831176851277,-0.0,-0.0,480.07476243788904,0.0,3.0,0.1057927968849379,0.0,0,1.4851738635923795,197.99884266666666,-141.41784312282752,0.23840804891898204,8.48776755113181,0.0029562485951345504,-43.88869447976273,1.23093072753715,0,0,51.93274813833889
2025-01-01 00:07:00,3.661373304274813,2.341216539811937,0.0,0.06102288840458022,0.039020275663532285,0.0,0.027032268045682966,0.0,0.2699240429039024,3.314416993325228,0.05,0.0,0.0,0.18573132548721388,2.14090188099139,0.01458333333333334,1,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.0034055921052631574,0.0,On,0.01417142271404302,0,On,0.009455253226376787,0.0,On,0.022282275587617088,0,On,0.21257701683375607,0.159432762625317,On,HP On,5063.577421727586,18.33333333333337,2.0686652293013936,1369.7794673485037,2.9185378266585618,0.3958791666666667,1,6037.477722409423,6037.477722409423,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7955.708382222222,Off,0.0,0.0,35.42271021172271,51.666666666666686,46.10666666666668,0.0,50.723065999506645,0.0,0.0,0.0,35.42271021172271,48.17945518030895,50.723065999506645,46.90764977071011,12.43753247303448,17.828548783242404,-0.004784550090967343,-0.05468500308693375,2.8,9.236100170605994,2319.4304640695273,2432.667706921437,-2071.096894008005,-0.0,-0.0,480.07476243788904,0.0,3.0,0.10574643134653958,0.0,0,1.484522960243303,197.99884266666666,-140.40934174242557,0.23858884745733638,8.481388109717717,0.0029560219621174383,-43.72395983561665,1.2309869289606536,0,0,50.17275522741605
2025-01-01 00:08:00,3.660629543186262,2.3407361176089694,0.0,0.061010492386437694,0.03901226862681616,0.0,0.027032268045682966,0.0,0.2699240429039024,3.3136732322366766,0.05,0.0,0.0,0.18573132548721388,2.1404214587884223,0.01458333333333334,1,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.0034055921052631574,0.0,On,0.01417142271404302,0,On,0.009455253226376787,0.0,On,0.022282275587617088,0,On,0.21257701683375607,0.159432762625317,On,HP On,5063.864670738023,18.33333333333337,2.06931762188522,1369.8571728447846,2.91779406557001,0.3958791666666667,1,6037.842676916141,6037.842676916141,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7955.708382222222,Off,0.0,0.0,35.434045074036796,51.666666666666686,46.10666666666668,0.0,50.7194641124488,0.0,0.0,0.0,35.434045074036796,48.1764724119428,50.7194641124488,46.9049765616898,12.43753247303448,17.815801245098097,-0.0175320882352743,0.16079802789061756,2.8,9.236100170605994,2323.2142054984415,2431.117027217996,-2068.466792452483,-0.0,-0.0,480.07476243788904,0.0,3.0,0.10570180169681788,0.0,0,1.4838964261950536,197.99884266666666,-139.48550107738316,0.23876237891229643,8.4752802932304,0.00295579619006747,-43.56289394833123,1.231041027528966,0,0,48.48692022560746
2025-01-01 00:09:00,3.6599133629831546,2.340273510898031,0.0,0.060998556049719245,0.03900455851496718,0.0,0.027032268045682966,0.0,0.2699240429039024,3.3129570520335694,0.05,0.0,0.0,0.18573132548721388,2.1399588520774837,0.01458333333333334,1,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.0034055921052631574,0.0,On,0.01417142271404302,0,On,0.009455253226376787,0.0,On,0.022282275587617088,0,On,0.21257701683375607,0.159432762625317,On,HP On,5064.141317976668,18.33333333333337,2.069946158102362,1369.9320103905814,2.9170778853669024,0.3958791666666667,1,6038.194161700582,6038.194161700582,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7955.708382222222,Off,0.0,0.0,35.44483427640045,51.666666666666686,46.10666666666668,0.0,50.715861297738954,0.0,0.0,0.0,35.44483427640045,48.173488689124866,50.715861297738954,46.90230238481782,12.43753247303448,17.803521730511,-0.029811602822370276,0.37290650834430644,2.8,9.236100170605994,2326.75040089096,2429.6275069457806,-2065.9345184974686,-0.0,-0.0,480.07476243788904,0.0,3.0,0.10565880354406797,0.0,0,1.4832927959430207,197.99884266666666,-138.70289743079445,0.23892907598792668,8.469427764720312,0.002955571259578765,-43.40528705666656,1.231093149891379,0,0,46.86723295986562
