Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.3600223022970822,0.13501205036613143,0.0,0.00600037170495137,0.0022502008394355236,0.0,0.04305333618545279,0.0,0.31696896611162945,0.0,0.0,0.0,0.0,0.13501205036613143,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.037966695103581444,0,On,0.018483657411501077,0,On,0.11922495926868171,0.08941871945151125,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,18123.810582222224,Off,0.0,0.0,22.261120506831276,51.666666666666686,46.10666666666668,0.0,50.38378275564124,0.5126423435016472,1356.1881848812302,0.0,22.261120506831276,48.38277519390245,50.38378275564124,47.38227141303305,12.43753247303448,16.79127519074192,0.0,0.4827761372396051,2.8,9.236100170605994,-737.7736183318732,664.4935786038591,-957.0709557274521,-0.0,-0.0,365.20654204743255,0.0,2.0,0.052489107253855825,0.0,0,0.3114771837678397,131.99922844444444,-145.90920465185366,0.22817260601088762,7.609917886942458,0.002653899708174111,55.17079712244437,1.2320171863269618,0.3848546357664294,1162.204001397938,-497.7104227940791
2025-01-01 00:01:00,0.3600223022970822,0.13501205036613143,0.0,0.00600037170495137,0.0022502008394355236,0.0,0.04305333618545279,0.0,0.31696896611162945,0.0,0.0,0.0,0.0,0.13501205036613143,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.037966695103581444,0,On,0.018483657411501077,0,On,0.11922495926868171,0.08941871945151125,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,18123.810582222224,Off,0.0,0.0,22.216162811551612,51.666666666666686,46.10666666666668,0.0,50.364400682593626,0.5129043232489373,1356.18818488123,0.0,22.216162811551612,48.26670290700277,50.364400682593626,47.21785401920734,12.43753247303448,16.742605530507387,0.0,0.48146206247654894,2.8,9.236100170605994,-734.0388988495135,666.353951512339,-952.3943536058496,-0.0,-0.0,365.20654204743255,0.0,2.0,0.052414955296160685,0.0,0,0.3110371564143156,131.99922844444444,-146.85108729109652,0.22955802539525577,7.60886312055403,0.0026540200266932084,55.221088348646646,1.235823424154089,0.38487861906276355,1162.9355428818617,-496.5815913695227
2025-01-01 00:02:00,0.3600223022970822,0.13501205036613143,0.0,0.00600037170495137,0.0022502008394355236,0.0,0.04305333618545279,0.0,0.31696896611162945,0.0,0.0,0.0,0.0,0.13501205036613143,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.037966695103581444,0,On,0.018483657411501077,0,On,0.11922495926868171,0.08941871945151125,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,18123.810582222224,Off,0.0,0.0,22.170287807600744,51.666666666666686,46.10666666666668,0.0,50.3450113658966,0.5131666689561487,1356.1881848812302,0.0,22.170287807600744,48.150634405764606,50.3450113658966,47.05344592569862,12.43753247303448,16.695241793125966,0.0,0.480384038606164,2.8,9.236100170605994,-730.5978205284177,668.633224719239,-947.8517929358204,-0.0,-0.0,365.20654204743255,0.0,2.0,0.05234276682462322,0.0,0,0.3106087806428199,131.99922844444444,-147.95256964002994,0.23026031702089825,7.586382748494488,0.002654140083980013,55.26961572595454,1.2360252810175132,0.38489829305723033,1163.5357335035671,-494.9025087843282
2025-01-01 00:03:00,0.3600223022970822,0.13501205036613143,0.0,0.00600037170495137,0.0022502008394355236,0.0,0.04305333618545279,0.0,0.31696896611162945,0.0,0.0,0.0,0.0,0.13501205036613143,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.037966695103581444,0,On,0.018483657411501077,0,On,0.11922495926868171,0.08941871945151125,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,18123.810582222224,Off,0.0,0.0,22.123549748154346,51.666666666666686,46.10666666666668,0.0,50.32561488977695,0.5134293801942189,1356.1881848812302,0.0,22.123549748154346,48.03456976742994,50.32561488977695,46.889047206256436,12.43753247303448,16.64910701881405,0.0,0.4796605092370354,2.8,9.236100170605994,-727.4540250880391,672.316317248966,-943.4352204741397,-0.0,-0.0,365.20654204743255,0.0,2.0,0.05227242668364667,0.0,0,0.31019137310507594,131.99922844444444,-149.22534666133186,0.23094697553077226,7.563943143308075,0.002654260227147233,55.31642851190004,1.236221961278822,0.3849114969437529,1163.938588334483,-491.62227108551707
2025-01-01 00:04:00,0.3600223022970822,0.13501205036613143,0.0,0.00600037170495137,0.0022502008394355236,0.0,0.04305333618545279,0.0,0.31696896611162945,0.0,0.0,0.0,0.0,0.13501205036613143,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.037966695103581444,0,On,0.018483657411501077,0,On,0.11922495926868171,0.08941871945151125,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,18123.810582222224,Off,0.0,0.0,22.075995006129006,51.666666666666686,46.10666666666668,0.0,50.30621133355543,0.5136924565978366,1356.1881848812302,0.0,22.075995006129006,47.91850906467231,50.30621133355543,46.724657930230755,12.43753247303448,16.604135432569354,0.0,0.4794078453126312,2.8,9.236100170605994,-722.3579820724535,676.0390061140542,-939.1377212115426,-0.0,-0.0,365.20654204743255,0.0,2.0,0.05220383655277035,0.0,0,0.3097843503546927,131.99922844444444,-148.42680290834352,0.2316187976314528,7.542140883547827,0.0026543804529437485,55.3616186017648,1.2364137406345093,0.38491610777052254,1164.0792749432578,-488.0402688292036
2025-01-01 00:05:00,0.3600223022970822,0.13501205036613143,0.0,0.00600037170495137,0.0022502008394355236,0.0,0.04305333618545279,0.0,0.31696896611162945,0.0,0.0,0.0,0.0,0.13501205036613143,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.037966695103581444,0,On,0.018483657411501077,0,On,0.11922495926868171,0.08941871945151125,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,18123.810582222224,Off,0.0,0.0,22.027646179078147,51.666666666666686,46.10666666666668,0.0,50.2868007723593,0.513955897856091,1356.1881848812302,0.0,22.027646179078147,47.80245236626047,50.2868007723593,46.56027816321105,12.43753247303448,16.560295015704323,0.0,0.4796985246475246,2.8,9.236100170605994,-715.3882343199105,679.5287421710301,-934.9556571087685,-0.0,-0.0,365.20654204743255,0.0,2.0,0.05213694942953504,0.0,0,0.30938743347296893,131.99922844444444,-145.63911925857462,0.23227609699791413,7.521585789567829,0.002654500758293898,55.40522922863275,1.2366007511632893,0.38491080320134163,1163.9174211003894,-484.38867892935934
2025-01-01 00:06:00,0.3600223022970822,0.13501205036613143,0.0,0.00600037170495137,0.0022502008394355236,0.0,0.04305333618545279,0.0,0.31696896611162945,0.0,0.0,0.0,0.0,0.13501205036613143,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.037966695103581444,0,On,0.018483657411501077,0,On,0.11922495926868171,0.08941871945151125,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,18123.810582222224,Off,0.0,0.0,21.978522994367495,51.666666666666686,46.10666666666668,0.0,50.267383279271954,0.5142197036835296,1356.18818488123,0.0,21.978522994367495,47.686399739060306,50.267383279271954,46.39590796895449,12.43753247303448,16.51755782321154,0.0,0.48058504575738276,2.8,9.236100170605994,-708.0033693224575,683.6845410075161,-930.8858128974,-0.0,-0.0,365.20654204743255,0.0,2.0,0.05207172441283225,0.0,0,0.30900037974741135,131.99922844444444,-142.32409847249014,0.2329191359178259,7.501006932196416,0.0026546211402054746,55.447297876752785,1.236783107827063,0.3848946247420247,1163.4238186547989,-479.73927764728273
2025-01-01 00:07:00,0.3600223022970822,0.13501205036613143,0.0,0.00600037170495137,0.0022502008394355236,0.0,0.04305333618545279,0.0,0.31696896611162945,0.0,0.0,0.0,0.0,0.13501205036613143,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.037966695103581444,0,On,0.018483657411501077,0,On,0.11922495926868171,0.08941871945151125,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,18123.810582222224,Off,0.0,0.0,21.928654297793628,51.666666666666686,46.10666666666668,0.0,50.24795892559244,0.5144838738167562,1356.1881848812302,0.0,21.928654297793628,47.57035124827661,50.24795892559244,46.23154740961869,12.43753247303448,16.475882960520984,0.0,0.4821245192665661,2.8,9.236100170605994,-700.8029058774966,687.749001345393,-926.9237745440688,-0.0,-0.0,365.20654204743255,0.0,2.0,0.052008100724475544,0.0,0,0.30862282851236317,131.99922844444444,-139.08567338086036,0.2335483772235387,7.4810104728377045,0.00265474159575875,55.48788098441564,1.236960981140258,0.384866528691291,1162.5667454683917,-474.81774412299865
2025-01-01 00:08:00,5.860087844519305,0.13501205036613143,0.0,0.09766813074198842,0.0022502008394355236,0.0,0.04305333618545279,5.500065542222223,0.31696896611162945,0.0,0.0,0.0,0.0,0.13501205036613143,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.037966695103581444,0,On,0.018483657411501077,0,On,0.11922495926868171,0.08941871945151125,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,18123.810582222224,Lower On,5500.065542222223,1.0,22.035140211884027,51.666666666666686,46.10666666666668,0.0,50.22852778001106,0.5147484080257707,1356.18818488123,5500.065542222223,22.035140211884027,47.454306956685166,50.22852778001106,46.06719654502222,12.43753247303448,16.435226227095598,0.0,0.48434836813500637,2.8,9.236100170605994,-693.9004208849749,691.6864356210317,-923.0648526946377,-0.0,-0.0,365.20654204743255,0.0,2.0,0.051946012412825746,0.0,0,0.30825438840222663,131.99922844444444,-136.04211023776966,0.234164343110939,7.460948744401011,0.0026548621221420946,55.52703998379401,1.2371345560404936,0.38482593887537303,1161.3288471772405,-469.6424115562088
2025-01-01 00:09:00,5.860087844519305,0.13501205036613143,0.0,0.09766813074198842,0.0022502008394355236,0.0,0.04305333618545279,5.500065542222223,0.31696896611162945,0.0,0.0,0.0,0.0,0.13501205036613143,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.037966695103581444,0,On,0.018483657411501077,0,On,0.11922495926868171,0.08941871945151125,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,18123.810582222224,Lower On,5500.065542222223,1.0,22.29799907571646,51.666666666666686,46.10666666666668,0.0,50.20910279068685,0.515013130467715,1356.1881848812302,5500.065542222223,22.29799907571646,47.80138657035812,50.20910279068685,46.59752846019375,12.43753247303448,16.395545302065067,0.0,0.48727795671701624,2.8,9.236100170605994,-687.2781319659846,695.4118455503553,-919.3045746397686,-0.0,-0.0,365.20654204743255,0.0,2.0,0.05188539627367927,0.0,0,0.3078946843550438,131.99922844444444,-133.1800993736486,0.23476753795992353,7.442046430157142,0.002654982716661253,55.56483376878076,1.23730400973621,0.38477246132238124,1159.698440569655,-464.28659501929974
2025-01-01 00:10:00,5.860087844519305,0.13501205036613143,0.0,0.09766813074198842,0.0022502008394355236,0.0,0.04305333618545279,5.500065542222223,0.31696896611162945,0.0,0.0,0.0,0.0,0.13501205036613143,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.037966695103581444,0,On,0.018483657411501077,0,On,0.11922495926868171,0.08941871945151125,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,18123.810582222224,Lower On,5500.065542222223,1.0,22.560183996293517,51.666666666666686,46.10666666666668,0.0,50.189696900049086,0.5152778646528553,1356.1881848812302,5500.065542222223,22.560183996293517,48.14844405000746,50.189696900049086,47.127817624986655,12.43753247303448,16.356800737093756,0.0,0.4909250135455433,2.8,9.236100170605994,-680.9106646882315,698.8585596325267,-915.6387752157226,-0.0,-0.0,365.20654204743255,0.0,2.0,0.05182619337748106,0.0,0,0.3075433666751768,131.99922844444444,-130.47843151994158,0.23535843268834813,7.423657220513103,0.0026551033767344225,55.60131723637966,1.2374695074394209,0.38470587650989485,1157.6692800420815,-458.81072040955473
2025-01-01 00:11:00,5.860087844519305,0.13501205036613143,0.0,0.09766813074198842,0.0022502008394355236,0.0,0.04305333618545279,5.500065542222223,0.31696896611162945,0.0,0.0,0.0,0.0,0.13501205036613143,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.037966695103581444,0,On,0.018483657411501077,0,On,0.11922495926868171,0.08941871945151125,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,18123.810582222224,Lower On,5500.065542222223,1.0,22.82172099822401,51.666666666666686,46.10666666666668,0.0,50.170310164208786,0.5155426094306752,1356.18818488123,5500.065542222223,22.82172099822401,48.49547945238258,50.170310164208786,47.65806409646949,12.43753247303448,16.318955634979538,0.0,0.49529319424550705,2.8,9.236100170605994,-674.78141538507,701.9738466335616,-912.0635629473462,-0.0,-0.0,365.20654204743255,0.0,2.0,0.051768348589394456,0.0,0,0.30720010818533955,131.99922844444444,-127.9243944851562,0.23593746865966847,7.4051410676234415,0.002655224099884592,55.63654173740143,1.237631203712272,0.38462611086984494,1155.2396859062999,-453.2658392727383
