occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,electric_vehicle_charging,electric_vehicle_discharging,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.598,0.0632,0.337,0.0892,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.595,0.0417,0.337,0.0708,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.594,0.034,0.337,0.0641,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.594,0.034,0.337,0.0641,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.573,0.0215,0.399,0.0533,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.592,0.0262,0.359,0.0939,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.602,0.0295,0.337,0.11,0.0,0.0,0.0,0.0,0.329,1.0,0,0,0,0,0
0.853,0.575,0.0203,0.399,0.0656,0.0,0.0,0.0,0.0,0.0822,1.0,0,0,0,0,0
0.8,0.566,0.017,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.8,0.601,0.0306,0.359,0.108,0.0,0.0,0.0,0.0,0.228,1.0,0,0,0,0,0
0.8,0.613,0.0356,0.337,0.129,0.0,0.0,0.0,0.0,0.0822,1.0,0,0,0,0,0
0.8,0.613,0.0356,0.337,0.129,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.8,0.613,0.0356,0.337,0.129,0.0,0.0,0.0,0.0,0.138,1.0,0,0,0,0,0
0.8,0.73,0.0912,0.152,0.32,0.0,0.0,0.0,0.733,0.247,1.0,0,0,0,0,0
0.8,0.772,0.111,0.0842,0.39,0.0,0.0,0.0,0.267,0.164,1.0,0,0,0,0,0
0.8,0.772,0.111,0.0842,0.39,0.0,0.0,0.0,0.0,0.382,1.0,0,0,0,0,0
0.8,0.772,0.111,0.0842,0.39,0.0,0.0,0.0,0.0,0.0822,1.0,0,0,0,0,0
0.8,0.772,0.126,0.0842,0.398,0.0,0.0,0.0,0.0,0.125,1.0,0,0,0,0,0
0.653,0.734,0.11,0.146,0.336,0.0,0.0,0.0,0.0,0.189,1.0,0,0,0,0,0
0.453,0.683,0.0817,0.23,0.248,0.0,0.0,0.0,0.0,0.164,1.0,0,0,0,0,0
0.4,0.669,0.0741,0.253,0.225,0.0,0.0,0.0,0.0,0.164,1.0,0,0,0,0,0
0.4,0.669,0.0797,0.253,0.221,0.0,0.0,0.0,0.0,0.0822,1.0,0,0,0,0,0
0.4,0.669,0.0818,0.253,0.22,0.0,0.0,0.0,0.0,0.0822,1.0,0,0,0,0,0
0.4,0.669,0.0818,0.253,0.22,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.4,0.669,0.0818,0.253,0.22,0.0,0.0,0.0,0.0,0.164,1.0,0,0,0,0,0
0.4,0.669,0.0875,0.253,0.214,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.4,0.669,0.0895,0.253,0.212,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.547,0.707,0.116,0.191,0.272,0.0,0.0,0.0,0.733,0.0,1.0,0,0,0,0,0
0.6,0.72,0.126,0.168,0.294,0.0,0.0,0.0,0.267,0.0,1.0,0,0,0,0,0
0.747,0.758,0.159,0.107,0.346,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.8,0.772,0.171,0.0842,0.365,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.8,0.772,0.171,0.0842,0.365,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.8,0.772,0.171,0.0842,0.365,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.8,0.772,0.187,0.0842,0.362,0.0,0.0,0.0,0.0,0.0822,1.0,0,0,0,0,0
0.8,0.772,0.193,0.0842,0.362,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.8,0.772,0.193,0.0842,0.362,0.0,0.0,0.0,0.0,0.247,1.0,0,0,0,0,0
0.507,0.696,0.128,0.208,0.247,0.0,0.0,0.0,0.0,0.329,1.0,0,0,0,0,0
0.253,0.631,0.0747,0.314,0.149,0.0,0.0,0.0,0.0,0.164,1.0,0,0,0,0,0
0.2,0.617,0.0637,0.337,0.129,0.0,0.0,0.0,0.0,0.164,1.0,0,0,0,0,0
0.347,0.655,0.098,0.275,0.187,0.283,0.733,0.0,0.0,0.164,1.0,0,0,0,0,0
0.4,0.669,0.11,0.253,0.209,0.268,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.4,0.68,0.119,0.253,0.223,0.385,0.2,0.8,0.0,0.0,1.0,0,0,0,0,0
0.4,0.684,0.123,0.253,0.228,0.102,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0
0.4,0.684,0.123,0.253,0.228,0.22,0.0,1.0,0.0,0.0822,1.0,0,0,0,0,0
0.4,0.684,0.123,0.253,0.228,0.0,0.0,1.0,0.733,0.0,1.0,0,0,0,0,0
0.4,0.702,0.143,0.253,0.263,0.0,0.0,0.533,1.0,0.0822,1.0,0,0,0,0,0
0.253,0.656,0.101,0.314,0.193,0.0,0.0,0.0,0.333,0.164,0,0.733,0,0,0,0
0.2,0.637,0.0835,0.337,0.163,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
0.2,0.637,0.0835,0.337,0.163,0.0,0.0,0.0,0.0,0.0,0,0.267,0,0,0,0
0.347,0.706,0.156,0.275,0.305,0.0,0.0,0.0,0.0,0.164,0,0.667,0,0,0,0
0.4,0.732,0.182,0.253,0.356,0.0,0.0,0.0,0.0,0.0822,0,1.0,0,0,0,0
0.547,0.792,0.243,0.191,0.469,0.0,0.0,0.0,0.0,0.164,0,0.267,0,0,0,0
0.6,0.814,0.265,0.168,0.51,0.0,0.0,0.0,0.0,0.164,1.0,0,0,0,0,0
0.6,0.823,0.33,0.168,0.584,0.0,0.0,0.0,0.0,0.164,1.0,0,0,0,0,0
0.6,0.826,0.354,0.168,0.612,0.0,0.0,0.0,0.0,0.0822,1.0,0,0,0,0,0
0.6,0.826,0.354,0.168,0.612,0.0,0.0,0.0,0.0,0.329,1.0,0,0,0,0,0
0.6,0.826,0.354,0.168,0.612,0.0,0.0,0.0,0.0,0.0822,1.0,0,0,0,0,0
0.6,0.818,0.456,0.168,0.608,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.6,0.814,0.493,0.168,0.606,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.6,0.814,0.493,0.168,0.606,0.0,0.0,0.0,0.0,0.164,1.0,0,0,0,0,0
