Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,1.0645222549735354,0.1160220188263609,0.710745945945946,0.017742037582892257,0.0019337003137726817,0.011845765765765766,0.03401769997067511,0.28142955500286027,0.719075,0.03,0.0,0.710745945945946,0.0,0.1072720188263609,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0060315515350877185,0.0,On,0.027986148435587388,0,On,0.014582264012153826,0,On,0.10971784547674518,0.08228838410755886,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,On,14381.602849844745,19.222222222222257,0.925,5605.139279044145,20.82991040960961,0.719075,1,19267.66712888889,19267.66712888889,Off,0.0,20.222222222222257,0,0.0,0.03,0.0,0.0,0,0,0,4122.045177777778,Off,0.0,0,89.12010306142803,51.666666666666686,46.10666666666668,0.0,52.212319931767354,0.0,0.0,0.0,139.25016103348128,52.22290998217221,52.22820500737464,52.212319931767354,12.43753247303448,19.010202282615694,0.0,3.7261882011903396,2.8,11848.861980986061,4858.7889452325735,-2798.9306323423184,-0.0,-0.0,381.94791590127136,0.0,3.0,0.1324908996129121,0.0,0,1.2399837358993446,197.99884266666666,-115.75815241763615,0.2192245366293114,8.982527018758294,0.002933447348538978,-87.43211318799213,1.2224539026045018,0.22017856983726983,-265.7614242423888,-480.58890956918304
2025-01-01 00:01:00,1.0645222549735354,0.1160220188263609,0.710745945945946,0.017742037582892257,0.0019337003137726817,0.011845765765765766,0.03401769997067511,0.28142955500286027,0.719075,0.03,0.0,0.710745945945946,0.0,0.1072720188263609,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0060315515350877185,0.0,On,0.027986148435587388,0,On,0.014582264012153826,0,On,0.10971784547674518,0.08228838410755886,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,On,14381.602849844745,19.222222222222257,0.925,5605.139279044145,20.82991040960961,0.719075,1,19267.66712888889,19267.66712888889,Off,0.0,20.222222222222257,0,0.0,0.03,0.0,0.0,0,0,0,4122.045177777778,Off,0.0,0,88.80095796448292,51.666666666666686,46.10666666666668,0.0,52.19748759360017,0.0,0.0,0.0,138.75149681950455,52.209024455228025,52.21479288604196,52.19748759360017,12.43753247303448,19.115219945022474,0.0,3.849249433284115,2.8,11817.01335896081,4815.330775104993,-2823.8475475826226,-0.0,-0.0,381.94791590127136,0.0,3.0,0.13280996484832533,0.0,0,1.2429698708245296,197.99884266666666,-122.68985920258297,0.21840648582180544,9.054050686689758,0.0029331442726722064,-87.89036428468647,1.2255845337116946,0.22143161258120164,-302.786158510597,-487.0223454285544
2025-01-01 00:02:00,1.0645222549735354,0.1160220188263609,0.710745945945946,0.017742037582892257,0.0019337003137726817,0.011845765765765766,0.03401769997067511,0.28142955500286027,0.719075,0.03,0.0,0.710745945945946,0.0,0.1072720188263609,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0060315515350877185,0.0,On,0.027986148435587388,0,On,0.014582264012153826,0,On,0.10971784547674518,0.08228838410755886,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,On,14381.602849844745,19.222222222222257,0.925,5605.139279044145,20.82991040960961,0.719075,1,19267.66712888889,19267.66712888889,Off,0.0,20.222222222222257,0,0.0,0.03,0.0,0.0,0,0,0,4122.045177777778,Off,0.0,0,88.48982640069472,51.666666666666686,46.10666666666668,0.0,52.18270885064258,0.0,0.0,0.0,138.2653537510855,52.19518865329191,52.20142855461658,52.18270885064258,12.43753247303448,19.217301065666437,0.0,3.9690039653204026,2.8,11786.00654030205,4773.857336291971,-2848.1483539013825,-0.0,-0.0,381.94791590127136,0.0,3.0,0.1331199643391916,0.0,0,1.2458711593502647,197.99884266666666,-129.39587154258248,0.21699852803817757,9.100669561555764,0.002932840386551722,-88.33101883057243,1.2251568409445561,0.22264421527721864,-339.1915715155543,-492.0903712366207
2025-01-01 00:03:00,1.0645222549735354,0.1160220188263609,0.710745945945946,0.017742037582892257,0.0019337003137726817,0.011845765765765766,0.03401769997067511,0.28142955500286027,0.719075,0.03,0.0,0.710745945945946,0.0,0.1072720188263609,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0060315515350877185,0.0,On,0.027986148435587388,0,On,0.014582264012153826,0,On,0.10971784547674518,0.08228838410755886,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,On,14381.602849844745,19.222222222222257,0.925,5605.139279044145,20.82991040960961,0.719075,1,19267.66712888889,19267.66712888889,Off,0.0,20.222222222222257,0,0.0,0.03,0.0,0.0,0,0,0,4122.045177777778,Off,0.0,0,88.18637596884231,51.666666666666686,46.10666666666668,0.0,52.167982366846374,0.0,0.0,0.0,137.7912124513161,52.18140132780009,52.188110808276946,52.167982366846374,12.43753247303448,19.31656826878309,0.0,4.08574381067554,2.8,11755.771610134174,4733.995358366692,-2871.855437511102,-0.0,-0.0,381.94791590127136,0.0,3.0,0.13342128099114114,0.0,0,1.2486911850944076,197.99884266666666,-135.92371810073996,0.21563839177003216,9.145688738460716,0.0029325348702259795,-88.7544553165652,1.2247412314656534,0.2238199685451686,-375.03424412752986,-496.1096765499231
2025-01-01 00:04:00,1.0645222549735354,0.1160220188263609,0.710745945945946,0.017742037582892257,0.0019337003137726817,0.011845765765765766,0.03401769997067511,0.28142955500286027,0.719075,0.03,0.0,0.710745945945946,0.0,0.1072720188263609,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0060315515350877185,0.0,On,0.027986148435587388,0,On,0.014582264012153826,0,On,0.10971784547674518,0.08228838410755886,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,On,14381.602849844745,19.222222222222257,0.925,5605.139279044145,20.82991040960961,0.719075,1,19267.66712888889,19267.66712888889,Off,0.0,20.222222222222257,0,0.0,0.03,0.0,0.0,0,0,0,4122.045177777778,Off,0.0,0,87.89029443822872,51.666666666666686,46.10666666666668,0.0,52.15330686154705,0.0,0.0,0.0,137.32858505973238,52.167661281979214,52.1748384921953,52.15330686154705,12.43753247303448,19.413136713585097,0.0,4.199715696385355,2.8,11727.43638474068,4695.527573886068,-2894.989965338296,-0.0,-0.0,381.94791590127136,0.0,3.0,0.13371427434127192,0.0,0,1.251433312968475,197.99884266666666,-141.1244156670399,0.2143236708400058,9.189852116561395,0.0029322277851601634,-89.16137966092633,1.224337199011814,0.22496191600168589,-410.3613850400473,-499.25032011802966
2025-01-01 00:05:00,0.34544725497353534,0.1160220188263609,0.0,0.0057574542495589225,0.0019337003137726817,0.0,0.03401769997067511,0.28142955500286027,0.0,0.03,0.0,0.0,0.0,0.1072720188263609,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0060315515350877185,0.0,On,0.027986148435587388,0,On,0.014582264012153826,0,On,0.10971784547674518,0.08228838410755886,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,19267.66712888889,Off,0.0,20.222222222222257,0,0.0,0.03,0.0,0.0,0,0,0,4122.045177777778,Off,0.0,0,87.60123029440834,51.666666666666686,46.10666666666668,0.0,52.13868110610386,0.0,0.0,0.0,136.87692233501303,52.153967367703636,52.16161049850353,52.13868110610386,12.43753247303448,19.507136247895,0.0,4.311132074955269,2.8,-2680.541296101317,-946.8536465344592,-2917.577161899498,-0.0,-0.0,381.94791590127136,0.0,3.0,0.13399934778153916,0.0,0,1.2541013183220577,197.99884266666666,-144.91205010309042,0.2130518398515124,9.232560165951359,0.002931919190357656,-89.55257617482606,1.223944177854848,0.2260726827900735,-445.21333510594593,-501.6403114285133
2025-01-01 00:06:00,0.34544725497353534,0.1160220188263609,0.0,0.0057574542495589225,0.0019337003137726817,0.0,0.03401769997067511,0.28142955500286027,0.0,0.03,0.0,0.0,0.0,0.1072720188263609,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0060315515350877185,0.0,On,0.027986148435587388,0,On,0.014582264012153826,0,On,0.10971784547674518,0.08228838410755886,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,19267.66712888889,Off,0.0,20.222222222222257,0,0.0,0.03,0.0,0.0,0,0,0,4122.045177777778,Off,0.0,0,88.02033655956133,51.666666666666686,46.10666666666668,0.0,52.12410393043845,0.0,0.0,0.0,137.53177587431458,52.14031849161607,52.14842577220489,52.12410393043845,12.43753247303448,19.33726742615207,0.0,4.206933545163592,2.8,-2631.5010118140362,-901.2296113673128,-2876.808281053768,-0.0,-0.0,381.94791590127136,0.0,3.0,0.13348409419998586,0.0,0,1.2492790545827623,197.99884266666666,-136.6406466615399,0.21529297278925894,9.15448353032685,0.002931609142064368,-88.47684613429387,1.2246552411144453,0.2250340405112539,-412.6097199243442,-488.61989144296865
2025-01-01 00:07:00,0.34544725497353534,0.1160220188263609,0.0,0.0057574542495589225,0.0019337003137726817,0.0,0.03401769997067511,0.28142955500286027,0.0,0.03,0.0,0.0,0.0,0.1072720188263609,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0060315515350877185,0.0,On,0.027986148435587388,0,On,0.014582264012153826,0,On,0.10971784547674518,0.08228838410755886,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,19267.66712888889,Off,0.0,20.222222222222257,0,0.0,0.03,0.0,0.0,0,0,0,4122.045177777778,Off,0.0,0,88.42563177166942,51.666666666666686,46.10666666666668,0.0,52.109457430408625,0.0,0.0,0.0,138.16504964323346,52.12660431588076,52.135177758616834,52.109457430408625,12.43753247303448,19.172480125074518,0.0,4.106836243346393,2.8,-2585.1914374864305,-859.8927959244238,-2837.468773251994,-0.0,-0.0,381.94791590127136,0.0,3.0,0.1329838698807366,0.0,0,1.2445974498689096,197.99884266666666,-129.6705801357079,0.21749208005648793,9.078276402370893,0.0029313029960147587,-87.4312918249894,1.2253458270150637,0.22403174425083427,-381.54729825947265,-478.34549766495115
2025-01-01 00:08:00,0.34544725497353534,0.1160220188263609,0.0,0.0057574542495589225,0.0019337003137726817,0.0,0.03401769997067511,0.28142955500286027,0.0,0.03,0.0,0.0,0.0,0.1072720188263609,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0060315515350877185,0.0,On,0.027986148435587388,0,On,0.014582264012153826,0,On,0.10971784547674518,0.08228838410755886,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,19267.66712888889,Off,0.0,20.222222222222257,0,0.0,0.03,0.0,0.0,0,0,0,4122.045177777778,Off,0.0,0,88.81787133629834,51.666666666666686,46.10666666666668,0.0,52.09474390735974,0.0,0.0,0.0,138.77792396296616,52.11282699235505,52.121868534852716,52.09474390735974,12.43753247303448,19.01249498507525,0.0,4.0106433696775055,2.8,-2540.517645744529,-819.6653203153984,-2799.473709305612,-0.0,-0.0,381.94791590127136,0.0,3.0,0.13249786690561802,0.0,0,1.2400489428657386,197.99884266666666,-122.9918523401887,0.21965096005467724,9.003811501553823,0.0029310006382742737,-86.41432467130686,1.226017037248472,0.22306430038147387,-351.93620801285937,-467.729112302539
2025-01-01 00:09:00,0.34544725497353534,0.1160220188263609,0.0,0.0057574542495589225,0.0019337003137726817,0.0,0.03401769997067511,0.28142955500286027,0.0,0.03,0.0,0.0,0.0,0.1072720188263609,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0060315515350877185,0.0,On,0.027986148435587388,0,On,0.014582264012153826,0,On,0.10971784547674518,0.08228838410755886,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,19.222222222222257,0.0,0.0,0.0,0.0,0,0.0,19267.66712888889,Off,0.0,20.222222222222257,0,0.0,0.03,0.0,0.0,0,0,0,4122.045177777778,Off,0.0,0,89.1976751008663,51.666666666666686,46.10666666666668,0.0,52.07996553679785,0.0,0.0,0.0,139.3713673451036,52.09898855519891,52.10850006439944,52.07996553679785,12.43753247303448,18.857083046873687,0.0,3.9182732257664012,2.8,-2497.481843276566,-781.0230189981388,-2762.751886267406,-0.0,-0.0,381.94791590127136,0.0,3.0,0.1320254263519325,0.0,0,1.2356273667087283,197.99884266666666,-116.67787291043129,0.22177089833044364,8.931649063942194,0.0029307019610497606,-85.42463598944211,1.2266697687493395,0.22213133737075252,-323.7243818049039,-457.2986371932349
