Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,3.743130572795663,0.09386186399542858,0.0,0.062385509546594387,0.0015643643999238095,0.0,0.014885694602486087,0.0,0.12877493186839048,3.5994699463247866,0.0,0.0,0.09386186399542858,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004654961622807018,0.0,On,0.01023073297967907,0,On,0.003625779874485686,0,On,0.09008440151137562,0.06756330113353169,On,0,0,Off,On,3599.4699463247866,22.222222222222285,1.0,0.0,3.4937007155555557,0.10576923076923077,1,3493.7007155555557,3493.7007155555557,Off,0.0,0.0,33.7990703429112,51.666666666666686,46.10666666666668,0.0,50.853198412563806,0.0,0.0,0.0,33.7990703429112,50.30798574514613,50.853198412563806,50.03537941143729,12.43753247303448,21.27393325290102,-0.44828896932126483,7.281367684310399,2.8,9.236100170605994,1834.0569045677228,-1524.9451309331882,-2014.1742081433624,-0.0,-0.0,203.3543325873025,0.0,1.0,0.08366041380224161,0.0,0.0,1.5567890328379326,65.99961422222222,45.40683379899584,0.1744770413277975,9.733881241215812,0.0026846503713829645,-34.41714905604456,1.2132369789964166,0.2665735918744364,-1556.844919667502,31.899788734313614
2025-01-01 00:01:00,3.743130572795663,0.09386186399542858,0.0,0.062385509546594387,0.0015643643999238095,0.0,0.014885694602486087,0.0,0.12877493186839048,3.5994699463247866,0.0,0.0,0.09386186399542858,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004654961622807018,0.0,On,0.01023073297967907,0,On,0.003625779874485686,0,On,0.09008440151137562,0.06756330113353169,On,0,0,Off,On,3599.4699463247866,22.222222222222285,1.0,0.0,3.4937007155555557,0.10576923076923077,1,3493.7007155555557,3493.7007155555557,Off,0.0,0.0,33.760263344158815,51.666666666666686,46.10666666666668,0.0,50.848052978303585,0.0,0.0,0.0,33.760263344158815,50.30324232878876,50.848052978303585,50.030837004031355,12.43753247303448,21.30253241115191,-0.41968981107037706,7.303424661141231,2.8,9.236100170605994,1826.6070647736635,-1533.1391953280086,-2019.0266973017149,-0.0,-0.0,203.3543325873025,0.0,1.0,0.08373234149954548,0.0,0.0,1.5581274944260457,65.99961422222222,42.80948316328928,0.1746645612124112,9.77081055811897,0.0026844113581529347,-34.42878801897093,1.2166629951244088,0.26662546992627334,-1564.8120707539726,31.672875425964087
2025-01-01 00:02:00,3.743130572795663,0.09386186399542858,0.0,0.062385509546594387,0.0015643643999238095,0.0,0.014885694602486087,0.0,0.12877493186839048,3.5994699463247866,0.0,0.0,0.09386186399542858,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004654961622807018,0.0,On,0.01023073297967907,0,On,0.003625779874485686,0,On,0.09008440151137562,0.06756330113353169,On,0,0,Off,On,3599.4699463247866,22.222222222222285,1.0,0.0,3.4937007155555557,0.10576923076923077,1,3493.7007155555557,3493.7007155555557,Off,0.0,0.0,33.72287556308349,51.666666666666686,46.10666666666668,0.0,50.84291340181779,0.0,0.0,0.0,33.72287556308349,50.29850435866855,50.84291340181779,50.02629983709394,12.43753247303448,21.329917216336476,-0.3923050058858095,7.323962214596099,2.8,9.236100170605994,1819.4467679170455,-1540.8386617868455,-2023.6775260457773,-0.0,-0.0,203.3543325873025,0.0,1.0,0.08380118843196707,0.0,0.0,1.5594086278135977,65.99961422222222,40.300015050733535,0.17435608947228767,9.782861164095237,0.002684172937362864,-34.43725664127211,1.2165500280967645,0.2666737652180655,-1572.2330222166954,31.394360429850003
2025-01-01 00:03:00,3.743130572795663,0.09386186399542858,0.0,0.062385509546594387,0.0015643643999238095,0.0,0.014885694602486087,0.0,0.12877493186839048,3.5994699463247866,0.0,0.0,0.09386186399542858,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004654961622807018,0.0,On,0.01023073297967907,0,On,0.003625779874485686,0,On,0.09008440151137562,0.06756330113353169,On,0,0,Off,On,3599.4699463247866,22.222222222222285,1.0,0.0,3.4937007155555557,0.10576923076923077,1,3493.7007155555557,3493.7007155555557,Off,0.0,0.0,33.68681273044306,51.666666666666686,46.10666666666668,0.0,50.8377794720739,0.0,0.0,0.0,33.68681273044306,50.293771635610184,50.8377794720739,50.02176771737833,12.43753247303448,21.35616849291629,-0.366053729305996,7.343099213517109,2.8,9.236100170605994,1812.5094550258875,-1548.0824041391636,-2028.1398672658418,-0.0,-0.0,203.3543325873025,0.0,1.0,0.0838671611813936,0.0,0.0,1.5606362771653708,65.99961422222222,37.82504337964004,0.1740603116542936,9.794292501551945,0.0026839344357823852,-34.44259850956063,1.2164417640975214,0.2667187591509412,-1579.1501835154254,31.067779376261818
2025-01-01 00:04:00,3.743130572795663,0.09386186399542858,0.0,0.062385509546594387,0.0015643643999238095,0.0,0.014885694602486087,0.0,0.12877493186839048,3.5994699463247866,0.0,0.0,0.09386186399542858,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004654961622807018,0.0,On,0.01023073297967907,0,On,0.003625779874485686,0,On,0.09008440151137562,0.06756330113353169,On,0,0,Off,On,3599.4699463247866,22.222222222222285,1.0,0.0,3.4937007155555557,0.10576923076923077,1,3493.7007155555557,3493.7007155555557,Off,0.0,0.0,33.65199567782005,51.666666666666686,46.10666666666668,0.0,50.83265099205342,0.0,0.0,0.0,33.65199567782005,50.28904397366825,50.83265099205342,50.01724046447566,12.43753247303448,21.381354099530864,-0.34086812269142186,7.36093977393937,2.8,9.236100170605994,1806.4882885760617,-1554.6728286066102,-2032.4247590918553,-0.0,-0.0,203.3543325873025,0.0,1.0,0.08393043331952635,0.0,0.0,1.5618136723783815,65.99961422222222,36.08876875582792,0.17377643636196943,9.805912107314532,0.0026836958759757445,-34.44500722056198,1.2163379203639917,0.2667606981286787,-1585.6007215516306,30.927892945020353
2025-01-01 00:05:00,3.743130572795663,0.09386186399542858,0.0,0.062385509546594387,0.0015643643999238095,0.0,0.014885694602486087,0.0,0.12877493186839048,3.5994699463247866,0.0,0.0,0.09386186399542858,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004654961622807018,0.0,On,0.01023073297967907,0,On,0.003625779874485686,0,On,0.09008440151137562,0.06756330113353169,On,0,0,Off,On,3599.4699463247866,22.222222222222285,1.0,0.0,3.4937007155555557,0.10576923076923077,1,3493.7007155555557,3493.7007155555557,Off,0.0,0.0,33.6183253823846,51.666666666666686,46.10666666666668,0.0,50.82752777650728,0.0,0.0,0.0,33.6183253823846,50.284321198007945,50.82752777650728,50.01271790875829,12.43753247303448,21.405558970767203,-0.3166632514550827,7.377593810390144,2.8,9.236100170605994,1801.3984245111978,-1560.9629554080682,-2036.5462081813453,-0.0,-0.0,203.3543325873025,0.0,1.0,0.08399122092816544,0.0,0.0,1.5629448343958858,65.99961422222222,35.120353780453684,0.1735034987206664,9.816226192264082,0.002683457279117397,-34.444719814047964,1.2162381439194245,0.2667998419171392,-1591.6239774438247,30.66102203575656
2025-01-01 00:06:00,3.743130572795663,0.09386186399542858,0.0,0.062385509546594387,0.0015643643999238095,0.0,0.014885694602486087,0.0,0.12877493186839048,3.5994699463247866,0.0,0.0,0.09386186399542858,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004654961622807018,0.0,On,0.01023073297967907,0,On,0.003625779874485686,0,On,0.09008440151137562,0.06756330113353169,On,0,0,Off,On,3599.4699463247866,22.222222222222285,1.0,0.0,3.4937007155555557,0.10576923076923077,1,3493.7007155555557,3493.7007155555557,Off,0.0,0.0,33.58571027410552,51.666666666666686,46.10666666666668,0.0,50.822409654906636,0.0,0.0,0.0,33.58571027410552,50.27960314769153,50.822409654906636,50.00819989408399,12.43753247303448,21.42886164936935,-0.2933605728529365,7.393138278623444,2.8,9.236100170605994,1796.9154132399349,-1566.7587922480889,-2040.5171962990755,-0.0,-0.0,203.3543325873025,0.0,1.0,0.08404972364828203,0.0,0.0,1.5640334782231085,65.99961422222222,34.608330626921315,0.17324061041027908,9.826047217676166,0.002683218664676293,-34.44195510905748,1.2161421084936956,0.2668363725859398,-1597.2474385236947,30.488646275605724
2025-01-01 00:07:00,3.743130572795663,0.09386186399542858,0.0,0.062385509546594387,0.0015643643999238095,0.0,0.014885694602486087,0.0,0.12877493186839048,3.5994699463247866,0.0,0.0,0.09386186399542858,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004654961622807018,0.0,On,0.01023073297967907,0,On,0.003625779874485686,0,On,0.09008440151137562,0.06756330113353169,On,0,0,Off,On,3599.4699463247866,22.222222222222285,1.0,0.0,3.4937007155555557,0.10576923076923077,1,3493.7007155555557,3493.7007155555557,Off,0.0,0.0,33.554078266165355,51.666666666666686,46.10666666666668,0.0,50.81729647033498,0.0,0.0,0.0,33.554078266165355,50.27488967463232,50.81729647033498,50.00368627678099,12.43753247303448,21.45132394537866,-0.27089827684362433,7.407658570361832,2.8,9.236100170605994,1792.4773669059518,-1572.1797272361487,-2044.3479074013642,-0.0,-0.0,203.3543325873025,0.0,1.0,0.08410609878456868,0.0,0.0,1.5650825310535577,65.99961422222222,34.0009953952272,0.17298706805996913,9.836181588401562,0.0026829800505463546,-34.43688683972811,1.2160495571653078,0.2668704918458259,-1602.5016971834987,30.32196994735004
2025-01-01 00:08:00,3.743130572795663,0.09386186399542858,0.0,0.062385509546594387,0.0015643643999238095,0.0,0.014885694602486087,0.0,0.12877493186839048,3.5994699463247866,0.0,0.0,0.09386186399542858,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004654961622807018,0.0,On,0.01023073297967907,0,On,0.003625779874485686,0,On,0.09008440151137562,0.06756330113353169,On,0,0,Off,On,3599.4699463247866,22.222222222222285,1.0,0.0,3.4937007155555557,0.10576923076923077,1,3493.7007155555557,3493.7007155555557,Off,0.0,0.0,33.52338535077082,51.666666666666686,46.10666666666668,0.0,50.81218807659218,0.0,0.0,0.0,33.52338535077082,50.2701806408604,50.81218807659218,49.99917692299452,12.43753247303448,21.47298354503359,-0.2492386771886963,7.42122685358896,2.8,9.236100170605994,1788.208738027437,-1577.2434111407138,-2048.0444514905244,-0.0,-0.0,203.3543325873025,0.0,1.0,0.08416044285102538,0.0,0.0,1.5660937888613373,65.99961422222222,33.4289106058721,0.17274242952282604,9.84587867860565,0.0026827414533716087,-34.42962470236527,1.2159603327954875,0.266902370168276,-1607.4126089191423,30.16919777842851
2025-01-01 00:09:00,3.743130572795663,0.09386186399542858,0.0,0.062385509546594387,0.0015643643999238095,0.0,0.014885694602486087,0.0,0.12877493186839048,3.5994699463247866,0.0,0.0,0.09386186399542858,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004654961622807018,0.0,On,0.01023073297967907,0,On,0.003625779874485686,0,On,0.09008440151137562,0.06756330113353169,On,0,0,Off,On,3599.4699463247866,22.222222222222285,1.0,0.0,3.4937007155555557,0.10576923076923077,1,3493.7007155555557,3493.7007155555557,Off,0.0,0.0,33.49358549479643,51.666666666666686,46.10666666666668,0.0,50.807084334020864,0.0,0.0,0.0,33.49358549479643,50.26547591458203,50.807084334020864,49.99467170486261,12.43753247303448,21.493879881627223,-0.22834234059506286,7.433909943796693,2.8,9.236100170605994,1784.1321152413802,-1581.9729111048687,-2051.6132672663525,-0.0,-0.0,203.3543325873025,0.0,1.0,0.08421285655788507,0.0,0.0,1.5670691257058629,65.99961422222222,32.921103595643636,0.17250623827126899,9.855160005373357,0.002682502889008816,-34.42028226280997,1.2158742711846446,0.2669321653105417,-1612.0041320754717,30.031220970603083
