Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,2.404315984357125,0.2728111400055184,0.0,0.04007193307261875,0.004546852333425307,0.0,0.026151005617857784,0.0,0.39685579685892536,1.931309181880342,0.05,0.0,0.0,0.2582278066721851,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.004003636695906433,0.0,On,0.022147368921951353,0,On,0.052552054629345105,0,On,0.30267922837349176,0.22700942128011875,On,On,1931.3091818803418,23.388888888888914,1.0,0.0,1.8255399511111112,0.10576923076923077,1,1825.5399511111111,1825.5399511111111,Off,0.0,24.388888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2753.4699231846785,Off,0.0,0.0,17.56615887091698,51.666666666666686,46.10666666666668,0.0,51.24847311930731,0.712437247860818,1927.6909132711514,0.0,17.56615887091698,48.00249070540798,51.24847311930731,46.37949949845831,12.43753247303448,23.022711021318727,0.0,2.8,9.236100170605994,1573.628872425272,-1022.0366628787975,-0.0,-0.0,599.8180991573054,0.0,3.0,0.038780146681230906,0.0,0.0,0.366396301995333,197.99884266666666,64.53825426642207,0.1826045830833383,10.988653551169119,0.0031278322575643593,64.82844413939344,1.2057509000601325
2025-01-01 00:01:00,5.904171193246015,0.2728111400055184,0.0,0.0984028532207669,0.004546852333425307,0.0,0.026151005617857784,3.499855208888889,0.39685579685892536,1.931309181880342,0.05,0.0,0.0,0.2582278066721851,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.004003636695906433,0.0,On,0.022147368921951353,0,On,0.052552054629345105,0,On,0.30267922837349176,0.22700942128011875,On,On,1931.3091818803418,23.388888888888914,1.0,0.0,1.8255399511111112,0.10576923076923077,1,1825.5399511111111,1825.5399511111111,Off,0.0,24.388888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2753.4699231846785,Lower On,3499.855208888889,1.0,17.54439063176983,51.666666666666686,46.10666666666668,0.0,51.204753572286954,0.7132406955383589,1927.6909132711517,3499.855208888889,17.54439063176983,47.72949017250391,51.204753572286954,45.991858472612385,12.43753247303448,23.025730967337015,0.0,2.8,9.236100170605994,1571.1817635402592,-1022.2615958507603,-0.0,-0.0,599.8180991573054,0.0,3.0,0.038782889916346146,0.0,0.0,0.366422220185122,197.99884266666666,62.316078353372106,0.1831179230962023,11.015015355153281,0.003128062260071732,64.79335142053215,1.2092605565806713
2025-01-01 00:02:00,5.904171193246015,0.2728111400055184,0.0,0.0984028532207669,0.004546852333425307,0.0,0.026151005617857784,3.499855208888889,0.39685579685892536,1.931309181880342,0.05,0.0,0.0,0.2582278066721851,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.004003636695906433,0.0,On,0.022147368921951353,0,On,0.052552054629345105,0,On,0.30267922837349176,0.22700942128011875,On,On,1931.3091818803418,23.388888888888914,1.0,0.0,1.8255399511111112,0.10576923076923077,1,1825.5399511111111,1825.5399511111111,Off,0.0,24.388888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2753.4699231846785,Lower On,3499.855208888889,1.0,17.69054590986002,51.666666666666686,46.10666666666668,0.0,51.161039825216335,0.7140458504816256,1927.6909132711517,3499.855208888889,17.69054590986002,47.94766805171711,51.161039825216335,46.3409821649675,12.43753247303448,23.02863453278392,0.0,2.8,9.236100170605994,1568.7303446460596,-1022.4778791047954,-0.0,-0.0,599.8180991573054,0.0,3.0,0.03878552736748719,0.0,0.0,0.3664471389238961,197.99884266666666,60.08094271320755,0.1830990969402797,11.016945937743941,0.0031282914708962526,64.75861218377698,1.2092485345679838
2025-01-01 00:03:00,5.904171193246015,0.2728111400055184,0.0,0.0984028532207669,0.004546852333425307,0.0,0.026151005617857784,3.499855208888889,0.39685579685892536,1.931309181880342,0.05,0.0,0.0,0.2582278066721851,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.004003636695906433,0.0,On,0.022147368921951353,0,On,0.052552054629345105,0,On,0.30267922837349176,0.22700942128011875,On,On,1931.3091818803418,23.388888888888914,1.0,0.0,1.8255399511111112,0.10576923076923077,1,1825.5399511111111,1825.5399511111111,Off,0.0,24.388888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2753.4699231846785,Lower On,3499.855208888889,1.0,17.836765149288794,51.666666666666686,46.10666666666668,0.0,51.11734552592797,0.7148524658872867,1927.6909132711514,3499.855208888889,17.836765149288794,48.16582541926151,51.11734552592797,46.69006536592828,12.43753247303448,23.0314279422718,0.0,2.8,9.236100170605994,1566.281471498749,-1022.6859741698795,-0.0,-0.0,599.8180991573054,0.0,3.0,0.03878806469648044,0.0,0.0,0.3664711117048068,197.99884266666666,57.84016463098091,0.18308148590000778,11.01805342208971,0.0031285205611059227,64.72413001854339,1.2092369626189756
2025-01-01 00:04:00,5.904171193246015,0.2728111400055184,0.0,0.0984028532207669,0.004546852333425307,0.0,0.026151005617857784,3.499855208888889,0.39685579685892536,1.931309181880342,0.05,0.0,0.0,0.2582278066721851,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.004003636695906433,0.0,On,0.022147368921951353,0,On,0.052552054629345105,0,On,0.30267922837349176,0.22700942128011875,On,On,1931.3091818803418,23.388888888888914,1.0,0.0,1.8255399511111112,0.10576923076923077,1,1825.5399511111111,1825.5399511111111,Off,0.0,24.388888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2753.4699231846785,Lower On,3499.855208888889,1.0,17.98304445227518,51.666666666666686,46.10666666666668,0.0,51.07367065863328,0.7156605457847375,1927.6909132711517,3499.855208888889,17.98304445227518,48.383962266160665,51.07367065863328,47.03910806992435,12.43753247303448,23.034116721506038,0.0,2.8,9.236100170605994,1564.855926040889,-1022.8862907359935,-0.0,-0.0,599.8180991573054,0.0,3.0,0.03879050692950051,0.0,0.0,0.366494186015343,197.99884266666666,56.61493573923509,0.18306502838092037,11.019871536036735,0.00312874953152255,64.68989269007191,1.2092258181476985
2025-01-01 00:05:00,5.904171193246015,0.2728111400055184,0.0,0.0984028532207669,0.004546852333425307,0.0,0.026151005617857784,3.499855208888889,0.39685579685892536,1.931309181880342,0.05,0.0,0.0,0.2582278066721851,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.004003636695906433,0.0,On,0.022147368921951353,0,On,0.052552054629345105,0,On,0.30267922837349176,0.22700942128011875,On,On,1931.3091818803418,23.388888888888914,1.0,0.0,1.8255399511111112,0.10576923076923077,1,1825.5399511111111,1825.5399511111111,Off,0.0,24.388888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2753.4699231846785,Lower On,3499.855208888889,1.0,18.129367388970877,51.666666666666686,46.10666666666668,0.0,51.030015208124084,0.7164700942077387,1927.6909132711512,3499.855208888889,18.129367388970877,48.602078583985154,51.030015208124084,47.38811027191569,12.43753247303448,23.036724192099136,0.0,2.8,9.236100170605994,1564.3482702544693,-1023.080564658687,-0.0,-0.0,599.8180991573054,0.0,3.0,0.03879287525556574,0.0,0.0,0.3665165620501567,197.99884266666666,56.30155387550859,0.1830494657110113,11.020881480278717,0.003128978382929091,64.65584821106931,1.209215005917063
2025-01-01 00:06:00,5.904171193246015,0.2728111400055184,0.0,0.0984028532207669,0.004546852333425307,0.0,0.026151005617857784,3.499855208888889,0.39685579685892536,1.931309181880342,0.05,0.0,0.0,0.2582278066721851,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.004003636695906433,0.0,On,0.022147368921951353,0,On,0.052552054629345105,0,On,0.30267922837349176,0.22700942128011875,On,On,1931.3091818803418,23.388888888888914,1.0,0.0,1.8255399511111112,0.10576923076923077,1,1825.5399511111111,1825.5399511111111,Off,0.0,24.388888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2753.4699231846785,Lower On,3499.855208888889,1.0,18.275719867494445,51.666666666666686,46.10666666666668,0.0,50.98637916163527,0.7172811151597076,1927.6909132711517,3499.855208888889,18.275719867494445,48.82017436661136,50.98637916163527,47.73707196909941,12.43753247303448,23.039270357950304,0.0,2.8,9.236100170605994,1564.0030548636212,-1023.2702851523143,-0.0,-0.0,599.8180991573054,0.0,3.0,0.03879518784827897,0.0,0.0,0.36653841151413924,197.99884266666666,56.146058978287854,0.1830345760822171,11.022624747157863,0.0031292071159427495,64.62195196954296,1.2092044442422232
2025-01-01 00:07:00,5.904171193246015,0.2728111400055184,0.0,0.0984028532207669,0.004546852333425307,0.0,0.026151005617857784,3.499855208888889,0.39685579685892536,1.931309181880342,0.05,0.0,0.0,0.2582278066721851,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.004003636695906433,0.0,On,0.022147368921951353,0,On,0.052552054629345105,0,On,0.30267922837349176,0.22700942128011875,On,On,1931.3091818803418,23.388888888888914,1.0,0.0,1.8255399511111112,0.10576923076923077,1,1825.5399511111111,1825.5399511111111,Off,0.0,24.388888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2753.4699231846785,Lower On,3499.855208888889,1.0,18.422098171321068,51.666666666666686,46.10666666666668,0.0,50.94276250849727,0.7180936126197551,1927.6909132711517,3499.855208888889,18.422098171321068,49.03824960989333,50.94276250849727,48.08599316059137,12.43753247303448,23.04176049223701,0.0,2.8,9.236100170605994,1563.7422939874932,-1023.4558441632585,-0.0,-0.0,599.8180991573054,0.0,3.0,0.03879744950058114,0.0,0.0,0.36655977969117903,197.99884266666666,56.07085711310408,0.18302030091993307,11.023572917910876,0.0031294357310384627,64.588192238885,1.209194111582221
2025-01-01 00:08:00,5.904171193246015,0.2728111400055184,0.0,0.0984028532207669,0.004546852333425307,0.0,0.026151005617857784,3.499855208888889,0.39685579685892536,1.931309181880342,0.05,0.0,0.0,0.2582278066721851,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.004003636695906433,0.0,On,0.022147368921951353,0,On,0.052552054629345105,0,On,0.30267922837349176,0.22700942128011875,On,On,1931.3091818803418,23.388888888888914,1.0,0.0,1.8255399511111112,0.10576923076923077,1,1825.5399511111111,1825.5399511111111,Off,0.0,24.388888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2753.4699231846785,Lower On,3499.855208888889,1.0,18.568499760147915,51.666666666666686,46.10666666666668,0.0,50.89916523859392,0.7189075905711354,1927.6909132711514,3499.855208888889,18.568499760147915,49.25630431020671,50.89916523859392,48.434873846013105,12.43753247303448,23.044198198326082,0.0,2.8,9.236100170605994,1563.5027460734268,-1023.6375093294959,-0.0,-0.0,599.8180991573054,0.0,3.0,0.03879966348837562,0.0,0.0,0.3665806975321359,197.99884266666666,56.01297436527527,0.1830066001688262,11.025259143587252,0.003129664228653837,64.55456101654285,1.2091839932147024
2025-01-01 00:09:00,5.904171193246015,0.2728111400055184,0.0,0.0984028532207669,0.004546852333425307,0.0,0.026151005617857784,3.499855208888889,0.39685579685892536,1.931309181880342,0.05,0.0,0.0,0.2582278066721851,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.004003636695906433,0.0,On,0.022147368921951353,0,On,0.052552054629345105,0,On,0.30267922837349176,0.22700942128011875,On,On,1931.3091818803418,23.388888888888914,1.0,0.0,1.8255399511111112,0.10576923076923077,1,1825.5399511111111,1825.5399511111111,Off,0.0,24.388888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2753.4699231846785,Lower On,3499.855208888889,1.0,18.714923014725173,51.666666666666686,46.10666666666668,0.0,50.85558734218768,0.7197230530044697,1927.6909132711517,3499.855208888889,18.714923014725173,49.47433846428363,50.85558734218768,48.783714025331605,12.43753247303448,23.046585772061214,0.0,2.8,9.236100170605994,1563.261411999064,-1023.815450932932,-0.0,-0.0,599.8180991573054,0.0,3.0,0.03880183189973458,0.0,0.0,0.3666011847651951,197.99884266666666,55.94958189434854,0.18299344827149988,11.02615325561247,0.0031298926092010264,64.52105321764648,1.209174079756297
