Metric,Value
Total Electric Energy (kWh),744.4120182895729
Total Gas Energy (therms),0.0
Average Electric Power (kW),1.03390558095774
Peak Electric Power (kW),6.010645420542226
Other Electric Energy (kWh),145.490326051845
HVAC Heating Electric Energy (kWh),208.87704686864956
Lighting Electric Energy (kWh),107.46196081887486
Water Heating Electric Energy (kWh),243.29826793792594
HVAC Cooling Electric Energy (kWh),39.28441661227754
Average Temperature - Indoor (C),18.110848282392787
Unmet Heating Load (C-hours),37.35662323665864
Unmet Cooling Load (C-hours),2.5286607175394233
Total Hot Water Unmet Demand (kWh),0.0
