Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Well Pump Electric Power (kW),Well Pump Reactive Power (kVAR),Well Pump Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.39819102857425487,0.21611504930194178,0.0,0.006636517142904248,0.0036019174883656965,0.0,0.030537083731459615,0.0,0.3576539448427953,0.0,0.010000000000000002,0.0,0.0,0.2131983826352751,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.0060315515350877185,0.0,On,0.024505532196371898,0,On,0.022598866953030157,0,On,0.2216771349196186,0.1662578511897139,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0,0.0,10447.398968888889,Off,0.0,25.5555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1436.9276577777778,Off,0.0,0.0,45.85260349276351,51.666666666666686,46.10666666666668,0.0,50.4764250795814,0.0,0.0,0.0,45.85260349276351,48.67712778632648,50.4764250795814,47.77747913969903,12.43753247303448,9.334628080393403,0.0,-2.799999999971895,-2.2174472851398463,2.8,9.236100170605994,127.21581292845815,162.02900692738385,1500.470771921807,-441.8130487403704,-0.0,-0.0,519.88190408715,0.0,3.0,0.051880005304909216,0.0,0,0.4855455203671191,197.99884266666666,49.14695758167851,0.410699159915001,4.177209406034488,0.002934501957118836,62.849758805259015,1.264324202989277,0,0,162.02900692738385,0.25860265832038215,1690.9604703361917,-190.48969841438475
2025-01-01 00:01:00,0.39819102857425487,0.21611504930194178,0.0,0.006636517142904248,0.0036019174883656965,0.0,0.030537083731459615,0.0,0.3576539448427953,0.0,0.010000000000000002,0.0,0.0,0.2131983826352751,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.0060315515350877185,0.0,On,0.024505532196371898,0,On,0.022598866953030157,0,On,0.2216771349196186,0.1662578511897139,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0,0.0,10447.398968888889,Off,0.0,25.5555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1436.9276577777778,Off,0.0,0.0,45.863557585648174,51.666666666666686,46.10666666666668,0.0,50.47199701042614,0.0,0.0,0.0,45.863557585648174,48.6732667690755,50.47199701042614,47.773901648400184,12.43753247303448,9.321331471660017,0.0,-2.6504407709171542,-2.159574253211328,2.8,9.236100170605994,124.26681691638339,158.34239146665143,1476.6918242985923,-440.691182590631,-0.0,-0.0,519.88190408715,0.0,3.0,0.051853781556128305,0.0,0,0.48530009202390734,197.99884266666666,45.07609541986433,0.4122974009020534,4.189772668044043,0.0029347126054562254,62.8633028170686,1.268076985234345,0,0,158.34239146665143,0.25809901848883904,1668.2010940536527,-191.5092697550603
2025-01-01 00:02:00,0.39819102857425487,0.21611504930194178,0.0,0.006636517142904248,0.0036019174883656965,0.0,0.030537083731459615,0.0,0.3576539448427953,0.0,0.010000000000000002,0.0,0.0,0.2131983826352751,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.0060315515350877185,0.0,On,0.024505532196371898,0,On,0.022598866953030157,0,On,0.2216771349196186,0.1662578511897139,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0,0.0,10447.398968888889,Off,0.0,25.5555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1436.9276577777778,Off,0.0,0.0,45.874756607303134,51.666666666666686,46.10666666666668,0.0,50.46756803987377,0.0,0.0,0.0,45.874756607303134,48.66940482943542,50.46756803987377,47.77032322421625,12.43753247303448,9.30782343302317,0.0,-2.5042757534750253,-2.103514966017656,2.8,9.236100170605994,121.38603355977907,155.06003936203783,1454.0675851966344,-439.55243236286486,-0.0,-0.0,519.88190408715,0.0,3.0,0.051827143668426,0.0,0,0.48505078775013394,197.99884266666666,41.05656183549388,0.4127021567314475,4.18307654486091,0.0029349226756550783,62.87774003638816,1.2681374680411137,0,0,155.06003936203783,0.2576102239307892,1646.2214349413916,-192.15384974475728
2025-01-01 00:03:00,0.39819102857425487,0.21611504930194178,0.0,0.006636517142904248,0.0036019174883656965,0.0,0.030537083731459615,0.0,0.3576539448427953,0.0,0.010000000000000002,0.0,0.0,0.2131983826352751,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.0060315515350877185,0.0,On,0.024505532196371898,0,On,0.022598866953030157,0,On,0.2216771349196186,0.1662578511897139,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0,0.0,10447.398968888889,Off,0.0,25.5555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1436.9276577777778,Off,0.0,0.0,45.886183173467835,51.666666666666686,46.10666666666668,0.0,50.463138145776206,0.0,0.0,0.0,45.886183173467835,48.665541946782014,50.463138145776206,47.76674384728493,12.43753247303448,9.294118884916974,0.0,-2.3613414396354697,-2.049030732839082,2.8,9.236100170605994,118.51918652278329,151.78985511669583,1433.1655029617227,-438.398099541586,-0.0,-0.0,519.88190408715,0.0,3.0,0.05180012122393667,0.0,0,0.4847978844053088,197.99884266666666,37.035381977219274,0.41311282336343025,4.175526634976661,0.002935132784077332,62.89291513821004,1.2681988389481094,0,0,151.78985511669583,0.25713427228074126,1624.9221330937203,-191.75663013199764
2025-01-01 00:04:00,0.39819102857425487,0.21611504930194178,0.0,0.006636517142904248,0.0036019174883656965,0.0,0.030537083731459615,0.0,0.3576539448427953,0.0,0.010000000000000002,0.0,0.0,0.2131983826352751,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.0060315515350877185,0.0,On,0.024505532196371898,0,On,0.022598866953030157,0,On,0.2216771349196186,0.1662578511897139,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0,0.0,10447.398968888889,Off,0.0,25.5555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1436.9276577777778,Off,0.0,0.0,45.89782347851599,51.666666666666686,46.10666666666668,0.0,50.4587073075574,0.0,0.0,0.0,45.89782347851599,48.66167810195492,50.4587073075574,47.763163499153684,12.43753247303448,9.28022967367494,0.0,-2.221508886489493,-1.9958913574139578,2.8,9.236100170605994,116.91645107442866,148.58545399566515,1413.2136805612995,-437.2292233527179,-0.0,-0.0,519.88190408715,0.0,3.0,0.051772737735973684,0.0,0,0.484541602050781,197.99884266666666,34.26377033999651,0.4135290896696639,4.16860797702998,0.0029353429330377222,62.90878517979442,1.2682610450146412,0,0,148.58545399566515,0.25666921858440533,1604.2083653446666,-190.994684783367
2025-01-01 00:05:00,0.39819102857425487,0.21611504930194178,0.0,0.006636517142904248,0.0036019174883656965,0.0,0.030537083731459615,0.0,0.3576539448427953,0.0,0.010000000000000002,0.0,0.0,0.2131983826352751,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.0060315515350877185,0.0,On,0.024505532196371898,0,On,0.022598866953030157,0,On,0.2216771349196186,0.1662578511897139,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0,0.0,10447.398968888889,Off,0.0,25.5555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1436.9276577777778,Off,0.0,0.0,45.9096391479241,51.666666666666686,46.10666666666668,0.0,50.45427550588971,0.0,0.0,0.0,45.9096391479241,48.65781327695625,50.45427550588971,47.759582162489515,12.43753247303448,9.266188762900004,0.0,-2.0846672848212537,-1.9439216185168688,2.8,9.236100170605994,116.80478682240886,145.452769261858,1394.182207168577,-436.04861495059606,-0.0,-0.0,519.88190408715,0.0,3.0,0.05174505833850035,0.0,0,0.4842825502760047,197.99884266666666,32.97149768585486,0.4139500541871642,4.161600011717629,0.002935553124715856,62.925230431535,1.2683239384455642,0,0,145.452769261858,0.2562135846067819,1584.0077761873765,-189.8255690187995
2025-01-01 00:06:00,0.39819102857425487,0.21611504930194178,0.0,0.006636517142904248,0.0036019174883656965,0.0,0.030537083731459615,0.0,0.3576539448427953,0.0,0.010000000000000002,0.0,0.0,0.2131983826352751,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.0060315515350877185,0.0,On,0.024505532196371898,0,On,0.022598866953030157,0,On,0.2216771349196186,0.1662578511897139,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0,0.0,10447.398968888889,Off,0.0,25.5555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1436.9276577777778,Off,0.0,0.0,45.9215892814594,51.666666666666686,46.10666666666668,0.0,50.449842724915285,0.0,0.0,0.0,45.9215892814594,48.65394745701944,50.449842724915285,47.75599982307153,12.43753247303448,9.252031290148802,0.0,-1.9507192071780093,-1.892969138422226,2.8,9.236100170605994,117.20791547507284,142.39710028383095,1375.9305239708322,-434.85925870187754,-0.0,-0.0,519.88190408715,0.0,3.0,0.05171715242387355,0.0,0,0.4840213785247846,197.99884266666666,32.18527008980027,0.41437475073944063,4.153787054237067,0.0029357633609154122,62.942123197353595,1.268387361625681,0,0,142.39710028383095,0.2557660812256312,1564.25769318415,-188.32716921331777
2025-01-01 00:07:00,0.39819102857425487,0.21611504930194178,0.0,0.006636517142904248,0.0036019174883656965,0.0,0.030537083731459615,0.0,0.3576539448427953,0.0,0.010000000000000002,0.0,0.0,0.2131983826352751,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.0060315515350877185,0.0,On,0.024505532196371898,0,On,0.022598866953030157,0,On,0.2216771349196186,0.1662578511897139,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0,0.0,10447.398968888889,Off,0.0,25.5555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1436.9276577777778,Off,0.0,0.0,45.93365526602684,51.666666666666686,46.10666666666668,0.0,50.44540895247434,0.0,0.0,0.0,45.93365526602684,48.65008063082197,50.44540895247434,47.75241646999579,12.43753247303448,9.237773241582191,0.0,-1.819576882182976,-1.8429057617605331,2.8,9.236100170605994,117.69467710326745,139.4207570556735,1358.3413577837543,-433.66252200800625,-0.0,-0.0,519.88190408715,0.0,3.0,0.05168905161180528,0.0,0,0.4837583827263409,197.99884266666666,31.47529502412364,0.4148027442526312,4.146651122161096,0.002935973643039242,62.959405364598155,1.2684512429042554,0,0,139.4207570556735,0.2553256227083448,1544.90550412191,-186.5641463381558
2025-01-01 00:08:00,0.39819102857425487,0.21611504930194178,0.0,0.006636517142904248,0.0036019174883656965,0.0,0.030537083731459615,0.0,0.3576539448427953,0.0,0.010000000000000002,0.0,0.0,0.2131983826352751,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.0060315515350877185,0.0,On,0.024505532196371898,0,On,0.022598866953030157,0,On,0.2216771349196186,0.1662578511897139,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0,0.0,10447.398968888889,Off,0.0,25.5555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1436.9276577777778,Off,0.0,0.0,45.9458280799262,51.666666666666686,46.10666666666668,0.0,50.44097417809011,0.0,0.0,0.0,45.9458280799262,48.64621278860859,50.44097417809011,47.748832093867826,12.43753247303448,9.223422361031291,0.0,-1.691159740455004,-1.7936241478738446,2.8,9.236100170605994,118.18338310726654,136.5243192161235,1341.3156642300178,-432.4590767630064,-0.0,-0.0,519.88190408715,0.0,3.0,0.051660771267487325,0.0,0,0.4834937066836667,197.99884266666666,30.760555783122896,0.4152338284051709,4.139459810923746,0.0029361839723076708,62.97704877221324,1.2685155476301349,0,0,136.5243192161235,0.25489129876739536,1525.907193112419,-184.59152888240124
2025-01-01 00:09:00,0.39819102857425487,0.21611504930194178,0.0,0.006636517142904248,0.0036019174883656965,0.0,0.030537083731459615,0.0,0.3576539448427953,0.0,0.010000000000000002,0.0,0.0,0.2131983826352751,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.0060315515350877185,0.0,On,0.024505532196371898,0,On,0.022598866953030157,0,On,0.2216771349196186,0.1662578511897139,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0,0.0,10447.398968888889,Off,0.0,25.5555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1436.9276577777778,Off,0.0,0.0,45.958100507074256,51.666666666666686,46.10666666666668,0.0,50.4365383921016,0.0,0.0,0.0,45.958100507074256,48.642343921383734,50.4365383921016,47.7452466860248,12.43753247303448,9.208984841689094,0.0,-1.5653927437925572,-1.7450348634428638,2.8,9.236100170605994,118.67597041588408,133.70724786625993,1324.769486767749,-431.2494628049473,-0.0,-0.0,519.88190408715,0.0,3.0,0.05163232369551108,0.0,0,0.48322746555556334,197.99884266666666,30.043529133681346,0.41566783940339497,4.132216681132713,0.0029363943498524636,62.99503088503681,1.2685802481057131,0,0,133.70724786625993,0.2544623506295952,1507.226098353818,-182.45661158606913
