Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.6204969422172592,0.23839498257873054,0.22112756756756755,0.620496942217259,0.23839498257873054,0.22112756756756757,0.02171823019288751,0.0,0.3250598057743716,0.22371890625,0.05,0.22112756756756755,0.0,0.0,0.22381164924539718,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035099780701754383,0.0,0.018208252122712074,0.0,0.026644273447175224,0.0,0.29841553232719636,0.22381164924539718,4847.166794071312,20.000000000000057,0.41625000000000006,1371.1165401786877,6.480610192432432,0.22371890625,0.45,5994.564428000001,13321.254284444445,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8850.454484444444,0.0,0.0,20.80712525848436,51.66666666666668,46.10666666666668,0.0,51.3663886204453,0.0,0.0,0.0,20.80712525848436,49.18881970089894,51.3663886204453,48.10003524112575,12.43753247303448,19.707215693801444,-0.05737199055836726,8.417615390637115,-1.0834128594962764,2.8,9.236100170605994,4359.834499673262,-1410.229495873044,742.2245020742836,-757.4550592491968,0.0,0.0,341.2833587216888,0.0,0.23325,0.03436969052289719,0.0,0.0,0.4447796211413427,15.394410017333334,-71.16059387054261,0.19151606504067914,9.022723129021589,0.002666885731386064,-15.805736756183308,1.2232457178149103,0.38714004039490985,-2834.4526592680563,53.10662321632459,0.173870956203974,884.6592648246863,-142.4347627504027
2025-01-01 01:00:00,1.548043217702556,0.280807688352102,0.057329369369369367,1.548043217702556,0.280807688352102,0.05732936936936937,0.028306159867569767,0.9916256425185186,0.4201102173998009,0.05800119791666667,0.05,0.057329369369369367,0.0,0.0,0.2662243550187687,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032467297149122803,0.0,0.025059430152657484,0.0,0.06514441070810922,0.0,0.3549658066916917,0.2662243550187687,1256.6728725370072,18.33333333333337,0.10791666666666669,355.4746585648449,1.6801581980380378,0.05800119791666667,0.11666666666666667,1554.1463331851853,13321.254284444445,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8850.454484444444,991.6256425185186,0.2833333333333333,22.203709383368714,51.66666666666668,46.10666666666668,0.0,51.284172352462065,0.3120248185682717,838.9322348332931,991.6256425185186,22.203709383368714,49.910253097345205,51.284445498961944,49.22302032328691,12.43753247303448,18.431913860298454,-0.04360116036506204,8.283737634212775,0.6542847045532483,2.5,9.236100170605994,1028.054566595927,-1846.0115864834831,215.61167186547456,-666.6512706646462,0.0,-0.8914321341641177,474.1690250327746,0.0,0.766675,0.032033505391277965,0.0,3.96037576799218e-05,0.41505946428568286,50.60025423382222,-35.24462817504397,0.2073864341942353,8.423968285018438,0.0026641148963709753,16.79012659735702,1.2286643616734592,0.30482783725111917,-2257.2670151246257,55.78077007629739,0.12808051038523097,330.8853108347322,-115.27363896925765
2025-01-01 02:00:00,1.7873683531899751,0.26517671462811304,0.12284864864864864,1.7873683531899751,0.265176714628113,0.12284864864864865,0.02145498183762435,1.2249493231111113,0.3666757669912396,0.12428828125000001,0.05,0.12284864864864864,0.0,0.0,0.2505933812947797,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032467297149122803,0.0,0.018208252122712074,0.0,0.03255125859819992,0.0,0.3341245083930397,0.2505933812947797,2692.870441150729,18.33333333333337,0.23125000000000004,761.731411210382,3.6003389957957954,0.12428828125000001,0.25,3330.3135711111113,13321.254284444445,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8850.454484444444,1224.9493231111112,0.35,22.62765492092635,51.66666666666668,46.10666666666668,0.0,51.254580501823895,0.38432056977968826,1030.9506951172084,1224.9493231111112,22.62765492092635,50.148204668109834,51.25733020714439,49.59226704593231,12.43753247303448,18.062717812869582,-0.048222338060060585,9.03156843832072,0.8306024563508988,1.6500000000000001,9.236100170605994,2404.164193851046,-1280.1293294167458,-27.406016104330043,-672.4383764206488,0.0,0.0,430.74164746357343,0.0,1.0,0.031286173525547335,0.0,0.0,0.404875697044311,65.99961422222222,-47.009518342607635,0.21271520417644174,8.261458722779528,0.002672737355759317,34.83465714799388,1.2302088869839898,0.2167560590186836,-2086.5062990384367,44.64555841130865,0.07823286900147026,92.247717176848,-119.65373328117805
2025-01-01 03:00:00,0.5454852262084872,0.23839498257873054,0.14741837837837837,0.5454852262084872,0.23839498257873054,0.14741837837837837,0.02127948293411558,0.0,0.3250598057743716,0.14914593750000002,0.05,0.14741837837837837,0.0,0.0,0.22381164924539718,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003071230811403509,0.0,0.018208252122712074,0.0,0.026644273447175224,0.0,0.29841553232719636,0.22381164924539718,3231.444529380875,18.33333333333337,0.2775,914.0776934524584,4.3204067949549545,0.14914593750000002,0.3,3996.3762853333333,13321.254284444445,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8850.454484444444,0.0,0.0,23.579860863436068,51.66666666666668,46.10666666666668,0.0,51.531529904636415,0.0,0.0,0.0,23.579860863436068,51.543918861239085,51.55011333954043,51.531529904636415,12.43753247303448,18.06037421841447,-0.05278574162483748,8.941413157882634,0.5613029280747226,1.6500000000000001,9.236100170605994,2881.3080339156195,-1492.5713074548196,34.26872746305421,-684.2012363473016,0.0,0.0,391.44981566780564,0.0,1.0,0.03184867942846749,0.0,0.0,0.41215510976476927,65.99961422222222,-57.38507478575984,0.21350217350701337,8.271449853435039,0.002682242656280675,21.551546346212792,1.2302118210294897,0.26249608893693144,-2453.6110676356143,46.962066728336175,0.10011750241455696,164.97547965874188,-130.70675219568767
2025-01-01 04:00:00,0.5454852262084872,0.23839498257873054,0.14741837837837837,0.5454852262084872,0.23839498257873054,0.14741837837837837,0.02127948293411558,0.0,0.3250598057743716,0.14914593750000002,0.05,0.14741837837837837,0.0,0.0,0.22381164924539718,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003071230811403509,0.0,0.018208252122712074,0.0,0.026644273447175224,0.0,0.29841553232719636,0.22381164924539718,3231.444529380875,18.33333333333337,0.2775,914.0776934524584,4.3204067949549545,0.14914593750000002,0.3,3996.3762853333333,13321.254284444445,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8850.454484444444,0.0,0.0,23.461162225760862,51.66666666666668,46.10666666666668,0.0,51.32195446150972,0.0,0.0,0.0,23.461162225760862,51.34587194655697,51.3578306890806,51.32195446150972,12.43753247303448,18.03053773764885,-0.060699434783113716,8.640192978979472,0.6699877330683712,0.55,9.236100170605994,2805.3635343755645,-1385.105612190411,-71.90226665375403,-760.0958894457493,0.0,0.0,391.44981566780564,0.0,1.0,0.03297458031665062,0.0,0.0,0.4267254408579508,65.99961422222222,-57.4349212273669,0.21418818332210462,8.259371345029916,0.00268709783106051,36.25169704097252,1.2297569130763009,0.2384772303270452,-2348.911850006702,49.72854436383214,0.09383277295928501,57.54120275898721,-129.44346941274125
2025-01-01 05:00:00,0.5673764390526244,0.23949014634283167,0.16379819819819819,0.5673764390526244,0.23949014634283167,0.16379819819819819,0.02350485963611819,0.0,0.32815387108317284,0.16571770833333332,0.05,0.16379819819819819,0.0,0.0,0.22490681300949833,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034222286184210525,0.0,0.020082631017697136,0.0,0.02827812040384163,0.0,0.2998757506793312,0.22490681300949833,3590.4939215343056,18.33333333333337,0.3083333333333334,1015.6418816138428,4.800451994394394,0.16571770833333332,0.3333333333333333,4440.418094814815,13321.254284444445,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8850.454484444444,0.0,0.0,23.195746615126932,51.66666666666668,46.10666666666668,0.0,51.08629079251077,0.06906458501926012,185.32195274765527,0.0,23.195746615126932,50.966927889255665,51.12534871488736,50.868188515251525,12.43753247303448,18.020035329695194,-0.0625434360060766,8.860579816223217,-0.23705714034453695,-0.25000000000000006,9.236100170605994,3122.8585511216893,-1416.5697982750396,-119.88803118327559,-806.4617346743827,0.0,0.0,396.6670423939601,0.0,1.0,0.03349292885697335,0.0,0.0,0.4334334112782931,65.99961422222222,-57.8406781321939,0.21540823956072275,8.267965725169098,0.002702058105425292,39.78207949863433,1.2291729684435735,0.21244996600572158,-2478.9283827773716,46.716702888489365,0.07310529364732968,35.55813832937357,-155.44616951264916
2025-01-01 06:00:00,2.0047507538398985,0.3080872221124396,0.13922846846846848,2.0047507538398985,0.30808722211243955,0.13922846846846848,0.13238981439045466,1.1666184029629632,0.5148824844031477,0.14086005208333333,0.05,0.13922846846846848,0.0,0.0,0.29350388877910627,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038609758771929823,0.0,0.1285288385132617,0.0,0.12354396603100587,0.0,0.3913385183721418,0.29350388877910627,3051.9198333041595,18.33333333333337,0.2620833333333334,863.2955993717662,4.080384195235235,0.14086005208333333,0.2833333333333333,3774.3553805925926,13321.254284444445,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8850.454484444444,1166.618402962963,0.3333333333333333,22.24365700943043,51.66666666666668,46.10666666666668,0.0,51.08159865098812,0.47538252766675915,1276.3854829578004,1166.618402962963,22.24365700943043,49.620673923282204,51.08159865098812,48.890211559429254,12.43753247303448,18.070169837267407,-0.05000459476774447,8.368787492758823,-0.5048171876533244,0.3,9.236100170605994,2898.1895383534998,-1714.1694464318302,-35.469453819757526,-774.068103228501,0.0,0.0,684.7727231915525,0.0,0.98325,0.033143490528576035,0.0,0.0,0.42891131506642055,64.894120684,-64.43491491371162,0.21522739548901626,8.298962806054544,0.0027083148762892316,18.315652171576726,1.2289567611956462,0.24840794548895156,-2629.84908549057,52.38403968697343,0.09123874544011228,99.93530790489244,-135.40476172464997
2025-01-01 07:00:00,0.9957575910393839,0.23839498257873054,0.1883679279279279,0.9957575910393838,0.23839498257873054,0.18836792792792792,0.021805979644641895,0.40831644103703707,0.3250598057743716,0.19057536458333335,0.05,0.1883679279279279,0.0,0.0,0.22381164924539718,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035977275219298247,0.0,0.018208252122712074,0.0,0.026644273447175224,0.0,0.29841553232719636,0.22381164924539718,4129.068009764452,18.33333333333337,0.35458333333333336,1167.988163855919,5.520519793553553,0.19057536458333335,0.38333333333333336,5106.480809037037,13321.254284444445,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8850.454484444444,408.31644103703707,0.11666666666666667,23.569386527782843,51.66666666666668,46.10666666666668,0.0,51.58499785687361,0.0,0.0,408.31644103703707,23.569386527782843,51.49010475983819,51.591757298735395,51.435898769458696,12.43753247303448,18.052408319114168,-0.05009162083078517,8.214657817172817,-0.7515205482603418,-0.55,9.236100170605994,3556.8329000358303,-1696.0465292977217,-117.15828483040342,-836.5629948376529,0.0,0.0,325.97669815610976,4.309758276737765,0.0,0.0341033592796102,0.0,0.0,0.4413330172387451,0.0,-61.64881304707794,0.21543711372170202,8.29020488406979,0.0027079962847051564,-15.38353210669866,1.229031814856967,0.2518518306659312,-2916.8102027764166,52.77550962277561,0.08760760880602586,20.50858215140653,-137.66686698180996
2025-01-01 08:00:00,0.5451342284014696,0.23839498257873054,0.14741837837837837,0.5451342284014696,0.23839498257873054,0.14741837837837837,0.020928485127098037,0.0,0.3250598057743716,0.14914593750000002,0.05,0.14741837837837837,0.0,0.0,0.22381164924539718,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002720233004385965,0.0,0.018208252122712074,0.0,0.026644273447175224,0.0,0.29841553232719636,0.22381164924539718,3231.444529380875,18.33333333333337,0.2775,914.0776934524584,4.3204067949549545,0.14914593750000002,0.3,3996.3762853333333,13321.254284444445,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8850.454484444444,0.0,0.0,23.589876208371905,51.66666666666668,46.10666666666668,0.0,51.50405446965642,0.0,0.0,0.0,23.589876208371905,51.52014281414704,51.52818698639237,51.50405446965642,12.43753247303448,18.02226721178212,-0.05586566801631605,7.645524307385611,-1.1627670709625755,-1.4,9.236100170605994,2658.745783719237,-2226.617817502782,-100.82179839618887,-903.2932759731464,0.0,0.0,325.09920363856594,277.471688256422,0.0,0.03517267528019476,0.0,0.0,0.45517108090427383,0.0,5.495326672943028,0.21593678696529903,8.279604226961249,0.002707910569515046,17.212806536978647,1.2297362522598545,0.26747506137643595,-3198.6304289939403,57.934918038699294,0.09197264095626266,34.1694325145928,-134.99123091078167
2025-01-01 09:00:00,0.5446077316909433,0.23839498257873054,0.14741837837837837,0.5446077316909433,0.23839498257873054,0.14741837837837837,0.02040198841657172,0.0,0.3250598057743716,0.14914593750000002,0.05,0.14741837837837837,0.0,0.0,0.22381164924539718,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021937362938596492,0.0,0.018208252122712074,0.0,0.026644273447175224,0.0,0.29841553232719636,0.22381164924539718,3231.444529380875,18.33333333333337,0.2775,914.0776934524584,4.3204067949549545,0.14914593750000002,0.3,3996.3762853333333,13321.254284444445,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8850.454484444444,0.0,0.0,23.45614030951722,51.66666666666668,46.10666666666668,0.0,51.294402220514094,0.0,0.0,0.0,23.45614030951722,51.321990542772156,51.33578470390119,51.294402220514094,12.43753247303448,18.013678985796677,-0.060391625245274486,7.493932825911147,-0.9537241819164777,-0.85,9.236100170605994,2813.9475759250313,-1939.1497572331793,-50.14599994986762,-860.6434770051256,0.0,0.0,324.5727069280396,723.0798860497282,0.0,0.03453265479871273,0.0,0.0,0.4468885487387128,0.0,118.57381662124187,0.21694996098257394,8.290940510997496,0.0027177762431102423,51.7797403401358,1.2303826055839342,0.26402993723840523,-2910.6684477876233,57.44099710198539,0.09599683512190124,14.114248187815987,-64.26024813768362
