Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Well Pump Electric Power (kW),Well Pump Reactive Power (kVAR),Well Pump Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.3067550533746325,0.09139998530307993,0.0,0.0051125842229105415,0.0015233330883846655,0.0,0.04357248950608646,0.263182563868546,0.0,0.0,0.0,0.0,0.09139998530307993,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.040062511435911025,0,On,0.03398216022653686,0,On,0.08855513411237054,0.06641635058427789,On,0.03122151798087189,0,On,0.03965827959191662,0,On,0.03645395899844736,0,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10522.718244444444,Off,0.0,0,93.73289227957841,51.666666666666686,46.10666666666668,0.0,49.44777000487369,0.0,0.0,0.0,146.45764418684126,49.51358745761459,49.54649618398505,49.44777000487369,12.43753247303448,18.03749200304927,0.0,-0.7532553704131797,2.8,9.236100170605994,-1108.982685982292,577.0665628004213,-1240.1290518175517,-0.0,-0.0,259.2220516377529,0.0,1.0,0.06245047399272008,0.0,0,0.8081742296769996,65.99961422222222,-128.07568580249315,0.21927314330923925,8.328817723742354,0.0027598478683691866,-27.185415451566424,1.2266659836637108,0.17202143580069001,796.5749432124182,-219.50838041199694
2025-01-01 00:01:00,0.3067550533746325,0.09139998530307993,0.0,0.0051125842229105415,0.0015233330883846655,0.0,0.04357248950608646,0.263182563868546,0.0,0.0,0.0,0.0,0.09139998530307993,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.040062511435911025,0,On,0.03398216022653686,0,On,0.08855513411237054,0.06641635058427789,On,0.03122151798087189,0,On,0.03965827959191662,0,On,0.03645395899844736,0,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10522.718244444444,Off,0.0,0,94.02424361523539,51.666666666666686,46.10666666666668,0.0,49.49411514917397,0.0,0.0,0.0,146.9128806488053,49.49411514917397,49.49411514917398,49.49411514917397,12.43753247303448,17.922178537326626,0.0,-0.6957578520890456,2.8,9.236100170605994,-1095.380625364759,562.2269872264799,-1227.4001686673062,-0.0,-0.0,259.2220516377529,0.0,1.0,0.062280797571106945,0.0,0,0.8059784399165002,65.99961422222222,-127.20250833520569,0.2215047224762176,8.296940567037764,0.0027597180124223136,-26.941602721561292,1.2307367156171887,0.17168679271876167,782.1605028723473,-219.93351564586743
2025-01-01 00:02:00,0.3067550533746325,0.09139998530307993,0.0,0.0051125842229105415,0.0015233330883846655,0.0,0.04357248950608646,0.263182563868546,0.0,0.0,0.0,0.0,0.09139998530307993,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.040062511435911025,0,On,0.03398216022653686,0,On,0.08855513411237054,0.06641635058427789,On,0.03122151798087189,0,On,0.03965827959191662,0,On,0.03645395899844736,0,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10522.718244444444,Off,0.0,0,94.29980084830697,51.666666666666686,46.10666666666668,0.0,49.4734009987026,0.0,0.0,0.0,147.34343882547964,49.47458231466897,49.47517297265217,49.4734009987026,12.43753247303448,17.81008197771762,0.0,-0.6402756649825833,2.8,9.236100170605994,-1082.4028190008858,548.2852428493354,-1215.073875322169,-0.0,-0.0,259.2220516377529,0.0,1.0,0.06211578346635855,0.0,0,0.8038429853960682,65.99961422222222,-126.55099531646977,0.22306365118015298,8.244000983696958,0.0027595897467440123,-26.704233206003817,1.2312109699590257,0.17136325958591042,768.2960667703416,-220.01082392100608
2025-01-01 00:03:00,0.3067550533746325,0.09139998530307993,0.0,0.0051125842229105415,0.0015233330883846655,0.0,0.04357248950608646,0.263182563868546,0.0,0.0,0.0,0.0,0.09139998530307993,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.040062511435911025,0,On,0.03398216022653686,0,On,0.08855513411237054,0.06641635058427789,On,0.03122151798087189,0,On,0.03965827959191662,0,On,0.03645395899844736,0,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10522.718244444444,Off,0.0,0,94.56605434669746,51.666666666666686,46.10666666666668,0.0,49.45262695848183,0.0,0.0,0.0,147.75945991671477,49.454992235206475,49.4561748735688,49.45262695848183,12.43753247303448,17.701052148338718,0.0,-0.5865254881876208,2.8,9.236100170605994,-1070.0428464879815,535.306395298589,-1203.1297746714135,-0.0,-0.0,259.2220516377529,0.0,1.0,0.06195521782003775,0.0,0,0.8017650985646083,65.99961422222222,-126.13512345432083,0.22459159285384608,8.192013924981957,0.002759462660124759,-26.472943075913772,1.2316726021129034,0.17104924272774594,754.9064852753226,-219.60008997673341
2025-01-01 00:04:00,0.3067550533746325,0.09139998530307993,0.0,0.0051125842229105415,0.0015233330883846655,0.0,0.04357248950608646,0.263182563868546,0.0,0.0,0.0,0.0,0.09139998530307993,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.040062511435911025,0,On,0.03398216022653686,0,On,0.08855513411237054,0.06641635058427789,On,0.03122151798087189,0,On,0.03965827959191662,0,On,0.03645395899844736,0,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10522.718244444444,Off,0.0,0,94.82342082361426,51.666666666666686,46.10666666666668,0.0,49.431795080014545,0.0,0.0,0.0,148.16159503689727,49.43534684356787,49.43712272534454,49.431795080014545,12.43753247303448,17.59495105945154,0.0,-0.5342564963991376,2.8,9.236100170605994,-1056.7781237428117,523.0171337956558,-1191.549141181255,-0.0,-0.0,259.2220516377529,0.0,1.0,0.06179890402796706,0.0,0,0.7997422351591305,65.99961422222222,-124.45103419930989,0.22608961923834078,8.141561559552303,0.002759336721445042,-26.247466624565572,1.2321221680684529,0.1707433253215355,741.9256626029282,-218.90852880727243
2025-01-01 00:05:00,0.3067550533746325,0.09139998530307993,0.0,0.0051125842229105415,0.0015233330883846655,0.0,0.04357248950608646,0.263182563868546,0.0,0.0,0.0,0.0,0.09139998530307993,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.040062511435911025,0,On,0.03398216022653686,0,On,0.08855513411237054,0.06641635058427789,On,0.03122151798087189,0,On,0.03965827959191662,0,On,0.03645395899844736,0,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10522.718244444444,Off,0.0,0,95.07217522214482,51.666666666666686,46.10666666666668,0.0,49.410907322916856,0.0,0.0,0.0,148.55027378460127,49.415647985965514,49.41801831748985,49.410907322916856,12.43753247303448,17.491688238928955,0.0,-0.48326550825084474,2.8,9.236100170605994,-1042.5700990295982,511.3322006396522,-1180.3187175674411,-0.0,-0.0,259.2220516377529,0.0,1.0,0.06164671490202149,0.0,0,0.7977727492327208,65.99961422222222,-121.4734330999099,0.22755818921795312,8.092597274868066,0.002759211900975508,-26.027627976916175,1.2325600247188162,0.17044435865936922,729.3001246814536,-217.96792404180133
2025-01-01 00:06:00,0.3067550533746325,0.09139998530307993,0.0,0.0051125842229105415,0.0015233330883846655,0.0,0.04357248950608646,0.263182563868546,0.0,0.0,0.0,0.0,0.09139998530307993,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.040062511435911025,0,On,0.03398216022653686,0,On,0.08855513411237054,0.06641635058427789,On,0.03122151798087189,0,On,0.03965827959191662,0,On,0.03645395899844736,0,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10522.718244444444,Off,0.0,0,95.31257029423533,51.666666666666686,46.10666666666668,0.0,49.389965586154666,0.0,0.0,0.0,148.9258910847427,49.39589745149439,49.39886338416426,49.389965586154666,12.43753247303448,17.391180608868638,0.0,-0.43338071578015414,2.8,9.236100170605994,-1028.4070857556658,500.16433803781797,-1169.426270929137,-0.0,-0.0,259.2220516377529,0.0,1.0,0.061498533668793265,0.0,0,0.795855129615762,65.99961422222222,-118.20286646428144,0.2289977033136103,8.044439686964658,0.002759088169924082,-25.813265152194713,1.2329864993307076,0.17015136943120285,716.9847929748261,-216.8204549370081
2025-01-01 00:07:00,0.3067550533746325,0.09139998530307993,0.0,0.0051125842229105415,0.0015233330883846655,0.0,0.04357248950608646,0.263182563868546,0.0,0.0,0.0,0.0,0.09139998530307993,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.040062511435911025,0,On,0.03398216022653686,0,On,0.08855513411237054,0.06641635058427789,On,0.03122151798087189,0,On,0.03965827959191662,0,On,0.03645395899844736,0,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10522.718244444444,Off,0.0,0,95.54491538975523,51.666666666666686,46.10666666666668,0.0,49.368971712935,0.0,0.0,0.0,149.28893029649254,49.37609697674214,49.37965960864571,49.368971712935,12.43753247303448,17.293326034003037,0.0,-0.38445825999808825,2.8,9.236100170605994,-1014.6828165350647,489.43708024192244,-1158.8577186305668,-0.0,-0.0,259.2220516377529,0.0,1.0,0.06135421499827522,0.0,0,0.7939874955864746,65.99961422222222,-115.04714954225092,0.23040888446555507,7.997680111938587,0.0027589655003627247,-25.60418003440679,1.2334020017012457,0.16986354147961813,704.9420013132343,-215.50492107131186
2025-01-01 00:08:00,0.3067550533746325,0.09139998530307993,0.0,0.0051125842229105415,0.0015233330883846655,0.0,0.04357248950608646,0.263182563868546,0.0,0.0,0.0,0.0,0.09139998530307993,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.040062511435911025,0,On,0.03398216022653686,0,On,0.08855513411237054,0.06641635058427789,On,0.03122151798087189,0,On,0.03965827959191662,0,On,0.03645395899844736,0,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10522.718244444444,Off,0.0,0,95.76953128684902,51.666666666666686,46.10666666666668,0.0,49.3479274782393,0.0,0.0,0.0,149.63989263570159,49.35624823403128,49.36040861192727,49.3479274782393,12.43753247303448,17.198018477264213,0.0,-0.3363784676099335,2.8,9.236100170605994,-1001.4625760236773,479.08601864847657,-1148.5987833718507,-0.0,-0.0,259.2220516377529,0.0,1.0,0.061213607347891504,0.0,0,0.7921678860259644,65.99961422222222,-112.0858442895795,0.23179256410475468,7.952262647839363,0.0027588438654033345,-25.400167101964453,1.2338069599612511,0.16958019523276177,693.1404539617273,-214.05443531325074
2025-01-01 00:09:00,0.3067550533746325,0.09139998530307993,0.0,0.0051125842229105415,0.0015233330883846655,0.0,0.04357248950608646,0.263182563868546,0.0,0.0,0.0,0.0,0.09139998530307993,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.040062511435911025,0,On,0.03398216022653686,0,On,0.08855513411237054,0.06641635058427789,On,0.03122151798087189,0,On,0.03965827959191662,0,On,0.03645395899844736,0,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10522.718244444444,Off,0.0,0,95.98672667096919,51.666666666666686,46.10666666666668,0.0,49.32683458630851,0.0,0.0,0.0,149.97926042338935,49.33635282904506,49.34111195041335,49.32683458630851,12.43753247303448,17.105155895343795,0.0,-0.28904238833613316,2.8,9.236100170605994,-988.7214655682557,469.05674180048595,-1138.6358365507597,-0.0,-0.0,259.2220516377529,0.0,1.0,0.06107656463644286,0.0,0,0.7903944104912427,65.99961422222222,-109.30768065524879,0.2331495661072288,7.907503413276044,0.002758723239230463,-25.201028399444848,1.2342017869835418,0.16930076860447557,681.5542801098024,-212.49753830931647
