occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,cooking_range,hot_water_fixtures,electric_vehicle_charging,electric_vehicle_discharging,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.596,0.0357,0.316,0.0678,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.596,0.0357,0.316,0.0678,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.596,0.0357,0.316,0.0678,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.582,0.0278,0.358,0.0604,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.575,0.0161,0.379,0.0493,0.0,0.0,0.0,0.0818,1.0,0,0,0,0,0
1.0,0.596,0.0164,0.316,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.9,0.582,0.0162,0.358,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.85,0.575,0.0171,0.379,0.0499,0.0,0.0,0.0,0.127,1.0,0,0,0,0,0
1.0,0.596,0.019,0.316,0.0507,0.0,0.0,0.0,0.19,1.0,0,0,0,0,0
1.0,0.596,0.019,0.316,0.0507,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.596,0.019,0.316,0.0507,0.0,0.0,0.0,0.0633,1.0,0,0,0,0,0
1.0,0.596,0.0208,0.316,0.0603,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.596,0.0235,0.316,0.0746,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.596,0.0235,0.316,0.0746,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.596,0.0235,0.316,0.0746,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.618,0.0322,0.274,0.125,0.0,0.0,0.0,0.382,1.0,0,0,0,0,0
0.9,0.633,0.0394,0.253,0.171,0.0,0.0,0.0,0.253,1.0,0,0,0,0,0
0.75,0.624,0.0365,0.274,0.156,0.0,0.0,0.0,0.101,1.0,0,0,0,0,0
0.75,0.651,0.0453,0.211,0.201,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.686,0.0597,0.168,0.26,0.0,0.0,0.0,0.0633,1.0,0,0,0,0,0
0.75,0.739,0.0813,0.105,0.348,0.0,0.0,0.0,0.292,1.0,0,0,0,0,0
0.65,0.715,0.0726,0.147,0.308,0.0,0.0,0.0,0.241,0,0.4,0,0,0,0
0.5,0.68,0.0595,0.211,0.248,0.0,0.0,0.0,0.19,0,1.0,0,0,0,0
0.5,0.684,0.0641,0.211,0.254,0.0,0.0,0.0,0.113,0,1.0,0,0,0,0
0.4,0.664,0.06,0.253,0.22,0.0,0.0,0.0,0.24,0,0.667,0,0,0,0
0.25,0.626,0.0435,0.316,0.156,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0435,0.316,0.156,0.0,0.0,0.0,0.304,0,0,0,0,0,0
0.25,0.626,0.0458,0.316,0.157,0.0,0.0,0.4,0.118,0,0,0,0,0,0
0.25,0.626,0.0493,0.316,0.159,0.0,0.0,1.0,0.0633,0,0,0,0,0,0
0.25,0.626,0.0493,0.316,0.159,0.0,0.0,1.0,0.239,0,0,0,0,0,0
0.25,0.626,0.0493,0.316,0.159,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0511,0.316,0.158,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0538,0.316,0.156,0.0,0.0,1.0,0.0633,0,0,0,0,0,0
0.25,0.626,0.0538,0.316,0.156,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0538,0.316,0.156,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0556,0.316,0.154,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.35,0.651,0.0753,0.274,0.192,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.5,0.69,0.101,0.211,0.253,0.0,0.0,1.0,0.127,0,0,0,0,0,0
0.5,0.69,0.101,0.211,0.253,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.4,0.664,0.0848,0.253,0.211,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0609,0.316,0.148,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0609,0.316,0.148,0.0,0.0,1.0,0.127,0,0,0,0,0,0
