Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,6.705299175085098,0.16909493176430604,0.0,0.11175498625141829,0.002818248862738434,0.0,0.014667858921689293,0.23694181872751083,6.453689497435898,0.0,0.0,0.16909493176430604,0.0,1,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.011255742693619118,0,On,0.011481909708436055,0,On,0.18581751487041906,0.13936313615281426,On,0,0,Off,On,6453.6894974358975,25.5555555555556,1.0,0.0,6.347920266666667,0.10576923076923077,1,6347.920266666667,6347.920266666667,Off,0.0,0,73.66446797371644,51.666666666666686,46.10666666666668,0.0,51.68083827382776,0.0,0.0,0.0,115.10073120893193,51.144276473513244,51.68083827382776,50.87599557335599,12.43753247303448,23.706087671595615,-1.349467883959985,2.8,5190.925533639177,-1784.506632036357,-0.0,-49.961870847121496,634.6001369416041,0.0,6.0,0.06549795599262559,0.0,0.001833784396934276,0.9402540309629129,395.9976853333333,-62.895597854845704,0.185904451447083,11.483859280061505,0.003319476844537058,104.93859905787914,1.2028362456784536
2025-01-01 00:01:00,6.705299175085098,0.16909493176430604,0.0,0.11175498625141829,0.002818248862738434,0.0,0.014667858921689293,0.23694181872751083,6.453689497435898,0.0,0.0,0.16909493176430604,0.0,1,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.011255742693619118,0,On,0.011481909708436055,0,On,0.18581751487041906,0.13936313615281426,On,0,0,Off,On,6453.6894974358975,25.5555555555556,1.0,0.0,6.347920266666667,0.10576923076923077,1,6347.920266666667,6347.920266666667,Off,0.0,0,73.54362137335187,51.666666666666686,46.10666666666668,0.0,51.664272071375954,0.0,0.0,0.0,114.91190839586228,51.128973230365474,51.664272071375954,50.86132380986024,12.43753247303448,23.735785218513094,-1.319770337042506,2.8,5176.5026617514295,-1788.1146576499016,-0.0,-51.57403453544292,634.6001369416041,0.0,6.0,0.0655372866768462,0.0,0.0018902715617091432,0.941592079233089,395.9976853333333,-72.09828044072769,0.18614524171906088,11.523263350512037,0.0033200284607869785,104.52672632272964,1.2062288137178503
2025-01-01 00:02:00,6.705299175085098,0.16909493176430604,0.0,0.11175498625141829,0.002818248862738434,0.0,0.014667858921689293,0.23694181872751083,6.453689497435898,0.0,0.0,0.16909493176430604,0.0,1,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.011255742693619118,0,On,0.011481909708436055,0,On,0.18581751487041906,0.13936313615281426,On,0,0,Off,On,6453.6894974358975,25.5555555555556,1.0,0.0,6.347920266666667,0.10576923076923077,1,6347.920266666667,6347.920266666667,Off,0.0,0,73.42476339358068,51.666666666666686,46.10666666666668,0.0,51.647733286465275,0.0,0.0,0.0,114.72619280246981,51.11369509219653,51.647733286465275,50.846675995062164,12.43753247303448,23.764766790423174,-1.290788765132426,2.8,5162.139264143967,-1791.638452138123,-0.0,-53.148153992759724,634.6001369416041,0.0,6.0,0.06557566252453133,0.0,0.0019452727227816534,0.9428960423918556,395.9976853333333,-81.36376410265231,0.1858513421519147,11.536027894169255,0.003320576366648248,104.12280243142817,1.2061106766160496
2025-01-01 00:03:00,6.705299175085098,0.16909493176430604,0.0,0.11175498625141829,0.002818248862738434,0.0,0.014667858921689293,0.23694181872751083,6.453689497435898,0.0,0.0,0.16909493176430604,0.0,1,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.011255742693619118,0,On,0.011481909708436055,0,On,0.18581751487041906,0.13936313615281426,On,0,0,Off,On,6453.6894974358975,25.5555555555556,1.0,0.0,6.347920266666667,0.10576923076923077,1,6347.920266666667,6347.920266666667,Off,0.0,0,73.30782502490123,51.666666666666686,46.10666666666668,0.0,51.63122147953468,0.0,0.0,0.0,114.54347660140817,51.09844164588534,51.63122147953468,50.83205172906067,12.43753247303448,23.79305769294055,-1.2624978626150494,2.8,5147.863655809534,-1795.080893386654,-0.0,-54.68554415246166,634.6001369416041,0.0,6.0,0.06561311751624165,0.0,0.001998845315625688,0.9441671970183491,395.9976853333333,-90.65954102885163,0.18556556940245159,11.548427921812618,0.0033211222086896187,103.7262089087466,1.2059953691319396
2025-01-01 00:04:00,6.705299175085098,0.16909493176430604,0.0,0.11175498625141829,0.002818248862738434,0.0,0.014667858921689293,0.23694181872751083,6.453689497435898,0.0,0.0,0.16909493176430604,0.0,1,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.011255742693619118,0,On,0.011481909708436055,0,On,0.18581751487041906,0.13936313615281426,On,0,0,Off,On,6453.6894974358975,25.5555555555556,1.0,0.0,6.347920266666667,0.10576923076923077,1,6347.920266666667,6347.920266666667,Off,0.0,0,73.1927384044803,51.666666666666686,46.10666666666668,0.0,51.61473622624304,0.0,0.0,0.0,114.36365375700045,51.08321249264702,51.61473622624304,50.81745062584903,12.43753247303448,23.820682818690983,-1.2348727368646166,2.8,5138.269423772157,-1798.444823114651,-0.0,-56.187501724143964,634.6001369416041,0.0,6.0,0.06564968505277581,0.0,0.0020510452946251967,0.9454067909129403,395.9976853333333,-95.38788576654986,0.18528760703282984,11.560476510908305,0.003321666023662493,103.33667741839969,1.2058827885462895
2025-01-01 00:05:00,6.705299175085098,0.16909493176430604,0.0,0.11175498625141829,0.002818248862738434,0.0,0.014667858921689293,0.23694181872751083,6.453689497435898,0.0,0.0,0.16909493176430604,0.0,1,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.011255742693619118,0,On,0.011481909708436055,0,On,0.18581751487041906,0.13936313615281426,On,0,0,Off,On,6453.6894974358975,25.5555555555556,1.0,0.0,6.347920266666667,0.10576923076923077,1,6347.920266666667,6347.920266666667,Off,0.0,0,73.0791066087648,51.666666666666686,46.10666666666668,0.0,51.59827711721592,0.0,0.0,0.0,114.186104076195,51.068007247794725,51.59827711721592,50.80287231308413,12.43753247303448,23.847789713826206,-1.207765841729394,2.8,5132.38041022345,-1801.7480482873711,-0.0,-57.66200086576299,634.6001369416041,0.0,6.0,0.06568556082151188,0.0,0.002102158994182546,0.9466215552683689,395.9976853333333,-96.499175000917,0.18501577681196668,11.57301808182074,0.0033222078469822753,102.95273243678017,1.205772334296868
2025-01-01 00:06:00,6.705299175085098,0.16909493176430604,0.0,0.11175498625141829,0.002818248862738434,0.0,0.014667858921689293,0.23694181872751083,6.453689497435898,0.0,0.0,0.16909493176430604,0.0,1,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.011255742693619118,0,On,0.011481909708436055,0,On,0.18581751487041906,0.13936313615281426,On,0,0,Off,On,6453.6894974358975,25.5555555555556,1.0,0.0,6.347920266666667,0.10576923076923077,1,6347.920266666667,6347.920266666667,Off,0.0,0,72.96661826463836,51.666666666666686,46.10666666666668,0.0,51.58184383053943,0.0,0.0,0.0,114.01034103849743,51.05282560909946,51.58184383053943,50.78831649837948,12.43753247303448,23.87449412289928,-1.1810614326563211,2.8,5127.683199994855,-1805.004551438202,-0.0,-59.11530107650455,634.6001369416041,0.0,6.0,0.06572089829868931,0.0,0.0021524104672477158,0.9478167620906771,395.9976853333333,-96.48658186793986,0.1847487652044378,11.584575947929306,0.003322747706619401,102.57321791392516,1.2056635353797005
2025-01-01 00:07:00,6.705299175085098,0.16909493176430604,0.0,0.11175498625141829,0.002818248862738434,0.0,0.014667858921689293,0.23694181872751083,6.453689497435898,0.0,0.0,0.16909493176430604,0.0,1,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.011255742693619118,0,On,0.011481909708436055,0,On,0.18581751487041906,0.13936313615281426,On,0,0,Off,On,6453.6894974358975,25.5555555555556,1.0,0.0,6.347920266666667,0.10576923076923077,1,6347.920266666667,6347.920266666667,Off,0.0,0,72.85515525436777,51.666666666666686,46.10666666666668,0.0,51.56543611290965,0.0,0.0,0.0,113.83618008494965,51.0376673390177,51.56543611290965,50.773782952071734,12.43753247303448,23.900839829829035,-1.1547157257265646,2.8,5123.179084199517,-1808.2195725012477,-0.0,-60.5497554182981,634.6001369416041,0.0,6.0,0.0657557556578642,0.0,0.002201886863176459,0.948994440741543,395.9976853333333,-96.3412222584386,0.18448606542865376,11.59671044649346,0.00332328562470993,102.19769078302858,1.2055562131965818
2025-01-01 00:08:00,6.705299175085098,0.16909493176430604,0.0,0.11175498625141829,0.002818248862738434,0.0,0.014667858921689293,0.23694181872751083,6.453689497435898,0.0,0.0,0.16909493176430604,0.0,1,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.011255742693619118,0,On,0.011481909708436055,0,On,0.18581751487041906,0.13936313615281426,On,0,0,Off,On,6453.6894974358975,25.5555555555556,1.0,0.0,6.347920266666667,0.10576923076923077,1,6347.920266666667,6347.920266666667,Off,0.0,0,72.7446759322903,51.666666666666686,46.10666666666668,0.0,51.54905373705478,0.0,0.0,0.0,113.6635561442036,51.02253222454401,51.54905373705478,50.759271468288624,12.43753247303448,23.926842142331022,-1.1287134132245775,2.8,5118.699045265606,-1811.3948891258053,-0.0,-61.96617030493953,634.6001369416041,0.0,6.0,0.06579015336612294,0.0,0.0022506212600835736,0.9501553389528827,395.9976853333333,-96.22952968115035,0.18422748941645598,11.607890328574578,0.003323821621159565,101.82598991176894,1.205450304837203
2025-01-01 00:09:00,6.705299175085098,0.16909493176430604,0.0,0.11175498625141829,0.002818248862738434,0.0,0.014667858921689293,0.23694181872751083,6.453689497435898,0.0,0.0,0.16909493176430604,0.0,1,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003412116228070175,0.0,On,0.011255742693619118,0,On,0.011481909708436055,0,On,0.18581751487041906,0.13936313615281426,On,0,0,Off,On,6453.6894974358975,25.5555555555556,1.0,0.0,6.347920266666667,0.10576923076923077,1,6347.920266666667,6347.920266666667,Off,0.0,0,72.63515229224518,51.666666666666686,46.10666666666668,0.0,51.532696484886756,0.0,0.0,0.0,113.49242545663309,51.00742006132449,51.532696484886756,50.74478184954336,12.43753247303448,23.952511293398807,-1.1030442621567929,2.8,5114.250491191518,-1814.5316649948365,-0.0,-63.36507743590334,634.6001369416041,0.0,6.0,0.06582410516384801,0.0,0.0022986369438023242,0.9512999737772542,395.9976853333333,-96.14240075524364,0.18397290656538354,11.619661696413623,0.0033243557150690966,101.45800478954288,1.2053457680339528
