Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.41767556503698966,0.19621447433818145,0.3970686274509803,0.41767556503698966,0.19621447433818145,0.39706862745098037,0.12357625460329101,0.0,0.29409931043369864,0.0,0.3970686274509803,0.0,0.0,0.19621447433818145,0.0,1.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.024126206140350874,0.0,0.0048613496345699826,0.0,0.09458869882837015,0.0,0.032480011316123346,0.0,0.2219769049689196,0.16648267872668968,0.0,0.0,7913.11538074074,15.000000000000057,0.2266666666666667,0.0,11.636934383442263,0.0,0.3333333333333333,7913.11538074074,23739.34614222222,0.0,0.0,39.874733658313716,51.66666666666668,46.10666666666668,0.0,50.56771720726807,0.0,0.0,0.0,39.874733658313716,48.964552782428704,50.56771720726807,48.16297057000903,12.43753247303448,14.752608496645497,-0.05753244715966691,6.31973418930379,2.4152173299014423,2.8,9.236100170605994,4297.035850879618,-974.0633347776204,470.6473897374753,-4088.1253743572656,0.0,0.0,600.136024355832,0.0,3.0,0.26233545099089073,0.0,0.0,2.455200270576337,197.99884266666666,-128.09017985968924,0.2665086842487173,6.704180594947555,0.0027121219864727304,-139.0614726636087,1.2442634440978744,0.2181881691024813,-1000.8818142128642,26.818479435243816,0.9061390909439998,451.72325484961385,18.92413488786145
2025-01-01 01:00:00,0.330119450864743,0.18319248167612762,0.3176549019607843,0.330119450864743,0.18319248167612762,0.3176549019607843,0.0771282263055702,0.0,0.2529912245591728,0.0,0.3176549019607843,0.0,0.0,0.18319248167612762,0.0,1.0,0.0,0.0,0.03865133429493931,0.028988500721204475,0.0,0.0,0.022316740679824556,0.0,0.002679312878527671,0.0,0.05213217274721798,0.0,0.008734582324335919,0.0,0.20560530793989756,0.15420398095492313,0.0,0.0,6330.4923045925925,15.000000000000057,0.18133333333333337,0.0,9.30954750675381,0.0,0.26666666666666666,6330.4923045925925,23739.34614222222,0.0,0.0,39.646291739736625,51.66666666666668,46.10666666666668,0.0,50.33700749795935,0.0,0.0,0.0,39.646291739736625,48.76361593866812,50.33700749795935,47.97692015902251,12.43753247303448,14.746912558366464,-0.057900074614947526,6.629699575043266,2.8271627285019325,2.5,9.236100170605994,2787.4590468621464,-865.9524560086363,-369.7825669561288,-3929.812309508874,0.0,0.0,513.7259219756169,0.0,3.0,0.24622408852351235,0.0,0.0,2.304413858218236,197.99884266666666,-126.94687019718907,0.2641861331072904,6.671233211290623,0.0026873036637266668,-90.53136303892755,1.2443670869043157,0.17061942530084995,-890.8126673277137,24.860211319077443,0.9061390909439998,-386.9153449922023,17.132778036073507
2025-01-01 02:00:00,0.3291283910110266,0.18244918678584032,0.3573617647058823,0.3291283910110266,0.18244918678584032,0.3573617647058823,0.0771282263055702,0.0,0.2520001647054564,0.0,0.3573617647058823,0.0,0.0,0.18244918678584032,0.0,1.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.022316740679824556,0.0,0.002679312878527671,0.0,0.05213217274721798,0.0,0.008734582324335919,0.0,0.20560530793989756,0.15420398095492313,0.0,0.0,7121.803842666666,15.000000000000057,0.20400000000000004,0.0,10.473240945098038,0.0,0.3,7121.803842666666,23739.34614222222,0.0,0.0,39.434711481825275,51.66666666666668,46.10666666666668,0.0,50.10782774332876,0.0,0.0,0.0,39.434711481825275,48.56384443625281,50.10782774332876,47.791852782714834,12.43753247303448,14.727903351028253,-0.056294747577714126,7.03788502480141,2.2217699749657047,1.6500000000000001,9.236100170605994,3508.712974792397,-800.3298185621328,-661.4423480428096,-4016.025696808991,0.0,0.0,512.7348621219004,0.0,3.0,0.2343750497323897,0.0,0.0,2.193518578391782,197.99884266666666,-109.80003318717924,0.26338924329677843,6.647709394546102,0.0026758506287184983,-19.56479569101233,1.2444578830348998,0.11737626580544092,-823.0942399933956,22.764421431262885,0.9061390909439998,-678.3985785939986,16.956230551189034
2025-01-01 03:00:00,0.32693102085029274,0.18170589189555303,0.3573617647058823,0.3269310208502927,0.18170589189555303,0.3573617647058823,0.07592191599855266,0.0,0.25100910485174,0.0,0.3573617647058823,0.0,0.0,0.18170589189555303,0.0,1.0,0.0,0.0,0.03666921458750652,0.027501910940629884,0.0,0.0,0.021110430372807017,0.0,0.002679312878527671,0.0,0.05213217274721798,0.0,0.008734582324335919,0.0,0.20560530793989756,0.15420398095492313,0.0,0.0,7121.803842666666,15.000000000000057,0.20400000000000004,0.0,10.473240945098038,0.0,0.3,7121.803842666666,23739.34614222222,0.0,0.0,39.15775195662248,51.66666666666668,46.10666666666668,0.0,49.88023860791125,0.0,0.0,0.0,39.15775195662248,48.36529802520123,49.88023860791125,47.607827733846214,12.43753247303448,14.766324072407553,-0.056263129734539126,6.898552826031645,2.0249930711739528,1.6500000000000001,9.236100170605994,3342.494581293954,-938.4528262934892,-435.10282009711466,-4180.6988944307,0.0,0.0,510.53749196116655,0.0,3.0,0.24361355710870125,0.0,0.0,2.2799818669956133,197.99884266666666,-109.14785890317809,0.2622469856253919,6.660556586184026,0.002670790516129152,-110.11975931491723,1.2442956954642,0.14444803703461778,-963.4363028099264,24.983476516437136,0.9061390909439998,-451.9714086738696,16.86858857675496
2025-01-01 04:00:00,0.3259399609965763,0.18096259700526574,0.3970686274509803,0.3259399609965763,0.18096259700526574,0.39706862745098037,0.07592191599855266,0.0,0.2500180449980236,0.0,0.3970686274509803,0.0,0.0,0.18096259700526574,0.0,1.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.021110430372807017,0.0,0.002679312878527671,0.0,0.05213217274721798,0.0,0.008734582324335919,0.0,0.20560530793989756,0.15420398095492313,0.0,0.0,7913.11538074074,15.000000000000057,0.2266666666666667,0.0,11.636934383442263,0.0,0.3333333333333333,7913.11538074074,23739.34614222222,0.0,0.0,39.01073036856549,51.66666666666668,46.10666666666668,0.0,49.65409456921585,0.0,0.0,0.0,39.01073036856549,48.167844285876505,49.65409456921585,47.42471914420684,12.43753247303448,14.694173008359513,-0.06519658845840436,6.6955234788031595,1.5211832183633882,0.55,9.236100170605994,3625.1184774169637,-912.6398434543778,-1141.4940645343859,-4705.862872266294,0.0,0.0,509.54643210745,0.0,3.0,0.2525615208706297,0.0,0.0,2.363725954828245,197.99884266666666,-91.68046316493255,0.26065355561663694,6.587633405011663,0.0026434653374494818,26.721765430063154,1.2440437562802478,0.12972991429175346,-939.1785639555973,26.538720501219462,0.9061390909439998,-1159.044192910759,17.550128376373042
2025-01-01 05:00:00,0.32835258161061137,0.18096259700526574,0.5558960784313725,0.32835258161061137,0.18096259700526574,0.5558960784313725,0.07833453661258775,0.0,0.2500180449980236,0.0,0.5558960784313725,0.0,0.0,0.18096259700526574,0.0,1.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.023523050986842105,0.0,0.002679312878527671,0.0,0.05213217274721798,0.0,0.008734582324335919,0.0,0.20560530793989756,0.15420398095492313,0.0,0.0,11078.361533037036,16.666666666666686,0.3173333333333334,0.0,16.29170813681917,0.0,0.4666666666666667,11078.361533037036,23739.34614222222,0.0,0.0,36.91148838896583,51.66666666666668,46.10666666666668,0.0,49.434094134057666,0.0,0.0,0.0,36.91148838896583,47.97586306459712,49.434094134057666,47.24674752986685,12.43753247303448,16.305389400867252,-0.09369467285878057,6.744294783508154,0.3543329625692876,-0.25000000000000006,9.236100170605994,5524.781976190076,-979.9732137277782,-716.0681784982055,-5919.0656915701165,0.0,0.0,511.95905272148525,0.0,3.0,0.271339329734922,0.0,0.0,2.5394676673200185,197.99884266666666,-146.4729179983277,0.23760610898860643,7.412483522448069,0.002673416214044509,37.43822503992797,1.2364764063402136,0.11370185171988069,-1006.6173782424679,26.64416451468967,0.9061390909439998,-735.5574155064116,19.489237008206256
2025-01-01 06:00:00,0.5287111141428714,0.18375251224764794,0.4963357843137254,0.5287111141428714,0.18375251224764794,0.49633578431372544,0.09074497878048762,0.18333551807407408,0.2546306172883097,0.0,0.4963357843137254,0.0,0.0,0.18375251224764794,0.0,1.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.02653882675438596,0.0,0.0031385460189649692,0.0,0.06106760600713668,0.0,0.009627267624779055,0.0,0.20734307522230772,0.15550730641673075,0.0,0.0,9891.394225925926,16.666666666666686,0.2833333333333334,0.0,14.54616797930283,0.0,0.4166666666666667,9891.394225925926,23739.34614222222,183.3355180740741,0.03333333333333333,36.47286114940401,51.66666666666668,46.10666666666668,0.0,49.20867523200624,0.055953591403256016,142.98260842106322,183.3355180740741,36.47286114940401,47.71385716030045,49.20867523200624,46.96644812444756,12.43753247303448,16.423321184855663,-0.0596366019050623,6.425580337893263,1.0010789081773293,0.3,9.236100170605994,4569.614570687348,-1066.6762654235836,-815.5714244853335,-5729.0552146169,0.0,0.0,528.8604234699025,0.0,3.0,0.2703254311217241,0.0,0.0,2.5299785794363268,197.99884266666666,-121.58486409158134,0.23391265145974577,7.443689351276538,0.0026517049496119906,-121.39764837580326,1.235988727760834,0.1366592851263597,-1096.9811728309767,30.30490740739319,0.9061390909439998,-834.8275322673625,19.256107782028963
2025-01-01 07:00:00,2.44422285038,0.21583295234223304,0.4963357843137254,2.44422285038,0.21583295234223304,0.49633578431372544,0.2987867894225879,1.1916808674814816,0.9537551934759304,0.0,0.4963357843137254,0.0,0.0,0.21583295234223304,0.0,1.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.6341433925104834,0.0,0.024729361293859647,0.0,0.013396564392638356,0.0,0.26066086373608993,0.0,0.03183453117580292,0.0,0.24813487564098843,0.18610115673074126,0.0,0.0,9891.394225925926,16.666666666666686,0.2833333333333334,0.0,14.54616797930283,0.0,0.4166666666666667,9891.394225925926,23739.34614222222,1191.6808674814815,0.21666666666666667,39.35536419372067,51.66666666666668,46.10666666666668,0.0,51.273950678300984,0.3991781366226269,1073.3828257373364,1191.6808674814815,39.35536419372067,50.16465899774674,51.273950678300984,49.61001315746962,12.43753247303448,16.38543739762672,-0.0635918819023525,6.254919310430067,0.3306128526944825,-0.55,9.236100170605994,4836.280809120954,-1216.3627396137645,-1031.2956590765236,-6220.537097585722,0.0,0.0,1255.6112343673806,17.182548867235123,3.0,0.27846614859201435,0.0,0.0,2.606167640656407,197.99884266666666,-90.18755358663086,0.23374821632094986,7.415494768076521,0.002643452814589782,91.00557446327593,1.2361564527355435,0.13864215606059202,-1248.4836478412205,32.120908227455885,0.9061390909439998,-1051.8212259309064,20.525566854382934
2025-01-01 08:00:00,2.624449353071905,0.2436031015457942,0.4566289215686274,2.624449353071905,0.2436031015457942,0.4566289215686274,0.47258805330259873,1.5583519036296296,0.5935093961396763,0.0,0.4566289215686274,0.0,0.0,0.2436031015457942,0.0,1.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.2113811308368278,0.0,0.01869780975877193,0.0,0.022187210601600844,0.0,0.43170303294222595,0.0,0.057324129908456166,0.0,0.2841706813920203,0.21312801104401513,0.0,0.0,9100.082687851851,16.666666666666686,0.2606666666666667,0.0,13.382474540958604,0.0,0.38333333333333336,9100.082687851851,23739.34614222222,1558.3519036296298,0.2833333333333333,38.2843400347005,51.66666666666668,46.10666666666668,0.0,51.26441553867881,0.47496221744313877,1287.29381471373,1558.3519036296298,38.2843400347005,49.22999066645038,51.26441553867881,48.21277823033617,12.43753247303448,16.411527855346392,-0.04951279379676373,5.7478827375509525,-0.45613884674549043,-1.4,9.236100170605994,3676.0271345972296,-1364.5416922361499,-1108.671144068418,-6809.558445131338,0.0,0.0,1185.0176277771886,1145.2788924029205,3.0,0.28911049437573444,0.0,0.0,2.7057881858384802,197.99884266666666,200.4852640995285,0.23699576240754433,7.4799866244115885,0.0026836706588932086,288.98686258823034,1.2365953225960007,0.14818459032490772,-1400.272992854929,35.73130061877915,0.9061390909439998,-1130.622545768623,21.95140170020513
2025-01-01 09:00:00,1.42722140254627,0.2549214542404393,0.43677549019607836,1.4272214025462702,0.2549214542404393,0.43677549019607836,0.5523537354024574,0.4583387951851853,0.4165288719586274,0.0,0.43677549019607836,0.0,0.0,0.2549214542404393,0.0,1.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.015078878837719297,0.0,0.026263244392464444,0.0,0.5110116121722736,0.0,0.07663359963804155,0.0,0.2992618183182138,0.22444636373866028,0.0,0.0,8704.426918814814,16.666666666666686,0.2493333333333334,0.0,12.80062782178649,0.0,0.36666666666666664,8704.426918814814,23739.34614222222,458.33879518518523,0.08333333333333333,39.83788432208423,51.66666666666668,46.10666666666668,0.0,51.477258530354426,0.211608343909036,575.3079756154592,458.33879518518523,39.83788432208423,50.597658895289605,51.47760678276721,50.15751082534442,12.43753247303448,16.385835294250683,-0.07300111956734856,5.707297029821458,-0.22443671794750017,-0.85,9.236100170605994,4110.852843051343,-1233.3489859227855,-730.8883108652137,-6454.963735069571,0.0,0.0,1145.9331227454763,3089.301175773786,3.0,0.28338309817262997,0.0,0.0,2.652185423975966,197.99884266666666,715.456536560623,0.2445351969074555,7.566566034899098,0.002763338339875474,492.3685763214984,1.237266800933237,0.14645811320896415,-1269.2692743068399,35.92028838405441,0.9061390909439998,-751.9184127476619,21.03010188244826
