Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.27374371382043633,0.09685136040325318,0.041310603304718724,0.0045623952303406054,0.0016141893400542196,0.0006885100550786453,0.035696163576561704,0.13227831947464383,0.10576923076923077,0.0,0.041310603304718724,0.0,0.09685136040325318,0,1,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.015149013157894735,0.0,On,0.020547150418666973,0,On,0.0031431722703062115,0,On,0.08518976800952298,0.06389232600714222,On,0,0,Off,On,1074.9553952136753,18.33333333333337,0.8005208676345466,0.0,1.2106944411184255,0.10576923076923077,1,969.1861644444444,969.1861644444444,Off,0.0,0,48.470820214741636,51.666666666666686,46.10666666666668,0.0,50.192589668163464,0.0,0.0,0.0,75.7356565855338,50.215952487583856,50.227633897294055,50.192589668163464,12.43753247303448,18.18327443922809,0.0,2.8,1040.094478143333,-263.2202486051504,-0.0,-0.0,228.01081351276116,0.0,1.0,0.013129641109289575,0.0,0,0.6479844875040146,65.99961422222222,0.34851802204673454,0.24044279001661892,8.739217151998579,0.0030556013955668725,23.79636129956757,1.2258334294330082
2025-01-01 00:01:00,0.27374371382043633,0.09685136040325318,0.041310603304718724,0.0045623952303406054,0.0016141893400542196,0.0006885100550786453,0.035696163576561704,0.13227831947464383,0.10576923076923077,0.0,0.041310603304718724,0.0,0.09685136040325318,0,1,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.015149013157894735,0.0,On,0.020547150418666973,0,On,0.0031431722703062115,0,On,0.08518976800952298,0.06389232600714222,On,0,0,Off,On,1074.9553952136753,18.33333333333337,0.8005208676345466,0.0,1.2106944411184255,0.10576923076923077,1,969.1861644444444,969.1861644444444,Off,0.0,0,48.34752250814505,51.666666666666686,46.10666666666668,0.0,50.18191998911162,0.0,0.0,0.0,75.54300391897664,50.20588303662979,50.21786456038889,50.18191998911162,12.43753247303448,18.254668200495782,0.0,2.8,1036.1496879363694,-264.96271309863187,-0.0,-0.0,228.01081351276116,0.0,1.0,0.013155501990636686,0.0,0,0.6492607942824423,65.99961422222222,-1.8538076914352164,0.24010022644297707,8.795828806757765,0.003056035179817139,23.720663482628012,1.2291127212283774
2025-01-01 00:02:00,0.27374371382043633,0.09685136040325318,0.041310603304718724,0.0045623952303406054,0.0016141893400542196,0.0006885100550786453,0.035696163576561704,0.13227831947464383,0.10576923076923077,0.0,0.041310603304718724,0.0,0.09685136040325318,0,1,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.015149013157894735,0.0,On,0.020547150418666973,0,On,0.0031431722703062115,0,On,0.08518976800952298,0.06389232600714222,On,0,0,Off,On,1074.9553952136753,18.33333333333337,0.8005208676345466,0.0,1.2106944411184255,0.10576923076923077,1,969.1861644444444,969.1861644444444,Off,0.0,0,48.22811518289203,51.666666666666686,46.10666666666668,0.0,50.17127770101508,0.0,0.0,0.0,75.3564299732688,50.19583919985359,50.20811994927284,50.17127770101508,12.43753247303448,18.323516668809344,0.0,2.8,1032.2905520652319,-266.64732716032034,-0.0,-0.0,228.01081351276116,0.0,1.0,0.013180426707153437,0.0,0,0.6504908987098104,65.99961422222222,-4.028329500884237,0.23909840535420981,8.8287684103246,0.003056466430509172,23.647086618527982,1.2288220750126442
2025-01-01 00:03:00,0.27374371382043633,0.09685136040325318,0.041310603304718724,0.0045623952303406054,0.0016141893400542196,0.0006885100550786453,0.035696163576561704,0.13227831947464383,0.10576923076923077,0.0,0.041310603304718724,0.0,0.09685136040325318,0,1,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.015149013157894735,0.0,On,0.020547150418666973,0,On,0.0031431722703062115,0,On,0.08518976800952298,0.06389232600714222,On,0,0,Off,On,1074.9553952136753,18.33333333333337,0.8005208676345466,0.0,1.2106944411184255,0.10576923076923077,1,969.1861644444444,969.1861644444444,Off,0.0,0,48.11241226942954,51.666666666666686,46.10666666666668,0.0,50.16066194611674,0.0,0.0,0.0,75.17564417098366,50.18582016905754,50.19839928052795,50.16066194611674,12.43753247303448,18.389941932483563,0.0,2.8,1028.5113440903426,-268.27661986967394,-0.0,-0.0,228.01081351276116,0.0,1.0,0.013204460943240516,0.0,0,0.6516770554389854,65.99961422222222,-6.178244766420001,0.2381374044265207,8.859732184435167,0.003056896445230664,23.575478827035006,1.228541778223539
2025-01-01 00:04:00,0.27374371382043633,0.09685136040325318,0.041310603304718724,0.0045623952303406054,0.0016141893400542196,0.0006885100550786453,0.035696163576561704,0.13227831947464383,0.10576923076923077,0.0,0.041310603304718724,0.0,0.09685136040325318,0,1,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.015149013157894735,0.0,On,0.020547150418666973,0,On,0.0031431722703062115,0,On,0.08518976800952298,0.06389232600714222,On,0,0,Off,On,1074.9553952136753,18.33333333333337,0.8005208676345466,0.0,1.2106944411184255,0.10576923076923077,1,969.1861644444444,969.1861644444444,Off,0.0,0,48.00023851161325,51.666666666666686,46.10666666666668,0.0,50.15007190764892,0.0,0.0,0.0,75.00037267439569,50.17582517467778,50.18870180819223,50.15007190764892,12.43753247303448,18.454059038722573,0.0,2.8,1025.5714617841209,-269.85299264402664,-0.0,-0.0,228.01081351276116,0.0,1.0,0.013227647694274024,0.0,0,0.6528213864119546,65.99961422222222,-7.541754298289012,0.2372149998616161,8.890046563119686,0.0030573252555998348,23.505746787274212,1.228271332184499
2025-01-01 00:05:00,0.27374371382043633,0.09685136040325318,0.041310603304718724,0.0045623952303406054,0.0016141893400542196,0.0006885100550786453,0.035696163576561704,0.13227831947464383,0.10576923076923077,0.0,0.041310603304718724,0.0,0.09685136040325318,0,1,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.015149013157894735,0.0,On,0.020547150418666973,0,On,0.0031431722703062115,0,On,0.08518976800952298,0.06389232600714222,On,0,0,Off,On,1074.9553952136753,18.33333333333337,0.8005208676345466,0.0,1.2106944411184255,0.10576923076923077,1,969.1861644444444,969.1861644444444,Off,0.0,0,47.89131886291419,51.666666666666686,46.10666666666668,0.0,50.13950680747225,0.0,0.0,0.0,74.83018572330342,50.16585348355859,50.17902682160176,50.13950680747225,12.43753247303448,18.516049017666923,0.0,2.8,1023.3640673771681,-271.38051603521143,-0.0,-0.0,228.01081351276116,0.0,1.0,0.013250053667964124,0.0,0,0.65392718384067,65.99961422222222,-8.221625314056922,0.23632804270886534,8.919180718059117,0.0030577528917628436,23.437744040052348,1.2280099617591291
2025-01-01 00:06:00,0.16797448305120555,0.09685136040325318,0.0,0.0027995747175200924,0.0016141893400542196,0.0,0.035696163576561704,0.13227831947464383,0.0,0.0,0.0,0.0,0.09685136040325318,0,1,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.015149013157894735,0.0,On,0.020547150418666973,0,On,0.0031431722703062115,0,On,0.08518976800952298,0.06389232600714222,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,969.1861644444444,Off,0.0,0,47.785406995219866,51.666666666666686,46.10666666666668,0.0,50.12896592805948,0.0,0.0,0.0,74.66469843003104,50.15590441968307,50.16937366549487,50.12896592805948,12.43753247303448,18.576073978077662,0.0,2.8,-53.534890299962115,-272.8628457696828,-0.0,-0.0,228.01081351276116,0.0,1.0,0.013271738567152623,0.0,0,0.6549973942272506,65.99961422222222,-8.68285804304048,0.23547372737202976,8.947861403814226,0.003058179381518157,23.37133948325377,1.2277569731733955
2025-01-01 00:07:00,0.16797448305120555,0.09685136040325318,0.0,0.0027995747175200924,0.0016141893400542196,0.0,0.035696163576561704,0.13227831947464383,0.0,0.0,0.0,0.0,0.09685136040325318,0,1,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.015149013157894735,0.0,On,0.020547150418666973,0,On,0.0031431722703062115,0,On,0.08518976800952298,0.06389232600714222,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,969.1861644444444,Off,0.0,0,47.83759814957326,51.666666666666686,46.10666666666668,0.0,50.118448606167235,0.0,0.0,0.0,74.74624710870822,50.14597735820719,50.15974173422717,50.118448606167235,12.43753247303448,18.531638508195325,0.0,2.8,-51.97679946269588,-271.7651968363975,-0.0,-0.0,228.01081351276116,0.0,1.0,0.013255686625305843,0.0,0,0.654205186030206,65.99961422222222,-8.222416139059554,0.23616276752779963,8.927205561235311,0.003058604750561666,23.389271260066344,1.2279436975861215
2025-01-01 00:08:00,0.16797448305120555,0.09685136040325318,0.0,0.0027995747175200924,0.0016141893400542196,0.0,0.035696163576561704,0.13227831947464383,0.0,0.0,0.0,0.0,0.09685136040325318,0,1,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.015149013157894735,0.0,On,0.020547150418666973,0,On,0.0031431722703062115,0,On,0.08518976800952298,0.06389232600714222,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,969.1861644444444,Off,0.0,0,47.88705959855239,51.666666666666686,46.10666666666668,0.0,50.107920009774425,0.0,0.0,0.0,74.8235306227381,50.13603945440872,50.15009917672587,50.107920009774425,12.43753247303448,18.48899611042073,0.0,2.8,-50.185284096058695,-270.7134763358177,-0.0,-0.0,228.01081351276116,0.0,1.0,0.013240276923866043,0.0,0,0.6534446741923773,65.99961422222222,-7.482621273002169,0.23682745111152478,8.908141186380814,0.0030590303812393096,23.40579906039409,1.228122927841878
2025-01-01 00:09:00,0.16797448305120555,0.09685136040325318,0.0,0.0027995747175200924,0.0016141893400542196,0.0,0.035696163576561704,0.13227831947464383,0.0,0.0,0.0,0.0,0.09685136040325318,0,1,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.015149013157894735,0.0,On,0.020547150418666973,0,On,0.0031431722703062115,0,On,0.08518976800952298,0.06389232600714222,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,969.1861644444444,Off,0.0,0,47.93390183599733,51.666666666666686,46.10666666666668,0.0,50.097380740421976,0.0,0.0,0.0,74.89672161874583,50.126091275363564,50.14044654283436,50.097380740421976,12.43753247303448,18.448074332919546,0.0,2.8,-48.8564974231993,-269.70570014460424,-0.0,-0.0,228.01081351276116,0.0,1.0,0.013225483950850157,0.0,0,0.652714599626091,65.99961422222222,-7.161610791356217,0.23746861180042317,8.88999222143011,0.0030594562505249787,23.42097837612663,1.228294962551519
