Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-01 00:00:00,7.196568932903988,0.12537758510894437,0.0,0.17189997533389162,6.9394354592592595,0.08523349831083703,0.0,0.0,51.45173513188714,19.14579208362271,-0.05551435154163388
2025-01-01 01:00:00,6.915617364691572,0.12420407182280534,0.0,0.1703352909523729,6.661858040888889,0.08342403285031072,0.0,0.0,51.24390658788787,19.145820694907982,-0.05010922195576975
2025-01-01 02:00:00,3.5831236598656093,0.1230305585366663,0.0,0.1687706065708542,3.3309290204444446,0.08342403285031072,0.0,0.0,51.03327769455572,17.592805154492076,-0.05676125442574976
2025-01-01 03:00:00,5.523394593769666,0.12185704525052726,0.0,0.16720592218933547,5.273970949037037,0.08221772254329318,0.0,0.0,50.81774921877602,17.49957514045845,-0.05444639809674528
2025-01-01 04:00:00,6.354562164499258,0.12068353196438825,0.0,0.16564123780781675,6.106703204148148,0.08221772254329318,0.0,0.0,50.60364175559981,17.437536032857274,-0.0694429438249759
2025-01-01 05:00:00,6.496072995013251,0.1255335099266704,0.0,0.1747777184966023,5.273970949037037,0.13064673710924105,0.9166775903703706,0.0,50.404097842329406,17.504465501211367,-0.054416704821415134
2025-01-01 06:00:00,7.070198077644333,0.13182332433878932,0.0,0.18689001945726538,6.661858040888889,0.22145001729817804,0.0,0.0,51.417436930901395,17.49430789127209,-0.06495183018367433
2025-01-01 07:00:00,7.570210592190153,0.131344104760385,0.0,0.184600070503864,6.384280622518518,0.17632006783443688,0.8250098313333335,0.0,51.2395202882611,17.478491365338318,-0.05569605170103606
2025-01-01 08:00:00,6.679523829963111,0.12892374948454516,0.0,0.17927572723797328,6.384280622518518,0.11596748020661986,0.0,0.0,51.543054001172024,17.45501660031249,-0.07068415001243936
2025-01-01 09:00:00,6.525053492309004,0.13604170275293048,0.0,0.19670892980566215,6.106703204148148,0.22164135835519438,0.0,0.0,51.03101916573807,17.474096553650966,-0.06037437844534483
2025-01-01 10:00:00,6.3541861953367365,0.12537758510894437,0.0,0.17189997533389162,6.106703204148148,0.07558301585469669,0.0,0.0,50.641402604425714,17.548526027534095,-0.043652518145668215
2025-01-01 11:00:00,9.129960379040439,0.12537758510894437,0.0,0.17189997533389162,8.882477387851852,0.07558301585469669,0.0,0.0,50.428573244591604,19.05001210778567,-0.12177544022154703
2025-01-01 12:00:00,6.635496137623653,0.12772461168122243,0.0,0.17502934409692902,6.384280622518518,0.07618617100820546,0.0,0.0,50.22284225799148,19.127045117143883,-0.061144873273681156
2025-01-01 13:00:00,5.888518683232328,0.12772461168122243,0.0,0.17502934409692902,4.718816112296296,0.07799563646873178,0.9166775903703706,0.0,50.41994497865402,19.194061317391917,-0.04789083825241534
2025-01-01 14:00:00,5.250624821539345,0.12772461168122243,0.0,0.17502934409692902,4.9963935306666665,0.07920194677574934,0.0,0.0,51.8635814847075,19.09542466666374,-0.06830527478573002
2025-01-01 15:00:00,4.974498494555001,0.12655109839508338,0.0,0.1734646597154103,4.718816112296296,0.08221772254329318,0.0,0.0,51.65764608242714,19.162715626671094,-0.05610700433052867
2025-01-01 16:00:00,4.954467633813409,0.13799210586096844,0.0,0.5809456549920093,4.1636612755555555,0.2098607032658445,0.0,0.0,51.43022098112695,19.11517524017942,-0.05940815100754649
2025-01-01 17:00:00,8.058288645872413,0.3179520525103066,0.0,1.0373258445875915,4.9963935306666665,0.7412206440996348,1.2833486265185186,0.0,51.15922798449416,19.106394491264027,-0.06973769380171108
2025-01-01 18:00:00,9.271680063670162,0.6543094751732215,0.0,3.40538590858232,4.718816112296296,0.872474765680435,0.2750032771111111,0.0,51.424862022351576,19.17174340863783,-0.05016033198047622
2025-01-01 19:00:00,8.068083893160475,0.17227451376822425,0.0,0.3884769469907062,6.106703204148148,0.8395616697253251,0.7333420722962963,0.0,51.4748476240058,19.13007003873519,-0.0630770065977322
2025-01-01 20:00:00,7.751848912015379,0.16677440143659614,0.0,0.40754442235091215,5.829125785777777,0.6901688725533554,0.8250098313333335,0.0,51.370475609564274,19.16304818067356,-0.05839393247347242
2025-01-01 21:00:00,7.63933781717744,0.14948081751323153,0.0,0.30929935548914067,6.9394354592592595,0.3906030024290404,0.0,0.0,51.38124958394222,19.15913407391174,-0.05381109213534128
2025-01-01 22:00:00,8.39058678730155,0.14106259550615427,0.0,0.24259586224616506,7.7721677143703705,0.2841554516479761,0.09166775903703704,0.0,51.11354737854925,19.15801375026697,-0.05758300890530267
2025-01-01 23:00:00,9.887527028403541,0.12728382887859363,0.0,0.17658345792978583,8.604899969481481,0.09769825158486564,1.0083453494074075,0.0,51.64017746391521,19.173463133107557,-0.05303511424614656
2025-01-02 00:00:00,8.86203344312621,0.12537758510894437,0.0,0.17189997533389162,8.604899969481481,0.08523349831083703,0.0,0.0,51.56353839424505,19.10980195539123,-0.0737116196679258
2025-01-02 01:00:00,8.858659293284166,0.12420407182280534,0.0,0.1703352909523729,8.604899969481481,0.08342403285031072,0.0,0.0,51.35593386528536,19.144466748856733,-0.05386036664995751
2025-01-02 02:00:00,4.971010751717461,0.1230305585366663,0.0,0.1687706065708542,4.718816112296296,0.08342403285031072,0.0,0.0,51.14580365778526,17.68951444446145,-0.04541542461767563
