occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.571,0.016,0.393,0.0493,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
1.0,0.581,0.0162,0.361,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.581,0.0162,0.361,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.581,0.0162,0.361,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.572,0.016,0.389,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.571,0.0167,0.393,0.0497,0.0,0.0,0.0,0.0,0.467,0.233,0,0,0,0
1.0,0.581,0.0177,0.361,0.0501,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.581,0.0189,0.361,0.0565,0.0,0.0,0.0,0.0,0.6,0.0777,0,0,0,0
1.0,0.581,0.0202,0.361,0.0638,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
1.0,0.581,0.0202,0.361,0.0638,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
1.0,0.581,0.0202,0.361,0.0638,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
1.0,0.584,0.0221,0.361,0.0773,0.0,0.0,0.0,0.0,0.467,0.0777,0,0,0,0
1.0,0.599,0.0282,0.333,0.113,0.0,0.0,0.0,0.0,1.0,0.155,0,0,0,0
1.0,0.612,0.0327,0.301,0.136,0.0,0.0,0.0,0.0,1.0,0.144,0,0,0,0
1.0,0.612,0.0327,0.301,0.136,0.0,0.0,0.0,0.0,1.0,0.155,0,0,0,0
1.0,0.62,0.0365,0.301,0.149,0.0,0.0,0.0,0.0,1.0,0.527,0,0,0,0
1.0,0.629,0.0408,0.301,0.163,0.0,0.0,0.0,0.0,1.0,0.198,0,0,0,0
1.0,0.645,0.0466,0.273,0.19,0.0,0.0,0.0,0.0,0.733,0.0,0,0,0,0
1.0,0.663,0.0532,0.241,0.22,0.0,0.0,0.0,0.0,0.0,0.302,0,0,0,0
0.933,0.684,0.0653,0.213,0.254,0.0,0.0,0.0,0.0,0.0,0.155,0,0,0,0
0.79,0.691,0.0716,0.209,0.264,0.0,0.0,0.0,0.0,0.0,0.0938,0,0,0,0
0.781,0.705,0.0779,0.184,0.289,0.0,0.0,0.0,0.0,0.0,0.383,0,0,0,0
0.724,0.71,0.08,0.176,0.297,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
0.505,0.654,0.0589,0.269,0.205,0.0,0.0,0.0,0.0,0.0,0.155,0,0,0,0
0.429,0.635,0.054,0.301,0.175,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
0.429,0.635,0.054,0.301,0.175,0.0,0.0,0.0,0.0,0.0,0.155,0,0,0,0
0.429,0.635,0.054,0.301,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.429,0.652,0.0666,0.273,0.201,0.0,0.0,0.0,0.0,0.0,0.161,0,0,0,0
0.429,0.671,0.0809,0.241,0.232,0.0,0.0,0.0,0.0,0.0,0.394,0,0,0,0
0.429,0.671,0.0809,0.241,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.495,0.688,0.091,0.213,0.26,0.0,0.0,0.0,0.0,0.0,0.313,0,0,0,0
0.571,0.708,0.107,0.18,0.288,0.0,0.0,0.0,0.0,0.0,0.0898,0,0,0,0
0.571,0.708,0.113,0.18,0.282,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
0.505,0.691,0.102,0.209,0.255,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.429,0.671,0.0886,0.241,0.224,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
0.429,0.671,0.0907,0.241,0.221,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
0.429,0.671,0.093,0.241,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.429,0.671,0.093,0.241,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.495,0.688,0.105,0.213,0.245,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
0.571,0.708,0.126,0.18,0.274,0.0,0.0,0.0,0.0,0.467,0.0,0,0,0,0
0.571,0.708,0.133,0.18,0.272,0.0,0.0,0.0,0.0,0.533,0.0,0,0,0,0
0.705,0.725,0.147,0.152,0.298,0.0,0.0,0.0,0.0,0.0,0.233,0,0,0,0
0.857,0.744,0.163,0.12,0.328,0.0,0.0,0.0,0.0,0.0,0.233,0,0,0,0
0.857,0.744,0.167,0.12,0.331,0.0,0.0,0.0,0.0,0.0,0.233,0,0,0,0
0.857,0.744,0.172,0.12,0.334,0.0,0.0,0.0,0.0,0.0,0.155,0,0,0,0
0.857,0.744,0.172,0.12,0.334,0.0,0.0,0.0,0.0,0.0,0.155,0,0,0,0
0.857,0.744,0.172,0.12,0.334,0.0,0.0,0.0,0.0,0.0,0.155,0,0,0,0
0.79,0.738,0.165,0.148,0.32,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
0.714,0.73,0.157,0.18,0.304,0.0,0.0,0.0,0.0,0.0,0.155,0,0,0,0
0.714,0.73,0.157,0.18,0.304,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
0.648,0.71,0.141,0.209,0.275,0.0,0.0,0.0,0.0,0.0,0.233,0,0,0,0
0.638,0.723,0.155,0.213,0.303,0.0,0.0,0.0,0.0,0.0,0.155,0,0,0,0
0.714,0.764,0.194,0.18,0.373,0.0,0.0,0.0,0.0,0.0,0.233,0,0,0,0
0.714,0.764,0.194,0.18,0.373,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
0.714,0.764,0.194,0.18,0.373,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.781,0.807,0.24,0.152,0.478,0.0,0.0,0.0,0.0,0.0,0.216,0,0,0,0
0.857,0.856,0.292,0.12,0.598,0.0,0.0,0.0,0.0,0.0,0.233,0,0,0,0
0.79,0.828,0.266,0.148,0.546,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.714,0.797,0.237,0.18,0.488,0.0,0.0,0.0,0.0,0.0,0.151,0,0,0,0
0.714,0.802,0.274,0.18,0.533,0.0,0.0,0.0,0.0,0.0,0.0216,0,0,0,0
0.714,0.808,0.316,0.18,0.585,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.714,0.808,0.316,0.18,0.585,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.714,0.808,0.316,0.18,0.585,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.781,0.83,0.423,0.152,0.644,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.856,0.546,0.12,0.712,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.856,0.546,0.12,0.712,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.828,0.496,0.148,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.786,0.487,0.18,0.532,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
0.924,0.799,0.603,0.152,0.527,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.828,0.673,0.12,0.584,0.376,0.467,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.828,0.673,0.12,0.584,0.252,1.0,0.0,0.0,0.0,0.0777,0,0,0,0
1.0,0.802,0.656,0.12,0.519,0.0,1.0,0.0,0.0,0.0,0.15,0,0,0,0
1.0,0.772,0.638,0.12,0.444,0.0,0.733,0.0,0.0,0.0,0.0215,0,0,0,0
1.0,0.772,0.638,0.12,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.772,0.638,0.12,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.717,0.452,0.176,0.355,0.0,0.0,0.0,0.0,0.0,0.155,0,0,0,0
1.0,0.655,0.239,0.241,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.655,0.239,0.241,0.252,0.0,0.0,0.0,0.0,0.0,0.0777,0,0,0,0
1.0,0.655,0.239,0.241,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.632,0.164,0.269,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.607,0.0776,0.301,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.607,0.0776,0.301,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.607,0.0776,0.301,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
