Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.42721424253578977,0.1965148627115037,0.0,0.007120237375596496,0.003275247711858395,0.0,0.023259596275374442,0.0,0.4039546462604153,0.0,0.0,0.0,0.1965148627115037,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.01008086264792114,0,On,0.01008086264792114,0.0,On,0.018116896756185105,0,On,0.21807443775385701,0.16355582831539273,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,8062.386266666666,Off,0.0,0.0,32.03474306493916,51.666666666666686,46.10666666666668,0.0,51.46939288240642,0.0,0.0,0.0,32.03474306493916,51.502501324493124,51.51905554553649,51.46939288240642,12.43753247303448,23.968456681861213,0.0,-2.80385531776066,2.8,9.236100170605994,-389.2851033556085,106.59785665896567,-739.9532551742586,-0.0,-33.21943838219552,486.1299420041279,0.0,3.0,0.026822387773389293,0.0,0.0012041634409617188,0.5246015806471047,197.99884266666666,-102.24235180328225,0.18724975470396016,11.676670535629793,0.0033970997040733216,65.46336369655872,1.20171787747831,0,0,106.59785665896567
2025-01-01 00:01:00,0.42721424253578977,0.1965148627115037,0.0,0.007120237375596496,0.003275247711858395,0.0,0.023259596275374442,0.0,0.4039546462604153,0.0,0.0,0.0,0.1965148627115037,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.01008086264792114,0,On,0.01008086264792114,0.0,On,0.018116896756185105,0,On,0.21807443775385701,0.16355582831539273,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,8062.386266666666,Off,0.0,0.0,32.16952120022654,51.666666666666686,46.10666666666668,0.0,51.4665017177806,0.0,0.0,0.0,32.16952120022654,51.49980383980997,51.51645490082466,51.4665017177806,12.43753247303448,23.849914615228343,0.0,-2.685819285500248,2.8,9.236100170605994,-379.747957396516,104.78885161763343,-733.7539864866637,-0.0,-29.880258442718763,486.1299420041279,0.0,3.0,0.026747456095262225,0.0,0.0010892218857147357,0.521047529433711,197.99884266666666,-102.24365447126144,0.18916528578440675,11.652522026360446,0.003397561381523267,66.05122442085396,1.2057089603824167,0,0,104.78885161763343
2025-01-01 00:02:00,0.42721424253578977,0.1965148627115037,0.0,0.007120237375596496,0.003275247711858395,0.0,0.023259596275374442,0.0,0.4039546462604153,0.0,0.0,0.0,0.1965148627115037,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.01008086264792114,0,On,0.01008086264792114,0.0,On,0.018116896756185105,0,On,0.21807443775385701,0.16355582831539273,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,8062.386266666666,Off,0.0,0.0,32.300807774880816,51.666666666666686,46.10666666666668,0.0,51.463598397841224,0.0,0.0,0.0,32.300807774880816,51.49709500613754,51.5138433102857,51.463598397841224,12.43753247303448,23.734362053244485,0.0,-2.5698539286132127,2.8,9.236100170605994,-370.6041132469404,103.20662241979888,-727.73114792433,-0.0,-26.63205064928012,486.1299420041279,0.0,3.0,0.026674333759747922,0.0,0.0009761739754463228,0.5175627908206681,197.99884266666666,-102.37085667745819,0.1905108954962703,11.604177778550753,0.0033980256628876097,66.62714124761501,1.20617790589112,0,0,103.20662241979888
2025-01-01 00:03:00,0.42721424253578977,0.1965148627115037,0.0,0.007120237375596496,0.003275247711858395,0.0,0.023259596275374442,0.0,0.4039546462604153,0.0,0.0,0.0,0.1965148627115037,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.01008086264792114,0,On,0.01008086264792114,0.0,On,0.018116896756185105,0,On,0.21807443775385701,0.16355582831539273,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,8062.386266666666,Off,0.0,0.0,32.42874904770758,51.666666666666686,46.10666666666668,0.0,51.460683238397706,0.0,0.0,0.0,32.42874904770758,51.4943751174826,51.51122105702505,51.460683238397706,12.43753247303448,23.621673585901508,0.0,-2.455817136180676,2.8,9.236100170605994,-361.8795978777555,101.64282165022443,-721.8767247975662,-0.0,-23.4707923084012,486.1299420041279,0.0,3.0,0.026602947256521486,0.0,0.0008649568941625924,0.5141448130490468,197.99884266666666,-102.66202277591609,0.19183436515716593,11.556458065028437,0.00339849381035491,67.19144420094727,1.2066355686213428,0,0,101.64282165022443
2025-01-01 00:04:00,0.42721424253578977,0.1965148627115037,0.0,0.007120237375596496,0.003275247711858395,0.0,0.023259596275374442,0.0,0.4039546462604153,0.0,0.0,0.0,0.1965148627115037,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.01008086264792114,0,On,0.01008086264792114,0.0,On,0.018116896756185105,0,On,0.21807443775385701,0.16355582831539273,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,8062.386266666666,Off,0.0,0.0,32.55348487124823,51.666666666666686,46.10666666666668,0.0,51.45775654203232,0.0,0.0,0.0,32.55348487124823,51.491644455536196,51.50858841228814,51.45775654203232,12.43753247303448,23.511729296922535,0.0,-2.3436036866190757,2.8,9.236100170605994,-352.25031264984307,100.12248161617937,-716.1831039445209,-0.0,-20.392653906377703,486.1299420041279,0.0,3.0,0.026533226101961467,0.0,0.000755509162303391,0.510791126029212,197.99884266666666,-101.8044968030724,0.19313640908866442,11.51081478811605,0.003398965743761236,67.74456878863089,1.2070824104438758,0,0,100.12248161617937
2025-01-01 00:05:00,0.42721424253578977,0.1965148627115037,0.0,0.007120237375596496,0.003275247711858395,0.0,0.023259596275374442,0.0,0.4039546462604153,0.0,0.0,0.0,0.1965148627115037,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.01008086264792114,0,On,0.01008086264792114,0.0,On,0.018116896756185105,0,On,0.21807443775385701,0.16355582831539273,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,8062.386266666666,Off,0.0,0.0,32.675092193579985,51.666666666666686,46.10666666666668,0.0,51.454818598679566,0.0,0.0,0.0,32.675092193579985,51.488903290213116,51.50594563597989,51.454818598679566,12.43753247303448,23.404463322634886,0.0,-2.2331281593481433,2.8,9.236100170605994,-341.689727093904,98.64949418709655,-710.6455675773442,-0.0,-17.39535161220553,486.1299420041279,0.0,3.0,0.026465133714689046,0.0,0.0006478198520262296,0.5075008404825506,197.99884266666666,-99.7787499084823,0.19441715612973157,11.46496741502921,0.0033994413860157537,68.28667033364462,1.207518675160489,0,0,98.64949418709655
2025-01-01 00:06:00,0.42721424253578977,0.1965148627115037,0.0,0.007120237375596496,0.003275247711858395,0.0,0.023259596275374442,0.0,0.4039546462604153,0.0,0.0,0.0,0.1965148627115037,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.01008086264792114,0,On,0.01008086264792114,0.0,On,0.018116896756185105,0,On,0.21807443775385701,0.16355582831539273,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,8062.386266666666,Off,0.0,0.0,32.79364192118895,51.666666666666686,46.10666666666668,0.0,51.45186969131369,0.0,0.0,0.0,32.79364192118895,51.486151884948704,51.503292981766215,51.45186969131369,12.43753247303448,23.29981498539404,-0.08907390349487443,-2.124320031318404,2.8,9.236100170605994,-331.06107224836444,97.22615779848121,-705.2597355182196,-0.0,-14.476770016162394,486.1299420041279,0.0,3.0,0.02639863653432391,0.0,0.0005418811972398454,0.5042731828592905,197.99884266666666,-97.45450871811033,0.19567670280735272,11.421137334564737,0.0033999206612062983,68.81788340260307,1.2079445867637233,0,0,97.22615779848121
2025-01-01 00:07:00,0.42721424253578977,0.1965148627115037,0.0,0.007120237375596496,0.003275247711858395,0.0,0.023259596275374442,0.0,0.4039546462604153,0.0,0.0,0.0,0.1965148627115037,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.01008086264792114,0,On,0.01008086264792114,0.0,On,0.018116896756185105,0,On,0.21807443775385701,0.16355582831539273,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,8062.386266666666,Off,0.0,0.0,32.90923680100913,51.666666666666686,46.10666666666668,0.0,51.44891009649499,0.0,0.0,0.0,32.90923680100913,51.48339049720765,51.500630697563984,51.44891009649499,12.43753247303448,23.197696235677437,-0.19119265321147694,-2.017119803929744,2.8,9.236100170605994,-320.7088245059998,95.8529690511551,-700.0198908869139,-0.0,-11.634054552447289,486.1299420041279,0.0,3.0,0.0263336833266992,0.0,0.00043765543290709554,0.5011064872704415,197.99884266666666,-95.18482107076656,0.19691549825271745,11.37779208844239,0.0034004034944529887,69.33850068188322,1.2083604820766418,0,0,95.8529690511551
2025-01-01 00:08:00,0.42721424253578977,0.1965148627115037,0.0,0.007120237375596496,0.003275247711858395,0.0,0.023259596275374442,0.0,0.4039546462604153,0.0,0.0,0.0,0.1965148627115037,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.01008086264792114,0,On,0.01008086264792114,0.0,On,0.018116896756185105,0,On,0.21807443775385701,0.16355582831539273,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,8062.386266666666,Off,0.0,0.0,33.02198875651668,51.666666666666686,46.10666666666668,0.0,51.4459400814911,0.0,0.0,0.0,33.02198875651668,51.48061937580283,51.4979590229587,51.4459400814911,12.43753247303448,23.09801112828753,-0.2908777606013828,-1.9114763015092509,2.8,9.236100170605994,-310.6932353474623,94.52929192352974,-694.919993475975,-0.0,-8.864158387250876,486.1299420041279,0.0,3.0,0.02627021751447903,0.0,0.0003350937821649029,0.49799878169387074,197.99884266666666,-93.03902548836419,0.1981341218408557,11.335631434456033,0.003400889812963831,69.84886919437879,1.2087667316210637,0,0,94.52929192352974
2025-01-01 00:09:00,8.489600509202456,0.1965148627115037,0.0,0.14149334182004092,0.003275247711858395,0.0,0.023259596275374442,0.0,0.4039546462604153,8.062386266666666,0.0,0.0,0.1965148627115037,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.01008086264792114,0,On,0.01008086264792114,0.0,On,0.018116896756185105,0,On,0.21807443775385701,0.16355582831539273,On,0.06451532997484435,0,On,0.05930260258071417,0,On,0,0,Off,On,8062.386266666666,23.888888888888914,1.0000000000000002,0.0,8.062386266666666,0.0,1,8062.386266666666,8062.386266666666,Off,0.0,0.0,33.13200682541831,51.666666666666686,46.10666666666668,0.0,51.44295990344741,0.0,0.0,0.0,33.13200682541831,51.477838760122616,51.495278188460226,51.44295990344741,12.43753247303448,23.000666189017753,-0.38822269987116087,-1.8073447349608993,2.8,9.236100170605994,6148.912012961273,1705.731023829615,-689.9542106705187,-0.0,-6.164130661701455,486.1299420041279,0.0,3.0,0.026208183773992668,0.0,0.0002341469429279587,0.49494810774245546,197.99884266666666,-91.00860104396783,0.1993331606235446,11.294609706122653,0.0034013795463915817,70.34933362000315,1.2091636973416344,0,0,93.25377049628146
