Metric,Value
Total Electric Energy (kWh),5248.193054855645
Total Gas Energy (therms),0.0
Average Electric Power (kW),7.289157020632841
Peak Electric Power (kW),26.728374156003344
Other Electric Energy (kWh),193.3040925096993
HVAC Heating Electric Energy (kWh),4699.961028235055
Lighting Electric Energy (kWh),197.0451583398917
Water Heating Electric Energy (kWh),157.88277577099763
Average Temperature - Indoor (C),20.72114624164964
Unmet Heating Load (C-hours),57.04392714678261
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
