Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.49304410010152033,0.20302997293288905,0.0,0.008217401668358671,0.0033838328822148175,0.0,0.06819485395680465,0.3748492461447157,0.0,0.05,0.0,0.0,0.0,0.1884466395995557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.01838954495614035,0.0,On,0.029212587602186296,0,On,0.020592721398478,0.0,On,0.006927113717315616,0,On,0.18867481087199273,0.1415061081539945,On,0.06078566145231338,0,On,0.055874284842345696,0,On,0,0,Off,Off,0.0,18.888888888888914,0.0,0.0,0.0,0.0,0,0.0,11865.277004444444,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5243.042177777778,Off,0.0,0,89.93292599102517,51.666666666666686,46.10666666666668,0.0,51.91862058300238,0.0,0.0,0.0,140.52019686097682,51.97588585161047,52.004518485914524,51.91862058300238,12.43753247303448,18.456558775107105,0.0,-2.80447420297664,2.8,9.236100170605994,-2337.7085345265627,59.282044711160985,-2749.9935095790374,-0.0,-0.0,511.17575971248846,0.0,3.0,0.13477759554469196,0.0,0.0,2.616137340519082,197.99884266666666,-98.89078466001396,0.21976488431951388,8.618176291196438,0.0028401527696291667,-50.00216695936532,1.224843789468741,0,0,59.282044711160985
2025-01-01 00:01:00,0.49304410010152033,0.20302997293288905,0.0,0.008217401668358671,0.0033838328822148175,0.0,0.06819485395680465,0.3748492461447157,0.0,0.05,0.0,0.0,0.0,0.1884466395995557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.01838954495614035,0.0,On,0.029212587602186296,0,On,0.020592721398478,0.0,On,0.006927113717315616,0,On,0.18867481087199273,0.1415061081539945,On,0.06078566145231338,0,On,0.055874284842345696,0,On,0,0,Off,Off,0.0,18.888888888888914,0.0,0.0,0.0,0.0,0,0.0,11865.277004444444,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5243.042177777778,Off,0.0,0,90.36775976317986,51.666666666666686,46.10666666666668,0.0,51.89884375159439,0.0,0.0,0.0,141.19962462996853,51.957202957790855,51.9863825608891,51.89884375159439,12.43753247303448,18.275782217311622,-0.1131066715772917,-2.6563672444059243,2.8,9.236100170605994,-2291.5654697487207,58.04934879795728,-2704.791888665795,-0.0,-0.0,511.17575971248846,0.0,3.0,0.13411075083046517,0.0,0.0,2.6031933690068585,197.99884266666666,-97.9493407954145,0.22289259834460912,8.556699281729559,0.0028397939849504296,-48.82179944550571,1.229183994576422,0,0,58.04934879795728
2025-01-01 00:02:00,0.49304410010152033,0.20302997293288905,0.0,0.008217401668358671,0.0033838328822148175,0.0,0.06819485395680465,0.3748492461447157,0.0,0.05,0.0,0.0,0.0,0.1884466395995557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.01838954495614035,0.0,On,0.029212587602186296,0,On,0.020592721398478,0.0,On,0.006927113717315616,0,On,0.18867481087199273,0.1415061081539945,On,0.06078566145231338,0,On,0.055874284842345696,0,On,0,0,Off,Off,0.0,18.888888888888914,0.0,0.0,0.0,0.0,0,0.0,11865.277004444444,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5243.042177777778,Off,0.0,0,90.78707840931058,51.666666666666686,46.10666666666668,0.0,51.878971811230414,0.0,0.0,0.0,141.85481001454778,51.93842973050211,51.96815869013796,51.878971811230414,12.43753247303448,18.100697599035126,-0.2881912898537884,-2.5114509452409877,2.8,9.236100170605994,-2247.294994626709,56.875264537274106,-2661.2943425044737,-0.0,-0.0,511.17575971248846,0.0,3.0,0.13346396623197676,0.0,0.0,2.5906387798517416,197.99884266666666,-97.1764118347238,0.22533009826875472,8.473850556227454,0.0028394449068103764,-47.67793217266455,1.2299231744732113,0,0,56.875264537274106
2025-01-01 00:03:00,1.0834649334348538,0.20302997293288905,0.506075,0.018057748890580896,0.0033838328822148175,0.008434583333333334,0.06819485395680465,0.3748492461447157,0.5904208333333334,0.05,0.0,0.506075,0.0,0.1884466395995557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.01838954495614035,0.0,On,0.029212587602186296,0,On,0.020592721398478,0.0,On,0.006927113717315616,0,On,0.18867481087199273,0.1415061081539945,On,0.06078566145231338,0,On,0.055874284842345696,0,On,0,0,Off,On,10867.243840311357,18.888888888888914,0.7999999999999999,1588.4539974664199,14.831596255555556,0.5904208333333334,1,11865.277004444444,11865.277004444444,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5243.042177777778,Off,0.0,0,91.19160241507188,51.666666666666686,46.10666666666668,0.0,51.85900818300248,0.0,0.0,0.0,142.48687877354982,51.919569392895795,51.94984999784246,51.85900818300248,12.43753247303448,17.931039627661143,-0.45784926122777136,-2.3694620821071926,2.8,9.236100170605994,6488.927446623811,3817.6176727112897,-2619.4093058970657,-0.0,-0.0,511.17575971248846,0.0,3.0,0.13283635357615733,0.0,0.0,2.5784563329277117,197.99884266666666,-96.63407944069874,0.22772053073597665,8.39377248672428,0.0028391042122540744,-46.568514366994,1.2306402940394598,0,0,55.714907182597486
2025-01-01 00:04:00,1.0834649334348538,0.20302997293288905,0.506075,0.018057748890580896,0.0033838328822148175,0.008434583333333334,0.06819485395680465,0.3748492461447157,0.5904208333333334,0.05,0.0,0.506075,0.0,0.1884466395995557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.01838954495614035,0.0,On,0.029212587602186296,0,On,0.020592721398478,0.0,On,0.006927113717315616,0,On,0.18867481087199273,0.1415061081539945,On,0.06078566145231338,0,On,0.055874284842345696,0,On,0,0,Off,On,10867.243840311357,18.888888888888914,0.7999999999999999,1588.4539974664199,14.831596255555556,0.5904208333333334,1,11865.277004444444,11865.277004444444,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5243.042177777778,Off,0.0,0,90.70251332354357,51.666666666666686,46.10666666666668,0.0,51.838956129150205,0.0,0.0,0.0,141.72267706803683,51.90062501844798,51.931459463096886,51.838956129150205,12.43753247303448,18.094343052390247,-0.29454583649866706,-1.946228731295967,2.8,9.236100170605994,6442.065161792217,3814.1374416371505,-2659.7208426624084,-0.0,-0.0,511.17575971248846,0.0,3.0,0.1334404744672986,0.0,0.0,2.5901827865353386,197.99884266666666,-103.18482750695019,0.22536692234079908,8.470402687816703,0.002838771639229596,-47.35618401558576,1.2299505093394807,0,0,52.2346761084583
2025-01-01 00:05:00,1.0834649334348538,0.20302997293288905,0.506075,0.018057748890580896,0.0033838328822148175,0.008434583333333334,0.06819485395680465,0.3748492461447157,0.5904208333333334,0.05,0.0,0.506075,0.0,0.1884466395995557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.01838954495614035,0.0,On,0.029212587602186296,0,On,0.020592721398478,0.0,On,0.006927113717315616,0,On,0.18867481087199273,0.1415061081539945,On,0.06078566145231338,0,On,0.055874284842345696,0,On,0,0,Off,On,10867.243840311357,18.888888888888914,0.7999999999999999,1588.4539974664199,14.831596255555556,0.5904208333333334,1,11865.277004444444,11865.277004444444,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5243.042177777778,Off,0.0,0,90.22971952831642,51.666666666666686,46.10666666666668,0.0,51.81901252154647,0.0,0.0,0.0,140.9839367629944,51.88178224860677,51.91316711213693,51.81901252154647,12.43753247303448,18.2516751052679,-0.13721378362101433,-1.5317416535666868,2.8,9.236100170605994,6398.61321289505,3810.953362290271,-2698.786360574508,-0.0,-0.0,511.17575971248846,0.0,3.0,0.13402175072081127,0.0,0.0,2.6014658080629576,197.99884266666666,-107.57125849201714,0.22312372651560383,8.543561386773295,0.002838433251325624,-48.10502665364435,1.2292866919514926,0,0,49.05059676157859
2025-01-01 00:06:00,1.0834649334348538,0.20302997293288905,0.506075,0.018057748890580896,0.0033838328822148175,0.008434583333333334,0.06819485395680465,0.3748492461447157,0.5904208333333334,0.05,0.0,0.506075,0.0,0.1884466395995557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.01838954495614035,0.0,On,0.029212587602186296,0,On,0.020592721398478,0.0,On,0.006927113717315616,0,On,0.18867481087199273,0.1415061081539945,On,0.06078566145231338,0,On,0.055874284842345696,0,On,0,0,Off,On,10867.243840311357,18.888888888888914,0.7999999999999999,1588.4539974664199,14.831596255555556,0.5904208333333334,1,11865.277004444444,11865.277004444444,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5243.042177777778,Off,0.0,0,89.77226545125554,51.666666666666686,46.10666666666668,0.0,51.79917376592307,0.0,0.0,0.0,140.26916476758677,51.86303769814603,51.894969664257516,51.79917376592307,12.43753247303448,18.403388534405273,0.0,-1.1255562915518729,2.8,9.236100170605994,6356.901442633412,3807.8622608665355,-2736.6682103926605,-0.0,-0.0,511.17575971248846,0.0,3.0,0.13458156449499284,0.0,0.0,2.612332226271819,197.99884266666666,-111.40117893550263,0.22098294536388863,8.61411184017351,0.0028380893268790406,-48.81732326660957,1.2286472723108628,0,0,45.95949533784302
2025-01-01 00:07:00,1.0834649334348538,0.20302997293288905,0.506075,0.018057748890580896,0.0033838328822148175,0.008434583333333334,0.06819485395680465,0.3748492461447157,0.5904208333333334,0.05,0.0,0.506075,0.0,0.1884466395995557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.01838954495614035,0.0,On,0.029212587602186296,0,On,0.020592721398478,0.0,On,0.006927113717315616,0,On,0.18867481087199273,0.1415061081539945,On,0.06078566145231338,0,On,0.055874284842345696,0,On,0,0,Off,On,10867.243840311357,18.888888888888914,0.7999999999999999,1588.4539974664199,14.831596255555556,0.5904208333333334,1,11865.277004444444,11865.277004444444,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5243.042177777778,Off,0.0,0,89.32940681648144,51.666666666666686,46.10666666666668,0.0,51.7794364786637,0.0,0.0,0.0,139.57719815075225,51.84438818035385,51.87686403119894,51.7794364786637,12.43753247303448,18.54975753540898,0.0,-0.7273167426818301,2.8,9.236100170605994,6316.61384014326,3804.892081057114,-2773.4119033299376,-0.0,-0.0,511.17575971248846,0.0,3.0,0.13512100008802289,0.0,0.0,2.6228030882279736,197.99884266666666,-114.94508848837745,0.2189380339616351,8.682227618996462,0.0028377401282665637,-49.494889650167174,1.2280310208652228,0,0,42.9893155284217
2025-01-01 00:08:00,1.0834649334348538,0.20302997293288905,0.506075,0.018057748890580896,0.0033838328822148175,0.008434583333333334,0.06819485395680465,0.3748492461447157,0.5904208333333334,0.05,0.0,0.506075,0.0,0.1884466395995557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.01838954495614035,0.0,On,0.029212587602186296,0,On,0.020592721398478,0.0,On,0.006927113717315616,0,On,0.18867481087199273,0.1415061081539945,On,0.06078566145231338,0,On,0.055874284842345696,0,On,0,0,Off,On,10867.243840311357,18.888888888888914,0.7999999999999999,1588.4539974664199,14.831596255555556,0.5904208333333334,1,11865.277004444444,11865.277004444444,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5243.042177777778,Off,0.0,0,88.90046534113583,51.666666666666686,46.10666666666668,0.0,51.75979744024495,0.0,0.0,0.0,138.90697709552472,51.8258306631361,51.858847274581684,51.75979744024495,12.43753247303448,18.69103186347369,0.0,-0.33671633098955,2.8,9.236100170605994,6277.620756424339,3802.043850021932,-2809.0591075804887,-0.0,-0.0,511.17575971248846,0.0,3.0,0.1356410450748708,0.0,0.0,2.6328975635251783,197.99884266666666,-118.29096795674818,0.21698308043685421,8.74806736871814,0.0028373859052392486,-50.13938709300347,1.227436818283174,0,0,40.14108449323976
2025-01-01 00:09:00,1.0834649334348538,0.20302997293288905,0.506075,0.018057748890580896,0.0033838328822148175,0.008434583333333334,0.06819485395680465,0.3748492461447157,0.5904208333333334,0.05,0.0,0.506075,0.0,0.1884466395995557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.01838954495614035,0.0,On,0.029212587602186296,0,On,0.020592721398478,0.0,On,0.006927113717315616,0,On,0.18867481087199273,0.1415061081539945,On,0.06078566145231338,0,On,0.055874284842345696,0,On,0,0,Off,On,10867.243840311357,18.888888888888914,0.7999999999999999,1588.4539974664199,14.831596255555556,0.5904208333333334,1,11865.277004444444,11865.277004444444,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5243.042177777778,Off,0.0,0,88.49025195771142,51.666666666666686,46.10666666666668,0.0,51.80736225530683,0.0,0.0,0.0,138.2660186839241,51.80736225530683,51.80736225530683,51.80736225530683,12.43753247303448,18.827444988193175,0.0,0.04651450884816691,2.8,9.236100170605994,6239.872524564687,3799.3161754658495,-2843.649427129061,-0.0,-0.0,511.17575971248846,0.0,3.0,0.13614262105921107,0.0,0.0,2.642633541203346,197.99884266666666,-121.44888026782688,0.21511265650730638,8.811106868229128,0.0028370268959862564,-50.75237001935081,1.2268636202590768,0,0,37.41340993715725
