Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.7474231264054164,0.19022328745929568,0.31278750000000005,0.01245705210675694,0.0031703881243215944,0.005213125000000001,0.08685593509247269,0.24564844131294364,0.36491875000000007,0.05,0.0,0.31278750000000005,0.0,0.17563995412596234,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.03490093903746442,0,On,0.03490093903746442,0.0,On,0.011461835811660449,0,On,0.19454421135262748,0.14590815851447056,On,On,6158.664808972388,21.166666666666714,0.7999999999999999,1539.7723543609459,9.166898016666668,0.36491875000000007,1,7333.518413333333,7333.518413333333,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,4580.408395555555,Off,0.0,0,67.98296836211735,51.666666666666686,46.10666666666668,0.0,50.151128330294526,0.0,0.0,0.0,106.22338806580835,49.67067626599042,50.151128330294526,49.43045023383838,12.43753247303448,21.156214195532083,0.0,-2.6643420250592875,-2.7999999999988767,2.8,9.236100170605994,4002.158037808766,2850.8098840731773,539.1401167047766,-1331.0408282996998,-0.0,-0.0,450.9515096693991,0.0,2.0010000000000003,0.05564044676874579,0.0,0.0,1.4400907577245003,132.0652280586667,-44.68449073884283,0.19871205249888807,10.071792716756686,0.0030372559992377364,-13.994610136693478,1.2134640748842924,0,0,79.3045679177538,0.08538728061859517,623.1589852791199,-84.01886857434323
2025-01-01 00:01:00,0.7474231264054164,0.19022328745929568,0.31278750000000005,0.01245705210675694,0.0031703881243215944,0.005213125000000001,0.08685593509247269,0.24564844131294364,0.36491875000000007,0.05,0.0,0.31278750000000005,0.0,0.17563995412596234,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.03490093903746442,0,On,0.03490093903746442,0.0,On,0.011461835811660449,0,On,0.19454421135262748,0.14590815851447056,On,On,6158.664808972388,21.166666666666714,0.7999999999999999,1539.7723543609459,9.166898016666668,0.36491875000000007,1,7333.518413333333,7333.518413333333,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,4580.408395555555,Off,0.0,0,67.67711461942993,51.666666666666686,46.10666666666668,0.0,50.13959912851786,0.0,0.0,0.0,105.74549159285927,49.66008405046878,50.13959912851786,49.42032651144425,12.43753247303448,21.27394983814938,0.0,-2.396804315122976,-2.7042673701468685,2.8,9.236100170605994,3982.381466391941,2847.7745892982584,524.9771127530706,-1343.1770459362808,-0.0,-0.0,450.9515096693991,0.0,2.0010000000000003,0.0557899342251354,0.0,0.0,1.443959804736958,132.0652280586667,-52.32484451908675,0.19784904961340666,10.148144875753221,0.003037120849232219,-14.294622759689144,1.2165221965242023,0,0,76.26927314283535,0.08518892956970636,611.0831867225751,-86.10607396950442
2025-01-01 00:02:00,0.3825043764054163,0.19022328745929568,0.0,0.006375072940090271,0.0031703881243215944,0.0,0.08685593509247269,0.24564844131294364,0.0,0.05,0.0,0.0,0.0,0.17563995412596234,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.03490093903746442,0,On,0.03490093903746442,0.0,On,0.011461835811660449,0,On,0.19454421135262748,0.14590815851447056,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,7333.518413333333,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,4580.408395555555,Off,0.0,0,67.37984347497634,51.666666666666686,46.10666666666668,0.0,50.12812125910651,0.0,0.0,0.0,105.28100542965052,49.6495394890705,50.12812125910651,49.410248604052505,12.43753247303448,21.3881313363852,0.0,-2.1343569984331263,-2.613073624827384,2.8,9.236100170605994,-963.9006633545811,73.55861378289339,512.0781595315045,-1354.988068352426,-0.0,-0.0,450.9515096693991,0.0,2.0010000000000003,0.05593479962636036,0.0,0.0,1.4477092233260138,132.0652280586667,-59.8641046715543,0.19645994546046028,10.198981262296105,0.003036983148944395,-14.58404008513659,1.2160506970191125,0,0,73.55861378289339,0.0849995522954837,599.6229190006254,-87.54475946912083
2025-01-01 00:03:00,0.3825043764054163,0.19022328745929568,0.0,0.006375072940090271,0.0031703881243215944,0.0,0.08685593509247269,0.24564844131294364,0.0,0.05,0.0,0.0,0.0,0.17563995412596234,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.03490093903746442,0,On,0.03490093903746442,0.0,On,0.011461835811660449,0,On,0.19454421135262748,0.14590815851447056,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,7333.518413333333,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,4580.408395555555,Off,0.0,0,67.68130276621191,51.666666666666686,46.10666666666668,0.0,50.11669329153835,0.0,0.0,0.0,105.75203557220611,49.63904124456756,50.11669329153835,49.40021522108217,12.43753247303448,21.251085495947105,0.0,-2.0163658345718667,-2.5258176516180555,2.8,9.236100170605994,-950.7588225722365,72.51891281362327,500.1206388048034,-1340.8168101314866,-0.0,-0.0,450.9515096693991,0.0,2.0010000000000003,0.055760912610010864,0.0,0.0,1.443208664835282,132.0652280586667,-60.893522110148936,0.19810868309070115,10.13767902486768,0.0030368426062241647,-14.182414129062987,1.2166168805553594,0,0,72.51891281362327,0.08481795654802124,588.6969012359215,-88.57626243111808
2025-01-01 00:04:00,0.3825043764054163,0.19022328745929568,0.0,0.006375072940090271,0.0031703881243215944,0.0,0.08685593509247269,0.24564844131294364,0.0,0.05,0.0,0.0,0.0,0.17563995412596234,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.03490093903746442,0,On,0.03490093903746442,0.0,On,0.011461835811660449,0,On,0.19454421135262748,0.14590815851447056,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,7333.518413333333,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,4580.408395555555,Off,0.0,0,67.97346218692773,51.666666666666686,46.10666666666668,0.0,50.105215542194735,0.0,0.0,0.0,106.20853466707459,49.62849603062712,50.105215542194735,49.39013627484331,12.43753247303448,21.117895537420964,0.0,-1.9002972036984713,-2.4420135982850635,2.8,9.236100170605994,-936.7483623230154,71.39705683873305,488.97581377934364,-1327.100238343059,-0.0,-0.0,450.9515096693991,0.0,2.0010000000000003,0.05559176940746995,0.0,0.0,1.4388308861354906,132.0652280586667,-60.59963364935571,0.1997259846982768,10.078296956842399,0.0030367059974760412,-13.791911658353353,1.2171676394470057,0,0,71.39705683873305,0.0846431780963612,578.2395016406053,-89.26368786126167
2025-01-01 00:05:00,0.3825043764054163,0.19022328745929568,0.0,0.006375072940090271,0.0031703881243215944,0.0,0.08685593509247269,0.24564844131294364,0.0,0.05,0.0,0.0,0.0,0.17563995412596234,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.03490093903746442,0,On,0.03490093903746442,0.0,On,0.011461835811660449,0,On,0.19454421135262748,0.14590815851447056,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,7333.518413333333,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,4580.408395555555,Off,0.0,0,68.25656609347254,51.666666666666686,46.10666666666668,0.0,50.09368956063587,0.0,0.0,0.0,106.65088452105086,49.617905296233154,50.09368956063587,49.3800131640318,12.43753247303448,20.98846036232795,0.0,-1.786110821261358,-2.36124681168878,2.8,9.236100170605994,-921.1137625381447,70.3383693192068,478.5350730544835,-1313.8232966457294,-0.0,-0.0,450.9515096693991,0.0,2.0010000000000003,0.055427254698891634,0.0,0.0,1.4345729025086147,132.0652280586667,-58.24197556181436,0.2013119572345684,10.020072852905837,0.003036573210262944,-13.41225065341035,1.217703349700632,0,0,70.3383693192068,0.08447439185283631,568.1949289736908,-89.6598559192073
2025-01-01 00:06:00,0.3825043764054163,0.19022328745929568,0.0,0.006375072940090271,0.0031703881243215944,0.0,0.08685593509247269,0.24564844131294364,0.0,0.05,0.0,0.0,0.0,0.17563995412596234,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.03490093903746442,0,On,0.03490093903746442,0.0,On,0.011461835811660449,0,On,0.19454421135262748,0.14590815851447056,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,7333.518413333333,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,4580.408395555555,Off,0.0,0,68.53075266463118,51.666666666666686,46.10666666666668,0.0,50.082116855695176,0.0,0.0,0.0,107.07930103848621,49.60727045229727,50.082116855695176,49.369847250598326,12.43753247303448,20.862723394401804,0.0,-1.6737591165352084,-2.2831633761935657,2.8,9.236100170605994,-905.357762604532,69.32508766608136,468.70413781120374,-1300.975751971222,-0.0,-0.0,450.9515096693991,0.0,2.0010000000000003,0.05526730897492659,0.0,0.0,1.430433173728633,132.0652280586667,-55.333520302709076,0.2028662089143652,9.963703481115756,0.0030364441351994997,-13.043271217756125,1.2182242054176882,0,0,69.32508766608136,0.0843108920220143,558.515724237513,-89.81158642630928
2025-01-01 00:07:00,0.3825043764054163,0.19022328745929568,0.0,0.006375072940090271,0.0031703881243215944,0.0,0.08685593509247269,0.24564844131294364,0.0,0.05,0.0,0.0,0.0,0.17563995412596234,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.03490093903746442,0,On,0.03490093903746442,0.0,On,0.011461835811660449,0,On,0.19454421135262748,0.14590815851447056,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,7333.518413333333,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,4580.408395555555,Off,0.0,0,68.79632790608545,51.666666666666686,46.10666666666668,0.0,50.070498913157856,0.0,0.0,0.0,107.49426235325852,49.59659288820184,50.070498913157856,49.35963987572384,12.43753247303448,20.74055760257216,0.0,-1.5631963464145202,-2.207461931781773,2.8,9.236100170605994,-890.0639386992049,68.3541065987039,459.40233012604904,-1288.5404177551168,-0.0,-0.0,450.9515096693991,0.0,2.0010000000000003,0.055111782360867737,0.0,0.0,1.4264078207256778,132.0652280586667,-52.47503061348728,0.20438927226902617,9.909126116339783,0.0030363186647403323,-12.684618846998742,1.2187306947317254,0,0,68.3541065987039,0.08415207659389476,549.1615797301658,-89.75924960411683
2025-01-01 00:08:00,0.3825043764054163,0.19022328745929568,0.0,0.006375072940090271,0.0031703881243215944,0.0,0.08685593509247269,0.24564844131294364,0.0,0.05,0.0,0.0,0.0,0.17563995412596234,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.03490093903746442,0,On,0.03490093903746442,0.0,On,0.011461835811660449,0,On,0.19454421135262748,0.14590815851447056,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,7333.518413333333,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,4580.408395555555,Off,0.0,0,69.05365119335697,51.666666666666686,46.10666666666668,0.0,50.058837167820236,0.0,0.0,0.0,107.89632998962027,49.58587394565145,50.058837167820236,49.349392334567064,12.43753247303448,20.621813509855123,-0.04485315681159108,-1.4543783055643233,-2.1338863814889293,2.8,9.236100170605994,-875.336130851752,67.42182785113832,450.56058601859957,-1276.498139402605,-0.0,-0.0,450.9515096693991,0.0,2.0010000000000003,0.05496049548584929,0.0,0.0,1.4224922010078027,132.0652280586667,-49.78950111854617,0.20588203147907794,9.855563074755594,0.0030361966950673675,-12.335876622824454,1.219223401690053,0,0,67.42182785113832,0.08399743337318474,540.0983022610546,-89.53771624245508
2025-01-01 00:09:00,0.3825043764054163,0.19022328745929568,0.0,0.006375072940090271,0.0031703881243215944,0.0,0.08685593509247269,0.24564844131294364,0.0,0.05,0.0,0.0,0.0,0.17563995412596234,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.03490093903746442,0,On,0.03490093903746442,0.0,On,0.011461835811660449,0,On,0.19454421135262748,0.14590815851447056,On,Off,0.0,21.166666666666714,0.0,0.0,0.0,0.0,0,0.0,7333.518413333333,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,4580.408395555555,Off,0.0,0,69.30307702665006,51.666666666666686,46.10666666666668,0.0,50.04713299460572,0.0,0.0,0.0,108.28605785414071,49.575114910357485,50.04713299460572,49.33910586823338,12.43753247303448,20.506343629246413,-0.16032303742030152,-1.3472625954119595,-2.0622195621857426,2.8,9.236100170605994,-861.1438866366226,66.52522100760294,442.1198869217575,-1264.8302872441898,-0.0,-0.0,450.9515096693991,0.0,2.0010000000000003,0.0548132705869026,0.0,0.0,1.4186817136987908,132.0652280586667,-47.26510906183205,0.20734541974972837,9.803650049046851,0.00303607812667975,-11.996632625904123,1.2197029050110701,0,0,66.52522100760294,0.0838465277640119,531.2969228816411,-89.17703595988358
