Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,1.6244616348203604,0.08700323111103057,0.0,1.6244616348203604,0.08700323111103057,0.0,0.011848679257211158,0.0,0.09911550167426048,1.4634974538888887,0.05,0.0,0.0,0.07241989777769724,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.003412116228070175,0.0,0.008436563029140982,0.0,0.0025556379706641206,0.0,0.05889958926237344,0.04417469194678006,0.0,0.0,1463.497453888889,20.000000000000057,0.4,0.0,1.4108443288888888,0.052653124999999995,0.4,1410.8443288888889,3527.1108222222224,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3804.9422355555557,0.0,0.0,22.42109048145503,51.66666666666668,46.10666666666668,0.0,51.47969625403882,0.0,0.0,0.0,22.42109048145503,51.506448159589155,51.51982411236433,51.47969625403882,12.43753247303448,19.66792224326291,-0.051077622450856154,2.8,1397.7633979637428,-318.51267392885046,0.0,0.0,238.84043812754993,0.0,2.0,0.014487432286313223,0.0,0.0,0.20230973574567512,131.99922844444444,13.93817987615422,0.21682221660831283,9.398015843394992,0.003013702965628896,73.38212073514957,1.223153519220027
2025-01-01 01:00:00,1.3793479769274097,0.08629710096525764,0.0,1.37934797692741,0.08629710096525764,0.0,0.011592770540105895,0.0,0.09817399481322989,1.219581211574074,0.05,0.0,0.0,0.0717137676319243,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03671876758019234,0.027539075685144247,0.0,0.0,0.0031562075109649117,0.0,0.008436563029140982,0.0,0.0025556379706641206,0.0,0.05889958926237344,0.04417469194678006,0.0,0.0,1219.5812115740741,20.000000000000057,0.3333333333333333,0.0,1.1757036074074074,0.04387760416666667,0.3333333333333333,1175.7036074074074,3527.1108222222224,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3804.9422355555557,0.0,0.0,22.242504731050875,51.66666666666668,46.10666666666668,0.0,51.2806929581715,0.0,0.0,0.0,22.242504731050875,51.3182589382492,51.33704192828806,51.2806929581715,12.43753247303448,19.733003689811177,-0.0478707045167169,2.5,1162.519127600123,-305.5337536677379,0.0,0.0,237.6430225494141,0.0,2.0,0.013598862343322225,0.0,0.0,0.18990130153833185,131.99922844444444,10.82864714437258,0.21759052066973858,9.453695409173797,0.003036495636009865,74.88438332729167,1.2229246053083616
2025-01-01 02:00:00,1.1344902277515643,0.08559097081948472,0.0,1.1344902277515645,0.08559097081948472,0.0,0.011592770540105895,0.0,0.09723248795219933,0.9756649692592593,0.05,0.0,0.0,0.07100763748615138,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.0031562075109649117,0.0,0.008436563029140982,0.0,0.0025556379706641206,0.0,0.05889958926237344,0.04417469194678006,0.0,0.0,975.6649692592594,20.000000000000057,0.26666666666666666,0.0,0.940562885925926,0.03510208333333333,0.26666666666666666,940.562885925926,3527.1108222222224,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3804.9422355555557,0.0,0.0,22.13373760971107,51.66666666666668,46.10666666666668,0.0,51.08290439814676,0.0,0.0,0.0,22.13373760971107,51.13112108768893,51.15522943246002,51.08290439814676,12.43753247303448,19.69999954136257,-0.04866723241281967,1.6500000000000001,924.2133993229165,-303.18920201851296,0.0,0.0,236.70151568838352,0.0,2.0,0.012826551343232124,0.0,0.0,0.17911636523948765,131.99922844444444,15.036116393786585,0.21972532978169454,9.465443452652911,0.003060309994563783,78.22601523457789,1.223044630358395
2025-01-01 03:00:00,1.1333781150791302,0.08488484067371178,0.0,1.1333781150791304,0.08488484067371178,0.0,0.011422164728702385,0.0,0.09629098109116874,0.9756649692592593,0.05,0.0,0.0,0.07030150734037845,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03483575385813119,0.026126815393598384,0.0,0.0,0.002985601699561403,0.0,0.008436563029140982,0.0,0.0025556379706641206,0.0,0.05889958926237344,0.04417469194678006,0.0,0.0,975.6649692592594,20.000000000000057,0.26666666666666666,0.0,0.940562885925926,0.03510208333333333,0.26666666666666666,940.562885925926,3527.1108222222224,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3804.9422355555557,0.0,0.0,22.028080285022952,51.66666666666668,46.10666666666668,0.0,50.88644153317064,0.0,0.0,0.0,22.028080285022952,50.94514084802341,50.97449050544981,50.88644153317064,12.43753247303448,19.66374208658346,-0.045737343909365374,1.6500000000000001,914.5567080506056,-313.0557370950142,0.0,0.0,235.58940301594944,0.0,2.0,0.013286456910524028,0.0,0.0,0.1855387161397705,131.99922844444444,16.35807287041102,0.221930924296909,9.475895160890907,0.0030842516537763712,71.43872528692891,1.2231783118958464
2025-01-01 04:00:00,1.1934156687968034,0.08417871052793885,0.0,1.1934156687968034,0.08417871052793885,0.0,0.011422164728702385,0.0,0.09534947423013818,1.0366440298379629,0.05,0.0,0.0,0.06959537719460553,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.002985601699561403,0.0,0.008436563029140982,0.0,0.0025556379706641206,0.0,0.05889958926237344,0.04417469194678006,0.0,0.0,1036.644029837963,20.000000000000057,0.2833333333333333,0.0,0.9993480662962962,0.037295963541666664,0.2833333333333333,999.3480662962963,3527.1108222222224,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3804.9422355555557,0.0,0.0,21.94375013931759,51.66666666666668,46.10666666666668,0.0,50.739930539410906,0.0,0.0,0.0,21.94375013931759,50.76017546850823,50.770297933056895,50.739930539410906,12.43753247303448,19.59966049890501,-0.08258461548886557,0.55,952.6992699340881,-340.9287224628341,0.0,0.0,234.64789615491887,0.0,2.0,0.013618642671999477,0.0,0.0,0.1901775239211925,131.99922844444444,22.33606640404035,0.22425312831040672,9.466793348480893,0.0031055456281755887,76.23221010656282,1.222856479574704
2025-01-01 05:00:00,1.9255056073640548,0.08417871052793885,0.0,1.925505607364055,0.08417871052793885,0.0,0.011763376351509404,0.0,0.09534947423013818,1.7683927567824074,0.05,0.0,0.0,0.06959537719460553,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.003326813322368421,0.0,0.008436563029140982,0.0,0.0025556379706641206,0.0,0.05889958926237344,0.04417469194678006,0.0,0.0,1768.3927567824073,20.000000000000057,0.48333333333333334,0.0,1.7047702307407409,0.06362252604166667,0.48333333333333334,1704.7702307407408,3527.1108222222224,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3804.9422355555557,0.0,0.0,21.764155988292693,51.66666666666668,46.10666666666668,0.0,50.56308212340151,0.0,0.0,0.0,21.764155988292693,50.57629459306481,50.58290082789645,50.56308212340151,12.43753247303448,19.671009324139256,-0.0500555672359378,-0.25000000000000006,1668.4844921602942,-357.7492255427865,0.0,0.0,234.9891077777259,0.0,2.0,0.013636116550782153,0.0,0.0,0.19042153788647706,131.99922844444444,22.85185314294741,0.22498163292069956,9.523986687235087,0.003131242096386123,77.54824466212455,1.2219258323515303
2025-01-01 06:00:00,1.257045469248884,0.08559097081948472,0.0,1.257045469248884,0.08559097081948472,0.0,0.012189890880018175,0.0,0.09723248795219933,1.0976230904166668,0.05,0.0,0.0,0.07100763748615138,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.003753327850877193,0.0,0.008436563029140982,0.0,0.0025556379706641206,0.0,0.05889958926237344,0.04417469194678006,0.0,0.0,1097.6230904166666,20.000000000000057,0.3,0.0,1.0581332466666666,0.039489843749999996,0.3,1058.1332466666668,3527.1108222222224,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3804.9422355555557,0.0,0.0,21.58619479161553,51.66666666666668,46.10666666666668,0.0,50.36980751546967,0.0,0.0,0.0,21.58619479161553,50.39363598281916,50.40555021649391,50.36980751546967,12.43753247303448,19.740740371791407,-0.04420497179642619,0.3,1004.9570430249662,-348.32024593996647,0.0,0.0,237.2986360282958,0.0,2.0,0.013633955945917207,0.0,0.0,0.1903913661216923,131.99922844444444,18.355562519970185,0.2255518117663279,9.579706185514144,0.003152845402825929,67.69604080080838,1.2216192063244031
2025-01-01 07:00:00,1.1976935136751363,0.08700323111103057,0.0,1.1976935136751363,0.08700323111103057,0.0,0.011933982162912912,0.0,0.09911550167426048,1.0366440298379629,0.05,0.0,0.0,0.07241989777769724,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.0034974191337719296,0.0,0.008436563029140982,0.0,0.0025556379706641206,0.0,0.05889958926237344,0.04417469194678006,0.0,0.0,1036.644029837963,20.000000000000057,0.2833333333333333,0.0,0.9993480662962962,0.037295963541666664,0.2833333333333333,999.3480662962963,3527.1108222222224,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3804.9422355555557,0.0,0.0,21.506430601435973,51.66666666666668,46.10666666666668,0.0,50.17774531228756,0.0,0.0,0.0,21.506430601435973,50.21202828459664,50.22916977075119,50.17774531228756,12.43753247303448,19.67208828367217,-0.04408815866120612,-0.55,929.426676627001,-372.34315218741136,0.0,0.0,238.92574103325168,6.735762538820889,2.0,0.013955931405630903,0.0,0.0,0.19488759215291307,131.99922844444444,26.200057943197628,0.22805782873116368,9.572982745784206,0.003174570255702675,73.95766384513244,1.2218893997895952
2025-01-01 08:00:00,1.1977819914791494,0.08770936125680352,0.0,1.1977819914791494,0.08770936125680351,0.0,0.011080953105895368,0.0,0.10005700853529104,1.0366440298379629,0.05,0.0,0.0,0.07312602792347017,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.0026443900767543858,0.0,0.008436563029140982,0.0,0.0025556379706641206,0.0,0.05889958926237344,0.04417469194678006,0.0,0.0,1036.644029837963,20.000000000000057,0.2833333333333333,0.0,0.9993480662962962,0.037295963541666664,0.2833333333333333,999.3480662962963,3527.1108222222224,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3804.9422355555557,0.0,0.0,21.4059000669364,51.66666666666668,46.10666666666668,0.0,49.98693877373338,0.0,0.0,0.0,21.4059000669364,50.03151381937267,50.05380134219232,49.98693877373338,12.43753247303448,19.634022238029313,-0.06387300058816574,-1.4,979.8735178529975,-400.6716245290183,0.0,0.0,239.0142188372647,433.5812774152435,2.0,0.014407893874680017,0.0,0.0,0.2011990216645921,131.99922844444444,104.88689370678803,0.23047207949155085,9.58699055853783,0.0031991081396468067,85.33448309291678,1.222604395183974
2025-01-01 09:00:00,1.0927513740763888,0.10044299131975434,0.0,1.092751374076389,0.10044299131975434,0.0,0.05727826100239542,0.0,0.13176626497214164,0.8537068481018519,0.05,0.0,0.0,0.085859657986421,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.0021325726425438594,0.0,0.05514568835985156,0.0,0.017286720990246928,0.0,0.0758777626796412,0.0569083220097309,0.0,0.0,853.706848101852,20.000000000000057,0.23333333333333334,0.0,0.8229925251851852,0.030714322916666665,0.23333333333333334,822.9925251851853,3527.1108222222224,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3804.9422355555557,0.0,0.0,20.740481841118317,51.66666666666668,46.10666666666668,0.0,49.69564990626125,0.10696779865581263,277.0643573064477,0.0,20.740481841118317,49.176757359893266,49.73618025493621,48.87678073803431,12.43753247303448,19.72184183682425,-0.03787056589372249,-0.85,1016.2572076546428,-386.3112759089361,0.0,0.0,315.7323110314066,1129.6751797443164,2.0,0.014216951891169002,0.0,0.0,0.19853261249950058,131.99922844444444,233.12932443032042,0.23136034655464974,9.662840685932172,0.0032276824364031536,99.48378746968982,1.2228298028204605
