Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Water Heating Heat Pump Max Capacity (W),Water Heating Heat Pump On Fraction (-),Water Heating Heat Pump COP (-),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.17359179705561006,0.10703514729958938,0.0,0.002893196617593501,0.001783919121659823,0.0,0.02035406607299719,0.001,0.1522377309826129,0.0,0.0,0.0002506236243534685,0.10678452367523592,0.0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004278193530701754,0.0,On,0.016075872542295436,0,On,0.00985836608229829,0,On,0.10273697075165888,0.07705272806374414,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,2687.462088888889,Off,0.0,0.0,30.054846312861947,51.666666666666686,43.496666666666684,1877.8046457856206,0,4.817435330249343,0.0,50.02110426957763,0.0,0.0,0.0,39.07312841714926,39.23721647179013,50.075636137545494,14.433327033469252,12.43753247303448,17.627358540333134,0.0,2.8,31.192773098092204,-241.66124690616132,-0.0,-0.0,231.7748233252162,0.0,1.0,0.01250620578946253,0.0,0,0.3190106263761624,65.99961422222222,41.07919667903732,0.2297918478292325,8.203893399022267,0.0028187392083032815,34.96944042817576,1.2283525075539479
2025-01-01 00:01:00,0.17359179705561006,0.10703514729958938,0.0,0.002893196617593501,0.001783919121659823,0.0,0.02035406607299719,0.001,0.1522377309826129,0.0,0.0,0.0002506236243534685,0.10678452367523592,0.0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004278193530701754,0.0,On,0.016075872542295436,0,On,0.00985836608229829,0,On,0.10273697075165888,0.07705272806374414,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,2687.462088888889,Off,0.0,0.0,30.065919948599472,51.666666666666686,43.496666666666684,1879.2615098315252,0,4.820510430424219,0.0,50.01215612320549,0.0,0.0,0.0,39.0878932647993,39.2339263200566,50.07120789711492,14.437213244800626,12.43753247303448,17.61640509219079,0.0,2.8,25.799895873863278,-241.40825503885287,-0.0,-0.0,231.7748233252162,0.0,1.0,0.012502349101645865,0.0,0,0.31891224926508305,65.99961422222222,35.433327587499946,0.23064921439790462,8.22168829757173,0.0028190680055539784,34.962051709297356,1.2319868482589023
2025-01-01 00:02:00,0.17359179705561006,0.10703514729958938,0.0,0.002893196617593501,0.001783919121659823,0.0,0.02035406607299719,0.001,0.1522377309826129,0.0,0.0,0.0002506236243534685,0.10678452367523592,0.0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004278193530701754,0.0,On,0.016075872542295436,0,On,0.00985836608229829,0,On,0.10273697075165888,0.07705272806374414,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,2687.462088888889,Off,0.0,0.0,30.07757698181043,51.666666666666686,43.496666666666684,1878.8611303217886,0,4.819719698698803,0.0,50.00321139872115,0.0,0.0,0.0,39.10343597574724,39.23063492504947,50.06677836415778,14.441094206905444,12.43753247303448,17.60504081730489,0.0,2.8,20.369425869563628,-241.14588386214686,-0.0,-0.0,231.7748233252162,0.0,1.0,0.012498347409067117,0.0,0,0.3188101733455274,65.99961422222222,29.740486406494288,0.23084138982568908,8.216685962589121,0.002819395763591383,34.954926183281614,1.2320347572842336
2025-01-01 00:03:00,0.17359179705561006,0.10703514729958938,0.0,0.002893196617593501,0.001783919121659823,0.0,0.02035406607299719,0.001,0.1522377309826129,0.0,0.0,0.0002506236243534685,0.10678452367523592,0.0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004278193530701754,0.0,On,0.016075872542295436,0,On,0.00985836608229829,0,On,0.10273697075165888,0.07705272806374414,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,2687.462088888889,Off,0.0,0.0,30.0897939312552,51.666666666666686,43.496666666666684,1878.4429927810431,0,4.818892034858654,0.0,49.99426997375158,0.0,0.0,0.0,39.1197252416736,39.22734222126878,50.06234748009407,14.444969809510718,12.43753247303448,17.593282130002176,0.0,2.8,14.926365075765887,-240.87452421262867,-0.0,-0.0,231.7748233252162,0.0,1.0,0.012494206453605074,0.0,0,0.31870454508240903,65.99961422222222,24.026065963178354,0.2310394813129262,8.211465478325922,0.0028197234420866296,34.94801767260627,1.2320843415155023
2025-01-01 00:04:00,0.17359179705561006,0.10703514729958938,0.0,0.002893196617593501,0.001783919121659823,0.0,0.02035406607299719,0.001,0.1522377309826129,0.0,0.0,0.0002506236243534685,0.10678452367523592,0.0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004278193530701754,0.0,On,0.016075872542295436,0,On,0.00985836608229829,0,On,0.10273697075165888,0.07705272806374414,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,2687.462088888889,Off,0.0,0.0,30.102546829861886,51.666666666666686,43.496666666666684,1878.007847095833,0,4.8180289976710275,0.0,49.9853317305852,0.0,0.0,0.0,39.13672910648251,39.224048145850894,50.05791518860371,14.448839946979366,12.43753247303448,17.58114578867481,0.0,2.8,12.195775465628884,-240.59457461328546,-0.0,-0.0,231.7748233252162,0.0,1.0,0.012489932099169338,0.0,0,0.31859551405342607,65.99961422222222,21.015526753698115,0.23124326093119985,8.206036039172862,0.0028200510426347716,34.94131788625247,1.2321355303335404
2025-01-01 00:05:00,0.17359179705561006,0.10703514729958938,0.0,0.002893196617593501,0.001783919121659823,0.0,0.02035406607299719,0.001,0.1522377309826129,0.0,0.0,0.0002506236243534685,0.10678452367523592,0.0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004278193530701754,0.0,On,0.016075872542295436,0,On,0.00985836608229829,0,On,0.10273697075165888,0.07705272806374414,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,2687.462088888889,Off,0.0,0.0,30.11562216126105,51.666666666666686,43.496666666666684,1877.5624138646992,0,4.817144575891223,0.0,49.97639655626394,0.0,0.0,0.0,39.1541628816814,39.22075263862302,50.05348143567302,14.452704518402292,12.43753247303448,17.56878164656809,0.0,2.8,11.729825063498197,-240.30950124652378,-0.0,-0.0,231.7748233252162,0.0,1.0,0.012485577092889366,0.0,0,0.31848442574218006,65.99961422222222,20.264502984805773,0.23145055577498133,8.200480129325499,0.002820378566772044,34.934749225574656,1.2321876889966428
2025-01-01 00:06:00,0.17359179705561006,0.10703514729958938,0.0,0.002893196617593501,0.001783919121659823,0.0,0.02035406607299719,0.001,0.1522377309826129,0.0,0.0,0.0002506236243534685,0.10678452367523592,0.0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004278193530701754,0.0,On,0.016075872542295436,0,On,0.00985836608229829,0,On,0.10273697075165888,0.07705272806374414,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,2687.462088888889,Off,0.0,0.0,30.128846358896965,51.666666666666686,43.496666666666684,1877.163955503748,0,4.816357983791397,0.0,49.967464379542776,0.0,0.0,0.0,39.17179514519595,39.21745566338457,50.04904618773821,14.456563464558041,12.43753247303448,17.556311532737855,0.0,2.8,11.63315571755328,-240.02211841706713,-0.0,-0.0,231.7748233252162,0.0,1.0,0.012481184329482923,0.0,0,0.3183723743151204,65.99961422222222,19.880450809404184,0.23165959432625785,8.195500634683638,0.0028207060154761244,34.92824846479059,1.23224030134358
2025-01-01 00:07:00,0.17359179705561006,0.10703514729958938,0.0,0.002893196617593501,0.001783919121659823,0.0,0.02035406607299719,0.001,0.1522377309826129,0.0,0.0,0.0002506236243534685,0.10678452367523592,0.0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004278193530701754,0.0,On,0.016075872542295436,0,On,0.00985836608229829,0,On,0.10273697075165888,0.07705272806374414,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,2687.462088888889,Off,0.0,0.0,30.142185308675288,51.666666666666686,43.496666666666684,1876.7099143090977,0,4.8154557090640635,0.0,49.95853516307627,0.0,0.0,0.0,39.18958041156705,39.21415720342184,50.04460942786217,14.460416760099395,12.43753247303448,17.54375938150486,0.0,2.8,11.686901771271891,-239.73298077238985,-0.0,-0.0,231.7748233252162,0.0,1.0,0.012476762230557362,0.0,0,0.3182595745921757,65.99961422222222,19.64505921844554,0.23187003109299337,8.18983866919529,0.0028210333892692762,34.92180323470375,1.2322932660288017
2025-01-01 00:08:00,0.17359179705561006,0.10703514729958938,0.0,0.002893196617593501,0.001783919121659823,0.0,0.02035406607299719,0.001,0.1522377309826129,0.0,0.0,0.0002506236243534685,0.10678452367523592,0.0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004278193530701754,0.0,On,0.016075872542295436,0,On,0.00985836608229829,0,On,0.10273697075165888,0.07705272806374414,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,2687.462088888889,Off,0.0,0.0,30.155621477163425,51.666666666666686,43.496666666666684,1876.2526744545123,0,4.814546805649706,0.0,49.94960887620641,0.0,0.0,0.0,39.20749530288457,39.21085724585124,50.04017114238682,14.464264386341256,12.43753247303448,17.531137489319555,0.0,2.8,11.811123928689454,-239.44237405607583,-0.0,-0.0,231.7748233252162,0.0,1.0,0.012472315120392076,0.0,0,0.31814613687787013,65.99961422222222,19.478674659549107,0.23208168974249552,8.18413723775644,0.0028213606885847675,34.91540720251694,1.2323465310115063
2025-01-01 00:09:00,0.17359179705561006,0.10703514729958938,0.0,0.002893196617593501,0.001783919121659823,0.0,0.02035406607299719,0.001,0.1522377309826129,0.0,0.0,0.0002506236243534685,0.10678452367523592,0.0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004278193530701754,0.0,On,0.016075872542295436,0,On,0.00985836608229829,0,On,0.10273697075165888,0.07705272806374414,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,2687.462088888889,Off,0.0,0.0,30.169143749433324,51.666666666666686,43.496666666666684,1875.7925852651183,0,4.8136320003852395,0.0,49.94068549172559,0.0,0.0,0.0,39.225524999244435,39.20755577975769,50.03573131934611,14.4681063280237,12.43753247303448,17.518453648092,0.0,2.8,11.939768776632235,-239.15047985124997,-0.0,-0.0,231.7748233252162,0.0,1.0,0.012467845737618364,0.0,0,0.31803213102972083,65.99961422222222,19.315425302665997,0.23229445931104975,8.178400626568212,0.002821687913810342,34.90905636914476,1.2324000633320824
