Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Water Heating Heat Pump Max Capacity (W),Water Heating Heat Pump On Fraction (-),Water Heating Heat Pump COP (-),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.39391636552096454,0.16225368918249045,0.0,0.39391636552096454,0.16225368918249045,0.0,0.02035406607299719,0.22132456846535448,0.1522377309826129,0.0,0.0,0.055469165507254524,0.10678452367523592,0.0,1.0,0.0,0.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.004278193530701754,0.0,0.016075872542295436,0.0,0.00985836608229829,0.0,0.1027369707516589,0.07705272806374414,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,2687.462088888889,897.124560196904,2.0335414449947997,-413.0153157019869,51.66666666666668,43.496666666666684,1833.6956366467266,0.5,4.6130620811960235,0.0,49.85311500643531,0.0,0.0,897.124560196904,41.856905121114394,40.24905739323734,49.92800308924869,15.17525109049287,12.43753247303448,17.100168927676528,0.0,2.8,-203.35229026052426,-229.6743350770975,0.0,0.0,9.195826053804874,0.0,1.0,0.012319982795137135,0.0,0.0,0.31426041555559175,65.99961422222222,17.126218762768353,0.23842424753314864,7.9761488623944965,0.0028197380422362783,-27.239862244013352,1.234120165136768
2025-01-01 01:00:00,0.5143539460865414,0.19202369648202672,0.0,0.5143539460865414,0.19202369648202675,0.0,0.020033201558194557,0.3430740733994504,0.15124667112889648,0.0,0.0,0.08598246769707814,0.10604122878494861,0.0,1.0,0.0,0.0,0.0,0.0,0.03865133429493931,0.028988500721204475,0.0,0.0,0.003957329015899122,0.0,0.016075872542295436,0.0,0.00985836608229829,0.0,0.1027369707516589,0.07705272806374414,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,2687.462088888889,1140.2616506955783,2.3873406126145023,-481.3886510018394,51.66666666666668,43.496666666666684,1557.3012656138449,0.7166666666666667,3.4847073688521495,0.0,50.81588612814944,0.0,0.0,1140.2616506955783,56.629533351473405,47.124576392441014,50.90172384386519,19.84523305575436,12.43753247303448,15.607467415025862,0.0,2.5,-209.25684562007868,-184.95636025884775,0.0,0.0,-31.842501551025055,0.0,1.0,0.010816535904214419,0.0,0.0,0.2759102122668642,65.99961422222222,7.542016189794151,0.2591757408014996,7.21686134327901,0.002787067255307921,-35.02589146807704,1.2405837198064302
2025-01-01 02:00:00,0.17128881283337466,0.10554855751901478,0.0,0.17128881283337466,0.10554855751901476,0.0,0.020033201558194557,0.001,0.15025561127518008,0.0,0.0,0.0002506236243534685,0.10529793389466131,0.0,1.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.003957329015899122,0.0,0.016075872542295436,0.0,0.00985836608229829,0.0,0.1027369707516589,0.07705272806374414,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,2687.462088888889,0.0,0.0,46.536754733496444,51.66666666666668,43.496666666666684,1471.6516559830518,0.0,3.2206471245422374,0.0,51.447250843758276,0.0,0.0,0.0,61.049006311328604,48.881693771770415,51.53775121238899,22.310963917055336,12.43753247303448,14.963709772418964,0.0,1.6500000000000001,59.09932929824567,-169.50400139568012,0.0,0.0,229.47183910298074,0.0,1.0,0.009726051786038657,0.0,0.0,0.24809394029366344,65.99961422222222,-0.8685084090549368,0.2708781554657662,6.911233387133158,0.0027953188734228212,42.29264761204721,1.2433479860731547
2025-01-01 03:00:00,0.17008384330312315,0.10480526262872748,0.0,0.17008384330312315,0.10480526262872748,0.0,0.01981929188165947,0.001,0.1492645514214637,0.0,0.0,0.0002506236243534685,0.10455463900437402,0.0,1.0,0.0,0.0,0.0,0.0,0.03666921458750652,0.027501910940629884,0.0,0.0,0.003743419339364035,0.0,0.016075872542295436,0.0,0.00985836608229829,0.0,0.1027369707516589,0.07705272806374414,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,2687.462088888889,0.0,0.0,46.93558728331118,51.66666666666668,43.496666666666684,1468.171235187764,0.0,3.2370147279978942,0.0,51.114980671411566,0.0,0.0,0.0,61.58078304441491,48.57191034030514,51.234079841494136,23.536248170241915,12.43753247303448,14.485310208206053,0.0,1.6500000000000001,55.28823340078239,-168.46718380810546,0.0,0.0,228.2668695727293,0.0,1.0,0.010046135958467883,0.0,0.0,0.2562587069750001,65.99961422222222,-4.5114523638414274,0.2816808251354802,6.702919553543376,0.0028185372558179223,37.50471476948279,1.245398473145619
2025-01-01 04:00:00,0.16909278344940676,0.10406196773844019,0.0,0.16909278344940676,0.10406196773844019,0.0,0.01981929188165947,0.001,0.1482734915677473,0.0,0.0,0.0002506236243534685,0.10381134411408673,0.0,1.0,0.0,0.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.003743419339364035,0.0,0.016075872542295436,0.0,0.00985836608229829,0.0,0.1027369707516589,0.07705272806374414,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,2687.462088888889,0.0,0.0,47.27446144201932,51.66666666666668,43.496666666666684,1463.991352368142,0.0,3.2505537767011448,0.0,50.77622530840569,0.0,0.0,0.0,62.032615256025764,48.25967732655123,50.92826312075651,24.599585260201803,12.43753247303448,14.034516440412569,-0.025553729169796747,0.55,41.993994374100005,-180.53751758933424,0.0,0.0,227.27580971901287,0.0,1.0,0.010201844078366695,0.0,0.0,0.26023053869574686,65.99961422222222,-4.744297755578617,0.2919162759083735,6.499352411813671,0.002838302288797784,41.43170020427295,1.24675295937455
2025-01-01 05:00:00,0.5885053007511949,0.10406196773844019,0.0,0.5885053007511949,0.10406196773844019,0.0,0.020247111234729647,0.001,0.1482734915677473,0.418984697948718,0.0,0.0002506236243534685,0.10381134411408673,0.0,1.0,0.0,0.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.0041712386924342105,0.0,0.016075872542295436,0.0,0.00985836608229829,0.0,0.1027369707516589,0.07705272806374414,0.0,0.0,418.984697948718,14.444444444444457,0.14999999999999997,0.0,0.4031193133333334,0.015865384615384615,0.15,403.11931333333337,2687.462088888889,0.0,0.0,46.90157147171071,51.66666666666668,43.496666666666684,1477.8328066812187,0.0,3.290586492778596,0.0,50.43715239556813,0.0,0.0,0.0,61.53542862894762,47.946766737574,50.62215597567321,25.523873479278112,12.43753247303448,14.072644746029523,-0.07476782729266507,-0.25000000000000006,444.4500261925006,-191.6695941576918,0.0,0.0,227.70362907208303,0.0,1.0,0.010166227094060266,0.0,0.0,0.2593220140269143,65.99961422222222,-10.568706670608616,0.29372633950458954,6.546236184179532,0.0028641388347288434,42.51413632150998,1.2459438200537392
2025-01-01 06:00:00,0.5910221946499654,0.10554855751901478,0.0,0.5910221946499654,0.10554855751901476,0.0,0.020781885426067365,0.001,0.15025561127518008,0.418984697948718,0.0,0.0002506236243534685,0.10529793389466131,0.0,1.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.00470601288377193,0.0,0.016075872542295436,0.0,0.00985836608229829,0.0,0.1027369707516589,0.07705272806374414,0.0,0.0,418.984697948718,14.444444444444457,0.14999999999999997,0.0,0.4031193133333334,0.015865384615384615,0.15,403.11931333333337,2687.462088888889,0.0,0.0,46.609021921261935,51.66666666666668,43.496666666666684,1488.39663608177,0.0,3.324711101142036,0.0,50.10207873331874,0.0,0.0,0.0,61.145362561682575,47.63680964761007,50.31835634349737,26.33227797355349,12.43753247303448,14.048639867798405,-0.07258456114124566,0.3,452.7160717444109,-183.3927030332541,0.0,0.0,230.22052297085358,0.0,1.0,0.010147334192139978,0.0,0.0,0.2588400903662039,65.99961422222222,-13.096446141906586,0.296262507728698,6.559429444325434,0.002884514764807742,35.330081340035036,1.2460324966633158
2025-01-01 07:00:00,2.9669300715519973,0.10703514729958938,0.0,2.9669300715519973,0.10703514729958938,0.0,0.020461020911264734,0.001,0.1522377309826129,2.79323131965812,0.0,0.0002506236243534685,0.10678452367523592,0.0,1.0,0.0,0.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.004385148368969297,0.0,0.016075872542295436,0.0,0.00985836608229829,0.0,0.1027369707516589,0.07705272806374414,0.0,0.0,2793.2313196581194,21.111111111111143,0.9999999999999999,0.0,2.6874620888888887,0.10576923076923077,1.0,2687.462088888889,2687.462088888889,0.0,0.0,43.21845387190496,51.66666666666668,43.496666666666684,1578.801473800619,0.0,3.483337970005536,0.0,49.74317861821226,0.0,0.0,0.0,56.62460516253994,47.33647014120372,50.02210916756819,27.050748328147897,12.43753247303448,16.199722109864368,-4.300277890135663,-0.55,2734.9380018321403,-252.55499728790633,0.0,0.0,231.88177816348374,2.703434715542319,1.0,0.011368327555723512,0.0,0.0,0.2899854164767109,65.99961422222222,-37.62009870155713,0.26043534122388634,7.634251969467775,0.0029049332763764553,39.166171857478155,1.236770827293545
2025-01-01 08:00:00,2.9668515830230384,0.10777844218987666,0.0,2.9668515830230384,0.10777844218987666,0.0,0.019391472528589297,0.001,0.15322879083632926,2.79323131965812,0.0,0.0002506236243534685,0.1075278185655232,0.0,1.0,0.0,0.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.0033155999862938598,0.0,0.016075872542295436,0.0,0.00985836608229829,0.0,0.1027369707516589,0.07705272806374414,0.0,0.0,2793.2313196581194,21.111111111111143,0.9999999999999999,0.0,2.6874620888888887,0.10576923076923077,1.0,2687.462088888889,2687.462088888889,0.0,0.0,39.20993271775735,51.66666666666668,43.496666666666684,1683.3355791937565,0.0,3.6647483359727326,0.0,49.419715215065516,0.0,0.0,0.0,51.279910290343125,47.06518318863118,49.64132993579562,27.724484333601552,12.43753247303448,18.808794560241655,-1.8023165508694874,-1.4,2630.0066465494024,-343.23302692415234,0.0,0.0,184.4980661407469,193.43152778109751,0.28325,0.012835835326332323,0.0,0.0,0.327418877991334,18.694390728444443,-4.489712325312051,0.22180321074374518,8.894336688097127,0.0029218261296510193,11.887874477091003,1.2262672661309466
2025-01-01 09:00:00,2.5006713007170798,0.10777844218987666,0.0,2.5006713007170798,0.10777844218987666,0.0,0.01874974349898403,0.001,0.15322879083632926,2.327692766381767,0.0,0.0002506236243534685,0.1075278185655232,0.0,1.0,0.0,0.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.0026738709566885965,0.0,0.016075872542295436,0.0,0.00985836608229829,0.0,0.1027369707516589,0.07705272806374414,0.0,0.0,2327.692766381767,21.111111111111143,0.8333333333333333,0.0,2.2395517407407413,0.08814102564102563,0.8333333333333334,2239.5517407407406,2687.462088888889,0.0,0.0,36.420617086311196,51.66666666666668,43.496666666666684,1753.9338320089435,0.0,3.7925301089761905,0.0,49.19859081268962,0.0,0.0,0.0,47.560822781748264,46.81577425465232,49.299673240052655,28.350794565191062,12.43753247303448,20.584505707934216,-0.2031080402004037,-0.85,2189.7575471737227,-376.05814404065677,0.0,0.0,165.16194638269718,556.1196170374561,0.0,0.013294308433807531,0.0,0.0,0.33911369540074576,0.0,72.96097844991556,0.19894060761877294,9.714898344994372,0.0029253633799464257,10.896344643823701,1.2194625870331397
