Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),HVAC Cooling Electric Power (kW),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-01 00:00:00,0.4170479444738556,0.1875985954010696,0.1574117015623744,0.05,0.016272647133540527,0.23068701609031508,0.12008828125000001,0.03871440426507711,0.11869729729729729,0.0,50.790459650628385,20.36655766890957,-0.043564933273056224
2025-01-01 01:00:00,0.4161713257117924,0.18694113132952214,0.1574117015623744,0.05,0.016272647133540527,0.22981039732825184,0.12008828125000001,0.03871440426507711,0.11869729729729729,0.0,51.18123547165544,20.26982058383703,-0.05754923250536237
2025-01-01 02:00:00,0.4753388475747292,0.18628366725797474,0.17804594594594594,0.05,0.016272647133540527,0.22893377856618863,0.18013242187500003,0.0,0.17804594594594594,0.0,51.15259508553461,20.299939427621776,-0.06100863391218899
2025-01-01 03:00:00,0.4144180881876659,0.18562620318642734,0.11869729729729729,0.05,0.016272647133540527,0.2280571598041254,0.12008828125000001,0.0,0.11869729729729729,0.0,50.39077333154845,20.301394202789194,-0.048389228226136956
2025-01-01 04:00:00,0.4821633444256027,0.1849687391148799,0.1865243243243243,0.05,0.016272647133540527,0.22718054104206215,0.18871015625000004,0.0,0.1865243243243243,0.0,49.65192626588209,20.291702402298693,-0.06425434020976303
2025-01-01 05:00:00,0.4321811584668442,0.19104249494221842,0.12717567567567567,0.05,0.01823626069666395,0.23527888214518017,0.12866601562500002,0.0,0.12717567567567567,0.0,48.66621139240032,20.304824656166584,-0.05162929873752174
2025-01-01 06:00:00,0.7241809449109422,0.22225292254714824,0.21676035021102305,0.05,0.05029776874186741,0.4437507542940747,0.18013242187500003,0.03871440426507711,0.17804594594594594,0.0,50.469814823116934,20.317777506593576,-0.055635889882261876
2025-01-01 07:00:00,0.9771354071468336,0.28919596560382294,0.11869729729729729,0.05,0.10718101218487115,0.6998661137119622,0.12008828125000001,0.0,0.11869729729729729,0.0,51.03063505302667,20.287081835507816,-0.05168086656791407
2025-01-01 08:00:00,1.0524041193194371,0.2958483055568992,0.17804594594594594,0.05,0.11353579712837308,0.708735900316064,0.18013242187500003,0.0,0.17804594594594594,0.0,50.26258624829302,20.29560718010725,-0.06265831560685514
2025-01-01 09:00:00,0.9948320119533315,0.2958483055568992,0.11869729729729729,0.05,0.11600783038726745,0.708735900316064,0.12008828125000001,0.0,0.11869729729729729,0.0,49.53416131751506,20.32658686511655,-0.046611038746290606
2025-01-01 10:00:00,0.9817454050598833,0.29519084148535185,0.11021891891891891,0.05,0.11237557663088248,0.7078592815540008,0.111510546875,0.0,0.11021891891891891,0.0,48.766010965713235,20.30462271503294,-0.0555035574859304
2025-01-01 11:00:00,0.808990830685922,0.30087019758364236,0.14819782565863307,0.05,0.10748423050985531,0.5485737876760667,0.10293281250000001,0.04645728511809253,0.10174054054054053,0.0,49.87824295793316,20.262063267483672,-0.06828448466553319
2025-01-01 12:00:00,0.5968663075872981,0.30818000160826614,0.05087027027027027,0.05,0.10393767697072097,0.3914622243665771,0.051466406250000006,0.0,0.05087027027027027,0.0,51.78803344633206,20.25536085882921,-0.048963013423340425
2025-01-01 13:00:00,0.5958379387774482,0.30818000160826614,0.05087027027027027,0.05,0.10290930816087102,0.3914622243665771,0.051466406250000006,0.0,0.05087027027027027,0.0,50.95319829405029,20.214261839763846,-0.08150865157771019
2025-01-01 14:00:00,0.5980375701939554,0.30218512572673717,0.059348648648648646,0.05,0.10452437304441674,0.38346905652453855,0.060044140625000006,0.0,0.059348648648648646,0.0,50.04749581932528,20.248014979908216,-0.07868465323262293
2025-01-01 15:00:00,0.6570233649531324,0.31351741341824757,0.09326216216216215,0.05,0.11408951338157977,0.39857877344655246,0.09435507812500002,0.0,0.09326216216216215,0.0,49.243333413373236,20.33509493101769,-0.05086941811749306
2025-01-01 16:00:00,0.6199939866745788,0.31004708937202813,0.0973275553883628,0.05,0.1245759057063189,0.3939516747182598,0.051466406250000006,0.04645728511809253,0.05087027027027027,0.0,49.95066844805901,20.303427962864763,-0.036734527270095185
2025-01-01 17:00:00,0.7923240477144143,0.35345787764177633,0.1249691830995868,0.05,0.1875585094698234,0.4518327257445908,0.10293281250000001,0.023228642559046265,0.10174054054054053,0.0,51.44753962402569,20.283990938162667,-0.06528057857829707
2025-01-01 18:00:00,0.6357868763924334,0.277470458891472,0.12570468062494974,0.05,0.12376016210658161,0.3505161674108516,0.111510546875,0.015485761706030842,0.11021891891891891,0.0,51.69425368940746,20.298672553473292,-0.05109153418556076
2025-01-01 19:00:00,0.8364140433698926,0.2859366440287664,0.11869729729729729,0.05,0.1542305190178097,0.5120952431020828,0.12008828125000001,0.0,0.11869729729729729,0.0,50.74098013940142,20.311680524286984,-0.0520655298871505
2025-01-01 20:00:00,1.0820260202052336,0.3231415539458227,0.1574117015623744,0.05,0.19994512045557053,0.7119926184996631,0.12008828125000001,0.03871440426507711,0.11869729729729729,0.0,51.54285528556152,20.326366446440844,-0.0529335481390745
