Metric,Value
Total Electric Energy (kWh),451.47864424883824
Total Gas Energy (therms),76.65966438724327
Average Electric Power (kW),0.6270536725678308
Peak Electric Power (kW),4.278154517961063
HVAC Cooling Electric Energy (kWh),34.75
Lighting Electric Energy (kWh),47.9126904785196
Other Electric Energy (kWh),302.83602095781856
HVAC Heating Electric Energy (kWh),65.97993281250001
Water Heating Gas Energy (therms),11.443977900756792
HVAC Heating Gas Energy (therms),65.21568648648649
Average Temperature - Indoor (C),20.27743047790238
Unmet Heating Load (C-hours),43.52200420660521
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
