Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,4.550276083428155,2.886330191164141,0.0,4.550276083428155,2.886330191164141,0.0,0.0623178948171774,0.0,0.37125493647243946,4.066703252138539,0.05,0.0,0.0,0.2449160578829742,2.6268307999478333,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625873752607483,0.04694053144556121,0.0,0.0,0.007629961622807017,0.0,0.0014916952122757975,0.0,0.05319623798209459,0.0,0.044700192628473766,0.0,0.26396736858321734,0.19797552643741295,0.0,0.0,6436.306174465401,17.83333333333337,2.2963811672799492,2212.932280558662,3.535038668805205,0.5316645833333333,1.0,8117.57387169073,8117.57387169073,0.0,0.0,18.83333333333337,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10955.948973915685,0.0,0.0,23.837917879888487,51.66666666666668,46.10666666666668,0.0,51.41640679083009,0.0,0.0,0.0,23.837917879888487,51.43708467409773,51.44742361573156,51.41640679083009,12.43753247303448,17.586856695178554,-0.023386371964377338,5.070046982836394,2.8,9.236100170605994,4677.680056796833,636.5091829042057,-2256.173565493285,0.0,0.0,613.0939581554583,0.0,3.0,0.11706446574708965,0.0,0.0,0.6946757530823059,197.99884266666666,-115.54651033074187,0.22657042136617428,8.14223164587319,0.0027636078309443554,7.35495226850046,1.2320941919546877,0.5436834545663999,-1608.4168509617086,31.993753307252337
2025-01-01 01:00:00,3.2522896594362876,2.0753092530651416,0.0,3.2522896594362876,2.0753092530651416,0.0,0.04300707993616437,0.0,0.32886969240827013,2.8304128870918532,0.05,0.0,0.0,0.2324598065177862,1.8282661132140219,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06102269087922958,0.045767018159422176,0.0,0.0,0.00705771450109649,0.0,0.0009805727364617985,0.0,0.03496879269860608,0.0,0.018923283717888487,0.0,0.2489237178111521,0.18669278835836403,0.0,0.0,4449.194597677203,17.83333333333337,1.5966174593796834,1529.723117701883,2.4582476787585197,0.37216520833333333,0.7,5606.752507045753,8036.911640818458,0.0,0.0,18.83333333333337,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10955.948973915685,0.0,0.0,23.7161099782175,51.66666666666668,46.10666666666668,0.0,51.20554280489315,0.0,0.0,0.0,23.7161099782175,51.23774728904121,51.25384953111526,51.20554280489315,12.43753247303448,17.560144926342783,-0.05565242301719889,5.633949676839169,2.5,9.236100170605994,2699.843764500373,-664.3522855259582,-2193.6632107112496,0.0,0.0,552.4509547643206,0.0,3.0,0.11164274959734978,0.0,0.0,0.6625025848601404,197.99884266666666,-108.13857722990197,0.22710061823541627,8.131132155104506,0.002764825463581533,18.842256112140415,1.2322674463282646,0.5436834545663999,-2222.83133384949,28.75593062164841
2025-01-01 02:00:00,4.39914240818596,2.8221521357840142,0.0,4.39914240818596,2.8221521357840142,0.0,0.03854848561073965,0.0,0.31561201241236675,3.9949819101628536,0.05,0.0,0.0,0.2270654127991972,2.5805033896514837,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05945800649771089,0.044593504873283146,0.0,0.0,0.00705771450109649,0.0,0.0008589579044461548,0.0,0.030631813205197,0.0,0.012858128680103715,0.0,0.24329587723455212,0.18247190792591406,0.0,0.0,6147.201640720069,17.83333333333337,2.2313805994289955,2113.532292764569,3.46331732682952,0.5316645833333333,1.0,7729.069350151304,7729.069350151304,0.0,0.0,18.83333333333337,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10955.948973915685,0.0,0.0,23.443895995143553,51.66666666666668,46.10666666666668,0.0,50.994874013034,0.0,0.0,0.0,23.443895995143553,51.03849196764785,51.060300944954776,50.994874013034,12.43753247303448,17.747093771266616,0.0,5.65117143257024,1.6500000000000001,9.236100170605994,4261.70525656831,-706.3069816936556,-2298.804700851913,0.0,0.0,535.1286292833544,0.0,3.0,0.10903686325253882,0.0,0.0,0.6470389166370317,197.99884266666666,-121.82031258320089,0.22470716060636647,8.224885638293356,0.0027688716329372456,43.828642586234885,1.2314708779774175,0.5436834545663999,-2847.0413787944617,27.20210433623703
2025-01-01 03:00:00,0.7538653218975414,0.34304010969471066,0.0,0.7538653218975414,0.34304010969471066,0.0,0.03816698752959929,0.0,0.314047328030848,0.0,0.40165100633709405,0.0,0.0,0.22589189951305816,0.0,0.1171482101816525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057893322116192164,0.04341999158714411,0.0,0.0,0.006676216419956141,0.0,0.0008589579044461548,0.0,0.030631813205197,0.0,0.012858128680103715,0.0,0.24329587723455212,0.18247190792591406,0.0,0.0,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0.0,0.0,7539.038104345124,0.0,1357.063513802116,16.666666666666686,1.0830541882376659,389.9378151838316,0.3226608396704274,0.07899016666666667,0.0,0.16666666666666666,0.16666666666666666,1825.9914956526143,10955.948973915685,0.0,0.0,24.580584126406425,51.66666666666668,46.10666666666668,0.0,50.782654101463216,0.0,0.0,0.0,24.580584126406425,50.83767100947721,50.86517946348422,50.782654101463216,12.43753247303448,15.931849772102328,0.021267795499602768,3.6978180511549144,1.6500000000000001,9.236100170605994,-2854.308792868204,-1815.4320568847536,-1953.8399000924132,0.0,-44.040780593183555,533.1824468206953,0.0,3.0,0.10438982276574983,0.0,0.0022627637481500273,0.632890308616653,197.99884266666666,-32.54704520118628,0.2529180752746071,7.358512241680165,0.0027743875743136393,8.037876572670434,1.2392063894283942,0.5436834545663999,-1457.8003479399388,32.30610623901684
2025-01-01 04:00:00,0.4006496311789286,0.23930171956025248,0.0,0.4006496311789286,0.23930171956025248,0.0,0.03816698752959929,0.0,0.3124826436493293,0.0,0.05,0.0,0.0,0.22471838622691914,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056328637734673455,0.04224647830100508,0.0,0.0,0.006676216419956141,0.0,0.0008589579044461548,0.0,0.030631813205197,0.0,0.012858128680103715,0.0,0.24329587723455212,0.18247190792591406,0.0,0.0,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0.0,0.0,7539.038104345124,0.0,0.0,16.666666666666686,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10955.948973915685,0.0,0.0,25.44999477829577,51.66666666666668,46.10666666666668,0.0,50.59408632612008,0.0,0.0,0.0,25.44999477829577,50.626565654683006,50.642805318964484,50.59408632612008,12.43753247303448,14.48685520746897,0.0,3.3427754173015622,0.55,9.236100170605994,-1379.402620340256,-1965.6013678745226,-1872.8969038981875,0.0,-0.10733504492590891,531.6177624391767,0.0,3.0,0.10214950502164276,0.0,6.395947182053944e-06,0.6062063922167099,197.99884266666666,-38.016143836319046,0.2771648453922386,6.645310618186865,0.0027741198962929576,62.28402027940383,1.2448415984221461,0.5436834545663999,-1997.7113115410434,32.109943666520856
2025-01-01 05:00:00,0.40141262734120936,0.23930171956025248,0.0,0.4014126273412093,0.23930171956025248,0.0,0.038929983691880006,0.0,0.3124826436493293,0.0,0.05,0.0,0.0,0.22471838622691914,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056328637734673455,0.04224647830100508,0.0,0.0,0.007439212582236843,0.0,0.0008589579044461548,0.0,0.030631813205197,0.0,0.012858128680103715,0.0,0.24329587723455212,0.18247190792591406,0.0,0.0,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0.0,0.0,7539.038104345124,0.0,0.0,16.666666666666686,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10955.948973915685,0.0,0.0,26.046634931154795,51.66666666666668,46.10666666666668,0.0,50.39676450077668,0.0,0.0,0.0,26.046634931154795,50.40963351025486,50.41606801499395,50.39676450077668,12.43753247303448,13.423278914773636,0.0,2.0685830644491836,-0.25000000000000006,9.236100170605994,-1305.0402556411693,-1625.65876006678,-1777.3155347014883,0.0,0.0,532.3807586014573,0.0,3.0,0.09853692128458517,0.0,0.0,0.5847308964589271,197.99884266666666,-60.10547954113817,0.2983736682775119,6.127250178144312,0.0027888938783875833,79.53064824866506,1.248823293293585,0.5436834545663999,-1660.412111326684,34.75335125990411
2025-01-01 06:00:00,1.4273316612297577,0.9016895458968972,0.0,1.4273316612297577,0.9016895458968972,0.0,0.03988372889473087,0.0,0.31561201241236675,1.0218359199226603,0.05,0.0,0.0,0.2270654127991972,0.6600407997643667,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05945800649771089,0.044593504873283146,0.0,0.0,0.008392957785087718,0.0,0.0008589579044461548,0.0,0.030631813205197,0.0,0.012858128680103715,0.0,0.24329587723455212,0.18247190792591406,0.0,0.0,1688.160585580826,13.333333333333371,0.6888213539657779,580.4237637761099,0.8711976213115491,0.1506382986111111,0.2833333333333333,2117.946050745825,7520.92335885983,0.0,0.0,16.666666666666686,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10955.948973915685,0.0,0.0,26.314951870974873,51.66666666666668,46.10666666666668,0.0,50.16303989965592,0.0,0.0,0.0,26.314951870974873,50.18877443159991,50.20164169757191,50.16303989965592,12.43753247303448,12.821032332288706,-0.08346208566343977,2.6646043382171354,0.3,9.236100170605994,564.1865248114696,-1076.959984871386,-1560.189434258468,0.0,0.0,536.4638725673457,0.0,3.0,0.09481350019378892,0.0,0.0,0.5626356318217524,197.99884266666666,-100.24849907823378,0.3107138216815058,5.826236031769566,0.002792383290936433,18.033741044819145,1.2514502340632305,0.5436834545663999,-1689.449817682459,32.066069034963164
2025-01-01 07:00:00,1.5890667611525184,1.0068553891121685,0.0,1.5890667611525182,1.0068553891121685,0.0,0.039311481773020344,0.0,0.3187413811754042,1.1810138982040936,0.05,0.0,0.0,0.22941243937147526,0.7628596164073599,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625873752607483,0.04694053144556121,0.0,0.0,0.007820710663377193,0.0,0.0008589579044461548,0.0,0.030631813205197,0.0,0.012858128680103715,0.0,0.24329587723455212,0.18247190792591406,0.0,0.0,1911.1835377114116,13.333333333333371,0.7939243562434769,657.1035668646034,1.0037923704263159,0.17722152777777778,0.3333333333333333,2391.0655767982375,7361.306857810404,0.0,0.0,16.666666666666686,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10955.948973915685,0.0,0.0,26.037692913101576,51.66666666666668,46.10666666666668,0.0,49.930333673298335,0.0,0.0,0.0,26.037692913101576,49.96876286464733,49.98797746032184,49.930333673298335,12.43753247303448,12.9943509069444,-0.05633527447981228,2.6069252716272193,-0.55,9.236100170605994,537.2424999559069,-1573.2863256590804,-1774.428596805969,0.0,0.0,539.0209942086725,2.2634315910364866,3.0,0.09936141932897642,0.0,0.0,0.5896235750035829,197.99884266666666,-138.53343515820856,0.3077519339368525,5.9199027160733015,0.0027969387930574918,67.36156069172365,1.2506896375998302,0.5436834545663999,-2261.697301770467,31.307409246783536
2025-01-01 08:00:00,2.036162817313681,1.2970458557902245,0.0,2.036162817313681,1.2970458557902245,0.0,0.0374039913673186,0.0,0.32030606555692287,1.62845276038944,0.05,0.0,0.0,0.23058595265761428,1.051876569799277,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064152059642267,0.04811404473170024,0.0,0.0,0.0059132202576754386,0.0,0.0008589579044461548,0.0,0.030631813205197,0.0,0.012858128680103715,0.0,0.24329587723455212,0.18247190792591406,0.0,0.0,2588.176259052431,13.333333333333371,1.091941056212639,889.8673612133445,1.380342621500551,0.2481101388888889,0.4666666666666667,3229.9334813768864,6977.874629008132,0.0,0.0,19.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10955.948973915685,0.0,0.0,25.855900501162534,51.66666666666668,46.10666666666668,0.0,49.69934666991845,0.0,0.0,0.0,25.855900501162534,49.750262500454575,49.77572041572264,49.69934666991845,12.43753247303448,13.033625238879404,-0.05062082834197537,2.124488541423078,-1.4,9.236100170605994,1019.8676174377814,-1610.5600022601468,-1985.4993334293044,0.0,0.0,538.6781881844895,127.18026756822916,3.0,0.10406610684457579,0.0,0.0,0.6175418021279155,197.99884266666666,-121.48749636983452,0.3086403672014588,5.960746611535418,0.0028108733831427608,156.11909306261705,1.251095452731275,0.5436834545663999,-2532.5971933578676,32.169829884376355
2025-01-01 09:00:00,2.6631182637539026,1.2312353745847466,0.0,2.663118263753903,1.2312353745847469,0.0,0.1030604645520267,0.6416401216296297,0.3725107512796288,1.495906926292618,0.05,0.0,0.0,0.2503916223791103,0.9662604188723031,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064152059642267,0.04811404473170024,0.0,0.0,0.004768726014254386,0.0,0.0026810542512539634,0.0,0.09561068428651835,0.0,0.03865525477414828,0.0,0.2697034368632135,0.20227757764741006,0.0,0.0,2341.6434678994315,13.333333333333371,0.9986218049637637,805.1043998236132,1.2655189401815068,0.23038798611111108,0.43333333333333335,2916.359881611934,6724.95122180959,0.0,0.0,19.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10955.948973915685,641.6401216296297,0.18333333333333332,25.63241851613599,51.66666666666668,46.10666666666668,0.0,49.75587772248233,0.14110797384427926,361.9257742892343,641.6401216296297,25.63241851613599,49.496947135272,49.802706114751,49.32065344939818,12.43753247303448,13.125739601351636,-0.0157414911805953,2.1516795688749775,-0.85,9.236100170605994,1039.0398023385094,-1319.682155091748,-1887.8005669210652,0.0,0.0,654.6908179178972,378.1289740054352,3.0,0.10204310316342617,0.0,0.0,0.6055370353806174,197.99884266666666,-69.49391655775392,0.30978837163448103,6.044266276893895,0.00283729707856882,253.8477284904504,1.2512996024969725,0.5436834545663999,-2154.9567962434235,30.170241328062104
