Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.5356358648821187,0.47249439502201557,0.0,0.008927264414701978,0.00787490658370026,0.0,0.020996002284021324,0.0,0.5146398625980974,0.0,0.0,0.0,0.0,0.47249439502201557,0,1,0.24541431158861501,0.2869211237385643,On,0.0,0.0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.017486024213845885,0,On,0.021794522631547287,0,On,0.18663992049177477,0.13997994036883105,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11523.556088888889,Off,0.0,0.0,46.52557283998411,51.666666666666686,46.10666666666668,0.0,51.2721500198681,0.0,0.0,0.0,46.52557283998411,51.30567960586618,51.32244439886523,51.2721500198681,12.43753247303448,11.317220560225504,0.0,-2.69037449709203,2.8,9.236100170605994,-17.947215131827875,1153.576817179314,-447.9972229380647,-0.0,-0.0,475.41785143244994,0.0,2.0,0.04036080095512769,0.0,0,0.5223108350604257,131.99922844444444,-45.367843626213144,0.345712634443603,5.073131180679162,0.0028195859697476124,54.19483198822326,1.2555995530899413,0.18293834900084752,1308.9539735049668,-155.37715632565286
2025-01-01 00:01:00,0.5356358648821187,0.47249439502201557,0.0,0.008927264414701978,0.00787490658370026,0.0,0.020996002284021324,0.0,0.5146398625980974,0.0,0.0,0.0,0.0,0.47249439502201557,0,1,0.24541431158861501,0.2869211237385643,On,0.0,0.0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.017486024213845885,0,On,0.021794522631547287,0,On,0.18663992049177477,0.13997994036883105,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11523.556088888889,Off,0.0,0.0,46.5244851706677,51.666666666666686,46.10666666666668,0.0,51.267948760300804,0.0,0.0,0.0,46.5244851706677,51.301761921249316,51.31866850172357,51.267948760300804,12.43753247303448,11.31422723870104,0.0,-2.618748525538985,2.8,9.236100170605994,-21.11148321724272,1130.595753262204,-447.79209266369793,-0.0,-0.0,475.41785143244994,0.0,2.0,0.04035650346343382,0.0,0,0.5222552210383506,131.99922844444444,-48.73724198599476,0.34682228960436107,5.091958675805227,0.0028198388756195975,54.16872570934188,1.2592803806613646,0.18254631471696434,1289.1092310669924,-158.51347780478838
2025-01-01 00:02:00,0.5356358648821187,0.47249439502201557,0.0,0.008927264414701978,0.00787490658370026,0.0,0.020996002284021324,0.0,0.5146398625980974,0.0,0.0,0.0,0.0,0.47249439502201557,0,1,0.24541431158861501,0.2869211237385643,On,0.0,0.0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.017486024213845885,0,On,0.021794522631547287,0,On,0.18663992049177477,0.13997994036883105,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11523.556088888889,Off,0.0,0.0,46.52372528941897,51.666666666666686,46.10666666666668,0.0,51.26374764357902,0.0,0.0,0.0,46.52372528941897,51.297844328219604,51.314892670539905,51.26374764357902,12.43753247303448,11.310952287363534,0.0,-2.5496850543929703,2.8,9.236100170605994,-24.257934131901493,1110.2090080016776,-447.5677008444584,-0.0,-0.0,475.41785143244994,0.0,2.0,0.04035180163269244,0.0,0,0.5221943744475316,131.99922844444444,-52.10808471989304,0.34692847377382974,5.090529351461674,0.002820090920785963,54.14333392728413,1.2592946870229387,0.18216750696272474,1270.038194369836,-159.82918636815847
2025-01-01 00:03:00,0.5356358648821187,0.47249439502201557,0.0,0.008927264414701978,0.00787490658370026,0.0,0.020996002284021324,0.0,0.5146398625980974,0.0,0.0,0.0,0.0,0.47249439502201557,0,1,0.24541431158861501,0.2869211237385643,On,0.0,0.0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.017486024213845885,0,On,0.021794522631547287,0,On,0.18663992049177477,0.13997994036883105,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11523.556088888889,Off,0.0,0.0,46.52327469140569,51.666666666666686,46.10666666666668,0.0,51.25954664005838,0.0,0.0,0.0,46.52327469140569,51.29392679917568,51.31111687873434,51.25954664005838,12.43753247303448,11.307411582910024,0.0,-2.48278973998666,2.8,9.236100170605994,-27.388661388240905,1090.7394326693743,-447.32514534695775,-0.0,-0.0,475.41785143244994,0.0,2.0,0.040346718255847736,0.0,0,0.5221285902524252,131.99922844444444,-55.4813674737331,0.34704078999264143,5.0889473119669795,0.0028203428449432182,54.11852901802231,1.25931017031006,0.18179983885662304,1251.6256985497034,-160.88626588032906
2025-01-01 00:04:00,0.5356358648821187,0.47249439502201557,0.0,0.008927264414701978,0.00787490658370026,0.0,0.020996002284021324,0.0,0.5146398625980974,0.0,0.0,0.0,0.0,0.47249439502201557,0,1,0.24541431158861501,0.2869211237385643,On,0.0,0.0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.017486024213845885,0,On,0.021794522631547287,0,On,0.18663992049177477,0.13997994036883105,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11523.556088888889,Off,0.0,0.0,46.52311737053062,51.666666666666686,46.10666666666668,0.0,51.255345721767895,0.0,0.0,0.0,46.52311737053062,51.29000930807435,51.307341101227586,51.255345721767895,12.43753247303448,11.30361885602107,0.0,-2.4178098382017676,2.8,9.236100170605994,-29.42304111189617,1072.4811069812167,-447.0653770546626,-0.0,-0.0,475.41785143244994,0.0,2.0,0.040341273044888264,0.0,0,0.5220581235467103,131.99922844444444,-57.77551548968346,0.34715892894747286,5.087220439125591,0.002820594650589416,54.094282427531255,1.2593267698200081,0.18144198485041327,1233.7969358671064,-161.31582888588972
2025-01-01 00:05:00,0.5356358648821187,0.47249439502201557,0.0,0.008927264414701978,0.00787490658370026,0.0,0.020996002284021324,0.0,0.5146398625980974,0.0,0.0,0.0,0.0,0.47249439502201557,0,1,0.24541431158861501,0.2869211237385643,On,0.0,0.0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.017486024213845885,0,On,0.021794522631547287,0,On,0.18663992049177477,0.13997994036883105,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11523.556088888889,Off,0.0,0.0,46.52320786352028,51.666666666666686,46.10666666666668,0.0,51.25114486218405,0.0,0.0,0.0,46.52320786352028,51.28609183022022,51.30356531423831,51.25114486218405,12.43753247303448,11.299613155968046,0.0,-2.3545044466607568,2.8,9.236100170605994,-30.035242702996015,1055.2164366367947,-446.79108035238596,-0.0,-0.0,475.41785143244994,0.0,2.0,0.04033552206181108,0.0,0,0.5219836998310661,131.99922844444444,-58.662013783060026,0.3472819981361548,5.085371139799799,0.0028208463401021263,54.070511780272604,1.2593443127568087,0.18109267257378103,1216.4813319262726,-161.26489528947798
2025-01-01 00:06:00,0.5356358648821187,0.47249439502201557,0.0,0.008927264414701978,0.00787490658370026,0.0,0.020996002284021324,0.0,0.5146398625980974,0.0,0.0,0.0,0.0,0.47249439502201557,0,1,0.24541431158861501,0.2869211237385643,On,0.0,0.0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.017486024213845885,0,On,0.021794522631547287,0,On,0.18663992049177477,0.13997994036883105,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11523.556088888889,Off,0.0,0.0,46.52349371266267,51.666666666666686,46.10666666666668,0.0,51.24694403889407,0.0,0.0,0.0,46.52349371266267,51.282174344746124,51.299789497672165,51.24694403889407,12.43753247303448,11.295439547620136,0.0,-2.292672463504881,2.8,9.236100170605994,-30.430905376370333,1038.808950917717,-446.5053496527124,-0.0,-0.0,475.41785143244994,0.0,2.0,0.04032953000551114,0.0,0,0.5219061563766328,131.99922844444444,-59.3434071561078,0.34740896530710946,5.083425271377321,0.002821097915510381,54.04712178180024,1.2593625996765454,0.18075083872309572,1199.6200573103,-160.8111063925827
2025-01-01 00:07:00,0.5356358648821187,0.47249439502201557,0.0,0.008927264414701978,0.00787490658370026,0.0,0.020996002284021324,0.0,0.5146398625980974,0.0,0.0,0.0,0.0,0.47249439502201557,0,1,0.24541431158861501,0.2869211237385643,On,0.0,0.0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.017486024213845885,0,On,0.021794522631547287,0,On,0.18663992049177477,0.13997994036883105,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11523.556088888889,Off,0.0,0.0,46.52396000534544,51.666666666666686,46.10666666666668,0.0,51.242743234228314,0.0,0.0,0.0,46.52396000534544,51.27825683520212,51.29601363568903,51.242743234228314,12.43753247303448,11.291110831397239,0.0,-2.232143925250419,2.8,9.236100170605994,-30.69252742838688,1023.1392638223772,-446.2090688427569,-0.0,-0.0,475.41785143244994,0.0,2.0,0.040323315253024544,0.0,0,0.5218257310014135,131.99922844444444,-59.901310018079855,0.3475395402797407,5.081390180412598,0.002821349378439835,54.024085580761785,1.2593815739684207,0.18041558354116957,1183.1634722200452,-160.02420839766793
2025-01-01 00:08:00,0.5356358648821187,0.47249439502201557,0.0,0.008927264414701978,0.00787490658370026,0.0,0.020996002284021324,0.0,0.5146398625980974,0.0,0.0,0.0,0.0,0.47249439502201557,0,1,0.24541431158861501,0.2869211237385643,On,0.0,0.0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.017486024213845885,0,On,0.021794522631547287,0,On,0.18663992049177477,0.13997994036883105,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11523.556088888889,Off,0.0,0.0,46.52459517331657,51.666666666666686,46.10666666666668,0.0,51.23854243186562,0.0,0.0,0.0,46.52459517331657,51.27433928639395,51.29223771365812,51.23854243186562,12.43753247303448,11.286636934639215,0.0,-2.172775870072043,2.8,9.236100170605994,-30.901826149355315,1008.1053197763924,-445.902924689358,-0.0,-0.0,475.41785143244994,0.0,2.0,0.04031689205661877,0.0,0,0.5217426081446054,131.99922844444444,-60.41675289244737,0.34767349875298675,5.079271564970758,0.002821600730402642,54.00138239295588,1.2594011917383852,0.18008614974903478,1167.0698516212105,-158.96453184481805
2025-01-01 00:09:00,0.5356358648821187,0.47249439502201557,0.0,0.008927264414701978,0.00787490658370026,0.0,0.020996002284021324,0.0,0.5146398625980974,0.0,0.0,0.0,0.0,0.47249439502201557,0,1,0.24541431158861501,0.2869211237385643,On,0.0,0.0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.017486024213845885,0,On,0.021794522631547287,0,On,0.18663992049177477,0.13997994036883105,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11523.556088888889,Off,0.0,0.0,46.52539041742061,51.666666666666686,46.10666666666668,0.0,51.23434161653092,0.0,0.0,0.0,46.52539041742061,51.27042168410147,51.288461717886754,51.23434161653092,12.43753247303448,11.282025405688435,0.0,-2.1144485615660717,2.8,9.236100170605994,-31.098564688919055,993.6201980945535,-445.5874408121472,-0.0,-0.0,475.41785143244994,0.0,2.0,0.04031027125313045,0.0,0,0.5216569280461701,131.99922844444444,-60.92897530922186,0.34781067102158925,5.07796214693946,0.002821851972823127,53.978996462976276,1.2594214196228568,0.17976190312737544,1151.304237062766,-157.6840389682126
