Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,2.1875210193291212,0.09593366024324254,0.0,2.1875210193291212,0.09593366024324254,0.0,0.06160279227063514,0.0,0.1110497717251525,1.9648684553333335,0.05,0.0,0.0,0.0813503269099092,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.02105986842105263,0.0,0.04054292384958252,0.0,0.002582669178606861,0.0,0.07080682810532272,0.053105121078992026,0.0,0.0,1220.0559648135882,18.33333333333337,0.3,744.8124905197453,1.8941772053333337,0.07069125000000002,0.3,1894.1772053333334,6313.924017777778,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4977.812822222223,0.0,0.0,34.507626577681954,51.66666666666668,46.10666666666668,0.0,49.88580100758049,0.0,0.0,0.0,34.507626577681954,47.65886438814059,49.88580100758049,46.545396078420644,12.43753247303448,18.08276909315564,-0.04256346638220236,1.0765059164794633,2.8,9.236100170605994,1098.885320029619,887.6699172715614,-348.1336841379388,0.0,0.0,233.6957002506373,0.0,1.0,0.017476404800964872,0.0,0.0,0.2261628949235782,65.99961422222222,-6.73266089666757,0.21160305365370194,8.258406801927572,0.0026622790233264927,35.672208055347134,1.230072155285201,0.16095936727838706,366.34769427616345,-223.4902675243474
2025-01-01 01:00:00,0.2201315670031781,0.0952275300974696,0.0,0.2201315670031781,0.0952275300974696,0.0,0.0600233021390562,0.0,0.11010826486412192,0.0,0.05,0.0,0.0,0.08064419676413627,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03671876758019234,0.027539075685144247,0.0,0.0,0.01948037828947368,0.0,0.04054292384958252,0.0,0.002582669178606861,0.0,0.07080682810532272,0.053105121078992026,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,6313.924017777778,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4977.812822222223,0.0,0.0,35.25819977690917,51.66666666666668,46.10666666666668,0.0,49.676470054085264,0.0,0.0,0.0,35.25819977690917,47.48329195179201,49.676470054085264,46.38670290064538,12.43753247303448,17.260858851696835,0.0,1.4848175937661467,2.5,9.236100170605994,-60.50615213807702,28.913884650995204,-304.5895928454373,0.0,0.0,231.17470325802773,0.0,1.0,0.015817072886043386,0.0,0.0,0.20468941031437474,65.99961422222222,12.908737449332538,0.22375207695491153,7.87967876358853,0.0026725622449053784,37.501632771083294,1.2336060723411264,0.12163801698983509,168.00356987394989,-139.0896852229547
2025-01-01 02:00:00,0.21919006014214754,0.09452139995169669,0.0,0.21919006014214754,0.09452139995169669,0.0,0.0600233021390562,0.0,0.10916675800309136,0.0,0.05,0.0,0.0,0.07993806661836335,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.01948037828947368,0.0,0.04054292384958252,0.0,0.002582669178606861,0.0,0.07080682810532272,0.053105121078992026,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,6313.924017777778,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4977.812822222223,0.0,0.0,36.020138147579836,51.66666666666668,46.10666666666668,0.0,49.46234667788105,0.0,0.0,0.0,36.020138147579836,47.30295997464034,49.46234667788105,46.22326662301999,12.43753247303448,16.424419860534403,0.0,1.0528642514216175,1.6500000000000001,9.236100170605994,-32.79994963407791,-47.302410272788116,-276.321265091485,0.0,0.0,230.2331963969972,0.0,1.0,0.014289108380324234,0.0,0.0,0.18491595691308715,65.99961422222222,13.288119060409882,0.23688746660970503,7.490549987161795,0.0026837904576487693,41.50173391817587,1.2371595636799364,0.07536811598789753,66.33528104384379,-113.6376913166319
2025-01-01 03:00:00,1.133873150230435,0.09381526980592375,0.0,1.133873150230435,0.09381526980592375,0.0,0.05897030871800357,0.9166775903703706,0.10822525114206077,0.0,0.05,0.0,0.0,0.07923193647259041,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03483575385813119,0.026126815393598384,0.0,0.0,0.018427384868421052,0.0,0.04054292384958252,0.0,0.002582669178606861,0.0,0.07080682810532272,0.053105121078992026,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,6313.924017777778,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4977.812822222223,916.6775903703705,0.16666666666666666,40.18090212970718,51.66666666666668,46.10666666666668,0.0,50.919253787736004,0.0,0.0,916.6775903703705,40.18090212970718,50.393756824156796,50.92379626886365,50.12646586123956,12.43753247303448,15.916116574718377,0.0,0.6719530212499903,1.6500000000000001,9.236100170605994,-41.30210214934843,29.755923038246305,-273.7234877848097,0.0,0.0,228.23869611491398,0.0,1.0,0.014680180823388985,0.0,0.0,0.1899768419667154,65.99961422222222,4.182689520547307,0.24574399508215938,7.2573709438870795,0.0026954263085899265,35.31293528154689,1.2393260963296402,0.09878335705001268,150.3964118114035,-120.6404887731572
2025-01-01 04:00:00,0.21625405299903377,0.09310913966015082,0.0,0.21625405299903377,0.09310913966015082,0.0,0.05897030871800357,0.0,0.10728374428103021,0.0,0.05,0.0,0.0,0.07852580632681748,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.018427384868421052,0.0,0.04054292384958252,0.0,0.002582669178606861,0.0,0.07080682810532272,0.053105121078992026,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,6313.924017777778,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4977.812822222223,0.0,0.0,41.888409366341435,51.66666666666668,46.10666666666668,0.0,51.517183305932456,0.0,0.0,0.0,41.888409366341435,51.53459733356849,51.54330434738651,51.517183305932456,12.43753247303448,15.532224182153566,0.0,0.6593977584751975,0.55,9.236100170605994,-68.34822145617098,-59.37312076129511,-293.7109570080002,0.0,0.0,227.2971892538834,0.0,1.0,0.014931083395537333,0.0,0.0,0.19322378278246657,65.99961422222222,-1.9344537020541788,0.25260488517141994,7.077254306876523,0.0027047323306800953,41.661921724589575,1.2403846210943719,0.09363785560891348,58.73407845867178,-118.10719921996689
2025-01-01 05:00:00,0.3028499743144723,0.09814089712893431,0.0,0.30284997431447236,0.09814089712893431,0.0,0.135994355655382,0.0,0.11685561865909033,0.0,0.05,0.0,0.0,0.08355756379560098,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.020533371710526313,0.0,0.11546098394485568,0.0,0.0054455335982889945,0.0,0.07751583806370071,0.05813687854777552,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,6313.924017777778,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4977.812822222223,0.0,0.0,41.5691966101731,51.66666666666668,46.10666666666668,0.0,51.23083085731272,0.16066315719816243,432.61537302312297,0.0,41.5691966101731,50.9309244018348,51.25344017166362,50.75836185974495,12.43753247303448,15.196958006888035,0.0,-0.17762755058312182,-0.25000000000000006,9.236100170605994,7.904330496610771,-109.13415899203065,-298.69208216094216,0.0,0.0,313.4234798722355,0.0,1.0,0.01468630843189514,0.0,0.0,0.19005613960799195,65.99961422222222,-6.827067214682531,0.2592967248005825,6.925699028260942,0.002718717012510782,44.09941817858644,1.241193233639341,0.07340453622779494,28.50845220252237,-137.642611194553
2025-01-01 06:00:00,1.5202427727320211,0.10628579065335951,0.0,1.5202427727320211,0.10628579065335951,0.0,0.23868891343515258,1.1000131084444444,0.13154075085242403,0.0,0.05,0.0,0.0,0.09170245732002619,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.02316585526315789,0.0,0.21552305817199466,0.0,0.00927080775905576,0.0,0.08649268237420649,0.06486951178065485,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,6313.924017777778,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4977.812822222223,1100.0131084444445,0.2,40.73205407348057,51.66666666666668,46.10666666666668,0.0,51.21769509537816,0.28966489980223403,778.3170480799752,1100.0131084444445,40.73205407348057,50.04703289193792,51.21769509537816,49.4617017902178,12.43753247303448,15.09516994881069,0.0,-0.5612018526374458,0.3,9.236100170605994,108.81754497128125,-19.526402360502193,-283.94787210383544,0.0,0.0,410.3749064769377,0.0,0.7,0.01460683828551673,0.0,0.0,0.1890277130769271,46.199729955555554,-17.609489401820987,0.2619059739466242,6.8870753976865435,0.0027282125759243428,18.984639112096644,1.2416244010676152,0.09189576457350913,106.9272489742763,-126.45365133477847
2025-01-01 07:00:00,0.22317906070631394,0.09593366024324254,0.0,0.22317906070631394,0.09593366024324254,0.0,0.06212928898116146,0.0,0.1110497717251525,0.0,0.05,0.0,0.0,0.0813503269099092,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.021586365131578945,0.0,0.04054292384958252,0.0,0.002582669178606861,0.0,0.07080682810532272,0.053105121078992026,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,6313.924017777778,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4977.812822222223,0.0,0.0,41.46669484528171,51.66666666666668,46.10666666666668,0.0,51.34344383041503,0.0,0.0,0.0,41.46669484528171,50.34780421097273,51.34344383041503,49.84998440125159,12.43753247303448,14.745225496427278,0.0,-0.8481839094876875,-0.55,9.236100170605994,-146.82782058381702,-89.79261027682482,-300.31607090831386,0.0,0.0,168.22258273894138,3.3680296242366903,0.0,0.014886855649624681,0.0,0.0,0.1926514296488863,0.0,-14.734332414444538,0.26785855510442436,6.713592105707394,0.002727954059915965,-8.862174245274227,1.2431339527240082,0.08768259836085267,32.3412869690155,-122.1338972458403
2025-01-01 08:00:00,0.21885560046208136,0.09663979038901548,0.0,0.21885560046208136,0.09663979038901548,0.0,0.05686432187589831,0.0,0.11199127858618306,0.0,0.05,0.0,0.0,0.08205645705568214,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.016321398026315787,0.0,0.04054292384958252,0.0,0.002582669178606861,0.0,0.07080682810532272,0.053105121078992026,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,6313.924017777778,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4977.812822222223,0.0,0.0,41.584764591847076,51.66666666666668,46.10666666666668,0.0,51.1088358459702,0.0,0.0,0.0,41.584764591847076,50.13793052041729,51.1088358459702,49.652477857640854,12.43753247303448,14.432962895806389,-0.07363493705892715,-1.1953638386817453,-1.4,9.236100170605994,-127.64922333502824,-54.774943946190234,-321.5533698586392,0.0,0.0,163.8991224947088,204.0446654122062,0.0,0.015362373409311594,0.0,0.0,0.19880512512247872,0.0,30.005024028902167,0.2733757271980631,6.5609889202489375,0.00272728763233004,5.29285965785833,1.245068815594151,0.09162137228460916,69.3781033407174,-124.15304728690764
2025-01-01 09:00:00,0.2156966201989235,0.09663979038901548,0.0,0.2156966201989235,0.09663979038901548,0.0,0.05370534161274041,0.0,0.11199127858618306,0.0,0.05,0.0,0.0,0.08205645705568214,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.013162417763157892,0.0,0.04054292384958252,0.0,0.002582669178606861,0.0,0.07080682810532272,0.053105121078992026,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,6313.924017777778,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4977.812822222223,0.0,0.0,41.466295168713756,51.66666666666668,46.10666666666668,0.0,50.87441444707004,0.0,0.0,0.0,41.466295168713756,49.92801460309168,50.87441444707004,49.45481468110252,12.43753247303448,14.323964258769326,-0.17603574123073182,-1.198309784297146,-0.85,9.236100170605994,-20.900712881374808,-12.318256820785916,-300.65760125643334,0.0,0.0,160.7401422315509,599.2609547503478,0.0,0.014990222000775513,0.0,0.0,0.19398909797828254,0.0,119.01674614350763,0.2758132643435315,6.514796126356063,0.002730939692680463,20.569024841083962,1.2461630793036738,0.0964730173906954,47.448774791490074,-59.76703161227599
