Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,6.7722140817735665,0.09593366024324254,0.0,0.1128702346962261,0.0015988943373873756,0.0,0.06160279227063514,0.0,0.11104977172515251,6.549561517777779,0.05,0.0,0.0,0.0813503269099092,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.02105986842105263,0.0,On,0.04054292384958252,0,On,0.002582669178606861,0,On,0.07080682810532272,0.053105121078992026,On,0,0,Off,On,4066.8532160452937,18.33333333333337,1.0,2482.7083017324844,6.3139240177777785,0.23563750000000006,1,6313.924017777778,6313.924017777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,4977.812822222222,Off,0.0,0.0,34.0968260060071,51.666666666666686,46.10666666666668,0.0,49.98831121266423,0.0,0.0,0.0,34.0968260060071,47.74470852397431,49.98831121266423,46.62290717962935,12.43753247303448,18.52229738151109,0.0,0.6431237865773597,2.8,9.236100170605994,3932.250012844859,2672.080731661223,-362.4397588500663,-0.0,-0.0,233.6957002506373,0.0,1.0,0.0176889548862228,0.0,0,0.2289135145816632,65.99961422222222,-5.859144601005141,0.20482697867629698,8.437656191384468,0.0026572518307431264,35.7477242151096,1.2247029094661366,0.16370100788393785,460.14449027434233,-270.7720603456036
2025-01-01 00:01:00,0.22265256399578764,0.09593366024324254,0.0,0.0037108760665964607,0.0015988943373873756,0.0,0.06160279227063514,0.0,0.11104977172515251,0.0,0.05,0.0,0.0,0.0813503269099092,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.02105986842105263,0.0,On,0.04054292384958252,0,On,0.002582669178606861,0,On,0.07080682810532272,0.053105121078992026,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6313.924017777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,4977.812822222222,Off,0.0,0.0,34.034240647613764,51.666666666666686,46.10666666666668,0.0,49.984876288000834,0.0,0.0,0.0,34.034240647613764,47.74183740165224,49.984876288000834,46.62031795847795,12.43753247303448,18.57319556411962,0.0,0.7640404692860387,2.8,9.236100170605994,-142.71374284036946,156.70714173511408,-364.1176039518895,-0.0,-0.0,233.6957002506373,0.0,1.0,0.01771349815196309,0.0,0,0.22923113002339274,65.99961422222222,-12.291839139117215,0.20478447333826294,8.484255666842717,0.0026574228597761804,35.71455026525696,1.228065995183815,0.16296053203320265,432.383613791659,-275.676472056545
2025-01-01 00:02:00,0.22265256399578764,0.09593366024324254,0.0,0.0037108760665964607,0.0015988943373873756,0.0,0.06160279227063514,0.0,0.11104977172515251,0.0,0.05,0.0,0.0,0.0813503269099092,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.02105986842105263,0.0,On,0.04054292384958252,0,On,0.002582669178606861,0,On,0.07080682810532272,0.053105121078992026,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6313.924017777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,4977.812822222222,Off,0.0,0.0,34.09192847430028,51.666666666666686,46.10666666666668,0.0,49.981447110361074,0.0,0.0,0.0,34.09192847430028,47.7389715493286,49.981447110361074,46.61773376881237,12.43753247303448,18.52072812710914,0.0,0.7276881942018725,2.8,9.236100170605994,-143.42374250093255,168.54219994704795,-362.38807720451734,-0.0,-0.0,233.6957002506373,0.0,1.0,0.017688198024187234,0.0,0,0.22890371999799625,65.99961422222222,-14.731365547052462,0.20547178978456124,8.460402330290602,0.0026575932621618753,35.72925111241658,1.228286780530473,0.163183501214351,440.7060373297195,-272.1638373826716
2025-01-01 00:03:00,0.22265256399578764,0.09593366024324254,0.0,0.0037108760665964607,0.0015988943373873756,0.0,0.06160279227063514,0.0,0.11104977172515251,0.0,0.05,0.0,0.0,0.0813503269099092,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.02105986842105263,0.0,On,0.04054292384958252,0,On,0.002582669178606861,0,On,0.07080682810532272,0.053105121078992026,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6313.924017777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,4977.812822222222,Off,0.0,0.0,34.147739612098775,51.666666666666686,46.10666666666668,0.0,49.97801280539694,0.0,0.0,0.0,34.147739612098775,47.736100839403065,49.97801280539694,46.615144856406125,12.43753247303448,18.469868775847406,0.0,0.6929497524048186,2.8,9.236100170605994,-144.56778265395437,178.79132620785072,-360.7146497194801,-0.0,-0.0,233.6957002506373,0.0,1.0,0.01766366295347025,0.0,0,0.22858621060841047,65.99961422222222,-17.548833185111548,0.20614091127033662,8.436730656195685,0.0026577637040461673,35.74324203010916,1.2285008709082423,0.1633962875377685,448.67795246227627,-269.8866262544256
2025-01-01 00:04:00,0.22265256399578764,0.09593366024324254,0.0,0.0037108760665964607,0.0015988943373873756,0.0,0.06160279227063514,0.0,0.11104977172515251,0.0,0.05,0.0,0.0,0.0813503269099092,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.02105986842105263,0.0,On,0.04054292384958252,0,On,0.002582669178606861,0,On,0.07080682810532272,0.053105121078992026,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6313.924017777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,4977.812822222222,Off,0.0,0.0,34.20181051375098,51.666666666666686,46.10666666666668,0.0,49.974573542828054,0.0,0.0,0.0,34.20181051375098,47.733225429902156,49.974573542828054,46.61255137343921,12.43753247303448,18.420500392153045,0.0,0.6597512088635913,2.8,9.236100170605994,-143.34491533023512,189.95536346056292,-359.09319181911974,-0.0,-0.0,233.6957002506373,0.0,1.0,0.017639837385880673,0.0,0,0.2282778829288549,65.99961422222222,-17.94742376175266,0.20679313921713155,8.413181457541162,0.002657934182957894,35.75657533290429,1.2287087528213472,0.1635993827611251,456.31376857481604,-266.3584051142532
2025-01-01 00:05:00,0.22265256399578764,0.09593366024324254,0.0,0.0037108760665964607,0.0015988943373873756,0.0,0.06160279227063514,0.0,0.11104977172515251,0.0,0.05,0.0,0.0,0.0813503269099092,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.02105986842105263,0.0,On,0.04054292384958252,0,On,0.002582669178606861,0,On,0.07080682810532272,0.053105121078992026,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6313.924017777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,4977.812822222222,Off,0.0,0.0,34.254175108059506,51.666666666666686,46.10666666666668,0.0,49.97112948003508,0.0,0.0,0.0,34.254175108059506,47.730345467362426,49.97112948003508,46.609953461026095,12.43753247303448,18.372593962128565,0.0,0.6281693948093159,2.8,9.236100170605994,-140.28225613347107,199.60257280583613,-357.5224951047015,-0.0,-0.0,233.6957002506373,0.0,1.0,0.01761670819189719,0.0,0,0.22797856704963784,65.99961422222222,-16.45546127940686,0.2074286548761045,8.391108050206054,0.0026581046966097487,35.769262633784585,1.2289105422355313,0.16379235375744045,463.5933789296677,-263.9908061238316
2025-01-01 00:06:00,0.22265256399578764,0.09593366024324254,0.0,0.0037108760665964607,0.0015988943373873756,0.0,0.06160279227063514,0.0,0.11104977172515251,0.0,0.05,0.0,0.0,0.0813503269099092,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.02105986842105263,0.0,On,0.04054292384958252,0,On,0.002582669178606861,0,On,0.07080682810532272,0.053105121078992026,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6313.924017777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,4977.812822222222,Off,0.0,0.0,34.30487056915035,51.666666666666686,46.10666666666668,0.0,49.96768077132937,0.0,0.0,0.0,34.30487056915035,47.727461095463426,49.96768077132937,46.60735125753045,12.43753247303448,18.326117680027984,0.0,0.598125000879468,2.8,9.236100170605994,-136.73281448722375,210.34398285668033,-356.00127372137666,-0.0,-0.0,233.6957002506373,0.0,1.0,0.017594260844218883,0.0,0,0.22768807497234278,65.99961422222222,-14.42724101648438,0.20804768557213812,8.369127949279182,0.0026582752427553907,35.781316916123686,1.229106367231603,0.16397572003943,470.53275253080193,-260.18876967412154
2025-01-01 00:07:00,0.22265256399578764,0.09593366024324254,0.0,0.0037108760665964607,0.0015988943373873756,0.0,0.06160279227063514,0.0,0.11104977172515251,0.0,0.05,0.0,0.0,0.0813503269099092,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.02105986842105263,0.0,On,0.04054292384958252,0,On,0.002582669178606861,0,On,0.07080682810532272,0.053105121078992026,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6313.924017777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,4977.812822222222,Off,0.0,0.0,34.353964278598845,51.666666666666686,46.10666666666668,0.0,49.964227567659584,0.0,0.0,0.0,34.353964278598845,47.72457245475448,49.964227567659584,46.60474489830193,12.43753247303448,18.281013774381982,0.0,0.5696969991943395,2.8,9.236100170605994,-133.25967697767535,219.3828020839689,-354.5274080033483,-0.0,-0.0,233.6957002506373,0.0,1.0,0.017572468218214437,0.0,0,0.22740605567596664,65.99961422222222,-12.427969224964379,0.20865080858999424,8.348572564859715,0.0026584458191941866,35.79276332291795,1.2292964657627452,0.1641490325923683,477.11145996472555,-257.7286578807567
2025-01-01 00:08:00,0.22265256399578764,0.09593366024324254,0.0,0.0037108760665964607,0.0015988943373873756,0.0,0.06160279227063514,0.0,0.11104977172515251,0.0,0.05,0.0,0.0,0.0813503269099092,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.02105986842105263,0.0,On,0.04054292384958252,0,On,0.002582669178606861,0,On,0.07080682810532272,0.053105121078992026,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6313.924017777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,4977.812822222222,Off,0.0,0.0,34.40153181050986,51.666666666666686,46.10666666666668,0.0,49.96077001388056,0.0,0.0,0.0,34.40153181050986,47.721679680111045,49.96077001388056,46.60213451322629,12.43753247303448,18.23721742702258,0.0,0.5427862286936382,2.8,9.236100170605994,-129.95535900708208,229.5465487319033,-353.09856742460465,-0.0,-0.0,233.6957002506373,0.0,1.0,0.017551299717464754,0.0,0,0.22713211321095372,65.99961422222222,-10.552491833114715,0.20923870769214406,8.328046840098313,0.002658616423813815,35.80363039542604,1.2294811059794781,0.16431292684854412,483.35039163816305,-253.8038429062597
2025-01-01 00:09:00,0.22265256399578764,0.09593366024324254,0.0,0.0037108760665964607,0.0015988943373873756,0.0,0.06160279227063514,0.0,0.11104977172515251,0.0,0.05,0.0,0.0,0.0813503269099092,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.02105986842105263,0.0,On,0.04054292384958252,0,On,0.002582669178606861,0,On,0.07080682810532272,0.053105121078992026,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6313.924017777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,4977.812822222222,Off,0.0,0.0,34.44764449508224,51.666666666666686,46.10666666666668,0.0,49.9573082480127,0.0,0.0,0.0,34.44764449508224,47.71878290004486,49.9573082480127,46.59952022606094,12.43753247303448,18.194667460802318,0.0,0.5174661611914406,2.8,9.236100170605994,-126.80668351301878,237.94026353682023,-351.71255936448716,-0.0,-0.0,233.6957002506373,0.0,1.0,0.017530726439604745,0.0,0,0.2268658735505729,65.99961422222222,-8.789824399168921,0.20981203313430413,8.308198085874583,0.002658787054602134,35.813945101500465,1.2296605411423076,0.164466984142812,489.23059131663564,-251.29032777981536
